







date,confirmed,cured,dead
03-13-2020,4,0,0
03-14-2020,6,0,0
03-15-2020,9,0,0
03-16-2020,10,0,0
03-17-2020,33,0,0
03-18-2020,35,0,0
03-19-2020,44,0,0
03-20-2020,49,0,3
03-21-2020,53,0,0
03-22-2020,59,0,0
03-23-2020,62,0,0
03-24-2020,72,0,0
03-25-2020,81,0,0
03-26-2020,111,2,1
03-27-2020,150,3,1
03-28-2020,228,16,1
03-29-2020,284,20,1
03-30-2020,302,21,1
03-31-2020,343,24,2
04-01-2020,380,26,3
04-02-2020,435,27,3
04-03-2020,464,29,6
04-04-2020,531,36,5
04-05-2020,584,42,6
04-06-2020,662,46,6
04-07-2020,697,51,6
04-08-2020,727,54,7
04-09-2020,781,60,8
04-10-2020,812,64,10
04-11-2020,865,81,10
04-12-2020,951,99,10
04-13-2020,1091,138,12
04-14-2020,1232,203,14
04-15-2020,1295,240,16
04-16-2020,1402,277,17
04-17-2020,1546,347,17
04-18-2020,1615,377,17
04-19-2020,1676,400,17
04-20-2020,1852,447,19
04-21-2020,1995,489,19
04-22-2020,2135,515,19
04-23-2020,2289,560,20
04-24-2020,2482,604,25
04-25-2020,2601,646,25
04-26-2020,2717,682,25
04-27-2020,2835,720,25
04-28-2020,3027,774,25
04-29-2020,3138,819,25
04-30-2020,3402,866,25
05-01-2020,3597,922,25
05-02-2020,3857,985,25
05-03-2020,3920,1084,27
05-04-2020,4049,1173,29
05-05-2020,4205,1279,29
05-05-2020,4205,1279,29
05-06-2020,4422,1408,30
05-07-2020,4578,1518,30
05-08-2020,4834,1631,31
05-09-2020,4975,1776,31
05-10-2020,5090,1941,31
05-11-2020,5207,2074,32
05-12-2020,5279,2223,32
05-12-2020,5279,2223,32
05-13-2020,5417,2408,32
05-14-2020,5571,2531,32
05-14-2020,5571,2531,32
05-15-2020,5689,2707,34
05-16-2020,5850,2980,34
05-17-2020,6157,3256,34
05-18-2020,6751,3469,35
05-19-2020,6751,3598,35
05-19-2020,6751,3598,35
05-20-2020,6969,3734,35
05-21-2020,7234,3843,35
05-22-2020,7919,4096,35
05-23-2020,7919,4214,35
05-24-2020,8531,4352,35
05-25-2020,8969,4515,35
05-26-2020,8969,4613,37
05-27-2020,9304,4768,37
05-28-2020,9576,4900,37
05-29-2020,9932,5057,37
05-30-2020,10382,5220,38
05-31-2020,10858,5404,40
06-01-2020,11308,5587,41
06-02-2020,11571,5941,44
06-03-2020,12067,6240,48
06-04-2020,12067,6606,52
06-05-2020,12312,6903,52
06-06-2020,12511,7135,53
06-06-2020,12511,7135,53
06-07-2020,12694,7376,56
06-08-2020,12859,7376,56
06-09-2020,13074,8015,61
06-10-2020,13319,8345,67
06-11-2020,13872,8593,67
06-12-2020,13872,8829,70
06-13-2020,14238,8829,73
06-14-2020,14496,9188,77
06-15-2020,15192,9388,81
06-16-2020,15542,9647,88
06-17-2020,15877,9920,97
06-18-2020,15877,10065,100
06-19-2020,16779,10411,113
06-20-2020,17225,10671,118
06-21-2020,17732,10897,120
06-22-2020,18231,11158,127
06-23-2020,18765,11514,134
06-24-2020,19285,11882,136
06-25-2020,19750,12220,140
06-26-2020,20319,12548,150
06-27-2020,20319,12738,166
06-28-2020,21327,12933,178
06-29-2020,21819,13008,188
06-30-2020,22308,13558,188
07-01-2020,42574,25319,188
07-02-2020,42574,14777,188
07-03-2020,45719,15276,188
07-04-2020,47171,15556,188
07-05-2020,48574,15860,188
07-06-2020,49683,15860,264
07-07-2020,51059,16298,264
07-08-2020,51059,16298,264
07-09-2020,54747,35137,264
07-10-2020,56455,32500,264
07-11-2020,58253,33814,264
07-12-2020,58253,33814,375
07-13-2020,61755,35911,375
07-14-2020,63514,38008,375
07-15-2020,65188,39066,375
07-16-2020,66895,40256,375
07-17-2020,68703,40256,375
07-18-2020,68703,40256,375
07-18-2020,68703,40256,375
07-18-2020,68703,40256,375
07-19-2020,71838,43029,375
07-20-2020,73468,43401,585
07-21-2020,75153,46790,585
07-22-2020,76799,48220,585
07-23-2020,78486,49488,585
07-24-2020,80226,51260,585
07-25-2020,81720,51823,585
07-26-2020,83122,52571,585
07-27-2020,84648,54404,585
07-28-2020,86192,56638,793
07-28-2020,86192,56638,793
07-29-2020,87664,57815,793
07-30-2020,89078,59517,793
07-31-2020,90367,60825,793
08-01-2020,90367,60825,793
08-02-2020,92662,62511,793
08-03-2020,93820,65132,793
08-04-2020,94882,67031,1058
08-05-2020,95942,68871,1058
