







date,confirmed,cured,dead
03-13-2020,1,0,0
03-14-2020,1,0,0
03-15-2020,3,0,0
03-16-2020,3,0,0
03-17-2020,3,0,0
03-18-2020,3,0,0
03-19-2020,7,0,0
03-20-2020,7,0,0
03-21-2020,7,0,0
03-22-2020,15,0,0
03-23-2020,16,0,0
03-24-2020,25,0,0
03-25-2020,28,1,0
03-26-2020,31,1,1
03-27-2020,31,1,1
03-28-2020,38,1,1
03-29-2020,42,1,1
03-30-2020,50,1,1
03-31-2020,59,1,1
04-01-2020,81,3,1
04-02-2020,110,4,3
04-03-2020,122,4,4
04-04-2020,126,4,4
04-05-2020,142,4,4
04-06-2020,158,4,6
04-07-2020,172,7,6
04-08-2020,179,9,6
04-09-2020,184,12,7
04-10-2020,189,22,7
04-11-2020,191,24,7
04-12-2020,197,25,8
04-13-2020,208,40,9
04-14-2020,216,41,9
04-15-2020,225,53,10
04-16-2020,234,53,11
04-17-2020,246,53,11
04-18-2020,262,60,12
04-19-2020,270,67,14
04-20-2020,281,69,14
04-21-2020,296,74,14
04-22-2020,303,74,14
04-23-2020,320,89,14
04-24-2020,336,94,14
04-25-2020,343,98,14
04-26-2020,355,106,14
04-27-2020,363,114,14
04-28-2020,374,124,14
04-29-2020,384,129,15
04-30-2020,396,144,17
05-01-2020,411,150,21
05-02-2020,435,152,22
05-03-2020,465,167,24
05-04-2020,490,173,24
05-05-2020,535,182,24
05-05-2020,535,182,24
05-06-2020,582,190,26
05-07-2020,607,197,29
05-08-2020,621,202,29
05-09-2020,649,207,30
05-10-2020,672,239,32
05-11-2020,700,251,33
05-12-2020,715,259,36
05-12-2020,715,259,36
05-13-2020,737,281,40
05-14-2020,758,284,42
05-14-2020,758,284,42
05-15-2020,781,284,45
05-16-2020,830,301,50
05-17-2020,887,313,50
05-18-2020,912,336,50
05-19-2020,963,358,50
05-19-2020,963,358,50
05-20-2020,1029,366,50
05-21-2020,1109,375,50
05-22-2020,1161,380,50
05-23-2020,1192,380,50
05-24-2020,1214,383,51
05-25-2020,1286,402,52
05-26-2020,1348,405,52
05-27-2020,1471,408,55
05-28-2020,1618,421,58
05-29-2020,1745,438,62
05-30-2020,1888,464,63
05-31-2020,1962,478,64
06-01-2020,2021,482,69
06-02-2020,2093,499,71
06-03-2020,2216,553,74
06-04-2020,2340,592,78
06-05-2020,2474,643,79
06-06-2020,2600,706,83
06-06-2020,2600,706,83
06-07-2020,2767,752,84
06-08-2020,2872,849,85
06-09-2020,2989,873,88
06-10-2020,3094,1048,89
06-11-2020,3215,1092,92
06-12-2020,3305,1164,96
06-13-2020,3457,1221,100
06-14-2020,3594,1253,103
06-15-2020,3727,1286,104
06-16-2020,3860,1328,105
06-17-2020,4044,1353,107
06-18-2020,4257,1459,117
06-19-2020,4374,1550,119
06-20-2020,4478,1586,121
06-21-2020,4738,1607,123
06-22-2020,4797,1680,125
06-23-2020,4952,1782,128
06-24-2020,5206,1823,130
06-25-2020,5384,1857,132
06-26-2020,5533,1905,137
06-27-2020,5811,1936,141
06-28-2020,6070,1971,143
06-29-2020,6190,2013,144
06-30-2020,6366,2039,148
07-01-2020,6673,2089,149
07-02-2020,6941,2109,152
07-03-2020,7188,2148,154
07-04-2020,7577,2236,159
07-05-2020,7886,2287,160
07-06-2020,8067,2414,164
07-07-2020,8250,2504,167
07-08-2020,8528,2593,169
07-09-2020,8975,2657,173
07-10-2020,9448,2733,181
07-11-2020,9726,2832,184
07-12-2020,10105,2881,185
07-13-2020,10294,2946,197
07-14-2020,10791,3017,202
07-15-2020,11252,3068,209
07-16-2020,11673,3638,217
07-17-2020,12062,3983,222
07-18-2020,12750,4440,225
07-18-2020,12750,4440,225
07-18-2020,12750,4440,225
07-19-2020,13353,5122,234
07-20-2020,13771,5616,238
07-21-2020,14168,6258,250
07-22-2020,14805,6757,260
07-23-2020,15601,7135,263
07-24-2020,16268,7446,274
07-25-2020,16643,7574,278
07-26-2020,17603,7743,280
07-27-2020,17975,7833,285
07-28-2020,18581,7908,299
07-28-2020,18581,7908,299
07-29-2020,19125,8021,311
07-30-2020,19913,8121,325
07-31-2020,20636,8165,341
08-01-2020,21363,8419,364
08-02-2020,22053,8477,369
08-03-2020,22597,8740,382
08-04-2020,23202,9327,388
08-05-2020,23873,9930,391
08-06-2020,24411,10444,399
08-07-2020,25138,11118,413
08-08-2020,25837,11899,418
08-09-2020,26436,12961,420
08-10-2020,26928,13495,423
08-11-2020,27425,13867,438
08-12-2020,28104,14610,456
08-13-2020,28754,15100,460
08-14-2020,29334,15298,465
08-15-2020,29849,15970,472
08-16-2020,30120,16656,474
08-17-2020,30365,17160,482
08-18-2020,30636,17368,487
08-19-2020,31015,17612,506
08-20-2020,31441,17869,516
08-21-2020,31763,18157,532
08-22-2020,32118,18453,542
08-23-2020,32364,18670,548
08-24-2020,32557,18895,554
08-25-2020,32803,19055,559
08-26-2020,33016,19296,564
08-27-2020,33389,19368,567
08-28-2020,33630,19434,567
08-29-2020,33794,19590,572
08-30-2020,34057,19688,574
08-31-2020,34201,19893,577
09-01-2020,34315,20211,577
09-02-2020,34493,20211,581
09-03-2020,34705,20644,585
09-04-2020,34884,21059,589
09-05-2020,35020,21158,594
09-06-2020,35103,21230,597
09-07-2020,35205,21310,599
09-08-2020,35356,21483,599
09-09-2020,35460,21557,607
09-10-2020,35603,22047,612
09-11-2020,35793,22442,616
09-12-2020,35969,22771,619
09-13-2020,36157,23067,622
09-14-2020,36205,23243,624
09-15-2020,36301,23364,634
09-16-2020,36301,23364,634
09-17-2020,36576,23611,642
09-18-2020,36724,23709,646
09-19-2020,36829,23777,646
09-20-2020,36981,23887,648
09-21-2020,37079,23949,650
09-22-2020,37218,24147,659
09-23-2020,37348,24253,664
09-24-2020,37489,24334,669
09-25-2020,37707,24504,682
09-26-2020,37871,24581,689
09-27-2020,38115,24621,691
09-28-2020,38168,24681,700
09-29-2020,38378,24740,707
09-30-2020,38529,24908,711
10-01-2020,38713,24908,711
10-02-2020,38923,25114,725
10-03-2020,39184,25426,728
10-04-2020,39427,25659,731
10-05-2020,39449,27035,735
10-06-2020,39586,27331,743
10-07-2020,39907,31659,748
10-08-2020,40178,31710,751
10-09-2020,40620,31876,755
10-10-2020,41158,31876,760
10-11-2020,41546,32000,766
10-12-2020,41619,32000,777
10-13-2020,41937,31340,787
10-14-2020,42541,31428,797
10-15-2020,43143,31508,805
10-16-2020,43580,31648,813
10-17-2020,44196,31752,825
10-18-2020,44881,31857,832
10-19-2020,45076,32084,839
10-20-2020,45647,32522,842
10-21-2020,46144,32760,858
10-22-2020,47212,33050,870
10-23-2020,47843,33421,884
10-24-2020,48790,33876,896
10-25-2020,49721,34209,902
10-26-2020,49997,34429,920
10-27-2020,50833,34832,934
10-28-2020,51851,35258,934
10-29-2020,52612,35604,964
10-30-2020,53797,35876,981
10-31-2020,55192,35876,981
11-01-2020,55877,37194,1013
11-02-2020,56601,37442,1027
11-03-2020,57093,37846,1039
11-04-2020,58587,38381,1051
11-05-2020,59595,39193,1072
11-06-2020,60704,40131,1093
11-07-2020,61769,41019,1103
11-08-2020,62488,41931,1111
11-09-2020,63244,42659,1130
11-10-2020,64588,43095,1154
11-11-2020,65804,43626,1180
11-12-2020,66723,44040,1203
11-13-2020,68193,44872,1228
11-14-2020,69273,44872,1228
11-15-2020,70245,45766,1269
11-16-2020,70804,46244,1287
11-17-2020,71729,47262,1302
11-18-2020,72686,49878,1313
11-19-2020,74145,50658,1330
11-20-2020,75193,50984,1349
11-21-2020,76404,51352,1366
11-22-2020,77372,51507,1380
11-23-2020,77785,51903,1392
11-24-2020,78512,52709,1409
11-25-2020,79322,52974,1417
11-26-2020,80102,53526,1427
11-27-2020,81656,54125,1441
11-28-2020,82605,54399,1445
11-29-2020,83316,54975,1452
11-30-2020,83618,55344,1469
12-01-2020,84169,55610,1474
12-02-2020,85130,56464,1484
12-03-2020,86383,56464,1500
12-04-2020,87249,68110,1506
12-05-2020,87984,68532,1518
12-06-2020,88380,68929,1526
12-07-2020,88579,69414,1531
12-08-2020,89100,69839,1545
12-09-2020,89661,70194,1552
12-10-2020,90305,71254,1568
12-11-2020,90978,71579,1582
12-12-2020,91526,72596,1586
12-13-2020,91892,73028,1587
12-14-2020,92055,73452,1593
12-15-2020,92459,73979,1604
12-16-2020,92853,74403,1614
12-17-2020,93405,74999,1618
12-18-2020,93761,75274,1629
12-19-2020,94151,75559,1633
12-20-2020,94500,75735,1639
12-21-2020,94614,76060,1644
12-22-2020,94768,76222,1647
12-23-2020,95195,76508,1648
12-24-2020,95431,76720,1652
12-25-2020,95713,76811,1653
12-26-2020,95843,76998,1655
12-27-2020,95923,77423,1658
