







date,confirmed,cured,dead
03-11-2020,7755,288,60
03-12-2020,7869,333,66
03-13-2020,7979,510,66
03-14-2020,8086,510,72
03-15-2020,8162,510,75
03-16-2020,8236,1137,75
03-17-2020,8320,1407,81
03-18-2020,8413,1540,84
03-19-2020,8565,1540,91
03-20-2020,8652,1540,94
03-21-2020,8799,1540,102
03-22-2020,8897,2909,104
03-23-2020,8961,3166,111
03-24-2020,9037,3507,120
03-25-2020,9137,3730,126
03-26-2020,9241,4144,131
03-27-2020,9332,4528,139
03-28-2020,9478,4811,144
03-29-2020,9583,5033,152
03-30-2020,9661,5228,158
03-31-2020,9786,5408,162
04-01-2020,9887,5567,165
04-02-2020,9976,5828,169
04-03-2020,10062,6021,174
04-04-2020,10156,6325,177
04-05-2020,10237,6463,183
04-06-2020,10284,6598,186
04-07-2020,10331,6694,192
04-08-2020,10384,6776,200
04-09-2020,10423,6973,204
04-10-2020,10450,7117,208
04-11-2020,10480,7243,211
04-12-2020,10512,7368,214
04-13-2020,10537,7447,217
04-14-2020,10564,7534,222
04-15-2020,10591,7616,225
04-16-2020,10613,7757,229
04-17-2020,10635,7829,230
04-18-2020,10653,7937,232
04-19-2020,10661,8042,234
04-20-2020,10674,8114,236
04-21-2020,10683,8213,237
04-22-2020,10694,8277,238
04-23-2020,10708,8501,240
04-24-2020,10718,8635,240
04-25-2020,10728,8717,242
04-26-2020,10738,8764,243
04-27-2020,10752,8854,244
04-28-2020,10761,8922,246
04-29-2020,10765,9059,247
04-30-2020,10774,9072,248
05-01-2020,10780,9123,250
05-02-2020,10793,9183,250
05-03-2020,10801,9217,252
05-04-2020,10804,9283,254
05-05-2020,10806,9333,255
05-05-2020,10806,9333,255
05-06-2020,10810,9419,256
05-07-2020,10822,9484,256
05-08-2020,10840,9568,256
05-09-2020,10874,9610,256
05-10-2020,10909,9632,256
05-11-2020,10936,9670,258
05-12-2020,10962,9695,259
05-12-2020,10962,9695,259
05-13-2020,10991,9762,260
05-14-2020,11018,9821,260
05-14-2020,11018,9821,260
05-15-2020,11037,9851,262
05-16-2020,11050,9888,262
05-17-2020,11065,9904,263
05-18-2020,11078,9938,263
05-19-2020,11110,10066,263
05-19-2020,11110,10066,263
05-20-2020,11122,10135,264
05-21-2020,11142,10162,264
05-22-2020,11165,10194,266
05-23-2020,11190,10213,266
05-24-2020,11206,10226,267
05-25-2020,11225,10275,269
05-26-2020,11265,10295,269
05-27-2020,11344,10340,269
05-28-2020,11402,10363,269
05-29-2020,11441,10398,269
05-30-2020,11468,10405,270
05-31-2020,11503,10422,271
06-01-2020,11541,10446,272
06-02-2020,11590,10467,273
06-03-2020,11629,10499,273
06-04-2020,11668,10506,273
06-05-2020,11719,10531,273
06-06-2020,11776,10552,273
06-06-2020,11776,10552,273
06-07-2020,11814,10563,273
06-08-2020,11852,10589,274
06-09-2020,11902,10611,276
06-10-2020,11947,10654,276
06-11-2020,12003,10669,277
06-12-2020,12051,10691,277
06-13-2020,12085,10718,277
06-14-2020,12121,10730,277
06-15-2020,12155,10760,278
06-16-2020,12198,10774,279
06-17-2020,12257,10800,280
06-18-2020,12306,10835,280
06-19-2020,12373,10856,280
06-20-2020,12421,10868,280
06-21-2020,12438,10881,280
06-22-2020,12484,10908,281
06-23-2020,12535,10930,281
06-24-2020,12563,10974,282
06-25-2020,12602,11172,282
06-26-2020,12653,11317,282
06-27-2020,12715,11364,282
06-28-2020,12757,11429,282
06-29-2020,12800,11537,282
06-30-2020,12850,11613,282
07-01-2020,12904,11684,282
07-02-2020,12967,11759,282
07-03-2020,13030,11811,283
07-04-2020,13091,11832,283
07-05-2020,13137,11848,284
07-06-2020,13181,11914,285
07-07-2020,13244,11970,285
07-08-2020,13293,12019,287
07-09-2020,13338,12065,288
07-10-2020,13373,12144,288
07-11-2020,13417,12178,289
07-12-2020,13479,12204,289
07-13-2020,13512,12282,289
07-14-2020,13551,12348,289
07-15-2020,13612,12396,291
07-16-2020,13672,12460,293
07-18-2020,13745,12556,295
07-18-2020,13745,12556,295
07-18-2020,13745,12556,295
07-19-2020,13771,12572,296
07-20-2020,13816,12643,296
07-21-2020,13879,12698,297
07-22-2020,13938,12758,297
07-23-2020,13979,12817,298
07-24-2020,14092,12866,298
07-25-2020,14150,12890,298
07-26-2020,14175,12905,299
07-27-2020,14203,13007,300
07-28-2020,14251,13069,300
07-28-2020,14251,13069,300
07-29-2020,14269,13132,300
07-30-2020,14305,13183,301
07-31-2020,14336,13233,301
08-01-2020,14366,13259,301
08-02-2020,14389,13280,301
08-03-2020,14423,13352,301
08-04-2020,14456,13406,302
08-05-2020,14499,13501,302
08-06-2020,14519,13543,303
08-07-2020,14562,13629,304
08-08-2020,14598,13642,305
08-09-2020,14626,13658,305
08-10-2020,14660,13729,305
08-11-2020,14714,13786,305
08-12-2020,14770,13817,305
08-13-2020,14873,13863,305
08-14-2020,15039,13901,305
08-15-2020,15318,13910,305
08-16-2020,15515,13917,305
08-17-2020,15761,13934,306
08-18-2020,16058,14006,306
08-19-2020,16346,14063,307
08-20-2020,16670,14120,309
08-21-2020,17002,14169,309
08-22-2020,17399,14200,309
08-23-2020,17665,14219,309
08-24-2020,17945,14286,310
08-25-2020,18265,14368,312
08-26-2020,18706,14461,313
08-27-2020,19077,14551,316
08-28-2020,19400,14765,321
08-29-2020,19699,14903,323
08-30-2020,19947,14973,324
08-31-2020,20182,15198,324
09-01-2020,20449,15356,326
09-02-2020,20644,15529,329
09-03-2020,20842,15783,331
09-04-2020,21010,16009,333
09-05-2020,21177,16146,334
09-06-2020,21296,16297,336
09-07-2020,21432,16636,341
09-08-2020,21588,17023,344
09-09-2020,21743,17360,346
09-10-2020,21919,17616,350
09-11-2020,22055,18029,355
09-12-2020,22176,18226,358
09-13-2020,22285,18489,363
09-14-2020,22391,18878,367
09-15-2020,22504,19310,367
09-16-2020,22657,19543,372
09-17-2020,22783,19771,377
09-18-2020,22893,19970,378
09-19-2020,22975,20158,383
09-20-2020,23045,20248,385
09-21-2020,23106,20441,388
09-22-2020,23216,20650,388
09-23-2020,23341,20832,393
09-24-2020,23455,20978,395
09-25-2020,23516,21166,399
09-26-2020,23611,21248,401
09-27-2020,23661,21292,406
09-28-2020,23699,21470,407
09-29-2020,23812,21590,413
09-30-2020,23889,21666,415
10-01-2020,23952,21733,416
10-02-2020,24027,21787,420
10-03-2020,24091,21845,421
10-04-2020,24164,21886,422
10-05-2020,24239,22083,422
10-06-2020,24353,22334,425
10-07-2020,24422,22463,427
10-08-2020,24476,22569,428
10-09-2020,24548,22624,430
10-10-2020,24606,22693,432
10-11-2020,24703,22729,433
10-12-2020,24805,22863,434
10-13-2020,24889,23030,438
10-14-2020,24988,23082,439
10-15-2020,25035,23180,441
10-16-2020,25108,23258,443
10-17-2020,25199,23312,444
10-18-2020,25275,23368,444
10-19-2020,25333,23466,447
10-20-2020,25424,23584,450
10-21-2020,25543,23647,453
10-22-2020,25698,23717,455
10-23-2020,25775,23834,457
10-24-2020,25836,23869,457
10-25-2020,25955,23905,457
10-26-2020,26043,23981,460
10-27-2020,26146,24073,461
10-28-2020,26271,24168,462
10-29-2020,26385,24227,463
10-30-2020,26511,24311,464
10-31-2020,26635,24357,466
11-01-2020,26732,24395,468
11-02-2020,26807,24510,472
11-03-2020,26925,24616,474
11-04-2020,27050,24735,475
11-05-2020,27195,24821,476
11-06-2020,27284,24910,477
11-07-2020,27427,24968,478
11-08-2020,27553,25029,480
11-09-2020,27653,25160,485
11-10-2020,27799,25266,487
11-11-2020,27942,25404,487
11-12-2020,28133,25537,488
11-13-2020,28338,25636,492
11-14-2020,28546,25691,493
11-15-2020,28769,25759,494
11-16-2020,28998,25860,494
11-17-2020,29311,25973,496
11-18-2020,29654,26098,498
11-19-2020,30017,26263,501
11-20-2020,30403,26365,503
11-21-2020,30733,26466,505
11-22-2020,31004,26539,509
11-23-2020,31353,26722,510
11-24-2020,31735,26825,513
11-25-2020,32318,26950,515
11-26-2020,32887,27103,516
11-27-2020,33375,27349,522
11-28-2020,33824,27542,523
11-29-2020,34201,27653,526
11-30-2020,34652,27885,526
12-01-2020,35163,28065,526
12-02-2020,35703,28352,529
12-03-2020,36332,28611,536
12-04-2020,36915,28917,540
12-05-2020,37546,29128,545
12-06-2020,38161,29301,549
12-07-2020,38755,29650,552
12-08-2020,39432,30177,556
12-09-2020,40098,30637,564
12-10-2020,40786,31157,572
12-11-2020,41736,31493,578
12-12-2020,42766,31814,580
12-13-2020,43484,32102,587
12-14-2020,44364,32559,600
12-15-2020,45442,32947,612
12-16-2020,46453,33610,634
12-17-2020,47515,33982,645
12-18-2020,48570,34334,659
12-19-2020,49665,34722,674
12-20-2020,50591,35155,698
12-21-2020,51460,35928,722
12-22-2020,52550,36726,739
12-23-2020,53533,37425,756
12-24-2020,54770,38048,773
12-25-2020,55902,38532,793
12-26-2020,56872,39040,808
12-27-2020,57680,39268,819
12-28-2020,58725,40703,859
12-29-2020,59773,41435,879
12-30-2020,60740,42271,900
12-31-2020,61769,42953,917
01-01-2021,62593,43578,942
01-02-2021,63244,44507,962
01-03-2021,64264,45240,981
01-04-2021,64979,46172,1007
01-05-2021,65818,46995,1027
