







date,confirmed,cured,dead
03-11-2020,72,2,0
03-12-2020,80,5,0
03-13-2020,80,5,0
03-14-2020,104,5,0
03-15-2020,112,5,0
03-16-2020,123,9,0
03-17-2020,130,9,0
03-18-2020,142,15,0
03-19-2020,148,18,0
03-20-2020,159,18,0
03-21-2020,176,27,0
03-22-2020,188,30,0
03-23-2020,189,30,0
03-24-2020,191,39,0
03-25-2020,195,43,0
03-26-2020,208,49,0
03-27-2020,225,57,0
03-28-2020,235,64,0
03-29-2020,255,67,0
03-30-2020,266,72,0
03-31-2020,289,73,0
04-01-2020,317,80,0
04-02-2020,342,81,0
04-03-2020,417,82,0
04-04-2020,479,93,1
04-05-2020,556,99,1
04-06-2020,665,103,1
04-07-2020,743,105,1
04-08-2020,855,111,1
04-09-2020,910,111,1
04-10-2020,993,123,1
04-11-2020,1154,133,1
04-12-2020,1234,142,1
04-13-2020,1300,150,2
04-14-2020,1355,176,3
04-15-2020,1405,206,3
04-16-2020,1524,225,3
04-17-2020,1658,258,5
04-18-2020,1751,280,6
04-19-2020,1915,305,7
04-20-2020,1995,367,9
04-21-2020,2080,412,11
04-22-2020,2248,443,13
04-23-2020,2399,498,14
04-24-2020,2614,613,15
04-25-2020,2892,656,19
04-26-2020,3075,806,20
04-27-2020,3288,1012,22
04-28-2020,3440,1176,23
04-29-2020,3740,1389,24
04-30-2020,4024,1539,26
05-01-2020,4377,1602,30
05-02-2020,4619,1703,33
05-03-2020,4983,1776,38
05-04-2020,5278,1947,40
05-05-2020,5804,2032,40
05-05-2020,5804,2032,40
05-06-2020,6289,2219,42
05-07-2020,6567,2381,44
05-08-2020,7208,2466,47
05-09-2020,7623,2622,49
05-10-2020,8688,2729,58
05-11-2020,9286,2907,65
05-12-2020,10277,3101,75
05-12-2020,10277,3101,75
05-13-2020,11028,3263,82
05-14-2020,11975,3451,88
05-14-2020,11975,3451,88
05-15-2020,12860,3640,96
05-16-2020,13802,3843,107
05-17-2020,14850,4093,112
05-18-2020,15691,4339,118
05-19-2020,16764,4681,121
05-19-2020,16764,4681,121
05-20-2020,17568,4885,124
05-21-2020,18609,5205,129
05-22-2020,19564,5515,138
05-23-2020,20464,5747,148
05-24-2020,21302,6117,156
05-25-2020,21967,6621,165
05-26-2020,22575,7306,172
05-27-2020,23267,7946,175
05-28-2020,24112,8698,185
05-29-2020,25184,9273,194
05-30-2020,26192,10156,205
05-31-2020,27043,11386,212
06-01-2020,27762,12899,220
06-02-2020,28649,14281,226
06-03-2020,29359,15750,230
06-04-2020,29921,17223,236
06-05-2020,30644,18277,244
06-06-2020,31131,19282,254
06-06-2020,31131,19282,254
06-07-2020,31848,20205,264
06-08-2020,32510,21242,269
06-09-2020,33140,22162,273
06-10-2020,33823,23288,275
06-11-2020,34432,24137,279
06-12-2020,34952,25048,285
06-13-2020,35466,25882,289
06-14-2020,35920,26759,296
06-15-2020,36431,27531,298
06-16-2020,36958,28206,303
06-17-2020,37533,28896,306
06-18-2020,38074,29512,308
06-19-2020,38678,30190,313
06-20-2020,39145,30726,319
06-21-2020,39650,31240,326
06-22-2020,40291,31770,330
06-23-2020,41033,32304,334
06-24-2020,41879,32809,337
06-25-2020,42788,33367,339
06-26-2020,43703,33969,341
06-27-2020,44391,34586,344
06-28-2020,44942,35494,348
06-29-2020,45524,36313,350
06-30-2020,46195,37030,354
07-01-2020,46940,37715,358
07-02-2020,47859,38390,359
07-03-2020,48672,39276,360
07-04-2020,49303,39943,365
07-05-2020,49941,40463,368
07-06-2020,50644,41001,373
07-07-2020,51245,41515,377
07-08-2020,52007,42108,379
07-09-2020,52840,42686,382
07-10-2020,53580,43214,383
07-11-2020,54058,43961,386
07-12-2020,54894,44610,390
07-13-2020,55508,45356,393
07-14-2020,56174,46161,396
07-15-2020,56877,46897,399
07-16-2020,57668,47545,402
07-17-2020,58221,48381,404
07-18-2020,58904,49020,407
07-18-2020,58904,49020,407
07-18-2020,58904,49020,407
07-19-2020,59204,49687,408
07-20-2020,59763,50339,408
07-21-2020,60434,50919,412
07-22-2020,61185,51520,417
07-23-2020,61872,52247,421
07-24-2020,62625,52915,425
07-25-2020,63309,53607,429
07-26-2020,63773,54373,433
07-27-2020,64379,55057,438
07-28-2020,65149,55681,442
07-28-2020,65149,55681,442
07-29-2020,65903,56467,444
07-30-2020,66529,57330,445
07-31-2020,66957,57932,447
08-01-2020,67448,58525,453
08-02-2020,67911,59213,457
08-03-2020,68299,59739,461
08-04-2020,68774,60326,465
08-05-2020,69425,60906,468
08-06-2020,70045,61610,469
08-07-2020,70727,62330,471
08-08-2020,71199,62806,474
08-09-2020,71713,63519,478
08-10-2020,72400,64028,482
08-11-2020,73068,64759,486
08-12-2020,73785,65451,489
08-13-2020,74486,66099,489
08-14-2020,75185,66740,494
08-15-2020,75697,67519,498
08-16-2020,76205,68135,501
08-17-2020,76827,68633,502
08-18-2020,77470,69243,505
08-19-2020,78145,69771,507
08-20-2020,78767,70642,509
08-21-2020,79269,71264,511
08-22-2020,79957,71770,513
08-23-2020,80528,72307,515
08-24-2020,80960,72925,518
08-25-2020,81573,73402,519
08-26-2020,82271,73906,521
08-27-2020,82945,74522,522
08-28-2020,83578,75320,525
08-29-2020,84224,75993,528
08-30-2020,84636,76650,530
08-31-2020,85109,77224,531
09-01-2020,85811,77657,534
09-02-2020,86478,78209,535
09-03-2020,87378,78791,536
09-04-2020,88243,79417,537
09-05-2020,88963,79903,540
09-06-2020,89582,80521,544
09-07-2020,90387,81037,546
09-08-2020,91244,81654,548
09-09-2020,92082,82222,552
09-10-2020,92822,83040,556
09-11-2020,93475,83660,557
09-12-2020,94211,84404,558
09-13-2020,94764,84995,560
09-14-2020,95472,85501,563
09-15-2020,96301,86219,568
09-16-2020,96999,87187,571
09-17-2020,97824,87911,575
09-18-2020,98528,88776,580
09-19-2020,99049,89498,581
09-20-2020,99434,90168,584
09-21-2020,99964,90930,585
09-22-2020,100683,91612,588
09-23-2020,101299,92341,590
09-24-2020,101851,92961,592
09-25-2020,102441,93562,595
09-26-2020,103199,94211,597
09-27-2020,103544,94929,601
09-28-2020,103981,95511,605
09-29-2020,104568,96049,607
09-30-2020,105182,96688,610
10-01-2020,105676,97197,612
10-02-2020,106087,97898,615
10-03-2020,106458,98435,620
10-04-2020,107025,99040,624
10-05-2020,107592,99549,628
10-06-2020,108268,100179,632
10-07-2020,108743,100776,639
10-08-2020,109441,101314,642
10-09-2020,110076,102024,649
10-10-2020,110568,102722,655
10-11-2020,111116,103268,658
10-12-2020,111893,103802,664
10-13-2020,112737,104508,672
10-14-2020,113269,105236,676
10-15-2020,114015,105846,684
10-16-2020,114744,106495,690
10-17-2020,115483,107108,694
10-18-2020,116146,107860,701
10-19-2020,116832,108606,710
10-20-2020,117718,109198,714
10-21-2020,118531,109916,721
10-22-2020,119420,110714,730
10-23-2020,120232,111440,740
10-24-2020,120927,112110,744
10-25-2020,121635,112771,746
10-26-2020,122317,113391,749
10-27-2020,123092,114116,756
10-28-2020,123906,114923,763
10-29-2020,124666,115475,767
10-30-2020,125337,116202,773
10-31-2020,125926,116862,779
11-01-2020,126534,117558,782
11-02-2020,127293,118386,786
11-03-2020,128080,119080,789
11-04-2020,128843,119742,794
11-05-2020,129638,120564,799
11-06-2020,130463,121263,804
11-07-2020,131205,121889,808
11-08-2020,131743,122576,811
11-09-2020,132478,123314,816
11-10-2020,133381,124156,821
11-11-2020,134159,124905,826
11-12-2020,134932,125593,830
11-13-2020,135650,126344,833
11-14-2020,136341,126902,835
11-15-2020,136840,127585,838
11-16-2020,137329,128414,842
11-17-2020,137885,129041,848
11-18-2020,138337,129839,857
11-19-2020,138822,130426,859
11-20-2020,139308,131049,861
11-21-2020,139734,131560,863
11-22-2020,140056,132178,866
11-23-2020,140393,132848,868
11-24-2020,140795,133407,870
11-25-2020,141217,134033,871
11-26-2020,141547,134750,872
11-27-2020,141876,135303,874
11-28-2020,142195,135889,875
11-29-2020,142426,136413,878
11-30-2020,142635,137071,880
12-01-2020,142992,137625,881
12-02-2020,143260,138134,882
12-03-2020,143574,138674,884
12-04-2020,143917,139148,886
12-05-2020,144164,139610,889
12-06-2020,144369,140035,891
12-07-2020,144599,140341,897
12-08-2020,144900,140638,900
12-09-2020,145204,140989,905
12-10-2020,145495,141259,910
12-11-2020,145789,141569,910
12-12-2020,146044,141825,911
12-13-2020,146218,142094,911
12-14-2020,146449,142357,912
12-15-2020,146710,142599,913
12-16-2020,146971,142909,913
12-17-2020,147192,143113,913
12-18-2020,147531,143355,916
12-19-2020,147775,143641,918
12-20-2020,147979,143926,921
12-21-2020,148209,144142,922
12-22-2020,148507,144356,923
12-23-2020,148773,144594,924
12-24-2020,149017,144898,926
