







date,confirmed,cured,dead
03-11-2020,10,1,0
03-12-2020,10,1,0
03-13-2020,17,1,0
03-14-2020,26,1,0
03-15-2020,30,1,0
03-16-2020,34,1,0
03-17-2020,49,1,0
03-18-2020,71,1,0
03-19-2020,86,1,0
03-20-2020,111,1,0
03-21-2020,124,1,0
03-22-2020,139,1,0
03-23-2020,180,1,0
03-24-2020,197,1,0
03-25-2020,221,1,0
03-26-2020,244,1,0
03-27-2020,280,1,0
03-28-2020,305,1,0
03-29-2020,347,1,0
03-30-2020,376,1,0
03-31-2020,398,1,0
04-01-2020,446,1,0
04-02-2020,458,31,0
04-03-2020,493,1,1
04-04-2020,509,1,1
04-05-2020,533,1,1
04-06-2020,542,16,1
04-07-2020,548,16,2
04-08-2020,577,16,2
04-09-2020,589,16,3
04-10-2020,612,16,3
04-11-2020,630,16,3
04-12-2020,651,16,5
04-13-2020,655,16,5
04-14-2020,657,16,5
04-15-2020,666,44,5
04-16-2020,675,57,5
04-17-2020,682,88,5
04-18-2020,712,88,5
04-19-2020,727,88,5
04-20-2020,739,88,5
04-21-2020,748,133,9
04-22-2020,761,133,11
04-23-2020,778,133,11
04-24-2020,784,267,12
04-25-2020,804,267,12
04-26-2020,812,267,12
04-27-2020,818,267,13
04-28-2020,836,267,13
04-29-2020,849,348,15
04-30-2020,858,348,15
05-01-2020,870,348,16
05-02-2020,871,348,16
05-03-2020,879,348,16
05-04-2020,896,348,16
05-05-2020,896,348,17
05-05-2020,896,348,17
05-06-2020,900,464,17
05-07-2020,909,464,18
05-08-2020,928,464,18
05-09-2020,930,464,18
05-10-2020,939,464,18
05-11-2020,946,464,18
05-12-2020,950,627,18
05-12-2020,950,627,18
05-13-2020,951,627,19
05-14-2020,962,627,19
05-14-2020,962,627,19
05-15-2020,970,662,19
05-16-2020,997,662,19
05-17-2020,1008,662,19
05-18-2020,1009,662,19
05-19-2020,1012,694,21
05-19-2020,1012,694,21
05-20-2020,1016,694,21
05-21-2020,1025,694,22
05-22-2020,1030,712,22
05-23-2020,1046,712,22
05-24-2020,1047,712,22
05-25-2020,1049,712,22
05-26-2020,1053,741,22
05-27-2020,1057,741,23
05-28-2020,1061,741,24
05-29-2020,1064,745,24
05-30-2020,1065,745,24
05-31-2020,1066,745,24
06-01-2020,1066,745,24
06-02-2020,1071,760,24
06-03-2020,1079,760,24
06-04-2020,1082,760,25
06-05-2020,1085,781,25
06-06-2020,1086,781,25
06-06-2020,1086,781,25
06-07-2020,1088,781,25
06-08-2020,1088,781,26
06-09-2020,1089,794,26
06-10-2020,1092,794,26
06-11-2020,1094,818,26
06-12-2020,1096,818,27
06-13-2020,1097,845,28
06-14-2020,1097,845,28
06-15-2020,1097,845,28
06-16-2020,1098,875,28
06-17-2020,1104,875,30
06-18-2020,1108,903,30
06-19-2020,1110,903,30
06-20-2020,1111,903,30
06-21-2020,1111,903,30
06-22-2020,1111,903,30
06-23-2020,1111,903,30
06-24-2020,1111,903,30
06-25-2020,1111,903,30
06-26-2020,1112,932,30
06-27-2020,1115,932,30
06-28-2020,1116,932,30
06-29-2020,1117,932,30
06-30-2020,1118,974,30
07-01-2020,1121,974,30
07-02-2020,1122,988,30
07-03-2020,1122,997,30
07-04-2020,1123,1000,30
07-05-2020,1124,1000,30
07-06-2020,1127,1000,30
07-07-2020,1134,1008,30
07-08-2020,1141,1008,30
07-09-2020,1154,1019,30
07-10-2020,1165,1019,30
07-11-2020,1173,1019,30
07-12-2020,1173,1019,30
