







date,confirmed,cured,dead
03-11-2020,61,1,3
03-12-2020,61,1,3
03-13-2020,77,1,3
03-14-2020,93,1,3
03-15-2020,110,1,3
03-16-2020,99,1,3
03-17-2020,120,3,3
03-18-2020,133,3,3
03-19-2020,157,4,4
03-20-2020,163,4,4
03-21-2020,187,4,4
03-22-2020,248,8,4
03-23-2020,267,8,4
03-24-2020,318,8,4
03-25-2020,333,20,6
03-26-2020,368,23,6
03-27-2020,391,27,8
03-28-2020,412,30,8
03-29-2020,438,30,10
03-30-2020,446,35,11
03-31-2020,470,37,12
04-01-2020,479,43,14
04-02-2020,494,46,16
04-03-2020,508,50,17
04-04-2020,520,54,17
04-05-2020,527,54,18
04-06-2020,541,60,19
04-07-2020,548,62,19
04-08-2020,576,62,19
04-09-2020,582,67,19
04-10-2020,609,76,20
04-11-2020,619,77,20
04-12-2020,630,80,20
04-13-2020,632,80,20
04-14-2020,641,80,21
04-15-2020,658,85,21
04-16-2020,663,86,21
04-17-2020,668,86,21
04-18-2020,672,99,21
04-19-2020,673,102,21
04-20-2020,677,103,21
04-21-2020,677,108,21
04-22-2020,682,113,22
04-23-2020,688,140,22
04-24-2020,696,140,22
04-25-2020,704,143,24
04-26-2020,707,145,24
04-27-2020,710,145,24
04-28-2020,717,145,24
04-29-2020,721,150,24
04-30-2020,725,150,24
05-01-2020,729,192,24
05-02-2020,733,197,25
05-03-2020,737,200,25
05-04-2020,740,200,25
05-05-2020,741,206,25
05-05-2020,741,206,25
05-06-2020,750,206,25
05-07-2020,784,220,25
05-08-2020,796,223,26
05-09-2020,809,234,26
05-10-2020,845,234,26
05-11-2020,859,234,26
05-12-2020,870,234,26
05-12-2020,870,234,26
05-13-2020,878,236,26
05-14-2020,886,236,26
05-14-2020,886,236,26
05-15-2020,891,246,26
05-16-2020,902,247,26
05-17-2020,911,247,26
05-18-2020,931,251,26
05-19-2020,954,251,26
05-19-2020,954,251,26
05-20-2020,961,251,26
05-21-2020,1024,663,26
05-22-2020,1086,663,26
05-23-2020,1097,667,26
05-24-2020,1114,688,26
05-25-2020,1119,688,26
05-26-2020,1140,689,26
05-27-2020,1161,692,26
05-28-2020,1168,699,26
05-29-2020,1172,705,26
05-30-2020,1191,708,26
05-31-2020,1220,712,27
06-01-2020,1233,715,27
06-02-2020,1242,719,27
06-03-2020,1256,724,27
06-04-2020,1306,731,28
06-05-2020,1312,768,28
06-06-2020,1320,768,29
06-06-2020,1320,768,29
06-07-2020,1331,768,30
06-08-2020,1350,779,30
06-09-2020,1368,795,30
06-10-2020,1388,832,30
06-11-2020,1402,845,31
06-12-2020,1422,853,31
06-13-2020,1442,868,32
06-14-2020,1446,868,32
06-15-2020,1464,875,32
06-16-2020,1473,889,32
06-17-2020,1489,907,32
06-18-2020,1495,944,32
06-19-2020,1510,960,32
06-20-2020,1536,1006,32
06-21-2020,1587,1068,32
06-22-2020,1603,1077,32
06-23-2020,1622,1098,32
06-24-2020,1644,1103,33
06-25-2020,1662,1144,33
06-26-2020,1697,1144,33
06-27-2020,1719,1153,33
06-28-2020,1740,1153,34
06-29-2020,1745,1170,34
06-30-2020,1778,1183,34
07-01-2020,1788,1223,34
07-02-2020,1796,1242,35
07-03-2020,1830,1292,35
07-04-2020,1855,1304,35
07-05-2020,1873,1311,36
07-06-2020,1885,1311,36
07-07-2020,1907,1348,36
07-08-2020,1946,1368,36
07-09-2020,2011,1368,36
07-10-2020,2082,1402,36
07-11-2020,2168,1402,36
07-12-2020,2334,1420,36
07-13-2020,2419,1423,36
07-14-2020,2451,1452,37
07-15-2020,2542,1455,38
07-16-2020,2599,1485,40
07-17-2020,2700,1485,40
07-18-2020,2775,1485,40
07-18-2020,2775,1485,40
07-18-2020,2775,1485,40
07-19-2020,2859,1515,40
07-20-2020,2905,1562,41
07-21-2020,2980,1577,41
07-22-2020,3104,1607,43
07-23-2020,3260,1619,43
07-24-2020,3407,1666,46
07-25-2020,3582,1671,47
07-26-2020,3750,1692,51
07-27-2020,3882,1709,51
07-28-2020,4023,1710,54
07-28-2020,4023,1710,54
07-29-2020,4205,1753,55
07-30-2020,4334,1753,57
07-31-2020,4555,1761,61
08-01-2020,4730,1761,61
08-02-2020,4885,1795,62
08-03-2020,5062,1837,65
08-04-2020,5062,1837,65
08-05-2020,5417,1880,68
08-06-2020,5672,1974,70
08-07-2020,5951,2042,70
08-08-2020,6223,2043,78
08-09-2020,6517,2127,78
08-10-2020,6812,2290,80
08-11-2020,7121,2377,87
08-12-2020,7413,2407,89
08-13-2020,7711,2496,92
08-14-2020,8045,2551,94
08-15-2020,8442,2650,97
08-16-2020,8881,2724,103
08-17-2020,9337,2809,105
08-18-2020,9758,2852,107
08-19-2020,10347,2928,109
08-20-2020,10952,3040,113
08-21-2020,11580,3204,116
08-22-2020,12191,3346,121
08-23-2020,12698,3625,123
08-24-2020,13155,3704,126
08-25-2020,13687,3723,138
08-26-2020,14248,3955,139
08-27-2020,14937,4133,146
08-28-2020,15613,4260,148
08-29-2020,16275,4484,155
08-30-2020,16870,4693,160
08-31-2020,17308,4811,167
09-01-2020,17777,4988,171
09-02-2020,18375,5195,177
09-03-2020,18963,5338,179
09-04-2020,19490,5592,183
09-05-2020,20011,5868,187
09-06-2020,20426,6139,191
09-07-2020,20826,6430,200
09-08-2020,21324,6722,207
09-09-2020,21877,7024,212
09-10-2020,22437,7312,219
09-11-2020,22983,7312,229
09-12-2020,23669,7936,239
09-13-2020,24310,8334,241
09-14-2020,25401,8765,246
09-15-2020,25449,9216,252
09-16-2020,26083,9634,259
09-17-2020,26768,10217,263
09-18-2020,27518,10739,281
09-19-2020,28297,11440,286
09-20-2020,29303,12047,297
09-21-2020,29987,12507,307
09-22-2020,30852,12878,315
09-23-2020,31792,13527,328
09-24-2020,32819,14112,329
09-25-2020,33962,14778,333
09-26-2020,35242,15434,340
09-27-2020,36254,16089,347
09-28-2020,37272,16676,351
09-29-2020,38377,17110,361
09-30-2020,39634,17565,367
10-01-2020,40882,18103,374
10-02-2020,42173,18739,386
10-03-2020,43494,19259,398
10-04-2020,44482,19782,406
10-05-2020,45657,20243,414
10-06-2020,46918,20490,424
10-07-2020,48377,21120,433
10-08-2020,49744,21760,439
10-09-2020,51170,22407,450
10-10-2020,52558,22719,455
10-11-2020,53568,23501,459
10-12-2020,54624,23941,466
10-13-2020,55869,24581,479
10-14-2020,57246,25164,499
10-15-2020,58745,25994,501
10-16-2020,60113,26468,509
