







date,confirmed,cured,dead
03-11-2020,3,0,0
03-12-2020,3,0,0
03-13-2020,6,0,0
03-14-2020,8,0,0
03-15-2020,12,1,0
03-16-2020,17,1,0
03-17-2020,25,1,0
03-18-2020,27,1,0
03-19-2020,36,1,0
03-20-2020,49,1,0
03-21-2020,83,1,1
03-22-2020,129,1,1
03-23-2020,179,1,1
03-24-2020,209,1,2
03-25-2020,274,1,4
03-26-2020,299,1,4
03-27-2020,358,1,5
03-28-2020,394,1,7
03-29-2020,460,1,7
03-30-2020,491,7,7
03-31-2020,537,7,8
04-01-2020,581,7,8
04-02-2020,649,7,9
04-03-2020,696,7,9
04-04-2020,771,7,11
04-05-2020,811,7,13
04-06-2020,843,8,15
04-07-2020,880,8,15
04-08-2020,912,8,15
04-09-2020,955,8,16
04-10-2020,999,54,22
04-11-2020,1026,54,23
04-12-2020,1053,97,23
04-13-2020,1062,101,24
04-14-2020,1070,101,29
04-15-2020,1091,138,30
04-16-2020,1128,178,32
04-17-2020,1149,210,33
04-18-2020,1239,228,33
04-19-2020,1298,242,35
04-20-2020,1326,242,37
04-21-2020,1350,298,38
04-22-2020,1370,357,38
04-23-2020,1398,399,40
04-24-2020,1410,430,40
04-25-2020,1426,460,41
04-26-2020,1438,467,41
04-27-2020,1449,474,41
04-28-2020,1344,536,44
04-29-2020,1375,563,45
04-30-2020,1385,589,45
05-01-2020,1399,594,45
05-02-2020,1406,632,46
05-03-2020,1410,635,46
05-04-2020,1419,638,46
05-05-2020,1423,678,46
05-05-2020,1423,678,46
05-06-2020,1428,718,48
05-07-2020,1433,739,49
05-08-2020,1436,765,49
05-09-2020,1444,828,49
05-10-2020,1479,828,50
05-11-2020,1485,833,50
05-12-2020,1491,850,50
05-12-2020,1491,850,50
05-13-2020,1505,908,54
05-14-2020,1511,934,54
05-14-2020,1511,934,54
05-15-2020,1523,965,54
05-16-2020,1534,988,55
05-17-2020,1541,997,56
05-18-2020,1547,997,59
05-19-2020,1562,1025,60
05-19-2020,1562,1025,60
05-20-2020,1577,1049,60
05-21-2020,1593,1049,61
05-22-2020,1604,1111,61
05-23-2020,1616,1135,63
05-24-2020,1623,1138,63
05-25-2020,1635,1138,63
05-26-2020,1639,1165,65
05-27-2020,1647,1184,66
05-28-2020,1656,1193,68
05-29-2020,1662,1216,68
05-30-2020,1670,1229,70
05-31-2020,1675,1236,70
06-01-2020,1678,1236,70
06-02-2020,1682,1249,71
06-03-2020,1684,1260,71
06-04-2020,1687,1273,71
06-05-2020,1694,1302,71
06-06-2020,1705,1321,71
06-06-2020,1705,1321,71
06-07-2020,1714,1328,71
06-08-2020,1720,1331,71
06-09-2020,1727,1338,72
06-10-2020,1733,1369,74
06-11-2020,1752,1372,74
06-12-2020,1756,1400,74
06-13-2020,1763,1416,75
06-14-2020,1768,1427,75
06-15-2020,1773,1429,76
06-16-2020,1776,1441,76
06-17-2020,1778,1447,76
06-18-2020,1784,1449,76
06-19-2020,1792,1462,76
06-20-2020,1795,1470,76
06-21-2020,1798,1475,76
06-22-2020,1801,1475,76
06-23-2020,1803,1483,77
06-24-2020,1804,1484,78
06-25-2020,1806,1494,78
06-26-2020,1808,1501,78
06-27-2020,1813,1503,78
06-28-2020,1815,1503,78
06-29-2020,1816,1512,78
06-30-2020,1817,1515,78
07-01-2020,1818,1524,78
07-02-2020,1825,1536,78
07-03-2020,1828,1539,79
07-04-2020,1831,1545,79
07-05-2020,1836,1545,79
07-06-2020,1841,1547,79
07-07-2020,1844,1547,79
07-08-2020,1854,1552,79
07-09-2020,1857,1564,79
07-10-2020,1861,1569,79
07-11-2020,1865,1579,79
07-12-2020,1869,1571,79
07-13-2020,1874,1571,79
07-14-2020,1875,1571,79
07-15-2020,1882,1582,79
07-16-2020,1902,1593,79
07-17-2020,1908,1595,79
07-18-2020,1915,1600,80
07-18-2020,1915,1600,80
07-18-2020,1915,1600,80
07-19-2020,1932,1600,80
07-20-2020,1947,1601,80
07-21-2020,1949,1601,80
07-22-2020,1951,1607,80
07-23-2020,1960,1611,80
07-24-2020,1986,1616,80
07-25-2020,2001,1616,80
07-26-2020,2008,1616,80
07-27-2020,2019,1620,80
07-28-2020,2027,1623,80
07-28-2020,2027,1623,80
07-29-2020,2043,1643,80
07-30-2020,2062,1643,80
07-31-2020,2075,1644,80
08-01-2020,2093,1644,80
08-02-2020,2110,1644,80
08-03-2020,2120,1645,80
08-04-2020,2137,1647,80
08-05-2020,2147,1650,81
08-06-2020,2171,1656,81
08-07-2020,2194,1658,81
08-08-2020,2231,1668,81
08-09-2020,2252,1670,81
08-10-2020,2265,1670,81
08-11-2020,2283,1679,81
08-12-2020,2309,1683,81
08-13-2020,2330,1689,81
08-14-2020,2352,1691,81
08-15-2020,2386,1704,81
08-16-2020,2416,1704,81
08-17-2020,2436,1705,81
08-18-2020,2474,1733,81
08-19-2020,2496,1739,81
08-20-2020,2528,1747,82
08-21-2020,2564,1755,83
08-22-2020,2594,1766,84
08-23-2020,2635,1766,84
08-24-2020,2673,1766,85
08-25-2020,2694,1785,85
08-26-2020,2726,1794,85
08-27-2020,2762,1802,85
08-28-2020,2810,1816,86
08-29-2020,2839,1833,86
08-30-2020,2874,1837,86
08-31-2020,2906,1840,86
09-01-2020,2929,1857,86
09-02-2020,2958,1874,86
09-03-2020,2978,1901,86
09-04-2020,3004,1920,86
09-05-2020,3040,1952,86
09-06-2020,3083,1954,86
09-07-2020,3100,1955,86
09-08-2020,3131,1994,86
09-09-2020,3163,2008,86
09-10-2020,3199,2030,86
09-11-2020,3243,2049,86
09-12-2020,3296,2070,86
09-13-2020,3335,2070,87
09-14-2020,3386,2071,87
09-15-2020,3397,2094,87
09-16-2020,3442,2125,87
09-17-2020,3504,2149,87
09-18-2020,3565,2181,87
09-19-2020,3664,2197,87
09-20-2020,3744,2198,87
09-21-2020,3814,2199,87
09-22-2020,3859,2225,87
09-23-2020,3932,2246,87
09-24-2020,4070,2253,89
09-25-2020,4184,2298,89
09-26-2020,4295,2319,89
09-27-2020,4385,2327,91
09-28-2020,4490,2327,92
09-29-2020,4587,2349,92
09-30-2020,4693,2365,92
10-01-2020,4784,2424,92
10-02-2020,4956,2466,93
10-03-2020,5081,2494,94
10-04-2020,5185,2495,94
10-05-2020,5285,2497,94
10-06-2020,5366,2546,99
10-07-2020,5483,2600,101
10-08-2020,5625,2660,102
10-09-2020,5758,2722,103
10-10-2020,5963,2751,103
10-11-2020,6122,2777,103
10-12-2020,6248,2793,103
10-13-2020,6366,2842,106
10-14-2020,6505,2903,109
10-15-2020,6760,2983,110
10-16-2020,7041,3035,112
10-17-2020,7269,3097,113
10-18-2020,7521,3097,113
10-19-2020,7726,3110,113
10-20-2020,7928,3276,118
10-21-2020,8239,3599,120
10-22-2020,8663,3773,125
10-23-2020,9104,3978,126
10-24-2020,9578,4015,129
10-25-2020,10184,4073,134
