







date,confirmed,cured,dead
03-11-2020,7,0,0
03-12-2020,19,0,0
03-13-2020,34,0,0
03-14-2020,51,0,1
03-15-2020,59,0,1
03-16-2020,77,0,1
03-17-2020,140,0,1
03-18-2020,203,0,2
03-19-2020,335,0,4
03-20-2020,484,0,4
03-21-2020,670,0,8
03-22-2020,798,6,8
03-23-2020,875,6,8
03-24-2020,1099,6,8
03-25-2020,1333,6,8
03-26-2020,1453,6,9
03-27-2020,1605,40,15
03-28-2020,1831,40,18
03-29-2020,1950,40,21
03-30-2020,1988,40,22
03-31-2020,2178,80,23
04-01-2020,2319,80,29
04-02-2020,2487,80,30
04-03-2020,2612,500,31
04-04-2020,2729,500,31
04-05-2020,2804,500,36
04-06-2020,2843,500,41
04-07-2020,2970,500,44
04-08-2020,3034,500,46
04-09-2020,3115,500,52
04-10-2020,3223,500,54
04-11-2020,3270,500,62
04-12-2020,3281,500,66
04-13-2020,3292,500,69
04-14-2020,3307,500,67
04-15-2020,3373,526,69
04-16-2020,3444,552,69
04-17-2020,3480,579,72
04-18-2020,3537,601,72
04-19-2020,3550,627,73
04-20-2020,3558,637,75
04-21-2020,3618,670,78
04-22-2020,3654,711,80
04-23-2020,3665,728,83
04-24-2020,3695,3007,85
04-25-2020,3711,3088,85
04-26-2020,3723,3104,88
04-27-2020,3729,3123,88
04-28-2020,3741,3123,89
04-29-2020,3769,3134,89
04-30-2020,3784,3213,90
05-01-2020,3802,3213,92
05-02-2020,3812,3318,92
05-03-2020,3824,3379,96
05-04-2020,3828,3405,96
05-05-2020,3840,3412,96
05-05-2020,3840,3412,96
05-06-2020,3851,3452,98
05-07-2020,3859,3505,100
05-08-2020,3871,3526,100
05-09-2020,3877,3550,101
05-10-2020,3886,3586,101
05-11-2020,3888,3602,101
05-12-2020,3894,3610,102
05-12-2020,3894,3610,102
05-13-2020,3904,3629,103
05-14-2020,3915,3665,103
05-14-2020,3915,3665,103
05-15-2020,3923,3682,104
05-16-2020,3930,3699,104
05-17-2020,3945,3702,107
05-18-2020,3947,3715,107
05-19-2020,3958,3718,109
05-19-2020,3958,3718,109
05-20-2020,3971,3728,109
05-21-2020,3980,3741,109
05-22-2020,3981,3748,109
05-23-2020,3990,3758,109
05-24-2020,3992,3767,110
05-25-2020,3993,3781,110
05-26-2020,3995,3783,110
05-27-2020,4001,3791,110
05-28-2020,4008,3803,110
05-29-2020,4012,3815,110
05-30-2020,4016,3815,110
05-31-2020,4018,3833,110
06-01-2020,4019,3845,110
06-02-2020,4020,3848,110
06-03-2020,4024,3861,110
06-04-2020,4027,3874,110
06-05-2020,4032,3885,110
