







date,confirmed,cured,dead
03-20-2020,3,0,0
03-21-2020,3,0,0
03-22-2020,3,0,0
03-23-2020,12,0,0
03-24-2020,17,0,0
03-25-2020,19,0,0
03-26-2020,23,0,0
03-27-2020,26,0,0
03-28-2020,26,0,0
03-29-2020,39,0,0
03-30-2020,43,0,0
03-31-2020,57,0,0
04-01-2020,57,0,0
04-02-2020,59,0,0
04-03-2020,70,0,0
04-04-2020,70,0,0
04-05-2020,72,2,0
04-06-2020,82,2,0
04-07-2020,88,7,0
04-08-2020,93,11,0
04-09-2020,93,11,0
04-10-2020,93,11,0
04-11-2020,102,11,0
04-12-2020,106,20,0
04-13-2020,106,21,0
04-14-2020,108,23,0
04-15-2020,110,29,0
04-16-2020,111,33,0
04-17-2020,117,33,0
04-18-2020,120,35,0
04-19-2020,121,39,0
04-20-2020,121,41,0
04-21-2020,121,44,0
04-22-2020,121,52,0
04-23-2020,121,58,0
04-24-2020,122,61,0
04-25-2020,123,62,0
04-26-2020,124,71,0
04-27-2020,128,75,0
04-28-2020,128,82,0
04-29-2020,128,90,0
04-30-2020,128,92,0
05-01-2020,132,94,0
05-02-2020,135,97,0
05-03-2020,149,98,0
05-04-2020,149,99,0
05-05-2020,151,101,0
05-05-2020,151,101,0
05-06-2020,158,101,0
05-07-2020,193,101,0
05-08-2020,193,101,0
05-09-2020,193,101,0
05-10-2020,193,101,0
05-11-2020,186,101,0
05-12-2020,186,101,0
05-12-2020,186,101,0
05-13-2020,212,107,0
05-14-2020,230,108,0
05-14-2020,230,108,0
05-15-2020,238,112,0
05-16-2020,283,114,0
05-17-2020,304,114,1
05-18-2020,322,119,1
05-19-2020,326,119,2
05-19-2020,326,119,2
05-20-2020,371,131,2
05-21-2020,405,131,2
05-22-2020,448,135,2
05-23-2020,488,138,2
05-24-2020,527,142,2
05-25-2020,542,147,2
05-26-2020,586,147,2
05-27-2020,612,151,2
05-28-2020,656,154,2
05-29-2020,698,164,5
05-30-2020,758,165,6
05-31-2020,771,168,6
06-01-2020,826,174,6
06-02-2020,845,185,6
06-03-2020,908,195,6
06-04-2020,957,200,7
06-05-2020,975,201,7
06-06-2020,1026,212,8
06-06-2020,1026,212,8
06-07-2020,1052,233,9
06-08-2020,1094,254,9
06-09-2020,1138,274,9
06-10-2020,1162,296,10
06-11-2020,1203,312,10
06-12-2020,1240,344,10
06-13-2020,1252,362,10
06-14-2020,1272,367,10
06-15-2020,1290,384,10
06-16-2020,1317,417,12
06-17-2020,1378,450,12
06-18-2020,1403,463,13
06-19-2020,1443,498,13
06-20-2020,1503,618,13
06-21-2020,1596,655,14
06-22-2020,1640,692,15
06-23-2020,1724,732,15
06-24-2020,1787,779,16
06-25-2020,1829,823,16
06-26-2020,1922,862,16
06-27-2020,2005,907,16
06-28-2020,2078,944,18
06-29-2020,2138,966,20
06-30-2020,2214,994,20
07-01-2020,2303,1006,22
07-02-2020,2403,1040,24
07-03-2020,2512,1057,26
07-04-2020,2728,1078,29
07-05-2020,2941,1108,32
07-06-2020,3250,1135,33
07-07-2020,3472,1187,33
07-08-2020,3573,1761,33
07-09-2020,3782,1950,33
07-10-2020,4143,2183,34
07-11-2020,4578,2287,34
07-12-2020,4867,2378,35
07-13-2020,5080,2494,37
07-14-2020,5343,2646,39
07-15-2020,5605,2811,43
07-16-2020,6089,2951,53
07-17-2020,6467,3108,54
07-18-2020,6849,3339,55
07-18-2020,6849,3339,55
07-18-2020,6849,3339,55
07-19-2020,7049,3498,59
07-20-2020,7153,3788,62
07-21-2020,7548,4286,65
07-22-2020,8162,4662,69
07-23-2020,8381,5160,70
07-24-2020,8741,5522,76
07-25-2020,8866,5579,78
07-26-2020,9295,5579,85
07-27-2020,9690,6260,91
07-28-2020,10104,6613,93
07-28-2020,10104,6613,93
07-29-2020,10317,7117,99
07-30-2020,10748,7461,105
07-31-2020,10868,7807,106
08-01-2020,11273,8109,107
08-02-2020,11528,8444,114
08-03-2020,11660,8825,118
08-04-2020,11895,9286,123
08-05-2020,12222,9798,127
08-06-2020,12526,10148,134
08-07-2020,12708,10412,135
08-08-2020,12922,10604,141
08-09-2020,13086,10816,148
08-10-2020,13202,11011,151
08-11-2020,13317,11276,152
08-12-2020,13397,11529,156
08-13-2020,13522,11780,162
08-14-2020,13643,12011,164
08-15-2020,13724,12232,166
08-16-2020,13827,12424,170
08-17-2020,13886,12603,171
08-18-2020,14009,12767,173
08-19-2020,14074,12921,173
08-20-2020,14154,13038,177
08-21-2020,14218,13206,178
08-22-2020,14277,13332,178
08-23-2020,14327,13355,178
08-24-2020,14402,13436,178
08-25-2020,14475,13492,178
08-26-2020,14554,13582,181
08-27-2020,14592,13686,184
08-28-2020,14696,13709,187
08-29-2020,14791,13753,190
08-30-2020,14843,13802,191
08-31-2020,14863,13832,192
09-01-2020,14957,13915,195
09-02-2020,15023,13965,196
09-03-2020,15106,14031,197
09-04-2020,15187,14075,198
09-05-2020,15269,14113,199
09-06-2020,15319,14139,200
09-07-2020,15352,14184,202
09-08-2020,15435,14219,206
09-09-2020,15520,14243,206
09-10-2020,15624,14295,208
09-11-2020,15669,14320,209
09-12-2020,15737,14349,210
09-13-2020,15757,14368,211
09-14-2020,15769,14411,213
09-15-2020,15803,14452,214
09-16-2020,15871,14482,215
09-17-2020,15925,14547,216
09-18-2020,15971,14587,217
09-19-2020,16020,14630,219
09-20-2020,16053,14646,223
09-21-2020,16073,14682,225
09-22-2020,16136,14743,226
09-23-2020,16167,14788,226
09-24-2020,16191,14833,227
09-25-2020,16221,14867,228
09-26-2020,16257,14922,229
09-27-2020,16285,14922,229
09-28-2020,16348,14947,229
09-29-2020,16377,15139,229
09-30-2020,16408,15301,230
10-01-2020,16454,15430,232
10-02-2020,16493,15467,232
10-03-2020,16529,15480,232
10-04-2020,16558,15486,232
10-05-2020,16570,15601,233
10-06-2020,16600,15698,234
10-07-2020,16633,15808,235
10-08-2020,16654,15910,235
10-09-2020,16676,15975,237
10-10-2020,16702,16012,237
10-11-2020,16718,16042,237
10-12-2020,16726,16081,237
10-13-2020,16754,16124,237
10-14-2020,16754,16124,237
10-15-2020,16754,16124,237
10-16-2020,16754,16124,237
10-17-2020,16810,16215,238
10-18-2020,16810,16215,238
10-19-2020,16810,16215,238
10-20-2020,16810,16215,238
10-21-2020,16810,16215,238
10-22-2020,16810,16215,238
10-23-2020,16810,16215,238
10-24-2020,16968,16301,244
10-25-2020,16968,16301,244
10-26-2020,16968,16301,244
10-27-2020,16968,16301,244
10-28-2020,16968,16301,244
10-29-2020,16968,16301,244
10-30-2020,16968,16301,244
10-31-2020,17111,16409,244
11-01-2020,17111,16409,244
11-02-2020,17111,16409,244
11-03-2020,17111,16409,244
11-04-2020,17111,16409,244
11-05-2020,17111,16409,244
11-06-2020,17111,16409,244
11-07-2020,17111,16409,244
11-08-2020,17223,16516,249
11-09-2020,17223,16516,249
11-10-2020,17223,16516,249
11-11-2020,17223,16516,249
11-12-2020,17223,16516,249
11-13-2020,17223,16516,249
11-14-2020,17223,16516,249
11-15-2020,17310,16592,250
11-16-2020,17310,16592,250
11-17-2020,17310,16592,250
11-18-2020,17310,16592,250
11-19-2020,17310,16592,250
11-20-2020,17310,16592,250
11-21-2020,17310,16592,250
11-22-2020,17341,16657,251
11-23-2020,17341,16657,251
11-24-2020,17341,16657,251
11-25-2020,17341,16657,251
11-26-2020,17341,16657,251
11-27-2020,17341,16657,251
11-28-2020,17341,16657,251
11-29-2020,17341,16657,251
11-30-2020,17341,16657,251
12-01-2020,17341,16657,251
12-02-2020,17341,16657,251
12-03-2020,17513,16657,255
12-04-2020,17513,16657,255
12-05-2020,17513,16927,255
12-06-2020,17513,16927,255
12-07-2020,17513,16927,255
12-08-2020,17473,16927,255
12-09-2020,17473,16927,255
12-10-2020,17473,16927,255
12-11-2020,17473,16927,255
12-12-2020,17587,16992,259
12-13-2020,17587,16992,259
12-14-2020,17587,16992,259
12-15-2020,17587,16992,259
12-16-2020,17587,16992,259
12-17-2020,17587,16992,259
12-18-2020,17587,16992,259
12-19-2020,17587,16992,259
12-20-2020,17633,17147,260
12-21-2020,17633,17147,260
12-22-2020,17633,17147,260
12-23-2020,17633,17147,260
12-24-2020,17633,17147,260
12-25-2020,17633,17147,260
12-26-2020,17633,17147,260
12-27-2020,17714,17228,261
12-28-2020,17714,17228,261
12-29-2020,17714,17228,261
12-30-2020,17714,17228,261
12-31-2020,17714,17228,261
01-01-2021,17714,17228,261
01-02-2021,17767,17298,262
01-03-2021,17767,17298,262
01-04-2021,17767,17298,262
01-05-2021,17767,17298,262
