







date,confirmed,cured,dead
04-02-2020,3,0,0
04-03-2020,3,0,0
04-04-2020,4,0,0
04-05-2020,4,0,0
04-06-2020,5,0,0
04-07-2020,8,0,1
04-08-2020,8,0,1
04-09-2020,8,0,1
04-10-2020,9,0,1
04-11-2020,12,0,2
04-12-2020,13,0,2
04-13-2020,16,0,2
04-14-2020,16,0,2
04-15-2020,16,0,2
04-16-2020,16,0,2
04-17-2020,17,3,2
04-18-2020,17,3,2
04-19-2020,17,3,2
04-20-2020,17,3,2
04-21-2020,18,3,2
04-22-2020,23,3,3
04-23-2020,33,3,3
04-24-2020,33,4,3
04-25-2020,33,4,3
04-26-2020,34,4,3
04-27-2020,36,4,3
04-28-2020,36,5,3
04-29-2020,36,7,3
04-30-2020,37,7,3
05-01-2020,37,9,3
05-02-2020,38,9,3
05-03-2020,39,9,3
05-04-2020,41,9,3
05-05-2020,41,9,3
05-05-2020,41,9,3
05-06-2020,43,9,3
05-07-2020,43,14,3
05-08-2020,43,14,3
05-09-2020,56,14,3
05-10-2020,56,14,3
05-11-2020,57,24,3
05-12-2020,57,24,3
05-12-2020,57,24,3
05-13-2020,63,24,3
05-14-2020,63,24,3
05-14-2020,63,24,3
05-15-2020,63,24,3
05-16-2020,65,24,3
05-17-2020,70,27,3
05-18-2020,70,27,3
05-19-2020,70,27,3
05-19-2020,70,27,3
05-20-2020,71,27,3
05-21-2020,72,27,3
05-22-2020,82,28,3
05-23-2020,82,28,3
05-24-2020,83,33,4
05-25-2020,101,33,4
05-26-2020,101,37,4
05-27-2020,101,37,4
05-28-2020,203,37,4
05-29-2020,273,42,4
05-30-2020,279,42,4
05-31-2020,284,42,4
06-01-2020,336,42,4
06-02-2020,358,42,4
06-03-2020,369,51,4
06-04-2020,393,51,4
06-05-2020,409,55,4
06-06-2020,409,55,4
06-06-2020,409,55,4
06-07-2020,438,55,4
06-08-2020,443,55,4
06-09-2020,455,55,4
06-10-2020,455,55,4
06-11-2020,481,55,4
06-12-2020,481,65,4
06-13-2020,529,66,5
06-14-2020,547,69,6
06-15-2020,555,69,6
06-16-2020,564,73,6
06-17-2020,572,73,6
06-18-2020,592,74,8
06-19-2020,620,91,8
06-20-2020,620,91,8
06-21-2020,730,258,11
06-22-2020,749,258,11
06-23-2020,803,258,11
06-24-2020,941,259,11
06-25-2020,960,260,12
06-26-2020,1005,260,13
06-27-2020,1038,260,13
06-28-2020,1146,260,13
06-29-2020,1152,260,13
06-30-2020,1224,260,14
07-01-2020,1265,260,16
07-02-2020,1342,271,16
07-03-2020,1498,317,16
07-04-2020,1613,317,17
07-05-2020,1613,317,17
07-06-2020,1742,317,19
07-07-2020,1818,317,19
07-08-2020,1864,345,24
07-09-2020,1942,369,25
07-10-2020,2069,379,31
07-11-2020,2261,517,33
07-12-2020,2364,557,38
07-13-2020,2430,747,39
07-14-2020,2497,795,40
07-15-2020,2614,1005,43
07-16-2020,2712,1073,51
07-17-2020,2805,1107,55
07-18-2020,2810,1111,55
07-18-2020,2810,1111,55
07-18-2020,2810,1111,55
07-19-2020,2907,1135,59
07-20-2020,2992,1153,62
07-21-2020,3045,1180,64
07-22-2020,3302,1282,76
07-23-2020,3302,1282,76
07-24-2020,3453,1373,87
07-25-2020,3453,1373,87
07-26-2020,3640,1639,99
07-27-2020,3664,1645,99
07-28-2020,3709,1667,103
07-28-2020,3709,1667,103
07-29-2020,3738,1728,103
07-30-2020,3858,1760,107
07-31-2020,4078,1875,114
08-01-2020,4186,1914,120
08-02-2020,4231,1919,123
08-03-2020,4272,1945,123
08-04-2020,4361,2047,128
08-05-2020,4426,2078,136
08-06-2020,4491,2137,137
08-07-2020,4575,2184,137
08-08-2020,4624,2329,143
08-09-2020,4658,2375,146
08-10-2020,4674,2430,146
08-11-2020,4714,2477,152
08-12-2020,4752,2529,152
08-13-2020,4912,2550,153
08-14-2020,4988,2576,156
08-15-2020,5026,2623,157
08-16-2020,5072,2626,161
08-17-2020,5125,2690,162
08-18-2020,5193,2716,163
08-19-2020,5240,2857,164
08-20-2020,5282,2883,165
08-21-2020,5322,2929,166
08-22-2020,5382,2998,168
08-23-2020,5414,3012,168
08-24-2020,5419,3059,169
08-25-2020,5423,3066,170
08-26-2020,5474,3085,173
08-27-2020,5496,3121,173
08-28-2020,5523,3143,174
08-29-2020,5528,3143,174
08-30-2020,5536,3147,174
08-31-2020,5566,3160,175
09-01-2020,5576,3420,175
09-02-2020,5579,3500,175
09-03-2020,5593,3516,175
09-04-2020,5608,3533,175
09-05-2020,5611,3551,175
09-06-2020,5614,3551,175
09-07-2020,5621,3590,176
09-08-2020,5630,3630,176
09-09-2020,5653,3630,176
09-10-2020,5655,3683,176
09-11-2020,5669,3720,177
09-12-2020,5678,3724,177
09-13-2020,5690,3731,177
09-14-2020,5697,3742,178
09-15-2020,5701,3762,178
09-16-2020,5704,3764,178
09-17-2020,5711,4000,179
09-18-2020,5716,4026,179
09-19-2020,5718,4030,179
09-20-2020,5731,4040,179
09-21-2020,5733,4053,179
09-22-2020,5739,4065,179
09-23-2020,5746,4140,179
09-24-2020,5747,4163,179
09-25-2020,5764,4178,179
09-26-2020,5766,4185,179
09-27-2020,5768,4206,179
09-28-2020,5770,4243,179
09-29-2020,5772,4245,179
09-30-2020,5773,4263,179
10-01-2020,5779,4514,179
10-02-2020,5783,4535,179
10-03-2020,5783,4539,179
10-04-2020,5786,4541,179
10-05-2020,5794,4541,180
10-06-2020,5796,4549,180
10-07-2020,5803,4575,180
10-08-2020,5809,4626,180
10-09-2020,5813,4631,180
10-10-2020,5821,4644,180
