







date,confirmed,cured,dead
03-11-2020,149,26,0
03-12-2020,149,26,0
03-13-2020,197,26,0
03-14-2020,238,35,0
03-15-2020,428,42,0
03-16-2020,566,42,0
03-17-2020,673,49,2
03-18-2020,790,60,2
03-19-2020,900,75,2
03-20-2020,1030,87,3
03-21-2020,1183,114,4
03-22-2020,1306,139,10
03-23-2020,1518,159,14
03-24-2020,1624,183,16
03-25-2020,1796,199,20
03-26-2020,2031,215,23
03-27-2020,2161,259,26
03-28-2020,2320,320,27
03-29-2020,2470,388,35
03-30-2020,2626,479,37
03-31-2020,2766,537,43
04-01-2020,2908,645,45
04-02-2020,3116,767,50
04-03-2020,3333,827,53
04-04-2020,3483,915,57
04-05-2020,3662,1005,61
04-06-2020,3793,1241,62
04-07-2020,3963,1321,63
04-08-2020,4119,1487,65
04-09-2020,4228,1608,67
04-10-2020,4346,1830,70
04-11-2020,4530,1995,73
04-12-2020,4683,2108,76
04-13-2020,4817,2276,77
04-14-2020,4987,2478,82
04-15-2020,5072,2647,83
04-16-2020,5182,2766,84
04-17-2020,5251,2967,86
04-18-2020,5305,3102,88
04-19-2020,5389,3197,89
04-20-2020,5425,3295,89
04-21-2020,5482,3349,92
04-22-2020,5532,3452,93
04-23-2020,5603,3542,95
04-24-2020,5691,3663,96
04-25-2020,5742,3762,98
04-26-2020,5780,3862,98
04-27-2020,5820,3957,99
04-28-2020,5851,4032,100
04-29-2020,5945,4087,100
04-30-2020,6002,4171,102
05-01-2020,6071,4210,103
05-02-2020,6176,4326,103
05-03-2020,6298,4413,105
05-04-2020,6353,4484,105
05-05-2020,6383,4567,106
05-05-2020,6383,4567,106
05-06-2020,6428,4702,107
05-07-2020,6467,4776,107
05-08-2020,6535,4864,107
05-09-2020,6589,4929,108
05-10-2020,6656,5025,108
05-11-2020,6726,5113,109
05-12-2020,6742,5223,109
05-12-2020,6742,5223,109
05-13-2020,6779,5281,111
05-14-2020,6819,5351,112
05-14-2020,6819,5351,112
05-15-2020,6855,5439,112
05-16-2020,6872,5512,113
05-17-2020,6894,5571,113
05-18-2020,6941,5615,113
05-19-2020,6978,5646,114
05-19-2020,6978,5646,114
05-20-2020,7009,5706,114
05-21-2020,7059,5796,114
05-22-2020,7137,5859,115
05-23-2020,7185,5912,115
05-24-2020,7245,5945,115
05-25-2020,7417,5979,115
05-26-2020,7604,6041,115
05-27-2020,7619,6083,115
05-28-2020,7629,6169,115
05-29-2020,7732,6235,115
05-30-2020,7762,6330,115
05-31-2020,7819,6353,115
06-01-2020,7857,6404,115
06-02-2020,7877,6470,115
06-03-2020,7970,6531,115
06-04-2020,8247,6559,115
06-05-2020,8266,6610,116
06-06-2020,8303,6635,117
06-06-2020,8303,6635,117
06-07-2020,8322,6674,117
06-08-2020,8329,6694,117
06-09-2020,8336,6975,117
06-10-2020,8338,7014,118
06-11-2020,8369,7065,118
06-12-2020,8402,7168,119
06-13-2020,8445,7311,120
06-14-2020,8453,7346,121
06-15-2020,8494,7400,121
06-16-2020,8505,7733,121
06-17-2020,8515,7873,121
06-18-2020,8529,8000,121
06-19-2020,8535,8070,121
06-20-2020,8556,8146,121
06-21-2020,8572,8156,121
06-22-2020,8587,8177,121
06-23-2020,8590,8186,121
06-24-2020,8596,8231,121
06-25-2020,8600,8271,121
06-26-2020,8606,8294,121
06-27-2020,8616,8308,121
06-28-2020,8634,8318,121
06-29-2020,8637,8334,121
06-30-2020,8639,8354,121
07-01-2020,8640,8375,121
07-02-2020,8643,8437,121
