







date,confirmed,cured,dead
03-11-2020,8,0,0
03-12-2020,8,0,0
03-13-2020,9,0,0
03-14-2020,10,0,0
03-15-2020,13,0,0
03-16-2020,13,0,0
03-17-2020,13,0,0
03-18-2020,13,0,0
03-19-2020,13,0,0
03-20-2020,13,0,0
03-21-2020,13,0,0
03-22-2020,13,3,0
03-23-2020,13,5,0
03-24-2020,13,5,0
03-25-2020,13,8,0
03-26-2020,13,8,0
03-27-2020,16,9,0
03-28-2020,16,9,0
03-29-2020,17,13,0
03-30-2020,17,13,0
03-31-2020,18,13,0
04-01-2020,19,13,0
04-02-2020,19,13,0
04-03-2020,19,13,0
04-04-2020,19,13,0
04-05-2020,19,13,0
04-06-2020,19,13,0
04-07-2020,19,13,0
04-08-2020,19,13,0
04-09-2020,19,13,0
04-10-2020,19,13,0
04-11-2020,19,13,0
04-12-2020,20,14,0
04-13-2020,20,14,0
04-14-2020,20,16,0
04-15-2020,22,16,0
04-16-2020,25,16,0
04-17-2020,28,16,0
04-18-2020,35,16,0
04-19-2020,52,16,0
04-20-2020,69,16,0
04-21-2020,83,16,0
04-22-2020,86,16,0
04-23-2020,108,16,0
04-24-2020,129,16,0
04-25-2020,177,17,0
04-26-2020,214,17,0
04-27-2020,226,17,0
04-28-2020,250,17,0
04-29-2020,278,17,1
04-30-2020,468,17,1
05-01-2020,491,17,1
05-02-2020,519,18,1
05-03-2020,527,18,1
05-04-2020,541,18,1
05-05-2020,573,20,2
05-05-2020,573,20,2
05-06-2020,617,20,2
05-07-2020,648,20,3
05-08-2020,744,20,3
05-09-2020,790,29,3
05-10-2020,835,29,3
05-11-2020,897,29,3
05-12-2020,904,29,3
05-12-2020,904,29,3
05-13-2020,955,40,4
05-14-2020,982,45,4
05-14-2020,982,45,4
05-15-2020,1031,49,4
05-16-2020,1078,58,4
05-17-2020,1094,58,4
05-18-2020,1106,58,4
05-19-2020,1143,91,4
05-19-2020,1143,91,4
05-20-2020,1186,91,4
05-21-2020,1216,91,4
05-22-2020,1274,109,4
05-23-2020,1313,128,4
05-24-2020,1371,144,4
05-25-2020,1395,155,4
05-26-2020,1438,197,5
05-27-2020,1457,197,5
05-28-2020,1513,197,5
05-29-2020,1591,197,5
05-30-2020,1672,406,5
05-31-2020,1773,453,5
06-01-2020,1829,488,6
06-02-2020,1841,608,7
06-03-2020,1850,644,7
06-04-2020,1872,648,7
06-05-2020,1883,717,7
06-06-2020,1901,763,8
06-06-2020,1901,763,8
06-07-2020,1903,827,8
06-08-2020,1916,925,8
06-09-2020,1942,1010,8
06-10-2020,1962,1121,8
06-11-2020,1976,1153,8
06-12-2020,2003,1193,8
06-13-2020,2013,1217,8
06-14-2020,2035,1311,8
06-15-2020,2065,1540,8
06-16-2020,2094,1670,8
06-17-2020,2120,1677,8
06-18-2020,2137,1677,8
06-19-2020,2150,1769,8
06-20-2020,2187,1788,8
06-21-2020,2203,1803,8
06-22-2020,2217,1813,8
06-23-2020,2238,1813,8
06-24-2020,2261,1839,8
06-25-2020,2277,1848,8
06-26-2020,2283,1863,8
06-27-2020,2305,1875,8
06-28-2020,2324,1911,8
06-29-2020,2337,1927,8
06-30-2020,2361,1944,9
07-01-2020,2382,1954,9
07-02-2020,2400,1969,10
07-03-2020,2410,1976,10
07-04-2020,2435,1976,10
07-05-2020,2468,2049,11
07-06-2020,2491,2113,12
07-07-2020,2501,2158,12
07-08-2020,2517,2180,13
07-09-2020,2553,2227,13
07-10-2020,2617,2238,13
07-11-2020,2664,2268,13
07-12-2020,2731,2284,13
07-13-2020,2762,2290,13
07-14-2020,2801,2302,14
07-15-2020,2831,2321,14
07-16-2020,2899,2339,15
07-17-2020,2913,2340,15
07-18-2020,2930,2354,15
07-18-2020,2930,2354,15
