







date,confirmed,cured,dead
03-25-2020,2,0,0
03-26-2020,4,0,0
03-27-2020,11,0,0
03-28-2020,18,0,0
03-29-2020,18,0,1
03-30-2020,25,0,2
03-31-2020,28,0,2
04-01-2020,31,0,3
04-02-2020,36,0,3
04-03-2020,39,0,3
04-04-2020,41,1,3
04-05-2020,45,1,5
04-06-2020,47,9,5
04-07-2020,56,12,5
04-08-2020,59,16,7
04-09-2020,74,22,7
04-10-2020,87,22,7
04-11-2020,87,22,7
04-12-2020,105,22,9
04-13-2020,123,26,10
04-14-2020,144,34,13
04-15-2020,148,34,13
04-16-2020,171,34,13
04-17-2020,171,34,13
04-18-2020,216,41,13
04-19-2020,224,42,14
04-20-2020,246,56,14
04-21-2020,258,57,14
04-22-2020,293,73,17
04-23-2020,309,77,21
04-24-2020,325,87,21
04-25-2020,370,91,21
04-26-2020,389,112,23
04-27-2020,408,113,23
04-28-2020,424,122,24
04-29-2020,482,129,25
04-30-2020,490,135,26
05-01-2020,508,196,26
05-02-2020,544,206,26
05-03-2020,563,213,27
05-04-2020,580,223,29
05-05-2020,612,228,32
05-05-2020,612,228,32
05-06-2020,631,261,32
05-07-2020,650,271,32
05-08-2020,668,285,35
05-09-2020,692,298,37
05-10-2020,704,351,38
05-11-2020,712,377,39
05-12-2020,730,398,40
05-12-2020,730,398,40
05-13-2020,758,412,44
05-14-2020,779,436,46
05-14-2020,779,436,46
05-15-2020,806,455,46
05-16-2020,835,479,48
05-17-2020,860,494,52
05-18-2020,874,512,52
05-19-2020,901,529,53
05-19-2020,901,529,53
05-20-2020,931,543,55
05-21-2020,947,558,60
05-22-2020,969,560,62
05-23-2020,1015,574,63
05-24-2020,1030,597,65
05-25-2020,1059,604,67
05-26-2020,1077,617,70
05-27-2020,1116,632,70
05-28-2020,1194,652,72
05-29-2020,1226,669,73
05-30-2020,1250,696,76
05-31-2020,1265,716,77
06-01-2020,1315,744,78
06-02-2020,1351,769,78
06-03-2020,1386,788,79
06-04-2020,1461,806,85
06-05-2020,1485,816,87
06-06-2020,1523,845,90
06-06-2020,1523,845,90
06-07-2020,1533,873,90
06-08-2020,1547,916,92
06-09-2020,1586,931,94
06-10-2020,1667,948,96
06-11-2020,1722,989,97
06-12-2020,1752,1023,101
06-13-2020,1776,1058,104
06-14-2020,1809,1088,104
06-15-2020,1860,1125,104
06-16-2020,1885,1145,104
06-17-2020,1890,1168,107
06-18-2020,1906,1192,107
06-19-2020,1923,1217,108
06-20-2020,1933,1255,109
06-21-2020,1933,1255,109
06-22-2020,1961,1266,111
06-23-2020,1978,1302,111
06-24-2020,2005,1354,112
06-25-2020,2039,1383,113
06-26-2020,2060,1387,113
06-27-2020,2118,1398,113
06-28-2020,2147,1432,114
06-29-2020,2173,1447,115
06-30-2020,2181,1474,116
07-01-2020,2202,1483,116
07-02-2020,2260,1502,117
07-03-2020,2285,1507,117
07-04-2020,2303,1516,118
07-05-2020,2330,1527,119
07-06-2020,2331,1547,119
07-07-2020,2348,1556,119
07-08-2020,2358,1597,120
07-09-2020,2370,1621,120
07-10-2020,2404,1650,121
07-11-2020,2406,1683,121
07-12-2020,2411,1694,121
07-13-2020,2412,1730,121
07-14-2020,2423,1748,121
07-15-2020,2433,1764,121
07-16-2020,2440,1777,121
07-17-2020,2467,1791,121
07-18-2020,2472,1809,121
07-18-2020,2472,1809,121
07-18-2020,2472,1809,121
07-19-2020,2475,1828,121
07-20-2020,2475,1851,121
07-21-2020,2477,1856,122
07-22-2020,2494,1869,123
07-23-2020,2494,1889,123
07-24-2020,2503,1901,123
07-25-2020,2503,1907,123
07-26-2020,2510,1911,123
07-27-2020,2513,1913,124
07-28-2020,2520,1919,124
07-28-2020,2520,1919,124
07-29-2020,2521,1927,124
07-30-2020,2522,1931,124
07-31-2020,2535,1937,124
08-01-2020,2535,1937,124
08-02-2020,2541,1943,124
08-03-2020,2543,1943,124
08-04-2020,2543,1946,124
08-05-2020,2546,1950,124
08-06-2020,2552,1954,124
08-07-2020,2561,1956,125
08-08-2020,2565,1960,125
08-09-2020,2567,1962,125
08-10-2020,2573,1969,125
08-11-2020,2577,1973,125
08-12-2020,2582,1977,125
08-13-2020,2597,1979,125
08-14-2020,2597,1979,125
08-15-2020,2614,1986,125
08-16-2020,2640,1987,125
08-17-2020,2640,1987,125
08-18-2020,2666,1990,125
08-19-2020,2667,1993,125
08-20-2020,2667,1993,125
08-21-2020,2688,2007,125
08-22-2020,2699,2010,125
08-23-2020,2705,2018,125
08-24-2020,2708,2025,125
08-25-2020,2713,2041,125
08-26-2020,2717,2052,126
08-27-2020,2730,2054,126
08-28-2020,2736,2055,126
08-29-2020,2757,2121,126
08-30-2020,2773,2169,126
08-31-2020,2776,2169,126
09-01-2020,2777,2178,126
09-02-2020,2802,2185,126
09-03-2020,2807,2203,126
09-04-2020,2814,2220,126
09-05-2020,2833,2233,126
09-06-2020,2842,2238,127
09-07-2020,2870,2246,127
09-08-2020,2882,2258,127
09-09-2020,2898,2267,128
09-10-2020,2909,2269,128
09-11-2020,2912,2271,128
09-12-2020,2916,2276,128
09-13-2020,2924,2285,128
09-14-2020,2935,2289,128
09-15-2020,2940,2302,128
09-16-2020,2966,2311,128
09-17-2020,2966,2311,128
09-18-2020,2991,2332,128
09-19-2020,3006,2349,128
09-20-2020,3013,2372,128
09-21-2020,3024,2377,128
09-22-2020,3030,2380,129
09-23-2020,3034,2382,130
09-24-2020,3041,2391,130
09-25-2020,3064,2402,130
09-26-2020,3080,2410,130
09-27-2020,3086,2420,130
09-28-2020,3090,2439,130
09-29-2020,3101,2443,131
09-30-2020,3118,2453,131
10-01-2020,3131,2460,131
10-02-2020,3156,2467,131
10-03-2020,3170,2476,131
10-04-2020,3184,2479,131
10-05-2020,3189,2482,131
10-06-2020,3195,2494,131
10-07-2020,3210,2502,131
10-08-2020,3235,2506,131
10-09-2020,3248,2514,131
10-10-2020,3273,2525,132
10-11-2020,3286,2527,132
10-12-2020,3296,2533,132
10-13-2020,3297,2544,132
10-14-2020,3352,2550,132
10-15-2020,3368,2559,132
10-16-2020,3378,2563,132
10-17-2020,3379,2570,132
10-18-2020,3388,2586,132
10-19-2020,3407,2588,132
10-20-2020,3411,2593,132
10-21-2020,3428,2599,132
10-22-2020,3440,2608,132
10-23-2020,3444,2620,132
10-24-2020,3472,2636,132
10-25-2020,3490,2661,132
10-26-2020,3499,2664,133
10-27-2020,3515,2665,136
10-28-2020,3530,2667,136
10-29-2020,3537,2686,136
10-30-2020,3545,2746,136
10-31-2020,3554,2753,136
11-01-2020,3565,2758,136
11-02-2020,3573,2769,136
11-03-2020,3584,2775,136
11-04-2020,3609,2791,137
11-05-2020,3633,2807,137
11-06-2020,3657,2817,137
11-07-2020,3676,2822,137
11-08-2020,3706,2828,137
11-09-2020,3712,2832,137
11-10-2020,3745,2905,137
11-11-2020,3753,2909,138
11-12-2020,3792,2923,138
11-13-2020,3806,2926,139
11-14-2020,3868,2937,139
11-15-2020,3900,2949,141
11-16-2020,3948,2965,141
11-17-2020,3980,2972,141
11-18-2020,4033,2983,141
11-19-2020,4093,2997,142
11-20-2020,4169,3003,143
11-21-2020,4206,3012,143
11-22-2020,4255,3024,145
11-23-2020,4326,3044,146
11-24-2020,4417,3054,148
11-25-2020,4461,3060,148
11-26-2020,4505,3076,148
11-27-2020,4567,3091,149
11-28-2020,4659,3138,149
11-29-2020,4688,3178,152
11-30-2020,4710,3206,156
12-01-2020,4762,3241,160
12-02-2020,4837,3263,161
12-03-2020,4880,3281,162
12-04-2020,4938,3307,163
12-05-2020,5062,3334,163
12-06-2020,5135,3369,164
12-07-2020,5290,3377,175
12-08-2020,5442,3416,180
12-09-2020,5469,3454,181
12-10-2020,5576,3502,184
12-11-2020,5649,3537,185
12-12-2020,5721,3566,189
12-13-2020,5814,3591,194
12-14-2020,5836,3630,201
12-15-2020,5878,3697,205
12-16-2020,5969,3702,209
12-17-2020,6049,3718,211
12-18-2020,6120,3771,215
12-19-2020,6164,3794,220
12-20-2020,6191,3839,222
12-21-2020,6232,3858,225
12-22-2020,6291,3884,225
12-23-2020,6347,3927,229
12-24-2020,6441,3968,235
12-25-2020,6488,4026,245
12-26-2020,6574,4204,249
