







date,confirmed,cured,dead
03-11-2020,6,0,0
03-12-2020,6,0,0
03-13-2020,12,1,0
03-14-2020,18,1,0
03-15-2020,21,1,0
03-16-2020,30,2,0
03-17-2020,38,2,0
03-18-2020,38,2,0
03-19-2020,53,2,0
03-20-2020,64,2,0
03-21-2020,73,2,0
03-22-2020,90,2,0
03-23-2020,107,2,0
03-24-2020,110,2,0
03-25-2020,129,2,0
03-26-2020,134,2,0
03-27-2020,139,2,0
03-28-2020,149,2,0
03-29-2020,151,2,0
03-30-2020,156,2,0
03-31-2020,169,2,0
04-01-2020,188,2,0
04-02-2020,196,2,0
04-03-2020,202,2,0
04-04-2020,213,2,0
04-05-2020,227,5,0
04-06-2020,241,5,0
04-07-2020,293,5,0
04-08-2020,299,16,1
04-09-2020,337,16,2
04-10-2020,350,16,2
04-11-2020,370,16,3
04-12-2020,378,44,3
04-13-2020,384,44,3
04-14-2020,393,44,3
04-15-2020,399,44,3
04-16-2020,412,82,3
04-17-2020,422,91,3
04-18-2020,426,99,3
04-19-2020,427,118,3
04-20-2020,431,126,3
04-21-2020,443,150,3
04-22-2020,444,165,3
04-23-2020,445,204,3
04-24-2020,447,223,3
04-25-2020,448,249,4
04-26-2020,448,282,4
04-27-2020,450,286,4
04-28-2020,458,303,4
04-29-2020,463,339,4
04-30-2020,465,351,4
05-01-2020,467,383,4
05-02-2020,468,379,4
05-03-2020,477,392,4
05-04-2020,480,399,4
05-05-2020,482,403,5
05-05-2020,482,403,5
05-06-2020,484,407,5
05-07-2020,486,413,5
05-08-2020,489,419,5
05-09-2020,490,427,5
05-10-2020,496,433,5
05-11-2020,503,434,5
05-12-2020,506,434,5
05-12-2020,506,434,5
05-13-2020,508,436,6
05-14-2020,522,443,6
05-14-2020,522,443,6
05-15-2020,532,458,6
05-16-2020,546,450,6
05-17-2020,553,454,6
05-18-2020,558,456,6
05-19-2020,569,460,6
05-19-2020,569,460,6
05-20-2020,584,465,6
05-21-2020,599,468,6
05-22-2020,600,469,6
05-23-2020,609,473,6
05-24-2020,610,476,6
05-25-2020,611,485,6
05-26-2020,611,485,6
05-27-2020,612,491,7
05-28-2020,616,501,7
05-29-2020,616,514,9
05-30-2020,618,525,9
05-31-2020,618,534,9
06-01-2020,619,537,9
06-02-2020,620,554,9
06-03-2020,622,562,9
06-04-2020,622,576,9
06-05-2020,625,583,9
06-06-2020,627,596,9
06-06-2020,627,596,9
06-07-2020,629,596,9
06-08-2020,630,596,9
06-09-2020,632,597,9
06-10-2020,635,597,9
06-11-2020,640,600,9
06-12-2020,645,600,9
06-13-2020,646,601,9
06-14-2020,649,603,9
06-15-2020,650,603,9
06-16-2020,656,608,9
06-17-2020,662,610,9
06-18-2020,663,610,9
06-19-2020,663,613,9
06-20-2020,664,616,9
06-21-2020,665,616,9
06-22-2020,665,617,9
06-23-2020,665,618,9
06-24-2020,665,624,9
06-25-2020,668,627,9
06-26-2020,670,632,9
06-27-2020,670,635,9
06-28-2020,670,636,9
06-29-2020,670,639,9
06-30-2020,670,640,9
07-01-2020,671,647,9
07-02-2020,671,649,9
07-03-2020,672,650,9
07-04-2020,672,651,9
07-05-2020,672,652,9
07-06-2020,672,652,9
07-07-2020,673,653,9
07-08-2020,673,654,9
07-09-2020,674,656,9
07-10-2020,674,658,9
07-11-2020,674,658,9
07-12-2020,674,660,9
07-13-2020,674,660,9
07-14-2020,674,660,9
07-15-2020,674,661,9
07-16-2020,674,661,9
07-17-2020,674,662,9
07-18-2020,675,662,9
07-18-2020,675,662,9
07-18-2020,675,662,9
07-19-2020,677,662,9
07-20-2020,677,664,9
07-21-2020,677,664,9
07-22-2020,679,665,9
07-23-2020,680,665,9
07-24-2020,686,665,9
07-25-2020,686,665,9
07-26-2020,700,665,9
07-27-2020,701,665,9
07-28-2020,708,665,9
07-28-2020,708,665,9
07-29-2020,720,665,9
07-30-2020,814,665,9
07-31-2020,824,665,9
08-01-2020,845,665,9
08-02-2020,860,666,9
08-03-2020,874,666,9
08-04-2020,890,666,9
08-05-2020,926,668,9
08-06-2020,946,670,9
08-07-2020,995,675,9
08-08-2020,1035,675,9
08-09-2020,1089,684,9
08-10-2020,1112,688,9
08-11-2020,1141,692,9
08-12-2020,1190,695,9
08-13-2020,1245,708,9
08-14-2020,1276,762,9
08-15-2020,1348,782,9
08-16-2020,1306,749,9
08-17-2020,1375,759,9
08-18-2020,1423,766,9
08-19-2020,1470,784,9
08-20-2020,1510,802,9
08-21-2020,1546,854,10
08-22-2020,1577,901,10
08-23-2020,1612,934,10
08-24-2020,1667,977,10
08-25-2020,1705,1029,10
08-26-2020,1751,1077,10
08-27-2020,1788,1121,10
08-28-2020,1820,1186,10
08-29-2020,1847,1244,10
08-30-2020,1862,1313,12
08-31-2020,1883,1400,12
09-01-2020,1909,1453,12
09-02-2020,1931,1490,13
09-03-2020,1965,1528,13
09-04-2020,1984,1565,13
09-05-2020,2014,1601,14
09-06-2020,2039,1627,14
09-07-2020,2076,1690,14
09-08-2020,2099,1729,14
09-09-2020,2162,1760,14
09-10-2020,2204,1803,14
09-11-2020,2247,1833,15
09-12-2020,2274,1850,15
09-13-2020,2352,1872,15
09-14-2020,2405,1890,16
09-15-2020,2454,1931,16
09-16-2020,2560,1953,16
09-17-2020,2595,1978,16
09-18-2020,2634,1996,17
09-19-2020,2699,2017,19
09-20-2020,2731,2047,20
09-21-2020,2776,2079,23
09-22-2020,2814,2113,23
09-23-2020,2856,2173,25
09-24-2020,2898,2191,27
09-25-2020,2929,2261,29
09-26-2020,2958,2304,31
09-27-2020,2979,2358,31
09-28-2020,3006,2399,32
09-29-2020,3035,2484,34
09-30-2020,3058,2562,35
10-01-2020,3095,2605,35
10-02-2020,3139,2668,37
10-03-2020,3204,2711,38
10-04-2020,3270,2758,39
10-05-2020,3327,2770,39
10-06-2020,3374,2812,40
10-07-2020,3442,2865,41
10-08-2020,3506,2884,41
10-09-2020,3581,2915,41
10-10-2020,3681,2937,41
10-11-2020,3776,2967,41
10-12-2020,3844,2981,43
10-13-2020,3937,3012,44
10-14-2020,4048,3064,44
10-15-2020,4160,3106,45
10-16-2020,4282,3142,45
10-17-2020,4486,3184,45
10-18-2020,4628,3236,45
10-19-2020,4737,3242,45
10-20-2020,4871,3282,46
10-21-2020,5026,3331,46
10-22-2020,5137,3384,49
10-23-2020,5258,3439,49
10-24-2020,5373,3478,50
10-25-2020,5498,3567,51
10-26-2020,5578,3630,53
10-27-2020,5685,3715,55
10-28-2020,5760,3789,56
10-29-2020,5866,3880,59
10-30-2020,5942,3990,61
10-31-2020,6042,4155,62
11-01-2020,6182,4286,64
11-02-2020,6400,4397,66
11-03-2020,6506,4505,64
11-04-2020,6590,4672,65
11-05-2020,6764,4765,70
11-06-2020,6893,4832,73
11-07-2020,7039,5000,74
11-08-2020,7141,5103,76
11-09-2020,7243,5185,78
11-10-2020,7396,5274,81
11-11-2020,7537,5371,88
11-12-2020,7646,5479,88
11-13-2020,7796,5580,92
11-14-2020,7917,5702,95
11-15-2020,8034,5765,97
11-16-2020,8137,5888,98
11-17-2020,8247,6049,101
11-18-2020,8420,6184,103
11-19-2020,8560,6301,104
11-20-2020,8681,6406,108
11-21-2020,8822,6565,111
11-22-2020,8924,6654,111
11-23-2020,9004,6831,113
11-24-2020,9137,6938,117
11-25-2020,9253,7062,122
11-26-2020,9405,7165,125
11-27-2020,9501,7297,128
11-28-2020,9609,7418,132
11-29-2020,9752,7557,133
11-30-2020,9873,7665,137
12-01-2020,9975,7748,141
12-02-2020,10101,7887,146
12-03-2020,10197,8015,148
12-04-2020,10320,8120,149
12-05-2020,10423,8289,149
12-06-2020,10520,8396,151
12-07-2020,10659,8497,155
12-08-2020,10699,8641,157
12-09-2020,10778,8720,160
12-10-2020,10884,8848,164
12-11-2020,10980,8935,166
12-12-2020,11101,9079,166
12-13-2020,11153,9169,169
12-14-2020,11254,9319,174
12-15-2020,11303,9420,177
12-16-2020,11415,9516,180
12-17-2020,11475,9670,182
12-18-2020,11569,9780,183
12-19-2020,11621,9881,187
12-20-2020,11714,9978,190
12-21-2020,11802,10115,194
12-22-2020,11910,10161,196
12-23-2020,11992,10293,201
12-24-2020,12062,10423,203
12-25-2020,12112,10547,203
12-26-2020,12241,10550,206
12-27-2020,12325,10668,210
12-28-2020,12426,10791,215
12-29-2020,12541,10919,215
12-30-2020,12665,11057,216
12-31-2020,12774,11121,219
01-01-2021,12909,11178,219
01-02-2021,12997,11211,220
01-03-2021,13082,11275,220
01-04-2021,13230,11386,222
01-05-2021,13388,11460,226
01-06-2021,13612,11540,227
01-07-2021,13776,11613,228
01-08-2021,13967,11690,230
01-09-2021,14212,11759,232
01-10-2021,14396,11841,233
01-11-2021,14529,11936,233
01-12-2021,14769,12016,234
01-13-2021,14958,12123,234
01-14-2021,15079,12250,235
01-15-2021,15272,12393,236
01-16-2021,15447,12460,238
01-17-2021,15588,12596,239
01-18-2021,15742,12717,241
01-19-2021,15942,12865,242
01-20-2021,16129,13054,244
01-21-2021,16280,13234,245
01-22-2021,16423,13435,248
01-23-2021,16542,13646,250
01-24-2021,16658,13801,251
01-25-2021,16861,13976,253
01-26-2021,16999,14104,255
01-27-2021,17192,14252,258
01-28-2021,17400,14452,261
01-29-2021,17585,14626,264
01-30-2021,17721,14775,265
01-31-2021,17903,14960,267
02-01-2021,18027,15101,269
02-02-2021,18168,15233,270
02-03-2021,18306,15423,273
02-04-2021,18385,15567,273
02-05-2021,18442,15701,277
02-06-2021,18576,15896,279
02-07-2021,18676,16053,282
02-08-2021,18813,16179,282
02-09-2021,19015,16325,284
02-10-2021,19182,16490,286
02-11-2021,19333,16646,286
02-12-2021,19497,16811,288
02-13-2021,19651,17017,290
02-14-2021,19789,17126,293
02-15-2021,19945,17310,295
02-16-2021,20047,17434,297
02-17-2021,20246,17523,298
02-18-2021,20409,17679,301
02-19-2021,20563,17827,301
02-20-2021,20762,17933,303
02-21-2021,20892,18067,304
02-22-2021,21085,18309,305
02-23-2021,21306,18500,306
02-24-2021,21532,18720,308
02-25-2021,21724,18905,311
02-26-2021,21982,19087,313
02-27-2021,22219,19255,313
02-28-2021,22482,19447,315
03-01-2021,22657,19663,316
03-02-2021,22993,19743,319
03-03-2021,23226,19905,321
03-04-2021,23588,20135,325
03-05-2021,23871,20291,328
03-06-2021,24216,20484,329
03-07-2021,24398,20742,334
03-08-2021,24599,21087,334
03-09-2021,24847,21477,335
03-10-2021,25357,21838,337
03-11-2021,25640,22176,341
03-12-2021,25969,22435,346
03-13-2021,26267,22773,350
03-14-2021,26535,23060,351
03-15-2021,26748,23376,354
03-16-2021,27061,23591,357
03-17-2021,27272,23784,361
03-18-2021,27515,24118,363
03-19-2021,27694,24432,364
03-20-2021,27904,24662,369
03-21-2021,28128,25020,372
03-22-2021,28319,25343,373
03-23-2021,28409,25555,375
03-24-2021,28510,25857,377
03-25-2021,28612,26148,378
03-26-2021,28715,26480,382
03-27-2021,28808,26763,385
03-28-2021,28875,27086,387
03-29-2021,28938,27418,388
03-30-2021,28993,27704,390
03-31-2021,29033,27812,392
