







date,confirmed,cured,dead
03-18-2020,3,0,0
03-19-2020,3,0,0
03-20-2020,12,0,0
03-21-2020,14,0,1
03-22-2020,28,0,2
03-23-2020,36,0,2
03-24-2020,42,0,2
03-25-2020,48,0,2
03-26-2020,81,0,2
03-27-2020,94,0,2
03-28-2020,102,0,2
03-29-2020,107,0,3
03-30-2020,128,0,3
03-31-2020,143,0,5
04-01-2020,161,0,6
04-02-2020,169,0,7
04-03-2020,186,0,7
04-04-2020,196,7,7
04-05-2020,227,7,7
04-06-2020,244,7,7
04-07-2020,268,8,7
04-08-2020,273,19,7
04-09-2020,314,23,7
04-10-2020,318,23,9
04-11-2020,319,28,9
04-12-2020,324,42,9
04-13-2020,324,42,9
04-14-2020,324,51,9
04-15-2020,324,65,9
04-16-2020,324,81,9
04-17-2020,324,108,9
04-18-2020,325,180,9
04-19-2020,328,208,9
04-20-2020,328,224,9
04-21-2020,328,243,9
04-22-2020,329,261,9
04-23-2020,331,266,9
04-24-2020,331,285,9
04-25-2020,331,295,9
04-26-2020,332,299,9
04-27-2020,334,302,10
04-28-2020,334,303,10
04-29-2020,332,306,10
04-30-2020,332,310,10
05-01-2020,332,312,10
05-02-2020,332,314,10
05-03-2020,332,315,10
05-04-2020,332,316,10
05-05-2020,332,319,10
05-05-2020,332,319,10
05-06-2020,332,320,10
05-07-2020,332,320,10
05-08-2020,332,320,10
05-09-2020,332,320,10
05-10-2020,332,320,10
05-11-2020,332,322,10
05-12-2020,332,322,10
05-12-2020,332,322,10
05-13-2020,332,322,10
05-14-2020,332,322,10
05-14-2020,332,322,10
05-15-2020,332,322,10
05-16-2020,332,322,10
05-17-2020,332,322,10
05-18-2020,332,322,10
05-19-2020,332,322,10
05-19-2020,332,322,10
05-20-2020,332,322,10
05-21-2020,332,322,10
05-22-2020,332,322,10
05-23-2020,332,322,10
05-24-2020,334,322,10
05-25-2020,334,322,10
05-26-2020,334,322,10
05-27-2020,334,322,10
05-28-2020,334,322,10
05-29-2020,335,322,10
05-30-2020,335,322,10
05-31-2020,335,322,10
06-01-2020,335,322,10
06-02-2020,335,322,10
06-03-2020,335,322,10
06-04-2020,335,322,10
06-05-2020,337,324,10
06-06-2020,337,324,10
06-06-2020,337,324,10
06-07-2020,337,324,10
06-08-2020,337,324,10
06-09-2020,337,324,10
06-10-2020,337,325,10
06-11-2020,337,325,10
06-12-2020,337,325,10
06-13-2020,337,325,10
06-14-2020,337,325,10
06-15-2020,337,325,10
06-16-2020,337,325,10
06-17-2020,337,325,10
06-18-2020,337,325,10
06-19-2020,337,325,10
06-20-2020,337,326,10
06-21-2020,337,326,10
06-22-2020,340,326,10
06-23-2020,340,326,10
06-24-2020,341,326,10
06-25-2020,341,326,10
06-26-2020,341,326,10
06-27-2020,341,326,10
06-28-2020,341,326,10
06-29-2020,341,326,10
06-30-2020,341,326,10
07-01-2020,341,326,10
07-02-2020,341,330,10
07-03-2020,341,330,10
07-04-2020,341,330,10
07-05-2020,341,330,10
07-06-2020,342,330,10
07-07-2020,342,330,10
07-08-2020,342,330,10
07-09-2020,342,330,10
07-10-2020,342,330,10
07-11-2020,342,330,10
07-12-2020,342,330,10
07-13-2020,342,330,10
07-14-2020,342,330,10
07-15-2020,343,331,10
07-16-2020,343,331,10
07-17-2020,343,331,10
07-18-2020,343,331,10
07-18-2020,343,331,10
07-18-2020,343,331,10
07-19-2020,343,331,10
07-20-2020,343,332,10
07-21-2020,343,332,10
07-22-2020,343,332,10
07-23-2020,343,332,10
07-24-2020,344,332,10
07-25-2020,344,332,10
07-26-2020,344,332,10
07-27-2020,344,332,10
07-28-2020,344,332,10
07-28-2020,344,332,10
07-29-2020,344,332,10
07-30-2020,344,332,10
07-31-2020,344,332,10
08-01-2020,344,332,10
08-02-2020,344,332,10
08-03-2020,344,334,10
08-04-2020,344,334,10
08-05-2020,344,334,10
08-06-2020,344,334,10
08-07-2020,344,334,10
08-08-2020,344,334,10
08-09-2020,344,334,10
08-10-2020,344,334,10
08-11-2020,344,334,10
08-12-2020,344,334,10
08-13-2020,344,334,10
08-14-2020,345,334,10
08-15-2020,346,334,10
08-16-2020,346,334,10
08-17-2020,346,334,10
08-18-2020,346,334,10
08-19-2020,346,334,10
08-20-2020,346,334,10
08-21-2020,346,334,10
08-22-2020,346,334,10
08-23-2020,346,335,10
08-24-2020,347,335,10
08-25-2020,348,335,10
08-26-2020,348,335,10
08-27-2020,355,335,10
08-28-2020,355,335,10
08-29-2020,355,335,10
08-30-2020,355,335,10
08-31-2020,356,335,10
09-01-2020,356,335,10
09-02-2020,356,335,10
09-03-2020,356,335,10
09-04-2020,356,335,10
09-05-2020,356,335,10
09-06-2020,356,335,10
09-07-2020,356,335,10
09-08-2020,361,335,10
09-09-2020,361,335,10
09-10-2020,361,335,10
09-11-2020,361,335,10
09-12-2020,361,335,10
09-13-2020,361,335,10
09-14-2020,361,335,10
09-15-2020,365,338,10
09-16-2020,365,338,10
09-17-2020,366,338,10
09-18-2020,366,338,10
09-19-2020,366,338,10
09-20-2020,366,338,10
09-21-2020,366,338,10
09-22-2020,367,339,10
09-23-2020,367,339,10
09-24-2020,367,343,10
09-25-2020,367,343,10
09-26-2020,367,343,10
09-27-2020,367,343,10
09-28-2020,367,343,10
09-29-2020,367,343,10
09-30-2020,381,344,10
10-01-2020,381,344,10
10-02-2020,385,344,10
10-03-2020,385,357,10
10-04-2020,385,357,10
10-05-2020,387,357,10
10-06-2020,395,357,10
10-07-2020,395,358,10
10-08-2020,395,358,10
10-09-2020,395,358,10
10-10-2020,395,358,10
10-11-2020,395,358,10
10-12-2020,404,359,10
10-13-2020,407,361,10
10-14-2020,407,361,10
10-15-2020,415,364,10
10-16-2020,417,364,10
10-17-2020,417,364,10
10-18-2020,417,364,10
10-19-2020,419,379,10
10-20-2020,419,379,10
10-21-2020,419,379,10
10-22-2020,425,386,10
10-23-2020,435,386,10
10-24-2020,435,386,10
10-25-2020,435,386,10
10-26-2020,439,389,10
10-27-2020,439,389,10
10-28-2020,439,389,10
10-29-2020,439,389,10
10-30-2020,441,398,10
10-31-2020,441,398,10
11-01-2020,446,407,10
11-02-2020,451,413,10
11-03-2020,451,413,10
11-04-2020,452,416,10
11-05-2020,453,416,10
11-06-2020,453,416,10
11-07-2020,453,416,10
11-08-2020,453,416,10
11-09-2020,453,416,10
11-10-2020,453,416,10
11-11-2020,453,416,10
11-12-2020,468,427,10
11-13-2020,470,428,10
11-14-2020,470,428,10
11-15-2020,478,431,10
11-16-2020,491,431,10
11-17-2020,491,431,10
11-18-2020,494,433,10
11-19-2020,494,433,10
11-20-2020,494,433,10
11-21-2020,494,433,10
11-22-2020,494,433,10
11-23-2020,494,433,10
11-24-2020,494,433,10
11-25-2020,497,440,10
11-26-2020,498,440,10
11-27-2020,501,443,10
11-28-2020,501,443,10
11-29-2020,501,443,10
11-30-2020,504,456,10
12-01-2020,505,463,10
12-02-2020,508,465,10
12-03-2020,508,465,10
12-04-2020,508,465,10
12-05-2020,508,465,10
12-06-2020,508,465,10
12-07-2020,511,478,10
12-08-2020,515,478,10
12-09-2020,515,478,10
12-10-2020,515,478,10
