







date,confirmed,cured,dead
03-11-2020,8,4,0
03-12-2020,12,4,0
03-13-2020,12,4,0
03-14-2020,26,4,0
03-15-2020,41,4,0
03-16-2020,53,4,0
03-17-2020,82,4,0
03-18-2020,93,4,0
03-19-2020,118,4,1
03-20-2020,164,4,1
03-21-2020,203,4,2
03-22-2020,251,4,2
03-23-2020,316,4,3
03-24-2020,367,4,4
03-25-2020,405,4,5
03-26-2020,475,4,6
03-27-2020,585,4,8
03-28-2020,717,4,12
03-29-2020,848,4,16
03-30-2020,993,35,20
03-31-2020,1094,35,28
04-01-2020,1215,35,29
04-02-2020,1378,35,37
04-03-2020,1510,633,50
04-04-2020,1688,633,60
04-05-2020,1890,633,79
04-06-2020,2143,633,94
04-07-2020,2439,633,125
04-08-2020,2785,633,141
04-09-2020,3181,633,174
04-10-2020,3441,633,194
04-11-2020,3844,633,233
04-12-2020,4219,1772,273
04-13-2020,4661,1843,296
04-14-2020,5014,1964,332
04-15-2020,5399,2125,406
04-16-2020,5847,2125,449
04-17-2020,6297,2125,486
04-18-2020,6875,2125,546
04-19-2020,7497,2627,650
04-20-2020,8261,2627,686
04-21-2020,8772,2627,712
04-22-2020,9501,2627,857
04-23-2020,11633,2627,1069
04-24-2020,12872,7149,1221
04-25-2020,13842,7149,1305
04-26-2020,14677,8354,1351
04-27-2020,15529,9086,1434
04-28-2020,16752,11423,1569
04-29-2020,17799,11423,1732
04-30-2020,19224,11423,1859
05-01-2020,20739,12377,1972
05-02-2020,22088,12377,2061
05-03-2020,23471,13447,2154
05-04-2020,24905,13447,2271
05-05-2020,26025,16810,2507
05-05-2020,26025,16810,2507
05-06-2020,27634,17781,2704
05-07-2020,29616,17781,2961
05-08-2020,31522,20314,3160
05-09-2020,33460,21824,3353
05-10-2020,35022,21824,3465
05-11-2020,36327,23100,3573
05-12-2020,38324,25935,3926
05-12-2020,38324,25935,3926
05-13-2020,40186,26990,4220
05-14-2020,42595,28475,4477
05-14-2020,42595,28475,4477
05-15-2020,45032,30451,4767
05-16-2020,47144,31848,5045
05-17-2020,49219,33329,5177
05-18-2020,51633,35388,5332
05-19-2020,54346,37325,5666
05-19-2020,54346,37325,5666
05-20-2020,56594,38419,6090
05-21-2020,59567,40152,6510
05-22-2020,62527,42191,6989
05-23-2020,65856,44424,7179
05-24-2020,68620,46979,7394
05-25-2020,71105,49452,7633
05-26-2020,74560,51708,8134
05-27-2020,78023,53834,8597
05-28-2020,81400,56041,9044
05-29-2020,84627,59003,9415
05-30-2020,87512,61247,9779
05-31-2020,90664,63772,9930
06-01-2020,93435,66965,10167
06-02-2020,97326,69749,10637
06-03-2020,101238,72680,11729
06-04-2020,105680,74758,12545
06-05-2020,110026,77841,13170
06-06-2020,113619,80830,13511
06-06-2020,113619,80830,13511
06-07-2020,117103,83775,13699
06-08-2020,120102,87633,14053
06-09-2020,124301,90748,14649
06-10-2020,129184,93930,15357
06-11-2020,133974,97198,15944
06-12-2020,139196,100876,16448
06-13-2020,142690,104078,16872
06-14-2020,146837,107298,17141
06-15-2020,150264,112292,17580
06-16-2020,154863,115394,18310
06-17-2020,159793,118504,19080
06-18-2020,165455,122180,19747
06-19-2020,170485,126438,20394
06-20-2020,175202,130854,20781
06-21-2020,180545,134495,21825
06-22-2020,185122,139383,22584
06-23-2020,191410,143646,23377
06-24-2020,196847,148487,24324
06-25-2020,202951,152362,25060
06-26-2020,208392,156827,25779
06-27-2020,212802,160721,26381
06-28-2020,216852,164646,26648
06-29-2020,220657,170147,27121
06-30-2020,226089,174538,27769
07-01-2020,231770,178526,28510
07-02-2020,238511,183757,29189
07-03-2020,245251,189345,29843
07-04-2020,252165,195724,30366
07-05-2020,256848,199914,30639
07-06-2020,261750,204826,31119
07-07-2020,268008,209437,32014
07-08-2020,275003,214316,32796
07-09-2020,282283,219628,33526
07-10-2020,289174,225356,34191
07-11-2020,295268,229856,34730
07-12-2020,299750,234905,35006
07-13-2020,304435,240101,35491
07-14-2020,311486,245830,36327
07-15-2020,317635,252368,36906
07-16-2020,324041,257681,37574
07-17-2020,331298,264202,38310
07-18-2020,338913,271239,38888
07-18-2020,338913,271239,38888
07-18-2020,338913,271239,38888
07-19-2020,344224,254941,39184
07-20-2020,349396,263091,39485
07-21-2020,356255,267407,40400
07-22-2020,362274,270147,41190
07-23-2020,370712,275454,41908
07-24-2020,378285,283382,42645
07-25-2020,385036,288819,42645
07-26-2020,390516,295222,43680
07-27-2020,395489,303810,44022
07-28-2020,402697,308142,44876
07-28-2020,402697,308142,44876
07-29-2020,408449,314538,45361
07-30-2020,416179,320100,46000
07-31-2020,424637,327115,46688
08-01-2020,434193,334867,47472
08-02-2020,439046,342527,47746
08-03-2020,443813,353442,48012
08-04-2020,449961,357444,48869
08-05-2020,456100,361764,49698
08-06-2020,462690,365311,50517
08-07-2020,469407,370098,51311
08-08-2020,475902,377125,52006
08-09-2020,480278,384432,52298
08-10-2020,485836,393160,53003
08-11-2020,492522,397278,53929
08-12-2020,498380,401182,54666
08-13-2020,505751,406583,55293
08-14-2020,511369,410479,55908
08-15-2020,517714,418164,56543
08-16-2020,522162,424298,56757
08-17-2020,525733,430840,57023
08-18-2020,531239,433809,57774
08-19-2020,537031,438375,58481
08-20-2020,543806,442782,59106
08-21-2020,549734,448344,59610
08-22-2020,556216,453104,60254
08-23-2020,560164,458123,60480
08-24-2020,563705,466209,60800
08-25-2020,568621,469206,61450
08-26-2020,573888,472197,62076
08-27-2020,579914,475532,62594
08-28-2020,585738,479770,63146
08-29-2020,591712,484283,63819
08-30-2020,595841,489724,64158
08-31-2020,599560,496222,64414
09-01-2020,606036,501722,65241
09-02-2020,610957,504541,65816
09-03-2020,616894,510626,66329
09-04-2020,623090,514663,66851
09-05-2020,629409,518844,67326
09-06-2020,634023,524669,67558
09-07-2020,637509,531334,67781
09-08-2020,642860,535141,68484
09-09-2020,647321,538514,69049
09-10-2020,652364,541804,69649
09-11-2020,658299,547088,70183
09-12-2020,663973,551113,70604
09-13-2020,668381,557381,70821
09-14-2020,671716,564053,71049
09-15-2020,676487,569546,71678
09-16-2020,680931,574203,71978
09-17-2020,684113,579145,72179
09-18-2020,688954,582109,72803
09-19-2020,694121,586154,73258
09-20-2020,697663,590459,73493
09-21-2020,700580,596317,73697
09-22-2020,705263,598953,74348
09-23-2020,710049,601611,74949
09-24-2020,715457,605796,75439
09-25-2020,720858,609041,75844
09-26-2020,726431,612361,76243
09-27-2020,730317,616696,76430
09-28-2020,733717,622398,76603
09-29-2020,738163,625512,77163
09-30-2020,743216,628007,77646
10-01-2020,748315,629630,78078
10-02-2020,753090,633806,78492
10-03-2020,757953,637993,78880
10-04-2020,761665,645123,79088
10-05-2020,789780,670034,81877
10-06-2020,794608,676923,82348
10-07-2020,799188,679693,82726
10-08-2020,804488,682604,83096
10-09-2020,810020,687123,83497
10-10-2020,814328,689377,83642
10-11-2020,817503,694214,83781
10-12-2020,821045,700826,83945
10-13-2020,825340,703457,84420
10-14-2020,829396,703489,84898
10-15-2020,834910,707631,85285
10-16-2020,841661,712250,85704
10-17-2020,847108,715848,86059
10-18-2020,851227,720973,86167
10-19-2020,854926,727759,86338
10-20-2020,860714,730594,86893
10-21-2020,867559,733897,87415
10-22-2020,874171,737437,87415
10-23-2020,880775,740934,88312
10-24-2020,886800,746939,88743
10-25-2020,891160,752691,88924
10-26-2020,895326,760259,89171
10-27-2020,901268,763105,89814
10-28-2020,906863,765128,90309
10-29-2020,912811,770007,90773
10-30-2020,918811,774567,91289
10-31-2020,924962,779371,91753
11-01-2020,929392,786516,91895
11-02-2020,933155,795356,92100
11-03-2020,938405,803086,92593
11-04-2020,943630,804887,93228
11-05-2020,949197,809063,93772
11-06-2020,955128,812556,94323
11-07-2020,961938,816659,94808
11-08-2020,967825,824355,95027
11-09-2020,967825,824355,95027
11-10-2020,978531,824355,95842
11-11-2020,986177,824355,96430
11-12-2020,991835,736197,97056
11-13-2020,997393,741340,97624
11-14-2020,1003253,745361,98259
11-15-2020,1006522,750190,98542
11-16-2020,1009396,754200,98861
11-17-2020,1011153,757951,99026
11-18-2020,1015071,762025,99528
11-19-2020,1019543,766361,100104
11-20-2020,1025969,770728,100823
11-21-2020,1025969,770728,100823
11-22-2020,1041875,779104,101676
11-23-2020,1049358,784693,101926
11-24-2020,1060152,791516,102739
11-25-2020,1070487,798037,103597
11-26-2020,1078594,803581,104242
11-27-2020,1078594,803581,104242
11-28-2020,1101403,803581,105459
11-29-2020,1107071,818397,105655
11-30-2020,1113543,823586,105940
12-01-2020,1122362,829817,106765
12-02-2020,1133613,836567,107565
12-03-2020,1144643,843231,108173
12-04-2020,1156770,852719,108863
12-05-2020,1168395,859643,109456
12-06-2020,1175850,866186,109717
12-07-2020,1182249,873555,110074
12-08-2020,1193255,881050,110874
12-09-2020,1205229,889168,111655
12-10-2020,1217126,896130,112326
12-11-2020,1229379,904042,113019
