







date,confirmed,cured,dead
03-11-2020,1,0,0
03-12-2020,1,0,0
03-13-2020,1,0,0
03-14-2020,1,0,0
03-15-2020,1,0,0
03-16-2020,1,0,0
03-17-2020,5,0,0
03-18-2020,6,0,0
03-19-2020,6,0,0
03-20-2020,6,0,0
03-21-2020,10,0,0
03-22-2020,10,0,0
03-23-2020,10,0,0
03-24-2020,10,0,0
03-25-2020,10,0,0
03-26-2020,11,0,0
03-27-2020,11,0,0
03-28-2020,12,0,0
03-29-2020,12,0,0
03-30-2020,12,2,0
03-31-2020,12,2,0
04-01-2020,14,2,0
04-02-2020,14,2,0
04-03-2020,14,2,0
04-04-2020,14,2,0
04-05-2020,14,2,0
04-06-2020,15,2,0
04-07-2020,15,4,0
04-08-2020,16,4,0
04-09-2020,16,4,0
04-10-2020,16,4,0
04-11-2020,16,4,0
04-12-2020,16,4,0
04-13-2020,17,4,0
04-14-2020,30,5,0
04-15-2020,30,5,0
04-16-2020,31,5,0
04-17-2020,31,5,0
04-18-2020,31,5,0
04-19-2020,32,7,0
04-20-2020,33,7,0
04-21-2020,34,8,0
04-22-2020,35,8,0
04-23-2020,36,9,0
04-24-2020,37,9,0
04-25-2020,37,9,0
04-26-2020,38,9,0
04-27-2020,38,10,0
04-28-2020,38,10,0
04-29-2020,38,10,0
04-30-2020,38,10,0
05-01-2020,38,10,0
05-02-2020,39,10,0
05-03-2020,39,10,0
05-04-2020,40,12,0
05-05-2020,41,13,0
05-05-2020,41,13,0
05-06-2020,41,13,0
05-07-2020,41,13,0
05-08-2020,42,13,0
05-09-2020,42,14,0
05-10-2020,42,14,0
05-11-2020,42,14,0
05-12-2020,42,15,0
05-12-2020,42,15,0
05-13-2020,42,15,0
05-14-2020,98,15,0
05-14-2020,98,15,0
05-15-2020,98,20,0
05-16-2020,135,20,0
05-17-2020,136,21,0
05-18-2020,140,24,0
05-19-2020,140,26,0
05-19-2020,140,26,0
05-20-2020,140,26,0
05-21-2020,140,26,0
05-22-2020,141,28,0
05-23-2020,141,30,0
05-24-2020,141,32,0
05-25-2020,141,33,0
05-26-2020,141,37,0
05-27-2020,148,43,0
05-28-2020,161,43,0
05-29-2020,179,43,0
05-30-2020,179,44,0
05-31-2020,179,44,0
06-01-2020,185,44,0
06-02-2020,185,44,0
06-03-2020,185,44,0
06-04-2020,186,65,0
06-05-2020,191,70,0
06-06-2020,193,75,0
06-06-2020,193,75,0
06-07-2020,193,75,0
06-08-2020,194,75,0
06-09-2020,194,87,0
06-10-2020,194,89,0
06-11-2020,197,95,0
06-12-2020,197,95,0
06-13-2020,197,98,0
06-14-2020,197,98,0
06-15-2020,197,109,0
06-16-2020,197,111,0
06-17-2020,201,127,0
06-18-2020,204,132,0
06-19-2020,204,139,0
06-20-2020,206,139,0
06-21-2020,213,153,0
06-22-2020,215,158,0
06-23-2020,215,168,0
