







date,confirmed,cured,dead
03-17-2020,2,0,0
03-18-2020,1,0,0
03-19-2020,3,0,0
03-20-2020,14,0,0
03-21-2020,14,0,0
03-22-2020,21,0,0
03-23-2020,27,0,1
03-24-2020,47,0,1
03-25-2020,52,0,1
03-26-2020,69,0,1
03-27-2020,82,0,1
03-28-2020,84,0,1
03-29-2020,85,0,1
03-30-2020,91,0,1
03-31-2020,109,0,2
04-01-2020,123,0,2
04-02-2020,144,0,2
04-03-2020,174,1,2
04-04-2020,201,1,2
04-05-2020,214,1,2
04-06-2020,233,1,2
04-07-2020,241,4,2
04-08-2020,248,4,2
04-09-2020,252,4,2
04-10-2020,255,4,2
04-11-2020,263,5,2
04-12-2020,272,5,3
04-13-2020,274,5,3
04-14-2020,283,46,4
04-15-2020,288,55,4
04-16-2020,303,55,4
04-17-2020,303,55,5
04-18-2020,307,55,5
04-19-2020,308,55,5
04-20-2020,312,88,5
04-21-2020,313,101,5
04-22-2020,315,116,5
04-23-2020,316,123,5
04-24-2020,319,123,6
04-25-2020,320,153,6
04-26-2020,321,153,7
04-27-2020,321,189,7
04-28-2020,321,199,7
04-29-2020,322,203,7
04-30-2020,322,214,7
05-01-2020,322,233,7
05-02-2020,322,245,8
05-03-2020,322,249,8
05-04-2020,323,253,8
05-05-2020,324,253,8
05-05-2020,324,253,8
05-06-2020,324,261,8
05-07-2020,324,265,8
05-08-2020,324,267,8
05-09-2020,324,274,8
05-10-2020,324,290,9
05-11-2020,324,294,9
05-12-2020,324,298,9
05-12-2020,324,298,9
05-13-2020,324,307,9
05-14-2020,324,309,9
05-14-2020,324,309,9
05-15-2020,324,311,9
05-16-2020,324,311,9
05-17-2020,324,311,9
05-18-2020,324,311,9
05-19-2020,324,312,9
05-19-2020,324,312,9
05-20-2020,324,312,9
05-21-2020,324,314,9
05-22-2020,324,314,9
05-23-2020,324,314,9
05-24-2020,324,315,9
05-25-2020,324,315,9
05-26-2020,324,315,9
05-27-2020,324,315,9
05-28-2020,324,315,9
05-29-2020,324,315,9
05-30-2020,324,315,9
05-31-2020,324,315,9
06-01-2020,324,315,9
06-02-2020,324,315,9
06-03-2020,324,315,9
06-04-2020,324,315,9
06-05-2020,324,315,9
06-06-2020,324,315,9
06-06-2020,324,315,9
06-07-2020,324,315,9
06-08-2020,324,315,9
06-09-2020,324,315,9
06-10-2020,324,315,9
06-11-2020,324,315,9
06-12-2020,324,315,9
06-13-2020,324,315,9
06-14-2020,325,315,9
06-15-2020,326,315,9
06-16-2020,326,315,9
06-17-2020,333,315,9
06-18-2020,337,315,9
06-19-2020,355,315,9
06-20-2020,359,315,9
06-21-2020,362,315,9
06-22-2020,367,315,9
06-23-2020,378,315,9
06-24-2020,389,315,9
06-25-2020,414,315,9
06-26-2020,439,315,9
