







date,confirmed,cured,dead
03-11-2020,5,0,1
03-12-2020,6,0,1
03-13-2020,7,1,1
03-14-2020,17,1,1
03-15-2020,28,1,1
03-16-2020,29,1,1
03-17-2020,38,1,2
03-18-2020,49,1,2
03-19-2020,63,1,2
03-20-2020,77,1,3
03-21-2020,96,3,3
03-22-2020,115,3,4
03-23-2020,143,5,4
03-24-2020,170,6,5
03-25-2020,225,7,6
03-26-2020,275,8,11
03-27-2020,345,11,23
03-28-2020,402,11,25
03-29-2020,479,13,26
03-30-2020,556,15,33
03-31-2020,617,24,36
04-01-2020,654,29,39
04-02-2020,708,31,44
04-03-2020,791,57,48
04-04-2020,919,66,59
04-05-2020,1021,76,70
04-06-2020,1120,81,80
04-07-2020,1184,93,90
04-08-2020,1275,97,93
04-09-2020,1374,109,97
04-10-2020,1448,122,107
04-11-2020,1545,146,111
04-12-2020,1661,177,118
04-13-2020,1763,203,126
04-14-2020,1888,217,126
04-15-2020,2024,229,127
04-16-2020,2283,249,130
04-17-2020,2564,281,135
04-18-2020,2685,314,137
04-19-2020,2855,327,141
04-20-2020,3046,350,143
04-21-2020,3209,393,145
04-22-2020,3446,417,149
04-23-2020,3568,456,155
04-24-2020,3758,486,158
04-25-2020,3897,537,159
04-26-2020,4065,593,161
04-27-2020,4120,695,162
04-28-2020,4252,778,165
04-29-2020,4321,928,168
04-30-2020,4423,984,170
05-01-2020,4569,1083,171
05-02-2020,4729,1256,173
05-03-2020,4903,1438,174
05-04-2020,5053,1653,179
05-05-2020,5219,1838,181
05-05-2020,5219,1838,181
05-06-2020,5408,2017,183
05-07-2020,5548,2179,183
05-08-2020,5711,2324,186
05-09-2020,5910,2461,186
05-10-2020,6063,2554,188
05-11-2020,6281,2811,188
05-12-2020,6418,2991,188
05-12-2020,6418,2991,188
05-13-2020,6512,3131,188
05-14-2020,6607,3310,190
05-14-2020,6607,3310,190
05-15-2020,6652,3400,190
05-16-2020,6741,3487,192
05-17-2020,6870,3660,192
05-18-2020,6952,3758,192
05-19-2020,7023,3901,193
05-19-2020,7023,3901,193
05-20-2020,7133,4098,194
05-21-2020,7211,4280,196
05-22-2020,7332,4377,197
05-23-2020,7406,4638,198
05-24-2020,7433,4703,199
05-25-2020,7532,4774,200
05-26-2020,7577,4881,202
05-27-2020,7601,4978,202
05-28-2020,7643,5195,202
05-29-2020,7714,5271,202
05-30-2020,7780,5401,204
05-31-2020,7807,5459,205
06-01-2020,7833,5893,205
06-02-2020,7866,6410,206
06-03-2020,7922,6866,206
06-04-2020,8003,7195,208
06-05-2020,8071,7268,208
06-06-2020,8151,7315,208
06-06-2020,8151,7315,208
06-07-2020,8224,7364,208
06-08-2020,8302,7408,208
06-09-2020,8437,7493,210
06-10-2020,8508,7565,211
06-11-2020,8537,7583,211
06-12-2020,8610,7618,212
06-13-2020,8692,7696,212
06-14-2020,8793,7765,212
06-15-2020,8885,7828,212
06-16-2020,8931,7937,212
06-17-2020,8997,7993,213
06-18-2020,9074,8041,213
06-19-2020,9613,8117,213
06-20-2020,9839,8223,213
06-21-2020,9977,8284,214
06-22-2020,10172,8366,214
06-23-2020,10344,8407,214
06-24-2020,10907,8468,216
06-25-2020,11338,8500,217
06-26-2020,11633,8656,218
06-27-2020,11877,8723,220
06-28-2020,12052,8740,221
06-29-2020,12290,8833,225
06-30-2020,12533,8920,228
07-01-2020,12636,9026,228
07-02-2020,12969,9090,229
07-03-2020,13288,9160,230
07-04-2020,13822,9329,232
07-05-2020,14215,9725,235
07-06-2020,14379,10173,237
07-07-2020,14607,10639,240
07-08-2020,14771,11316,242
07-09-2020,15079,11447,242
07-10-2020,15328,11827,243
07-11-2020,15542,12065,245
07-12-2020,15745,12283,250
07-13-2020,15936,12934,255
07-14-2020,16097,13442,257
07-15-2020,16262,13821,259
07-16-2020,16545,13965,263
07-17-2020,16726,14360,264
07-18-2020,17015,14620,269
07-18-2020,17015,14620,269
07-18-2020,17015,14620,269
07-19-2020,17236,14921,273
07-20-2020,17562,15132,276
07-21-2020,17742,15389,280
07-22-2020,17962,15636,285
07-23-2020,18264,15872,292
07-24-2020,18834,16100,299
07-25-2020,19645,16282,305
07-26-2020,20278,16438,313
07-27-2020,20887,16553,316
07-28-2020,21387,17066,327
07-28-2020,21387,17066,327
07-29-2020,22213,17125,334
07-30-2020,23259,17311,346
07-31-2020,24322,17658,353
08-01-2020,25015,17960,367
08-02-2020,25537,18435,382
08-03-2020,26196,18968,401
08-04-2020,27217,19629,417
08-05-2020,28500,19994,435
08-06-2020,29644,20553,449
08-07-2020,30662,21548,461
08-08-2020,32007,22190,480
08-09-2020,33237,23347,498
08-10-2020,34063,24524,516
08-11-2020,35195,25385,533
08-12-2020,36694,25677,556
08-13-2020,37935,26687,584
