







date,confirmed,cured,dead
03-22-2020,1,0,0
03-23-2020,1,0,0
03-24-2020,3,0,0
03-25-2020,5,0,0
03-26-2020,7,0,0
03-27-2020,7,0,0
03-28-2020,8,0,0
03-29-2020,8,0,0
03-30-2020,8,0,0
03-31-2020,8,0,0
04-01-2020,10,0,0
04-02-2020,10,0,0
04-03-2020,10,0,0
04-04-2020,10,1,0
04-05-2020,10,1,0
04-06-2020,10,1,0
04-07-2020,10,1,0
04-08-2020,17,1,0
04-09-2020,17,1,0
04-10-2020,20,2,0
04-11-2020,20,2,0
04-12-2020,21,2,0
04-13-2020,21,2,0
04-14-2020,28,2,0
04-15-2020,29,2,0
04-16-2020,31,2,0
04-17-2020,34,2,0
04-18-2020,35,4,0
04-19-2020,39,8,0
04-20-2020,39,8,0
04-21-2020,39,8,0
04-22-2020,41,8,0
04-23-2020,46,9,0
04-24-2020,65,12,0
04-25-2020,70,12,0
04-26-2020,76,12,0
04-27-2020,76,12,0
04-28-2020,76,12,0
04-29-2020,76,12,0
04-30-2020,76,12,0
05-01-2020,79,12,0
05-02-2020,79,18,0
05-03-2020,80,19,0
05-04-2020,80,19,0
05-05-2020,81,19,0
05-05-2020,81,19,0
05-06-2020,81,21,0
05-07-2020,81,24,0
05-08-2020,82,27,0
05-09-2020,87,34,0
05-10-2020,91,34,0
05-11-2020,103,34,0
05-12-2020,104,34,0
05-12-2020,104,34,0
05-13-2020,104,34,0
05-14-2020,115,35,0
05-14-2020,115,35,0
05-15-2020,119,42,0
05-16-2020,129,43,0
05-17-2020,137,44,0
05-18-2020,145,44,0
05-19-2020,146,44,0
05-19-2020,146,44,0
05-20-2020,156,48,0
05-21-2020,162,48,0
05-22-2020,164,48,0
05-23-2020,168,48,0
05-24-2020,194,51,0
05-25-2020,209,71,1
05-26-2020,213,71,1
05-27-2020,227,71,1
05-28-2020,233,82,2
05-29-2020,234,84,2
05-30-2020,244,90,2
05-31-2020,254,91,2
06-01-2020,254,97,2
06-02-2020,307,98,2
06-03-2020,316,109,2
06-04-2020,352,114,2
06-05-2020,354,119,2
06-06-2020,409,126,2
06-06-2020,409,126,2
06-07-2020,424,127,2
06-08-2020,433,131,2
06-09-2020,453,136,2
06-10-2020,472,138,2
06-11-2020,489,144,2
06-12-2020,509,145,2
06-13-2020,553,151,2
06-14-2020,583,151,3
06-15-2020,609,157,3
06-16-2020,638,160,4
06-17-2020,651,160,4
06-18-2020,662,175,4
06-19-2020,668,177,4
06-20-2020,688,177,4
06-21-2020,733,181,5
06-22-2020,737,181,5
06-23-2020,757,206,5
06-24-2020,762,220,5
06-25-2020,788,221,5
06-26-2020,816,223,5
06-27-2020,839,225,5
06-28-2020,859,228,5
06-29-2020,883,229,6
06-30-2020,889,232,6
07-01-2020,903,248,6
07-02-2020,918,249,6
07-03-2020,939,249,6
07-04-2020,969,256,7
07-05-2020,987,256,8
07-06-2020,1012,277,8
07-07-2020,1040,280,8
07-08-2020,1071,337,8
07-09-2020,1092,340,9
07-10-2020,1111,344,9
07-11-2020,1135,349,9
07-12-2020,1157,364,9
07-13-2020,1219,369,9
07-14-2020,1268,373,9
07-15-2020,1330,375,9
07-16-2020,1383,375,9
07-17-2020,1402,397,9
07-18-2020,1435,408,10
07-18-2020,1435,408,10
07-18-2020,1435,408,10
07-19-2020,1491,472,10
07-20-2020,1507,505,11
07-21-2020,1536,506,11
07-22-2020,1557,523,11
07-23-2020,1582,528,11
07-24-2020,1590,532,11
07-25-2020,1616,543,11
07-26-2020,1669,593,11
07-27-2020,1701,596,11
07-28-2020,1720,602,11
07-28-2020,1720,602,11
07-29-2020,1748,616,11
07-30-2020,1808,638,11
07-31-2020,1864,641,11
08-01-2020,1907,645,12
08-02-2020,1946,654,13
08-03-2020,1973,676,14
08-04-2020,2029,765,15
08-05-2020,2079,778,15
08-06-2020,2120,795,15
08-07-2020,2213,827,15
08-08-2020,2241,832,16
08-09-2020,2269,840,16
08-10-2020,2411,860,16
08-11-2020,2481,910,17
08-12-2020,2559,951,19
08-13-2020,2638,1015,19
08-14-2020,2708,1075,19
08-15-2020,2791,1136,19
08-16-2020,2855,1163,19
08-17-2020,2914,1196,19
08-18-2020,2991,1245,19
08-19-2020,3045,1291,19
08-20-2020,3115,1380,20
08-21-2020,3195,1406,20
08-22-2020,3304,1474,20
08-23-2020,3395,1503,20
08-24-2020,3440,1661,21
08-25-2020,3508,1809,21
08-26-2020,3590,1927,21
08-27-2020,3651,1968,21
08-28-2020,3697,2055,21
08-29-2020,3760,2078,22
08-30-2020,3821,2100,23
08-31-2020,3916,2170,23
09-01-2020,4039,2170,23
09-02-2020,4117,2170,25
09-03-2020,4207,2370,26
09-04-2020,4265,2511,26
09-05-2020,4341,2579,26
09-06-2020,4444,2615,27
09-07-2020,4557,2697,27
09-08-2020,4647,2715,28
09-09-2020,4764,2763,28
09-10-2020,4832,2857,31
09-11-2020,4918,2899,31
09-12-2020,5040,2905,35
09-13-2020,5269,2960,35
