







date,confirmed,cured,dead
03-14-2020,2,0,0
03-15-2020,2,0,0
03-16-2020,2,0,0
03-17-2020,2,0,0
03-18-2020,2,0,0
03-19-2020,3,0,0
03-20-2020,3,0,0
03-21-2020,3,0,0
03-22-2020,3,0,0
03-23-2020,4,0,0
03-24-2020,7,2,0
03-25-2020,7,2,0
03-26-2020,8,2,0
03-27-2020,8,2,0
03-28-2020,8,2,0
03-29-2020,11,2,0
03-30-2020,11,2,0
03-31-2020,11,2,0
04-01-2020,14,2,0
04-02-2020,14,3,0
04-03-2020,14,3,0
04-04-2020,14,3,0
04-05-2020,16,3,0
04-06-2020,16,3,0
04-07-2020,16,3,0
04-08-2020,16,3,0
04-09-2020,16,3,0
04-10-2020,16,3,0
04-11-2020,16,3,0
04-12-2020,16,3,0
04-13-2020,16,3,0
04-14-2020,16,3,0
04-15-2020,16,3,0
04-16-2020,16,4,0
04-17-2020,16,4,0
04-18-2020,16,6,0
04-19-2020,16,6,0
04-20-2020,16,6,0
04-21-2020,16,6,0
04-22-2020,16,6,0
04-23-2020,16,7,0
04-24-2020,16,7,0
04-25-2020,16,7,0
04-26-2020,16,8,0
04-27-2020,16,8,0
04-28-2020,16,8,0
04-29-2020,16,8,0
04-30-2020,16,8,0
05-01-2020,16,8,0
05-02-2020,16,8,0
05-03-2020,16,8,0
05-04-2020,16,8,0
05-05-2020,16,8,0
05-05-2020,16,8,0
05-06-2020,16,8,0
05-07-2020,16,9,0
05-08-2020,16,9,0
05-09-2020,16,10,0
05-10-2020,16,11,0
05-11-2020,16,11,0
05-12-2020,16,11,0
05-12-2020,16,11,0
05-13-2020,16,11,0
05-14-2020,16,12,0
05-14-2020,16,12,0
05-15-2020,16,13,0
05-16-2020,16,13,0
05-17-2020,16,13,0
05-18-2020,16,13,0
05-19-2020,16,13,0
05-19-2020,16,13,0
05-20-2020,16,14,0
05-21-2020,18,14,0
05-22-2020,19,14,0
05-23-2020,20,14,0
05-24-2020,21,14,0
05-25-2020,21,14,0
05-26-2020,21,14,0
05-27-2020,22,14,0
05-28-2020,22,14,0
05-29-2020,23,14,0
05-30-2020,23,14,0
05-31-2020,24,14,0
06-01-2020,25,16,0
06-02-2020,25,16,0
06-03-2020,25,16,0
06-04-2020,25,16,0
06-05-2020,25,16,0
06-06-2020,29,16,0
06-06-2020,29,16,0
06-07-2020,29,16,0
06-08-2020,31,16,0
06-09-2020,31,16,0
06-10-2020,31,17,0
06-11-2020,31,17,0
06-12-2020,31,17,0
06-13-2020,32,17,0
06-14-2020,32,17,0
06-15-2020,32,17,0
06-16-2020,34,18,0
06-17-2020,36,19,0
06-18-2020,39,19,0
06-19-2020,45,19,0
06-20-2020,46,19,0
06-21-2020,55,19,0
06-22-2020,63,21,0
