







date,confirmed,cured,dead
03-11-2020,1,1,0
03-12-2020,1,1,0
03-13-2020,1,1,0
03-14-2020,1,1,0
03-15-2020,1,1,0
03-16-2020,1,1,0
03-17-2020,1,1,0
03-18-2020,1,1,0
03-19-2020,1,1,0
03-20-2020,1,1,0
03-21-2020,1,1,0
03-22-2020,1,1,0
03-23-2020,2,1,0
03-24-2020,2,1,0
03-25-2020,3,1,0
03-26-2020,3,1,0
03-27-2020,4,1,0
03-28-2020,5,1,0
03-29-2020,5,1,0
03-30-2020,5,1,0
03-31-2020,5,1,0
04-01-2020,5,1,0
04-02-2020,6,1,0
04-03-2020,6,1,0
04-04-2020,9,1,0
04-05-2020,9,1,0
04-06-2020,9,1,0
04-07-2020,9,1,0
04-08-2020,9,1,0
04-09-2020,9,1,0
04-10-2020,9,1,0
04-11-2020,9,1,0
04-12-2020,12,1,0
04-13-2020,14,1,0
04-14-2020,16,1,0
04-15-2020,16,1,0
04-16-2020,16,2,0
04-17-2020,30,2,0
04-18-2020,31,2,0
04-19-2020,31,4,0
04-20-2020,31,4,0
04-21-2020,43,4,0
04-22-2020,45,7,0
04-23-2020,48,10,0
04-24-2020,49,11,0
04-25-2020,49,12,0
04-26-2020,52,16,0
04-27-2020,52,16,0
04-28-2020,54,16,0
04-29-2020,57,16,0
04-30-2020,57,16,0
05-01-2020,59,16,0
05-02-2020,59,16,0
05-03-2020,75,16,0
05-04-2020,75,16,0
05-05-2020,82,16,0
05-05-2020,82,16,0
05-06-2020,99,22,0
05-07-2020,101,22,0
05-08-2020,102,31,0
05-09-2020,110,31,0
05-10-2020,110,31,0
05-11-2020,134,33,0
05-12-2020,217,33,0
05-12-2020,217,33,0
05-13-2020,250,35,0
05-14-2020,249,35,0
05-14-2020,249,35,0
05-15-2020,267,36,0
05-16-2020,291,36,1
05-17-2020,295,36,2
05-18-2020,375,36,2
05-19-2020,402,37,2
05-19-2020,402,37,2
05-20-2020,427,45,2
05-21-2020,457,49,3
05-22-2020,516,70,3
05-23-2020,584,70,3
05-24-2020,603,87,3
05-25-2020,682,112,4
05-26-2020,772,155,4
05-27-2020,886,183,4
05-28-2020,1042,187,5
05-29-2020,1212,206,6
05-30-2020,1401,219,6
05-31-2020,1572,220,8
06-01-2020,1811,221,8
06-02-2020,2099,266,8
06-03-2020,2300,278,9
06-04-2020,2634,290,10
06-05-2020,2912,333,11
06-06-2020,3235,365,13
06-06-2020,3235,365,13
06-07-2020,3448,467,13
06-08-2020,3762,488,14
06-09-2020,4086,584,15
06-10-2020,4364,674,15
06-11-2020,4614,861,15
06-12-2020,5062,877,16
06-13-2020,5335,913,18
06-14-2020,5760,974,19
06-15-2020,6211,1041,19
06-16-2020,6591,1158,19
06-17-2020,7177,1167,20
06-18-2020,7848,1186,22
06-19-2020,8274,1402,22
06-20-2020,8605,1578,22
06-21-2020,9026,1772,23
06-22-2020,9561,2148,23
06-23-2020,10099,2224,24
06-24-2020,10728,2338,24
06-25-2020,11162,2650,26
06-26-2020,11755,2698,27
06-27-2020,12309,2834,28
06-28-2020,12772,3013,28
06-29-2020,13248,3134,29
06-30-2020,13564,3194,29
07-01-2020,14046,4656,30
