







date,confirmed,cured,dead
03-11-2020,503,0,5
03-12-2020,503,0,5
03-13-2020,804,0,10
03-14-2020,959,2,12
03-15-2020,1135,2,20
03-16-2020,1414,2,24
03-17-2020,1708,2,43
03-18-2020,2056,2,58
03-19-2020,2465,2,77
03-20-2020,3003,2,107
03-21-2020,3640,2,137
03-22-2020,4217,3,180
03-23-2020,4764,3,214
03-24-2020,5580,3,277
03-25-2020,6438,4,357
03-26-2020,7468,6,435
03-27-2020,8647,6,547
03-28-2020,9819,6,640
03-29-2020,10930,253,772
03-30-2020,11817,253,865
03-31-2020,12667,253,1040
04-01-2020,13696,260,1175
04-02-2020,14788,260,1341
04-03-2020,15821,260,1490
04-04-2020,16727,262,1656
04-05-2020,17953,257,1771
04-06-2020,18926,258,1874
04-07-2020,19709,272,2108
04-08-2020,20682,272,2255
04-09-2020,21903,278,2403
04-10-2020,23249,287,2520
04-11-2020,24571,291,2653
04-12-2020,25746,295,2747
04-13-2020,26710,295,2833
04-14-2020,27580,297,2955
04-15-2020,28316,304,3145
04-16-2020,29383,311,3327
04-17-2020,30619,315,3471
04-18-2020,31766,317,3613
04-19-2020,32838,322,3697
04-20-2020,33588,322,3764
04-21-2020,34317,74,3929
04-22-2020,35032,101,4068
04-23-2020,35921,101,4192
04-24-2020,36729,102,4304
04-25-2020,37384,102,4424
04-26-2020,38040,117,4491
04-27-2020,38440,117,4534
04-28-2020,38612,117,4582
04-29-2020,38998,119,4727
04-30-2020,39512,125,4811
05-01-2020,39989,138,4909
05-02-2020,40434,138,5003
05-03-2020,40769,138,5072
05-04-2020,40968,138,5098
05-05-2020,41286,139,5185
05-05-2020,41286,139,5185
05-06-2020,41518,146,5221
05-07-2020,41973,147,5306
05-08-2020,42292,147,5377
05-09-2020,42581,149,5441
05-10-2020,42826,149,5459
05-11-2020,42987,149,5475
05-12-2020,43183,149,5529
05-12-2020,43183,149,5529
05-13-2020,43410,157,5581
05-14-2020,43680,159,5609
05-14-2020,43680,159,5609
05-15-2020,43880,159,5662
05-16-2020,44070,167,5689
05-17-2020,44195,167,5699
05-18-2020,44341,167,5713
05-19-2020,44449,167,5734
05-19-2020,44449,167,5734
05-20-2020,44647,169,5767
05-21-2020,44900,169,5794
05-22-2020,45088,174,5807
05-23-2020,45265,174,5830
05-24-2020,45437,174,5841
05-25-2020,45647,174,5849
05-26-2020,45780,174,5875
05-27-2020,45970,177,5890
05-28-2020,46152,178,5922
05-29-2020,46328,178,5950
05-30-2020,46460,178,5970
05-31-2020,46645,178,5975
06-01-2020,46749,179,5981
06-02-2020,46852,180,5986
06-03-2020,46939,180,5996
06-04-2020,47148,180,6009
06-05-2020,47358,181,6024
06-06-2020,47541,181,6030
06-06-2020,47541,181,6030
06-07-2020,47780,181,6032
06-08-2020,47945,181,6035
06-09-2020,48109,181,6050
06-10-2020,48294,181,6061
06-11-2020,48458,181,6063
06-12-2020,48668,181,6072
06-13-2020,48847,181,6076
06-14-2020,48990,181,6078
06-15-2020,49155,186,6084
