







date,confirmed,cured,dead
03-11-2020,5,0,0
03-12-2020,5,0,0
03-13-2020,5,0,0
03-14-2020,6,0,0
03-15-2020,8,0,0
03-16-2020,8,0,0
03-17-2020,12,0,0
03-18-2020,20,0,0
03-19-2020,28,0,0
03-20-2020,39,0,0
03-21-2020,52,0,0
03-22-2020,102,0,0
03-23-2020,102,0,0
03-24-2020,155,12,0
03-25-2020,205,22,0
03-26-2020,283,27,0
03-27-2020,368,37,0
03-28-2020,451,50,0
03-29-2020,514,56,1
03-30-2020,589,63,1
03-31-2020,647,74,1
04-01-2020,708,83,1
04-02-2020,797,92,1
04-03-2020,868,103,1
04-04-2020,950,127,1
04-05-2020,1039,156,1
04-06-2020,1106,176,1
04-07-2020,1160,241,1
04-08-2020,1210,282,1
04-09-2020,1239,317,1
04-10-2020,1283,373,2
04-11-2020,1312,422,4
04-12-2020,1330,471,4
04-13-2020,1349,546,5
04-14-2020,1366,628,9
04-15-2020,1386,728,9
04-16-2020,1401,770,9
04-17-2020,1409,816,11
04-18-2020,1422,867,11
04-19-2020,1431,912,12
04-20-2020,1440,974,12
04-21-2020,1445,1006,13
04-22-2020,1451,1036,14
04-23-2020,1456,1095,17
04-24-2020,1461,1118,18
04-25-2020,1470,1142,18
04-26-2020,1469,1180,19
04-27-2020,1472,1214,19
04-28-2020,1474,1229,19
04-29-2020,1476,1241,19
04-30-2020,1479,1252,19
05-01-2020,1485,1263,20
05-02-2020,1487,1266,20
05-03-2020,1487,1276,20
05-04-2020,1486,1302,20
05-05-2020,1488,1316,21
05-05-2020,1488,1316,21
05-06-2020,1489,1332,21
05-07-2020,1490,1347,21
05-08-2020,1492,1368,21
05-09-2020,1494,1371,21
05-10-2020,1497,1386,21
05-11-2020,1497,1398,21
05-12-2020,1497,1402,21
05-12-2020,1497,1402,21
05-13-2020,1497,1411,21
05-14-2020,1498,1421,21
05-14-2020,1498,1421,21
05-15-2020,1498,1428,21
05-16-2020,1499,1433,21
05-17-2020,1499,1433,21
05-18-2020,1499,1433,21
05-19-2020,1503,1447,21
05-19-2020,1503,1447,21
05-20-2020,1503,1452,21
05-21-2020,1504,1455,21
05-22-2020,1504,1455,21
05-23-2020,1504,1456,21
05-24-2020,1504,1456,21
05-25-2020,1504,1461,21
05-26-2020,1504,1462,21
05-27-2020,1504,1474,22
05-28-2020,1504,1481,22
05-29-2020,1504,1481,22
05-30-2020,1504,1481,22
05-31-2020,1504,1481,22
06-01-2020,1504,1481,22
06-02-2020,1504,1481,22
06-03-2020,1504,1481,22
06-04-2020,1504,1481,22
06-05-2020,1504,1481,22
06-06-2020,1504,1481,22
06-06-2020,1504,1481,22
06-07-2020,1504,1482,22
06-08-2020,1504,1482,22
06-09-2020,1504,1482,22
06-10-2020,1504,1482,22
06-11-2020,1504,1482,22
06-12-2020,1504,1482,22
06-13-2020,1504,1482,22
06-14-2020,1504,1482,22
06-15-2020,1506,1482,22
06-16-2020,1506,1482,22
06-17-2020,1507,1482,22
06-18-2020,1507,1482,22
06-19-2020,1509,1482,22
06-20-2020,1511,1482,22
06-21-2020,1513,1482,22
06-22-2020,1515,1483,22
06-23-2020,1516,1483,22
06-24-2020,1519,1484,22
06-25-2020,1520,1484,22
06-26-2020,1522,1484,22
06-27-2020,1526,1484,22
06-28-2020,1528,1484,22
06-29-2020,1528,1484,22
06-30-2020,1528,1484,22
07-01-2020,1530,1490,22
07-02-2020,1530,1490,22
07-03-2020,1530,1490,22
07-04-2020,1533,1490,22
07-05-2020,1534,1490,22
07-06-2020,1536,1492,22
07-07-2020,1537,1492,22
07-08-2020,1540,1494,22
07-09-2020,1542,1497,22
07-10-2020,1543,1497,22
07-11-2020,1544,1497,22
07-12-2020,1544,1497,22
07-13-2020,1545,1498,22
07-14-2020,1547,1498,22
07-15-2020,1548,1499,22
07-16-2020,1549,1506,22
07-17-2020,1550,1506,22
07-18-2020,1553,1506,22
07-18-2020,1553,1506,22
07-18-2020,1553,1506,22
07-19-2020,1554,1506,22
07-20-2020,1555,1506,22
07-21-2020,1555,1506,22
07-22-2020,1555,1511,22
07-23-2020,1556,1513,22
07-24-2020,1556,1513,22
