







date,confirmed,cured,dead
03-19-2020,1,0,0
03-20-2020,1,0,0
03-21-2020,2,0,0
03-22-2020,2,0,0
03-23-2020,2,0,0
03-24-2020,2,0,0
03-25-2020,2,0,0
03-26-2020,2,0,0
03-27-2020,2,0,1
03-28-2020,4,0,1
03-29-2020,4,0,1
03-30-2020,4,0,1
03-31-2020,5,0,1
04-01-2020,5,0,1
04-02-2020,5,0,1
04-03-2020,5,0,1
04-04-2020,5,0,1
04-05-2020,6,0,1
04-06-2020,6,0,1
04-07-2020,6,0,1
04-08-2020,6,0,1
04-09-2020,7,0,1
04-10-2020,7,0,1
04-11-2020,8,0,1
04-12-2020,9,4,1
04-13-2020,9,4,1
04-14-2020,9,4,1
04-15-2020,9,4,1
04-16-2020,9,4,1
04-17-2020,9,4,1
04-18-2020,9,6,2
04-19-2020,10,6,2
04-20-2020,10,6,2
04-21-2020,10,7,2
04-22-2020,10,7,2
04-23-2020,11,7,3
04-24-2020,11,7,3
04-25-2020,12,7,3
04-26-2020,13,7,3
04-27-2020,13,7,3
04-28-2020,13,7,3
04-29-2020,13,7,3
04-30-2020,14,7,3
05-01-2020,14,7,3
05-02-2020,14,7,3
05-03-2020,15,7,5
05-04-2020,15,7,5
05-05-2020,16,7,5
05-05-2020,16,7,5
05-06-2020,16,7,5
05-07-2020,16,7,5
05-08-2020,16,7,5
05-09-2020,16,7,5
05-10-2020,16,7,5
05-11-2020,16,7,5
05-12-2020,25,7,8
05-12-2020,25,7,8
05-13-2020,25,7,8
05-14-2020,25,7,8
05-14-2020,25,7,8
05-15-2020,25,7,8
05-16-2020,25,7,8
05-17-2020,25,7,8
05-18-2020,25,7,8
05-19-2020,254,199,17
05-19-2020,254,199,17
05-20-2020,254,199,17
05-21-2020,279,199,17
05-22-2020,279,199,17
05-23-2020,279,199,17
05-24-2020,279,199,17
05-25-2020,279,199,17
05-26-2020,759,370,35
05-27-2020,759,370,35
05-28-2020,759,370,35
05-29-2020,759,370,35
05-30-2020,759,370,35
05-31-2020,759,370,35
