







date,confirmed,cured,dead
03-11-2020,598,1,0
03-12-2020,702,1,0
03-13-2020,996,1,0
03-14-2020,1090,1,3
03-15-2020,1221,1,3
03-16-2020,1333,1,3
03-17-2020,1463,1,3
03-18-2020,1550,1,6
03-19-2020,1746,1,7
03-20-2020,1914,1,7
03-21-2020,2118,1,7
03-22-2020,2263,6,7
03-23-2020,2621,6,10
03-24-2020,2863,6,12
03-25-2020,3084,6,14
03-26-2020,3369,6,14
03-27-2020,3755,6,19
03-28-2020,4015,7,23
03-29-2020,4284,7,25
03-30-2020,4445,12,32
03-31-2020,4641,13,39
04-01-2020,4863,13,44
04-02-2020,5147,32,50
04-03-2020,5370,32,59
04-04-2020,5550,32,62
04-05-2020,5687,32,71
04-06-2020,5865,32,76
04-07-2020,6086,32,89
04-08-2020,6086,32,101
04-09-2020,6211,32,108
04-10-2020,6314,32,113
04-11-2020,6409,32,119
04-12-2020,6525,32,128
04-13-2020,6603,32,134
04-14-2020,6623,32,139
04-15-2020,6740,32,150
04-16-2020,6896,32,152
04-17-2020,6937,32,161
04-18-2020,7036,32,164
04-19-2020,7078,32,165
04-20-2020,7156,32,181
04-21-2020,7191,32,182
04-22-2020,7338,32,187
04-23-2020,7401,32,194
04-24-2020,7463,32,199
04-25-2020,7499,32,201
04-26-2020,7527,32,201
04-27-2020,7599,32,205
04-28-2020,7660,32,206
04-29-2020,7710,32,207
04-30-2020,7738,32,210
05-01-2020,7783,32,210
05-02-2020,7809,32,211
05-03-2020,7847,32,211
05-04-2020,7904,32,214
05-05-2020,7955,32,215
05-05-2020,7955,32,215
05-06-2020,7996,32,216
05-07-2020,8034,32,217
05-08-2020,8070,32,218
05-09-2020,8099,32,219
05-10-2020,8105,32,219
05-11-2020,8132,32,224
05-12-2020,8157,32,228
05-12-2020,8157,32,228
05-13-2020,8175,32,229
05-14-2020,8196,32,232
05-14-2020,8196,32,232
05-15-2020,8219,32,232
05-16-2020,8237,32,232
05-17-2020,8249,32,232
05-18-2020,8257,32,233
05-19-2020,8267,32,233
05-19-2020,8267,32,233
05-20-2020,8281,32,234
05-21-2020,8309,32,235
05-22-2020,8332,7727,235
05-23-2020,8346,7727,235
05-24-2020,8352,7727,235
05-25-2020,8364,7727,235
05-26-2020,8383,7727,235
05-27-2020,8401,7727,235
05-28-2020,8411,7727,236
05-29-2020,8422,7727,236
05-30-2020,8437,7727,236
05-31-2020,8440,7727,236
06-01-2020,8446,7727,236
06-02-2020,8455,7727,237
06-03-2020,8477,7727,237
06-04-2020,8504,8138,238
06-05-2020,8522,8138,238
06-06-2020,8531,8138,238
06-06-2020,8531,8138,238
06-07-2020,8547,8138,238
06-08-2020,8561,8138,239
06-09-2020,8576,8138,239
06-10-2020,8594,8138,239
06-11-2020,8608,8138,242
06-12-2020,8620,8138,242
06-13-2020,8628,8138,242
06-14-2020,8631,8138,242
06-15-2020,8647,8138,242
06-16-2020,8660,8138,242
06-17-2020,8692,8138,243
06-18-2020,8708,8138,244
06-19-2020,8726,8138,244
06-20-2020,8742,8138,244
06-21-2020,8745,8138,244
06-22-2020,8751,8138,248
06-23-2020,8772,8138,248
06-24-2020,8788,8138,249
06-25-2020,8788,8138,249
06-26-2020,8832,8138,249
06-27-2020,8846,8138,249
06-28-2020,8855,8138,249
06-29-2020,8862,8138,249
06-30-2020,8879,8138,250
07-01-2020,8896,8138,251
07-02-2020,8902,8138,251
07-03-2020,8921,8138,251
07-04-2020,8926,8138,251
07-05-2020,8930,8138,251
07-06-2020,8936,8138,251
07-07-2020,8947,8138,251
07-08-2020,8950,8138,251
07-09-2020,8965,8138,252
07-10-2020,8974,8138,252
07-11-2020,8977,8138,252
07-12-2020,8981,8138,252
07-13-2020,8984,8138,253
07-14-2020,9001,8138,253
07-15-2020,9011,8138,253
07-16-2020,9015,8138,254
07-17-2020,9025,8138,255
07-18-2020,9028,8138,255
07-18-2020,9028,8138,255
07-18-2020,9028,8138,255
07-19-2020,9028,8138,255
07-20-2020,9034,8138,255
07-21-2020,9053,8138,255
07-22-2020,9059,8138,255
07-23-2020,9085,8674,255
07-24-2020,9092,8674,255
07-25-2020,9111,8674,255
07-26-2020,9117,8752,255
07-27-2020,9132,8752,255
07-28-2020,9150,8752,255
07-28-2020,9150,8752,255
07-29-2020,9172,8752,255
07-30-2020,9208,8752,255
07-31-2020,9240,8752,255
08-01-2020,9253,8752,255
08-02-2020,9268,8752,255
08-03-2020,9334,8752,256
08-04-2020,9362,8752,256
08-05-2020,9409,8752,256
08-06-2020,9468,8857,256
08-07-2020,9551,8857,256
08-08-2020,9599,8857,256
08-09-2020,9638,8857,256
08-10-2020,9684,8857,256
08-11-2020,9751,8857,256
08-12-2020,9783,8857,256
08-13-2020,9851,8857,257
08-14-2020,9908,8857,261
08-15-2020,9965,8857,261
08-16-2020,10005,8857,261
08-17-2020,10060,8857,261
08-18-2020,10111,8857,262
08-19-2020,10162,8857,262
08-20-2020,10197,9150,264
08-21-2020,10275,9150,264
08-22-2020,10299,9150,264
08-23-2020,10323,9150,264
08-24-2020,10395,9150,264
08-25-2020,10454,9150,264
08-26-2020,10504,9150,264
08-27-2020,10542,9348,264
08-28-2020,10582,9348,264
08-29-2020,10611,9348,264
08-30-2020,10643,9348,264
08-31-2020,10782,9348,264
09-01-2020,10871,9348,264
09-02-2020,11034,9348,264
09-03-2020,11120,9348,264
09-04-2020,11231,9348,264
09-05-2020,11296,9348,264
09-06-2020,11388,9348,264
09-07-2020,11521,9348,264
09-08-2020,11623,9348,264
09-09-2020,11746,9348,264
09-10-2020,11867,9348,265
09-11-2020,12003,10371,265
09-12-2020,12079,10371,265
09-13-2020,12154,10371,265
09-14-2020,12276,10371,265
09-15-2020,12393,10371,265
09-16-2020,12498,10371,265
09-17-2020,12644,10371,266
09-18-2020,12769,10371,267
09-19-2020,12858,10371,267
09-20-2020,12897,10371,267
09-21-2020,13005,10371,267
09-22-2020,13153,10371,267
09-23-2020,13277,10371,267
09-24-2020,13406,10371,270
09-25-2020,13545,10371,270
09-26-2020,13627,11190,270
09-27-2020,13698,11190,270
09-28-2020,13788,11190,274
09-29-2020,13915,11190,274
09-30-2020,14027,11190,274
10-01-2020,14149,11190,274
10-02-2020,14284,11190,275
10-03-2020,14362,11190,275
10-04-2020,14457,11190,275
10-05-2020,14605,11190,275
10-06-2020,14784,11190,275
10-07-2020,15013,11863,275
10-08-2020,15221,11863,275
10-09-2020,15388,11863,275
10-10-2020,15466,11863,275
10-11-2020,15524,11863,275
10-12-2020,15639,11863,276
10-13-2020,15793,11863,277
10-14-2020,15953,11863,277
10-15-2020,16137,11863,278
10-16-2020,16272,11863,278
10-17-2020,16369,11863,278
10-18-2020,16457,11863,278
10-19-2020,16603,11863,278
10-20-2020,16772,11863,278
10-21-2020,16964,11863,279
10-22-2020,17234,11863,279
10-23-2020,17532,11863,279
10-24-2020,17749,11863,279
10-25-2020,17909,11863,279
10-26-2020,18342,11863,279
10-27-2020,18666,11863,280
10-28-2020,19069,11863,280
