







date,confirmed,cured,dead
03-11-2020,18,9,0
03-12-2020,18,9,0
03-13-2020,19,9,0
03-14-2020,19,9,0
03-15-2020,22,9,0
03-16-2020,22,9,0
03-17-2020,24,9,0
03-18-2020,39,12,0
03-19-2020,48,12,0
03-20-2020,48,12,0
03-21-2020,52,12,0
03-22-2020,55,17,0
03-23-2020,66,17,0
03-24-2020,84,17,0
03-25-2020,99,17,0
03-26-2020,109,23,0
03-27-2020,131,23,0
03-28-2020,152,23,0
03-29-2020,167,23,0
03-30-2020,179,29,0
03-31-2020,192,34,1
04-01-2020,210,34,1
04-02-2020,231,57,1
04-03-2020,252,57,1
04-04-2020,277,61,2
04-05-2020,298,61,2
04-06-2020,331,61,2
04-07-2020,371,67,2
04-08-2020,419,72,2
04-09-2020,457,109,3
04-10-2020,484,109,3
04-11-2020,546,109,3
04-12-2020,599,109,4
04-13-2020,727,124,4
04-14-2020,813,130,4
04-15-2020,910,131,4
04-16-2020,1019,176,4
04-17-2020,1069,176,6
04-18-2020,1180,176,6
04-19-2020,1266,233,7
04-20-2020,1410,238,7
04-21-2020,1508,238,8
04-22-2020,1614,238,8
04-23-2020,1716,307,9
04-24-2020,1790,325,10
04-25-2020,1905,329,10
04-26-2020,1998,333,10
04-27-2020,2049,364,10
04-28-2020,2131,364,10
04-29-2020,2274,364,10
04-30-2020,2348,495,11
05-01-2020,2447,495,11
05-02-2020,2483,750,12
05-03-2020,2568,750,12
05-04-2020,2637,816,12
05-05-2020,2735,858,13
05-05-2020,2735,858,13
05-06-2020,2903,888,13
05-07-2020,2958,980,15
05-08-2020,3112,1025,16
05-09-2020,3224,1068,17
05-10-2020,3399,1117,17
05-11-2020,3573,1250,17
05-12-2020,3721,1250,17
05-12-2020,3721,1250,17
05-13-2020,4019,1289,17
05-14-2020,4341,1303,18
05-14-2020,4341,1303,18
05-15-2020,4625,1350,20
05-16-2020,5029,1436,21
05-17-2020,5186,1465,22
05-18-2020,5379,1496,25
05-19-2020,5671,1574,27
05-19-2020,5671,1574,27
05-20-2020,6043,1661,30
05-21-2020,6370,1821,31
05-22-2020,6794,1821,34
05-23-2020,7257,1848,36
05-24-2020,7770,1933,37
05-25-2020,7770,1933,37
05-26-2020,8118,2067,37
05-27-2020,8373,2177,39
05-28-2020,9009,2177,40
05-29-2020,9820,2396,40
05-30-2020,10423,2396,42
05-31-2020,11437,2682,49
06-01-2020,12223,2682,50
06-02-2020,12799,2812,59
06-03-2020,13537,2845,67
06-04-2020,14316,3451,67
06-05-2020,15086,3451,72
06-06-2020,16016,3451,72
06-06-2020,16016,3451,72
06-07-2020,16882,3451,75
06-08-2020,17486,3793,81
06-09-2020,18198,4152,83
06-10-2020,18887,5640,84
06-11-2020,19954,6623,89
06-12-2020,21071,7489,96
06-13-2020,22077,7530,99
06-14-2020,23481,8454,104
06-15-2020,24524,9533,108
06-16-2020,25269,11089,114
06-17-2020,26079,11797,116
06-18-2020,26818,13264,119
06-19-2020,27670,13974,125
06-20-2020,28566,14780,128
06-21-2020,29471,15552,131
06-22-2020,31076,16408,137
06-23-2020,32394,17279,140
06-24-2020,33536,17972,142
06-25-2020,34902,18520,144
06-26-2020,36034,19482,153
06-27-2020,36953,20363,159
06-28-2020,38150,21200,163
06-29-2020,39060,22422,169
06-30-2020,40070,23425,176
07-01-2020,41194,24162,185
07-02-2020,42555,25318,188
07-03-2020,43929,26169,193
07-04-2020,45106,26968,203
07-05-2020,46178,27917,213
07-06-2020,47735,29146,218
07-07-2020,48997,31000,224
07-08-2020,50207,32005,233
07-09-2020,51725,33021,236
07-10-2020,53614,34225,244
07-11-2020,54697,35255,248
07-12-2020,56015,36098,257
07-13-2020,58179,37257,259
07-14-2020,59568,37987,273
07-15-2020,61247,39038,281
07-16-2020,62574,40090,290
07-17-2020,64193,41450,298
07-18-2020,65504,42772,308
07-18-2020,65504,42772,308
07-18-2020,65504,42772,308
07-19-2020,66661,44004,318
07-20-2020,68400,45150,326
07-21-2020,69887,46608,337
07-22-2020,71547,47922,349
07-23-2020,72646,51349,355
07-24-2020,73791,53007,359
07-25-2020,74858,54061,371
07-26-2020,76005,55299,384
07-27-2020,77058,57028,393
07-28-2020,77904,58587,402
07-28-2020,77904,58587,402
07-29-2020,78569,60240,412
07-30-2020,79159,61421,421
07-31-2020,79159,61421,421
08-01-2020,79159,61421,421
08-02-2020,79159,61421,421
08-03-2020,79159,61421,421
08-04-2020,79159,61421,421
08-05-2020,80286,69803,488
08-06-2020,80713,70910,492
08-07-2020,81067,72263,502
08-08-2020,81357,73481,509
08-09-2020,81580,74691,513
08-10-2020,81787,76124,521
08-11-2020,82050,76720,533
08-12-2020,82299,77072,539
08-13-2020,82531,77278,551
08-14-2020,82743,77427,557
08-15-2020,82924,77550,562
08-16-2020,83086,77680,572
08-17-2020,83226,77812,588
08-18-2020,83418,77977,597
08-19-2020,83606,78188,603
08-20-2020,83769,78386,609
08-21-2020,83769,78386,609
08-22-2020,83769,78386,609
08-23-2020,83769,78386,609
08-24-2020,84509,78912,637
08-25-2020,84652,79147,642
08-26-2020,84818,79409,646
08-27-2020,85005,79608,650
08-28-2020,85005,79608,650
08-29-2020,85005,79608,650
08-30-2020,85544,80459,677
08-31-2020,85722,80810,685
09-01-2020,85928,81024,689
09-02-2020,85928,81024,689
09-03-2020,86380,81828,705
09-04-2020,86380,81828,705
09-05-2020,86380,81828,705
09-06-2020,87072,82406,728
09-07-2020,87328,82805,734
09-08-2020,87590,82973,742
09-09-2020,87939,83115,751
09-10-2020,88337,83325,762
09-11-2020,88337,83325,762
09-12-2020,88337,83325,762
09-13-2020,89746,83771,780
09-14-2020,90222,83928,790
09-15-2020,90660,84113,797
09-16-2020,91196,84363,805
09-17-2020,91753,84648,818
09-18-2020,91753,84648,818
09-19-2020,91753,84648,818
09-20-2020,93475,85418,846
09-21-2020,94051,85781,853
09-22-2020,94711,86195,865
09-23-2020,95339,86482,875
09-24-2020,95907,86765,885
09-25-2020,95907,86765,885
09-26-2020,95907,86765,885
09-27-2020,97450,87801,909
09-28-2020,98057,88234,924
09-29-2020,98585,88528,935
09-30-2020,98585,88528,935
10-01-2020,98585,88528,935
10-02-2020,98585,88528,935
10-03-2020,98585,88528,935
10-04-2020,101270,90296,977
10-05-2020,101814,90600,985
10-06-2020,102648,91275,990
10-07-2020,103465,91329,1000
10-08-2020,104129,91731,1009
10-09-2020,104129,91731,1009
10-10-2020,104129,91731,1009
10-11-2020,105890,92840,1038
10-12-2020,106575,93222,1046
10-13-2020,107213,93557,1053
10-14-2020,107776,93908,1061
10-15-2020,108296,94229,1071
10-16-2020,108296,94229,1071
10-17-2020,108296,94229,1071
10-18-2020,109953,95624,1101
10-19-2020,110594,96400,1114
10-20-2020,111033,96949,1122
10-21-2020,111484,97367,1137
10-22-2020,111837,97949,1147
10-23-2020,111837,97949,1147
10-24-2020,111837,97949,1147
10-25-2020,112932,99278,1174
10-26-2020,113354,99668,1190
10-27-2020,113820,99997,1203
10-28-2020,114434,103060,1208
10-29-2020,114434,103060,1208
10-30-2020,114434,103060,1208
10-31-2020,114434,103060,1208
11-01-2020,115734,105700,1246
11-02-2020,116152,106195,1256
11-03-2020,116528,106540,1264
11-04-2020,116847,106903,1275
