







date,confirmed,cured,dead
03-11-2020,19,2,0
03-12-2020,20,2,0
03-13-2020,28,2,0
03-14-2020,31,2,0
03-15-2020,53,2,0
03-16-2020,136,2,0
03-17-2020,236,2,0
03-18-2020,299,2,0
03-19-2020,454,13,2
03-20-2020,501,13,3
03-21-2020,730,13,3
03-22-2020,776,13,4
03-23-2020,875,13,6
03-24-2020,972,18,7
03-25-2020,1063,21,8
03-26-2020,1201,21,9
03-27-2020,1373,23,11
03-28-2020,1495,29,12
03-29-2020,1597,29,14
03-30-2020,1717,76,21
03-31-2020,1938,76,26
04-01-2020,2118,94,27
04-02-2020,2421,125,34
04-03-2020,2686,126,40
04-04-2020,2818,131,41
04-05-2020,3157,211,47
04-06-2020,3766,259,53
04-07-2020,4035,429,57
04-08-2020,4263,467,61
04-09-2020,4489,572,65
04-10-2020,4695,727,66
04-11-2020,5011,762,86
04-12-2020,5230,1028,91
04-13-2020,5496,1095,93
04-14-2020,5837,1378,96
04-15-2020,6383,1446,111
04-16-2020,6919,1645,128
04-17-2020,7025,1765,135
04-18-2020,7638,1832,143
04-19-2020,8348,1868,168
04-20-2020,8418,1970,176
04-21-2020,9565,2073,201
04-22-2020,10076,2156,212
04-23-2020,11155,2527,237
04-24-2020,11940,2755,253
04-25-2020,12723,2866,269
04-26-2020,13328,2936,281
04-27-2020,13915,3029,292
04-28-2020,14612,3233,312
04-29-2020,15525,3425,343
04-30-2020,16817,4315,385
05-01-2020,18114,4715,417
05-02-2020,19103,4817,440
05-03-2020,20084,5114,457
05-04-2020,20941,5635,476
05-05-2020,22049,5801,514
05-05-2020,22049,5801,514
05-06-2020,24073,6464,564
05-07-2020,24644,6464,585
05-08-2020,26435,7530,599
05-09-2020,28736,7809,636
05-10-2020,30334,8063,659
05-11-2020,32081,8555,706
05-12-2020,34336,8812,737
05-12-2020,34336,8812,737
05-13-2020,35298,8899,761
05-14-2020,35788,9695,770
05-14-2020,35788,9695,770
05-15-2020,38799,10880,834
05-16-2020,38799,10880,834
05-17-2020,40151,11341,873
05-18-2020,42125,11922,903
05-19-2020,43966,12489,939
05-19-2020,43966,12489,939
05-20-2020,45898,13101,985
05-21-2020,48091,14155,1017
05-22-2020,50694,15201,1067
05-23-2020,52437,16653,1101
05-24-2020,54601,17198,1133
05-25-2020,56349,17482,1167
05-26-2020,57705,18314,1197
05-27-2020,59151,19142,1225
05-28-2020,61227,20231,1260
05-29-2020,64028,22305,1317
05-30-2020,66457,24131,1395
05-31-2020,69496,25271,1483
06-01-2020,72460,26083,1543
06-02-2020,76398,27110,1621
06-03-2020,80463,28923,1688
06-04-2020,85264,30128,1770
06-05-2020,89249,31198,1838
06-06-2020,93983,32581,1935
06-06-2020,93983,32581,1935
06-07-2020,98943,33465,2002
06-08-2020,108317,35018,2172
06-09-2020,113702,36308,2255
06-10-2020,113702,36308,2255
06-11-2020,125933,40247,2463
06-12-2020,125933,40247,2463
06-13-2020,132405,50056,2551
06-14-2020,144478,53721,2729
06-15-2020,148921,56390,2839
06-16-2020,154760,58437,2975
06-17-2020,160118,59215,3093
06-18-2020,165062,61383,3229
06-19-2020,171666,63504,3382
06-20-2020,176617,67892,3501
06-21-2020,181088,71458,3590
06-22-2020,185034,73471,3695
06-23-2020,188926,77754,3755
06-24-2020,192970,81307,3903
06-25-2020,195745,84168,3962
06-26-2020,198883,86906,4035
06-27-2020,202955,92624,4118
06-28-2020,206512,95407,4167
06-29-2020,209337,98503,4304
06-30-2020,213470,100802,4395
07-01-2020,217809,104694,4473
07-02-2020,221896,113623,4551
07-03-2020,221896,113623,4551
07-04-2020,225283,125094,4619
07-05-2020,231818,131649,4762
07-06-2020,234509,134957,4839
07-07-2020,237489,140965,4922
07-08-2020,240848,145311,4983
07-09-2020,243599,149092,5058
07-10-2020,246351,153134,5123
07-11-2020,248872,156700,5197
07-12-2020,251625,161917,5266
07-13-2020,253604,170656,5320
07-14-2020,255769,172810,5386
07-15-2020,257914,178737,5426
07-16-2020,257914,178737,5426
07-17-2020,261917,198509,5522
07-18-2020,263496,204276,5568
07-18-2020,263496,204276,5568
07-18-2020,263496,204276,5568
07-19-2020,265083,205929,5599
07-20-2020,266096,208030,5639
07-21-2020,267428,210468,5677
07-22-2020,269191,213175,5709
07-23-2020,270400,219783,5763
07-24-2020,271887,236596,5787
07-25-2020,273113,237434,5822
07-26-2020,273113,237434,5822
07-27-2020,274289,241026,5842
07-28-2020,275225,242436,5865
07-28-2020,275225,242436,5865
07-29-2020,276288,244883,5892
07-30-2020,277402,246131,5924
07-31-2020,278305,247177,5951
08-01-2020,278305,247177,5951
08-02-2020,279699,248577,5976
08-03-2020,280461,249397,5999
08-04-2020,280461,249397,5999
08-05-2020,281136,254286,6014
08-06-2020,281863,256058,6035
08-07-2020,282645,258099,6052
08-08-2020,283487,259604,6068
08-09-2020,284121,260248,6082
08-10-2020,284660,260764,6097
08-11-2020,285191,261246,6112
08-12-2020,286674,264060,6139
08-13-2020,286674,264060,6139
08-14-2020,287300,265215,6153
08-15-2020,288047,265624,6162
08-16-2020,289215,269087,6175
08-17-2020,289215,269087,6175
08-18-2020,289832,269989,6190
08-19-2020,290445,272128,6201
08-20-2020,290958,272804,6209
08-21-2020,291588,273579,6219
08-22-2020,292174,275317,6231
08-23-2020,293261,276829,6244
08-24-2020,293261,276829,6244
08-25-2020,293711,278425,6255
08-26-2020,294193,278939,6267
08-27-2020,294638,279561,6274
08-28-2020,295053,279937,6283
08-29-2020,295372,280340,6284
08-30-2020,295636,280547,6288
08-31-2020,295849,280682,6294
09-01-2020,296149,280970,6298
09-02-2020,297014,281925,6328
09-03-2020,297512,282268,6335
09-04-2020,298025,282553,6340
09-05-2020,298025,282553,6340
09-06-2020,298903,286016,6345
09-07-2020,299233,286157,6350
09-08-2020,299659,286506,6359
09-09-2020,300030,287658,6365
09-10-2020,300371,288206,6370
09-11-2020,300955,288536,6373
09-12-2020,301481,289429,6379
09-13-2020,302020,289806,6383
09-14-2020,302424,290261,6389
09-15-2020,303089,290760,6393
09-16-2020,303634,291169,6399
09-17-2020,304386,291683,6408
09-18-2020,305031,292044,6415
09-19-2020,305671,292303,6416
09-20-2020,306304,292869,6420
09-21-2020,306886,293159,6424
09-22-2020,307418,293916,6432
09-23-2020,308217,294392,6437
09-24-2020,309015,294740,6444
09-25-2020,309581,295333,6451
09-26-2020,310275,295613,6457
09-27-2020,310841,296022,6466
09-28-2020,311516,296340,6474
09-29-2020,312263,296881,6479
09-30-2020,312806,297497,6484
10-01-2020,313431,298055,6499
10-02-2020,313984,298593,6507
10-03-2020,314616,298968,6513
10-04-2020,314616,298968,6513
10-05-2020,315727,300616,6523
10-06-2020,316351,301288,6535
10-07-2020,316934,302375,6544
10-08-2020,317595,302708,6552
10-09-2020,318266,303062,6558
10-10-2020,318932,303458,6570
10-11-2020,319317,304185,6580
10-12-2020,319848,304609,6588
10-13-2020,320463,305080,6601
10-14-2020,321218,305395,6614
10-15-2020,321877,305835,6621
10-16-2020,322452,306640,6638
10-17-2020,323019,307069,6654
10-18-2020,323452,307409,6659
10-19-2020,324034,308010,6673
10-20-2020,324744,308674,6692
10-21-2020,325480,309136,6702
10-22-2020,326216,309646,6715
10-23-2020,327063,310101,6727
10-24-2020,327895,310491,6736
