







date,confirmed,cured,dead
03-11-2020,8,0,1
03-12-2020,11,0,1
03-13-2020,27,0,1
03-14-2020,36,0,1
03-15-2020,43,0,1
03-16-2020,55,0,1
03-17-2020,69,0,1
03-18-2020,86,0,1
03-19-2020,109,0,1
03-20-2020,137,0,1
03-21-2020,200,0,1
03-22-2020,313,1,3
03-23-2020,313,1,3
03-24-2020,345,1,6
03-25-2020,443,1,8
03-26-2020,558,2,8
03-27-2020,674,2,9
03-28-2020,786,2,14
03-29-2020,901,4,17
03-30-2020,989,4,24
03-31-2020,1181,9,30
04-01-2020,1181,9,30
04-02-2020,1317,9,32
04-03-2020,1475,10,37
04-04-2020,1673,13,41
04-05-2020,1801,13,46
04-06-2020,1988,13,54
04-07-2020,2100,14,55
04-08-2020,2249,16,59
04-09-2020,2528,16,63
04-10-2020,2752,16,66
04-11-2020,2974,17,74
04-12-2020,3234,23,79
04-13-2020,3400,29,87
04-14-2020,3472,61,94
04-15-2020,3574,72,95
04-16-2020,3751,75,103
04-17-2020,4016,98,109
04-18-2020,4210,122,116
04-19-2020,4273,140,120
04-20-2020,4467,165,126
04-21-2020,4658,204,136
04-22-2020,4821,231,141
04-23-2020,5166,271,146
04-24-2020,5338,319,154
04-25-2020,5538,338,159
04-26-2020,5779,338,165
04-27-2020,6021,455,167
04-28-2020,6021,455,167
04-29-2020,6378,527,178
04-30-2020,6532,576,188
05-01-2020,6720,622,192
05-02-2020,7090,641,197
05-03-2020,7090,641,197
05-04-2020,7197,641,200
05-05-2020,7523,823,210
05-05-2020,7523,823,210
05-06-2020,7731,859,218
05-07-2020,7868,886,225
05-08-2020,8070,886,231
05-09-2020,8282,4501,237
05-10-2020,8448,4687,244
05-11-2020,8616,4687,249
05-12-2020,8783,6021,252
05-12-2020,8783,6021,252
05-13-2020,8944,6067,256
05-14-2020,9118,6080,260
05-14-2020,9118,6080,260
05-15-2020,9268,6080,266
05-16-2020,9449,6080,269
05-17-2020,9606,6081,275
05-18-2020,9726,6081,279
05-19-2020,9867,6194,281
05-19-2020,9867,6194,281
05-20-2020,9977,6194,287
05-21-2020,10116,6245,291
05-22-2020,10267,6275,295
05-23-2020,10577,6279,299
05-24-2020,10926,6279,306
05-25-2020,11183,6279,310
05-26-2020,11447,6379,313
05-27-2020,11728,7379,315
05-28-2020,12131,7379,320
05-29-2020,12531,7540,326
05-30-2020,13018,9414,330
05-31-2020,13463,9514,336
06-01-2020,13837,9514,344
06-02-2020,14095,9514,352
06-03-2020,14609,9519,357
06-04-2020,15044,9619,363
06-05-2020,15463,9719,370
06-06-2020,16004,10118,386
06-06-2020,16004,10118,386
06-07-2020,16425,10218,393
06-08-2020,16854,10401,398
06-09-2020,17233,10561,403
06-10-2020,17889,10977,413
06-11-2020,18586,10977,418
06-12-2020,19211,13759,421
06-13-2020,20059,13759,429
06-14-2020,21418,13766,437
06-15-2020,21422,13766,448
