







date,confirmed,cured,dead
03-11-2020,5,0,0
03-12-2020,5,0,0
03-13-2020,6,0,0
03-14-2020,6,0,0
03-15-2020,6,0,0
03-16-2020,8,0,0
03-17-2020,9,0,0
03-18-2020,11,0,0
03-19-2020,11,0,0
03-20-2020,13,0,0
03-21-2020,18,0,1
03-22-2020,22,0,1
03-23-2020,22,0,1
03-24-2020,27,0,2
03-25-2020,37,0,3
03-26-2020,41,0,3
03-27-2020,52,1,3
03-28-2020,56,1,3
03-29-2020,59,1,3
03-30-2020,64,1,3
03-31-2020,65,1,3
04-01-2020,69,1,3
04-02-2020,77,2,3
04-03-2020,92,6,3
04-04-2020,96,12,3
04-05-2020,104,12,3
04-06-2020,113,12,5
04-07-2020,115,15,5
04-08-2020,119,15,5
04-09-2020,124,18,5
04-10-2020,129,18,6
04-11-2020,133,18,6
04-12-2020,134,22,6
04-13-2020,147,22,6
04-14-2020,159,22,7
04-15-2020,161,23,8
04-16-2020,174,30,8
04-17-2020,199,30,8
04-18-2020,202,35,8
04-19-2020,206,41,8
04-20-2020,208,46,8
04-21-2020,208,53,8
04-22-2020,213,62,9
04-23-2020,213,67,9
04-24-2020,223,78,9
04-25-2020,228,85,9
04-26-2020,228,85,9
04-27-2020,228,93,9
04-28-2020,239,102,9
04-29-2020,239,102,9
04-30-2020,266,113,10
05-01-2020,333,115,10
05-02-2020,370,119,10
05-03-2020,396,126,10
05-04-2020,415,130,10
05-05-2020,431,135,10
05-05-2020,431,135,10
05-06-2020,440,142,10
05-07-2020,462,148,10
05-08-2020,563,152,10
05-09-2020,689,155,10
05-10-2020,713,165,10
05-11-2020,724,170,10
05-12-2020,737,173,10
05-12-2020,737,173,10
05-13-2020,740,182,11
05-14-2020,754,184,11
05-14-2020,754,184,11
05-15-2020,759,193,11
05-16-2020,778,198,11
05-17-2020,786,202,11
05-18-2020,788,219,11
05-19-2020,829,230,11
05-19-2020,829,230,11
05-20-2020,833,242,11
05-21-2020,836,256,11
05-22-2020,838,264,11
05-23-2020,850,298,11
05-24-2020,862,307,11
05-25-2020,865,344,11
05-26-2020,877,382,11
05-27-2020,884,392,11
05-28-2020,900,402,11
05-29-2020,917,413,11
05-30-2020,964,466,11
05-31-2020,986,477,11
06-01-2020,995,488,11
06-02-2020,1013,498,11
06-03-2020,1070,511,11
06-04-2020,1086,511,11
06-05-2020,1087,516,11
06-06-2020,1090,532,11
06-06-2020,1090,532,11
06-07-2020,1135,575,11
06-08-2020,1145,603,11
06-09-2020,1187,604,11
06-10-2020,1202,619,11
06-11-2020,1230,624,11
06-12-2020,1254,633,11
06-13-2020,1261,647,11
06-14-2020,1289,650,11
06-15-2020,1296,673,12
06-16-2020,1303,699,13
06-17-2020,1308,711,13
06-18-2020,1330,717,13
06-19-2020,1336,741,13
06-20-2020,1362,791,13
06-21-2020,1379,871,13
06-22-2020,1392,903,13
06-23-2020,1422,926,13
06-24-2020,1528,944,13
06-25-2020,1569,976,13
06-26-2020,1711,1013,13
06-27-2020,1942,1045,15
06-28-2020,2127,1065,15
06-29-2020,2191,1080,16
06-30-2020,2221,1089,17
07-01-2020,2260,1102,19
07-02-2020,2303,1108,19
07-03-2020,2349,1113,19
07-04-2020,2385,1134,20
07-05-2020,2427,1166,20
07-06-2020,2456,1180,20
07-07-2020,2502,1193,20
07-08-2020,2554,1212,20
07-09-2020,2638,1229,20
07-10-2020,2736,1256,20
07-11-2020,2820,1261,21
07-12-2020,2948,1275,22
07-13-2020,2980,1293,25
07-14-2020,3074,1308,25
07-15-2020,3198,1338,25
07-16-2020,3342,1379,27
07-17-2020,3457,1481,28
07-18-2020,3629,1643,29
07-18-2020,3629,1643,29
07-18-2020,3629,1643,29
07-19-2020,3721,1918,31
07-20-2020,3748,2171,33
07-21-2020,3817,2307,35
07-22-2020,4000,2391,36
07-23-2020,4113,2487,36
07-24-2020,4224,2596,38
07-25-2020,4328,2679,40
07-26-2020,4444,2794,41
07-27-2020,4548,2905,43
07-28-2020,4674,3039,45
07-28-2020,4674,3039,45
07-29-2020,4866,3169,46
07-30-2020,5207,3250,47
07-31-2020,5338,3548,49
08-01-2020,5485,3786,52
