







date,confirmed,cured,dead
03-11-2020,11,0,0
03-12-2020,15,0,0
03-13-2020,28,0,0
03-14-2020,38,0,0
03-15-2020,43,0,0
03-16-2020,86,0,0
03-17-2020,117,1,0
03-18-2020,145,1,0
03-19-2020,234,1,0
03-20-2020,234,1,3
03-21-2020,318,1,5
03-22-2020,363,1,5
03-23-2020,395,1,5
03-24-2020,416,1,7
03-25-2020,480,1,9
03-26-2020,580,14,9
03-27-2020,635,16,11
03-28-2020,671,16,16
03-29-2020,852,16,18
03-30-2020,950,53,24
03-31-2020,1065,394,30
04-01-2020,1323,394,38
04-02-2020,1414,537,55
04-03-2020,1595,537,61
04-04-2020,1746,914,73
04-05-2020,2281,989,83
04-06-2020,2561,997,92
04-07-2020,2954,1301,107
04-08-2020,4342,1333,121
04-09-2020,5256,1438,138
04-10-2020,5897,1569,169
04-11-2020,6848,1739,181
04-12-2020,7519,1798,193
04-13-2020,9784,2642,216
04-14-2020,10303,2869,230
04-15-2020,11475,3108,254
04-16-2020,12491,6120,274
04-17-2020,13489,6541,300
04-18-2020,14420,6684,348
04-19-2020,15628,6811,400
04-20-2020,16325,6968,445
04-21-2020,17837,6982,484
04-22-2020,19250,7027,530
04-23-2020,20914,7422,572
04-24-2020,21648,7496,634
04-25-2020,25331,7797,700
04-26-2020,27517,8088,728
04-27-2020,28699,8425,782
04-28-2020,31190,9179,854
04-29-2020,33931,10037,943
04-30-2020,36976,10405,1051
05-01-2020,40459,11129,1124
05-02-2020,42534,12434,1200
05-03-2020,45928,13550,1286
05-04-2020,47372,14427,1344
05-05-2020,51189,15413,1444
05-05-2020,51189,15413,1444
05-06-2020,54817,17527,1533
05-07-2020,58526,18388,1627
05-08-2020,61847,19012,1714
05-09-2020,65015,20246,1814
05-10-2020,67307,21349,1889
05-11-2020,68822,22406,1961
05-12-2020,72059,23324,2057
05-12-2020,72059,23324,2057
05-13-2020,76306,24324,2169
05-14-2020,80604,25151,2267
05-14-2020,80604,25151,2267
05-15-2020,84495,27147,2392
05-16-2020,88541,28272,2523
05-17-2020,92273,28621,2648
05-18-2020,94933,30306,2789
05-19-2020,99483,36524,2914
05-19-2020,99483,36524,2914
05-20-2020,104020,41968,3024
