







date,confirmed,cured,dead
03-11-2020,49,2,1
03-12-2020,52,2,2
03-13-2020,64,2,5
03-14-2020,111,2,8
03-15-2020,140,2,11
03-16-2020,142,2,12
03-17-2020,187,5,12
03-18-2020,202,5,19
03-19-2020,217,8,17
03-20-2020,230,8,18
03-21-2020,307,13,19
03-22-2020,380,15,25
03-23-2020,462,18,33
03-24-2020,552,20,35
03-25-2020,636,26,38
03-26-2020,707,28,45
03-27-2020,803,31,54
03-28-2020,1075,35,68
03-29-2020,1418,42,71
03-30-2020,1546,42,78
03-31-2020,2084,49,88
04-01-2020,2311,50,96
04-02-2020,2633,51,107
04-03-2020,3018,52,136
04-04-2020,3094,57,144
04-05-2020,3246,64,152
04-06-2020,3660,73,163
04-07-2020,3764,84,177
04-08-2020,3870,96,182
04-09-2020,4076,124,203
04-10-2020,4195,140,221
04-11-2020,4428,157,247
04-12-2020,4648,197,297
04-13-2020,4932,242,315
04-14-2020,5223,295,335
04-15-2020,5453,353,349
04-16-2020,5660,435,362
04-17-2020,5878,487,387
04-18-2020,6087,516,397
04-19-2020,6259,572,409
04-20-2020,6459,613,428
04-21-2020,6599,654,437
04-22-2020,6710,693,446
04-23-2020,6981,722,462
04-24-2020,7192,762,477
04-25-2020,7294,792,494
04-26-2020,7579,862,501
04-27-2020,7777,932,511
04-28-2020,7958,975,530
04-29-2020,8212,1023,558
04-30-2020,8488,1043,568
05-01-2020,8772,1084,579
05-02-2020,8928,1124,603
05-03-2020,9223,1214,607
05-04-2020,9485,1315,623
05-05-2020,9684,1408,637
05-05-2020,9684,1408,637
05-06-2020,10004,1506,658
05-07-2020,10343,1618,685
05-08-2020,10463,1734,696
05-09-2020,10610,1842,704
05-10-2020,10794,1924,719
05-11-2020,11086,1999,726
05-12-2020,11350,2106,751
05-12-2020,11350,2106,751
05-13-2020,11618,2251,772
05-14-2020,11876,2337,790
05-14-2020,11876,2337,790
05-15-2020,12091,2460,806
05-16-2020,12305,2561,817
05-17-2020,12513,2635,824
05-18-2020,12718,2729,831
05-19-2020,12942,2843,837
05-19-2020,12942,2843,837
05-20-2020,13221,2932,842
05-21-2020,13434,3000,846
05-22-2020,13597,3092,857
05-23-2020,13777,3177,863
05-24-2020,14035,3249,868
05-25-2020,14319,3323,873
05-26-2020,14669,3412,886
05-27-2020,15049,3506,904
05-28-2020,15588,3598,921
05-29-2020,16634,3720,942
05-30-2020,17224,3808,950
05-31-2020,18086,3909,957
06-01-2020,18638,3979,960
06-02-2020,18997,4063,966
06-03-2020,19748,4153,974
06-04-2020,20382,4248,984
06-05-2020,20626,4330,987
06-06-2020,21340,4441,994
06-06-2020,21340,4441,994
06-07-2020,21895,4530,1003
06-08-2020,22474,4637,1011
06-09-2020,22992,4736,1017
06-10-2020,23732,4895,1027
06-11-2020,24175,5165,1036
06-12-2020,24787,5454,1052
