







date,confirmed,cured,dead
03-11-2020,31,0,0
03-12-2020,49,0,1
03-13-2020,68,0,2
03-14-2020,103,0,3
03-15-2020,119,0,3
03-16-2020,177,13,4
03-17-2020,238,13,5
03-18-2020,251,13,5
03-19-2020,355,1,5
03-20-2020,425,1,5
03-21-2020,536,1,5
03-22-2020,634,13,7
03-23-2020,749,13,8
03-24-2020,901,1,10
03-25-2020,1051,7,14
03-26-2020,1221,7,16
03-27-2020,1389,7,16
03-28-2020,1638,7,18
03-29-2020,1862,7,22
03-30-2020,2055,7,31
03-31-2020,2311,7,33
04-01-2020,2554,47,43
04-02-2020,2946,56,57
04-03-2020,3383,56,71
04-04-2020,3627,116,79
04-05-2020,4102,134,94
04-06-2020,4413,162,107
04-07-2020,4848,191,129
04-08-2020,5205,222,159
04-09-2020,5575,284,174
04-10-2020,5955,318,181
04-11-2020,6356,375,208
04-12-2020,6674,439,232
04-13-2020,6934,487,245
04-14-2020,7202,618,263
04-15-2020,7582,668,286
04-16-2020,7918,774,314
04-17-2020,8379,866,332
04-18-2020,8742,981,347
04-19-2020,9287,1040,360
04-20-2020,9593,1133,380
04-21-2020,9856,1297,401
04-22-2020,10169,1513,426
04-23-2020,10511,1740,454
04-24-2020,10892,1944,494
04-25-2020,11273,2126,524
04-26-2020,11617,2265,535
04-27-2020,11902,2466,562
04-28-2020,12218,2655,596
04-29-2020,12640,3025,624
04-30-2020,12877,3236,644
05-01-2020,13105,3491,651
05-02-2020,13375,3762,664
05-03-2020,13693,3945,678
05-04-2020,14006,4095,698
05-05-2020,14431,4280,716
05-05-2020,14431,4280,716
05-06-2020,14740,4655,733
05-07-2020,15047,4862,755
05-08-2020,15366,5184,776
05-09-2020,15651,5437,785
05-10-2020,15996,5698,800
05-11-2020,16326,5816,811
05-12-2020,16921,6131,839
05-12-2020,16921,6131,839
05-13-2020,17204,6410,861
05-14-2020,17615,6696,883
05-14-2020,17615,6696,883
05-15-2020,18016,6918,907
05-16-2020,18257,7175,915
05-17-2020,18529,7451,925
05-18-2020,18885,7628,936
05-19-2020,19268,7903,948
05-19-2020,19268,7903,948
05-20-2020,19739,8183,962
05-21-2020,20143,8452,972
05-22-2020,20619,8731,982
05-23-2020,20931,8977,993
05-24-2020,21326,9194,996
05-25-2020,21631,9276,1007
05-26-2020,22074,10020,1024
05-27-2020,22473,10330,1028
05-28-2020,22825,10560,1038
05-29-2020,23155,10692,1051
05-30-2020,23571,11016,1061
05-31-2020,23786,11271,1064
06-01-2020,24165,11449,1074
06-02-2020,24395,11726,1092
06-03-2020,24687,12014,1115
06-04-2020,25048,12227,1117
06-05-2020,25410,12410,1137
06-06-2020,25986,12641,1153
06-06-2020,25986,12641,1153
06-07-2020,26561,12855,1157
06-08-2020,27160,12998,1166
06-09-2020,27560,13196,1183
06-10-2020,27842,13411,1206
06-11-2020,28201,13696,1215
06-12-2020,28577,13805,1222
06-13-2020,29017,14104,1237
06-14-2020,29392,14226,1247
06-15-2020,29788,14383,1256
06-16-2020,30195,14654,1272
06-17-2020,30701,14921,1286
06-18-2020,31015,15317,1316
06-19-2020,31316,15698,1334
06-20-2020,31620,16181,1346
06-21-2020,31931,16683,1356
06-22-2020,32227,17076,1359
06-23-2020,32527,17573,1375
06-24-2020,32821,18134,1396
06-25-2020,33119,18654,1412
06-26-2020,33395,19218,1429
06-27-2020,33714,19972,1435
06-28-2020,33907,20548,1438
06-29-2020,34154,20897,1444
06-30-2020,34393,21281,1463
07-01-2020,34775,21791,1477
07-02-2020,35146,22209,1492
07-03-2020,35405,22651,1507
07-04-2020,35719,23127,1512
07-05-2020,35950,23746,1517
07-06-2020,36155,23966,1521
07-07-2020,36412,24238,1528
07-08-2020,36689,24878,1542
07-09-2020,36951,25477,1551
07-10-2020,37216,26048,1562
07-11-2020,37521,26635,1568
07-12-2020,37891,27148,1571
07-13-2020,38190,27515,1576
07-14-2020,38457,27756,1588
07-15-2020,38721,28492,1594
07-16-2020,39054,28928,1605
07-17-2020,39407,29505,1612
07-18-2020,39746,29924,1618
07-18-2020,39746,29924,1618
07-18-2020,39746,29924,1618
07-19-2020,40104,30292,1624
07-20-2020,40383,30539,1627
07-21-2020,40782,30771,1636
07-22-2020,41162,31139,1642
07-23-2020,41580,31541,1651
07-24-2020,42038,31997,1655
07-25-2020,42622,32419,1664
07-26-2020,43065,32753,1671
07-27-2020,43402,32856,1676
07-28-2020,43904,33043,1682
07-28-2020,43904,33043,1682
07-29-2020,44416,33190,1694
07-30-2020,45031,33643,1709
07-31-2020,45688,33987,1716
08-01-2020,46346,34374,1721
08-02-2020,46894,34709,1731
08-03-2020,47469,34881,1732
08-04-2020,48149,35056,1738
08-05-2020,48789,35321,1756
08-06-2020,49515,35642,1774
08-07-2020,50324,36041,1787
08-08-2020,51167,36403,1800
08-09-2020,51791,36691,1807
08-10-2020,52410,36877,1809
08-11-2020,52961,37150,1821
08-12-2020,53676,37611,1830
08-13-2020,54487,37961,1844
08-14-2020,55319,38362,1858
08-15-2020,56090,38853,1869
08-16-2020,56684,39130,1877
08-17-2020,57279,39359,1885
08-18-2020,57876,39643,1896
08-19-2020,58611,40099,1913
08-20-2020,59378,40481,1925
08-21-2020,60281,41029,1938
08-22-2020,61181,41661,1951
08-23-2020,61762,42183,1955
08-24-2020,62310,42448,1960
08-25-2020,63073,42784,1977
08-26-2020,63802,43399,1994
08-27-2020,64689,44097,2010
08-28-2020,65480,44785,2018
08-29-2020,66239,45536,2032
08-30-2020,66870,46192,2033
08-31-2020,67372,46638,2039
09-01-2020,67922,47030,2058
09-02-2020,68517,47865,2078
09-03-2020,69129,48593,2092
09-04-2020,69820,49820,2100
09-05-2020,70387,52346,2113
09-06-2020,70824,54256,2120
09-07-2020,71126,55113,2124
09-08-2020,71526,55910,2136
09-09-2020,71947,57135,2147
09-10-2020,72453,58069,2159
09-11-2020,73047,58848,2169
09-12-2020,73650,59725,2182
09-13-2020,74152,60659,2188
09-14-2020,74529,61097,2203
09-15-2020,75134,61548,2227
09-16-2020,75734,62110,2237
09-17-2020,76571,62725,2253
09-18-2020,77328,63312,2270
09-19-2020,78330,63861,2282
09-20-2020,79240,64302,2293
09-21-2020,79988,64604,2298
09-22-2020,80699,64972,2316
09-23-2020,81673,65561,2344
09-24-2020,82809,66158,2369
09-25-2020,84396,66740,2392
09-26-2020,85980,67326,2424
09-27-2020,87330,67904,2432
09-28-2020,88636,68420,2447
09-29-2020,89962,68955,2483
09-30-2020,91514,69695,2513
10-01-2020,93481,70401,2543
10-02-2020,95773,71353,2570
10-03-2020,98140,72209,2604
10-04-2020,100074,73003,2630
10-05-2020,102080,73552,2659
10-06-2020,104316,74158,2717
10-07-2020,107319,75346,2792
10-08-2020,111599,76490,2867
10-09-2020,116338,77875,2919
10-10-2020,121638,78982,2972
10-11-2020,125816,80302,3004
10-12-2020,130210,81201,3039
10-13-2020,135278,82004,3101
10-14-2020,141804,83847,3217
10-15-2020,149903,85588,3308
10-16-2020,157608,87773,3440
10-17-2020,167230,90162,3524
10-18-2020,175766,92651,3573
10-19-2020,183248,94014,3614
10-20-2020,192539,95956,3721
10-21-2020,202579,98884,3851
10-22-2020,214686,102204,4019
10-23-2020,228318,105092,4172
10-24-2020,241946,109344,4351
