







date,confirmed,cured,dead
03-11-2020,59,0,0
03-12-2020,59,0,0
03-13-2020,112,1,0
03-14-2020,169,2,0
03-15-2020,245,2,0
03-16-2020,331,3,0
03-17-2020,448,3,1
03-18-2020,448,3,2
03-19-2020,785,3,3
03-20-2020,1020,5,6
03-21-2020,1280,5,12
03-22-2020,1600,5,14
03-23-2020,2060,14,23
03-24-2020,2362,22,33
03-25-2020,2995,22,43
03-26-2020,3544,43,60
03-27-2020,4268,43,76
03-28-2020,5170,43,100
03-29-2020,5962,43,119
03-30-2020,6408,43,140
03-31-2020,7443,43,160
04-01-2020,8251,43,187
04-02-2020,9034,68,209
04-03-2020,9886,68,246
04-04-2020,10524,75,266
04-05-2020,11278,75,295
04-06-2020,11730,140,311
04-07-2020,12442,184,345
04-08-2020,13141,196,380
04-09-2020,13956,205,409
04-10-2020,15472,233,435
04-11-2020,15987,266,470
04-12-2020,16585,277,504
04-13-2020,16934,277,535
04-14-2020,17448,347,567
04-15-2020,18091,383,599
04-16-2020,18841,493,629
04-17-2020,19022,519,657
04-18-2020,19685,610,687
04-19-2020,20206,610,714
04-20-2020,20863,610,735
04-21-2020,21379,917,762
04-22-2020,21982,1143,785
04-23-2020,22353,1201,820
04-24-2020,22797,1228,854
04-25-2020,23392,1277,880
04-26-2020,23864,1329,903
04-27-2020,24027,1357,928
04-28-2020,24322,1389,948
04-29-2020,24505,1470,973
04-30-2020,25045,1519,989
05-01-2020,25351,1647,1007
05-02-2020,25190,1671,1023
05-03-2020,25282,1689,1043
05-04-2020,25524,1712,1063
05-05-2020,25702,1743,1074
05-05-2020,25702,1743,1074
05-06-2020,26182,2076,1089
05-07-2020,26715,2258,1105
05-08-2020,27268,2422,1114
05-09-2020,27406,2499,1126
05-10-2020,27581,2549,1135
05-11-2020,27679,2549,1144
05-12-2020,27913,3013,1163
05-12-2020,27913,3013,1163
05-13-2020,28132,3182,1175
05-14-2020,28319,3198,1184
05-14-2020,28319,3198,1184
05-15-2020,28583,3328,1190
05-16-2020,28810,3822,1203
05-17-2020,29036,4636,1218
05-18-2020,29209,6430,1231
05-19-2020,29432,6431,1247
05-19-2020,29432,6431,1247
05-20-2020,29660,6452,1263
05-21-2020,29912,6452,1277
05-22-2020,30200,7590,1289
05-23-2020,30471,7705,1302
05-24-2020,30623,17549,1316
05-25-2020,30788,17822,1330
05-26-2020,31007,18096,1342
05-27-2020,31292,18349,1356
05-28-2020,31596,18637,1369
05-29-2020,31946,18911,1383
05-30-2020,32203,19186,1396
05-31-2020,32500,19409,1410
06-01-2020,32700,19552,1424
06-02-2020,32895,19869,1436
06-03-2020,33261,20079,1447
06-04-2020,33592,20323,1455
06-05-2020,33969,20526,1465
06-06-2020,34351,20807,1474
06-06-2020,34351,20807,1474
06-07-2020,34693,20995,1479
06-08-2020,34885,21156,1485
06-09-2020,35306,21339,1492
06-10-2020,35600,21742,1497
06-11-2020,35910,22002,1504
06-12-2020,36180,22200,1505
06-13-2020,36463,22438,1512
06-14-2020,36690,22669,1517
06-15-2020,37036,22852,1520
06-16-2020,37336,23212,1522
06-17-2020,37672,23580,1523
06-18-2020,38089,24010,1524
06-19-2020,38464,24477,1527
06-20-2020,38841,24906,1528
06-21-2020,39133,25376,1530
06-22-2020,39392,25548,1534
06-23-2020,39737,25829,1540
06-24-2020,40104,26083,1543
06-25-2020,40415,26382,1549
06-26-2020,40866,26633,1555
06-27-2020,41189,26864,1561
06-28-2020,41646,27066,1564
06-29-2020,41912,27205,1568
06-30-2020,42141,27505,1576
07-01-2020,42454,27798,1579
07-02-2020,42782,28097,1587
07-03-2020,43156,28424,1598
07-04-2020,43569,28772,1605
07-05-2020,43897,29017,1614
07-06-2020,44129,29166,1620
07-07-2020,44416,29445,1629
07-08-2020,44859,29714,1631
07-09-2020,45277,30049,1644
07-10-2020,45679,30350,1646
07-11-2020,46221,30655,1654
07-12-2020,46512,30907,1660
07-13-2020,46818,31065,1662
07-14-2020,47051,31550,1668
07-15-2020,47426,32110,1676
07-16-2020,47765,32476,1679
07-17-2020,48077,32790,1682
07-18-2020,48390,33153,1684
07-18-2020,48390,33153,1684
07-18-2020,48390,33153,1684
07-19-2020,48636,33369,1689
07-20-2020,48771,33547,1691
07-21-2020,48898,33769,1697
07-22-2020,49150,33999,1702
07-23-2020,49379,34369,1705
07-24-2020,49692,34687,1712
07-25-2020,49955,35010,1716
07-26-2020,50164,35217,1717
07-27-2020,50299,35375,1719
07-28-2020,50410,35626,1722
07-28-2020,50410,35626,1722
07-29-2020,50613,35875,1725
07-30-2020,50868,36140,1727
07-31-2020,51072,36483,1735
08-01-2020,51310,36783,1737
08-02-2020,51463,36984,1738
08-03-2020,51569,37111,1738
08-04-2020,51681,37318,1739
08-05-2020,51848,37565,1740
08-06-2020,52061,37840,1743
08-07-2020,52351,38087,1746
08-08-2020,52537,38364,1750
08-09-2020,52668,38511,1756
08-10-2020,52825,38600,1759
08-11-2020,52945,38760,1761
08-12-2020,53223,38940,1764
08-13-2020,53548,39177,1770
08-14-2020,53783,39374,1772
08-15-2020,53981,39585,1775
08-16-2020,54102,39697,1778
08-17-2020,54234,39800,1779
08-18-2020,54448,39936,1784
08-19-2020,54701,40129,1786
08-20-2020,54992,40264,1788
08-21-2020,55211,40473,1792
08-22-2020,55452,40652,1794
08-23-2020,55597,40774,1796
08-24-2020,55720,40880,1801
08-25-2020,55912,41021,1805
08-26-2020,56274,41184,1807
08-27-2020,56673,41357,1809
08-28-2020,57074,41556,1815
08-29-2020,57448,41766,1818
08-30-2020,57768,41885,1819
08-31-2020,58012,41961,1822
09-01-2020,58243,42104,1824
09-02-2020,58633,42233,1827
09-03-2020,59051,42427,1829
09-04-2020,59457,42576,1833
09-05-2020,59943,42793,1838
09-06-2020,60258,42953,1840
09-07-2020,60507,43016,1843
09-08-2020,60895,43146,1846
09-09-2020,61541,43284,1849
09-10-2020,62126,43441,1852
09-11-2020,62813,43644,1855
09-12-2020,63310,43894,1860
09-13-2020,63983,44069,1867
09-14-2020,64596,44185,1871
09-15-2020,65021,44362,1875
09-16-2020,65626,44528,1878
09-17-2020,66396,44794,1888
09-18-2020,67176,45053,1894
09-19-2020,68025,45404,1899
09-20-2020,68577,45596,1912
09-21-2020,69200,45736,1920
09-22-2020,69663,45974,1925
09-23-2020,70465,46290,1928
09-24-2020,71156,46676,1931
09-25-2020,72055,47003,1936
09-26-2020,72939,47380,1944
09-27-2020,73604,47647,1953
09-28-2020,74029,47884,1957
09-29-2020,74717,48193,1963
09-30-2020,75542,48530,1971
10-01-2020,76396,48937,1977
10-02-2020,77284,49359,1983
10-03-2020,78247,49845,1995
10-04-2020,79151,50207,2005
10-05-2020,79885,50454,2018
10-06-2020,80312,50712,2032
10-07-2020,81256,51037,2040
10-08-2020,82534,51517,2050
10-09-2020,83928,52164,2062
10-10-2020,85574,52803,2067
10-11-2020,86664,53187,2080
10-12-2020,87913,53498,2094
10-13-2020,89121,54047,2110
10-14-2020,91193,54493,2117
10-15-2020,93294,55081,2128
10-16-2020,95902,56066,2149
10-17-2020,98055,57919,2162
10-18-2020,99911,59000,2181
10-19-2020,101860,59966,2198
10-20-2020,103736,61898,2213
10-21-2020,106271,63238,2229
10-22-2020,109541,64531,2245
10-23-2020,112440,65880,2276
10-24-2020,116109,67842,2297
10-25-2020,118686,68877,2316
10-26-2020,121133,69956,2343
10-27-2020,124432,72344,2371
10-28-2020,128392,74001,2395
10-29-2020,132616,75702,2428
10-30-2020,137272,77449,2468
10-31-2020,141279,80280,2507
11-01-2020,144341,81771,2544
11-02-2020,146847,83294,2590
11-03-2020,149443,86589,2635
11-04-2020,156940,88946,2694
11-05-2020,161350,91453,2740
11-06-2020,166900,93754,2792
11-07-2020,173540,97747,2848
11-08-2020,179324,99781,2896
11-09-2020,183420,102083,2959
11-10-2020,187237,106878,3021
11-11-2020,192172,110353,3103
11-12-2020,198011,113689,3181
11-13-2020,204664,117382,3250
11-14-2020,211266,122517,3305
11-15-2020,217301,125066,3381
11-16-2020,225672,142155,3472
11-17-2020,230124,149445,3553
11-18-2020,236015,153702,3632
11-19-2020,243009,157924,3701
11-20-2020,249498,163000,3762
11-21-2020,255970,169379,3824
11-22-2020,260758,172919,3897
11-23-2020,264802,176827,3971
11-24-2020,268721,184233,4056
11-25-2020,274011,189356,4127
11-26-2020,280394,193944,4209
11-27-2020,285838,199446,4276
11-28-2020,290706,206275,4363
11-29-2020,294799,209534,4427
11-30-2020,298061,212942,4505
12-01-2020,300462,220877,4577
12-02-2020,303846,223446,4645
12-03-2020,307618,229018,4724
12-04-2020,312553,234038,4803
12-05-2020,318640,240203,4876
12-06-2020,322474,243055,4963
12-07-2020,325071,245843,5041
12-08-2020,327976,252428,5122
12-09-2020,332073,254700,5192
12-10-2020,335207,259548,5278
12-11-2020,340287,263648,5373
12-12-2020,344700,268453,5461
12-13-2020,348744,271322,5559
12-14-2020,350938,274277,5649
12-15-2020,353576,280038,5733
12-16-2020,358296,283719,5815
12-17-2020,362616,287028,5902
12-18-2020,366952,290690,5977
12-19-2020,370787,294814,6063
12-20-2020,374121,297233,6134
12-21-2020,376220,299603,6191
12-22-2020,378656,304825,6254
12-23-2020,383258,308446,6343
12-24-2020,387636,312533,6413
12-25-2020,391782,315126,6478
12-26-2020,392996,316671,6556
