







date,confirmed,cured,dead
03-11-2020,262,0,0
03-12-2020,262,0,0
03-13-2020,320,0,0
03-14-2020,337,4,0
03-15-2020,401,4,0
03-16-2020,439,4,0
03-17-2020,439,4,0
03-18-2020,452,4,0
03-19-2020,460,4,0
03-20-2020,470,10,0
03-21-2020,481,27,0
03-22-2020,494,33,0
03-23-2020,501,33,0
03-24-2020,526,41,0
03-25-2020,537,41,0
03-26-2020,549,43,0
03-27-2020,562,43,0
03-28-2020,590,45,1
03-29-2020,634,48,1
03-30-2020,693,51,1
03-31-2020,781,62,2
04-01-2020,835,71,2
04-02-2020,949,72,3
04-03-2020,1075,93,3
04-04-2020,1325,109,3
04-05-2020,1604,123,4
04-06-2020,1832,131,4
04-07-2020,2057,150,6
04-08-2020,2210,178,6
04-09-2020,2376,206,6
04-10-2020,2512,227,6
04-11-2020,2728,247,6
04-12-2020,2979,275,7
04-13-2020,3231,334,7
04-14-2020,3428,373,7
04-15-2020,3711,406,7
04-16-2020,4103,415,7
04-17-2020,4663,464,7
04-18-2020,5008,510,8
04-19-2020,5448,518,8
04-20-2020,6015,555,9
04-21-2020,6533,614,9
04-22-2020,7141,689,10
04-23-2020,7764,750,10
04-24-2020,8525,809,10
04-25-2020,9358,929,10
04-26-2020,10287,1012,10
04-27-2020,11244,1066,10
04-28-2020,11921,1134,10
04-29-2020,12564,1243,10
04-30-2020,13409,1372,10
05-01-2020,14096,1436,12
05-02-2020,14872,1534,12
05-03-2020,15551,1664,12
05-04-2020,16191,1810,12
05-05-2020,17142,1924,12
05-05-2020,17142,1924,12
05-06-2020,17972,2070,12
05-07-2020,18890,2286,12
05-08-2020,20201,2370,12
05-09-2020,21331,2449,13
05-10-2020,22520,2753,14
05-11-2020,23623,2840,14
05-12-2020,25149,3019,14
05-12-2020,25149,3019,14
05-13-2020,26539,3143,14
05-14-2020,28272,3356,14
05-14-2020,28272,3356,14
05-15-2020,29425,3546,14
05-16-2020,30972,3788,15
05-17-2020,32604,4370,15
05-18-2020,33969,4899,15
05-19-2020,35606,5634,15
05-19-2020,35606,5634,15
05-20-2020,37097,6600,16
05-21-2020,38651,7288,17
05-22-2020,40481,7893,19
05-23-2020,42213,8513,21
05-24-2020,43714,9170,23
05-25-2020,45465,10363,26
05-26-2020,47207,11844,28
05-27-2020,48947,13283,30
05-28-2020,50914,15399,33
05-29-2020,52907,20604,36
05-30-2020,55262,25839,36
05-31-2020,56910,30290,38
06-01-2020,58433,33437,40
06-02-2020,60259,36036,43
06-03-2020,62160,37542,45
06-04-2020,63741,39468,45
06-05-2020,65495,40935,49
06-06-2020,67195,42527,51
06-06-2020,67195,42527,51
06-07-2020,68790,44338,54
06-08-2020,70158,45935,57
06-09-2020,71879,47569,62
06-10-2020,73595,49413,66
06-11-2020,75071,51331,69
06-12-2020,76588,53296,70
06-13-2020,78416,55252,70
06-14-2020,79602,56898,73
06-15-2020,80876,58681,76
06-16-2020,82077,60461,80
06-17-2020,83174,62172,82
06-18-2020,84441,63642,86
06-19-2020,85462,65409,93
06-20-2020,86488,66763,94
06-21-2020,87369,68319,98
06-22-2020,88403,69956,99
06-23-2020,89579,71501,99
06-24-2020,90778,73083,104
06-25-2020,91838,74544,106
06-26-2020,92784,76072,109
06-27-2020,93663,77225,110
06-28-2020,94413,78702,110
06-29-2020,95106,80170,113
06-30-2020,96088,81564,113
07-01-2020,97003,83965,115
07-02-2020,97897,86597,118
07-03-2020,98653,88583,121
07-04-2020,99183,90387,123
07-05-2020,99799,92284,128
07-06-2020,100345,93898,133
07-07-2020,100945,94903,134
07-08-2020,101553,96107,138
07-09-2020,102110,97272,142
07-10-2020,102630,98233,146
07-11-2020,103128,98934,146
07-12-2020,103598,99743,147
07-13-2020,104016,100627,149
07-14-2020,104533,101160,150
07-15-2020,104983,101637,151
07-16-2020,105477,102168,152
07-17-2020,105898,102597,153
07-18-2020,106308,103023,154
07-18-2020,106308,103023,154
07-18-2020,106308,103023,154
07-19-2020,106648,103377,157
07-20-2020,107037,103782,159
07-21-2020,107430,104191,160
07-22-2020,107871,104641,163
07-23-2020,108244,105018,164
07-24-2020,108638,105420,164
07-25-2020,109036,105750,164
07-26-2020,109305,106024,165
07-27-2020,109597,106328,165
07-28-2020,109880,106603,167
07-28-2020,109880,106603,167
07-29-2020,110153,106849,169
07-30-2020,110460,107135,171
07-31-2020,110695,107377,174
08-01-2020,110911,107578,174
08-02-2020,111107,107779,177
08-03-2020,111322,108002,177
08-04-2020,111538,108254,177
08-05-2020,111805,108539,178
08-06-2020,112092,108831,178
08-07-2020,112383,109142,180
08-08-2020,112650,109438,182
08-09-2020,112947,109709,184
08-10-2020,113262,109993,188
08-11-2020,113646,110324,188
08-12-2020,113938,110627,190
08-13-2020,114281,110957,190
08-14-2020,114532,111258,190
08-15-2020,114809,111505,192
08-16-2020,115080,111794,193
08-17-2020,115368,112088,193
08-18-2020,115661,112355,193
08-19-2020,115956,112658,193
08-20-2020,116224,112924,193
08-21-2020,116481,113216,193
08-22-2020,116765,113531,193
08-23-2020,117008,113808,193
08-24-2020,117266,114099,194
08-25-2020,117498,114318,194
08-26-2020,117742,114558,194
08-27-2020,117988,114797,195
08-28-2020,118196,115017,196
08-29-2020,118407,115251,196
08-30-2020,118575,115430,197
08-31-2020,118778,115667,197
