







date,confirmed,cured,dead
03-11-2020,45,6,0
03-12-2020,49,6,0
03-13-2020,89,7,0
03-14-2020,123,9,0
03-15-2020,131,9,0
03-16-2020,158,9,0
03-17-2020,184,16,0
03-18-2020,260,19,0
03-19-2020,277,25,0
03-20-2020,308,25,0
03-21-2020,367,52,0
03-22-2020,433,64,3
03-23-2020,576,73,7
03-24-2020,794,79,11
03-25-2020,906,86,17
03-26-2020,1029,94,23
03-27-2020,1292,115,26
03-28-2020,1452,139,37
03-29-2020,1815,206,43
03-30-2020,2109,209,65
03-31-2020,2245,220,82
04-01-2020,2460,252,92
04-02-2020,2738,267,115
04-03-2020,3183,283,133
04-04-2020,3613,329,146
04-05-2020,3864,374,151
04-06-2020,4057,406,176
04-07-2020,4417,460,197
04-08-2020,4761,528,220
04-09-2020,5202,647,248
04-10-2020,5467,729,270
04-11-2020,5990,758,291
04-12-2020,6300,852,316
04-13-2020,6633,914,331
04-14-2020,6879,1051,351
04-15-2020,7216,1217,372
04-16-2020,7707,1357,392
04-17-2020,8067,1508,411
04-18-2020,8418,1730,421
04-19-2020,8746,1892,451
04-20-2020,8936,2017,478
04-21-2020,9242,2153,498
04-22-2020,9710,2406,524
04-23-2020,10096,2478,545
04-24-2020,10417,2817,567
04-25-2020,10635,2890,601
04-26-2020,11036,3054,619
04-27-2020,11339,3141,641
04-28-2020,11616,3404,663
04-29-2020,11978,3569,693
04-30-2020,12240,4017,717
05-01-2020,12567,4328,744
05-02-2020,12732,4547,771
05-03-2020,13163,4869,790
05-04-2020,13512,5269,818
05-05-2020,13837,5454,841
05-05-2020,13837,5454,841
05-06-2020,14107,5788,864
05-07-2020,14499,6144,888
05-08-2020,14811,6423,923
05-09-2020,15131,6912,939
05-10-2020,15362,7051,961
05-11-2020,15588,7245,982
05-12-2020,15778,7685,1002
05-12-2020,15778,7685,1002
05-13-2020,16002,7961,1036
05-14-2020,16247,9053,1053
05-14-2020,16247,9053,1053
05-15-2020,16437,9370,1070
05-16-2020,16704,9574,1094
05-17-2020,16871,9890,1107
05-18-2020,17036,9930,1120
05-19-2020,17191,10166,1137
05-19-2020,17191,10166,1137
05-20-2020,17387,10356,1147
05-21-2020,17585,10581,1156
05-22-2020,17712,10777,1166
05-23-2020,17857,11187,1176
05-24-2020,18070,11399,1185
05-25-2020,18283,11630,1205
05-26-2020,18429,11874,1216
05-27-2020,18594,12162,1227
05-28-2020,18791,12629,1235
05-29-2020,18982,12829,1248
05-30-2020,19133,13046,1259
05-31-2020,19257,13256,1266
06-01-2020,19398,13426,1276
06-02-2020,19517,13526,1288
06-03-2020,19669,13800,1296
06-04-2020,19907,13919,1305
06-05-2020,20103,14145,1316
06-06-2020,20290,14419,1322
06-06-2020,20290,14419,1322
06-07-2020,20479,14638,1333
06-08-2020,20604,14826,1339
06-09-2020,20749,14910,1354
06-10-2020,20945,15103,1360
06-11-2020,21182,15283,1369
06-12-2020,21404,15445,1380
06-13-2020,21679,15635,1394
06-14-2020,21999,15719,1410
06-15-2020,22165,15817,1427
06-16-2020,22415,16071,1437
06-17-2020,22760,16117,1451
