







date,confirmed,cured,dead
03-11-2020,20,3,0
03-12-2020,28,3,0
03-13-2020,45,3,0
03-14-2020,59,8,0
03-15-2020,63,8,0
03-16-2020,90,8,0
03-17-2020,114,8,0
03-18-2020,147,8,0
03-19-2020,199,9,1
03-20-2020,253,9,1
03-21-2020,306,12,1
03-22-2020,367,16,1
03-23-2020,438,17,1
03-24-2020,495,22,1
03-25-2020,658,29,3
03-26-2020,840,38,3
03-27-2020,1036,45,4
03-28-2020,1264,49,4
03-29-2020,1534,64,8
03-30-2020,1836,66,9
03-31-2020,2337,121,17
04-01-2020,2777,190,24
04-02-2020,3548,235,30
04-03-2020,4149,281,34
04-04-2020,4731,333,43
04-05-2020,5389,355,45
04-06-2020,6343,406,47
04-07-2020,7497,494,58
04-08-2020,8672,580,63
04-09-2020,10131,698,76
04-10-2020,11917,795,94
04-11-2020,13584,1045,106
04-12-2020,15770,1291,130
04-13-2020,18328,1470,148
04-14-2020,21102,1694,170
04-15-2020,24490,1986,198
04-16-2020,27938,2304,232
04-17-2020,32008,2590,273
04-18-2020,36793,3057,313
04-19-2020,42853,3291,361
04-20-2020,47121,3446,405
04-21-2020,52763,3873,456
04-22-2020,57999,4420,513
04-23-2020,62773,4891,555
04-24-2020,68622,5568,615
04-25-2020,74588,6250,681
04-26-2020,80949,6767,747
04-27-2020,87147,7346,794
04-28-2020,93558,8456,867
04-29-2020,99399,10286,972
04-30-2020,106498,11619,1073
05-01-2020,114431,13220,1169
05-02-2020,124054,15013,1222
05-03-2020,134687,16639,1280
05-04-2020,145268,18095,1356
05-05-2020,155370,19865,1451
05-05-2020,155370,19865,1451
05-06-2020,165929,21327,1537
05-07-2020,177160,23803,1625
05-08-2020,187859,26608,1723
05-09-2020,198676,31916,1827
05-10-2020,209688,34306,1915
05-11-2020,221344,39801,2009
05-12-2020,232243,43512,2116
05-12-2020,232243,43512,2116
05-13-2020,242271,48003,2212
05-14-2020,252245,53530,2305
05-14-2020,252245,53530,2305
05-15-2020,262843,58226,2418
05-16-2020,272043,63166,2537
05-17-2020,281752,67373,2631
05-18-2020,290678,70209,2722
05-19-2020,299941,76130,2837
05-19-2020,299941,76130,2837
05-20-2020,308705,85392,2972
05-21-2020,317554,92681,3099
05-22-2020,326448,99825,3249
05-23-2020,335882,107936,3388
05-24-2020,344481,113299,3541
05-25-2020,353427,118798,3633
05-26-2020,362342,131129,3807
05-27-2020,370680,142208,3968
05-28-2020,379051,150993,4142
05-29-2020,387623,159257,4374
05-30-2020,396575,167469,4555
05-31-2020,405843,171883,4693
06-01-2020,414328,175514,4849
06-02-2020,423186,186602,5031
06-03-2020,431715,195559,5208
06-04-2020,440538,204197,5376
06-05-2020,449256,212237,5520
06-06-2020,458102,220935,5717
06-06-2020,458102,220935,5717
06-07-2020,467073,226272,5851
06-08-2020,476043,230226,5963
06-09-2020,484630,241917,6134
06-10-2020,493023,252295,6350
06-11-2020,501800,260649,6522
06-12-2020,510761,268862,6705
06-13-2020,519458,274128,6819
06-14-2020,528267,279536,6938
06-15-2020,536484,284021,7081
06-16-2020,544725,293780,7274
06-17-2020,552549,303800,7468
06-18-2020,560321,313409,7650
06-19-2020,568292,323851,7831
06-20-2020,576162,334024,7992
06-21-2020,583879,339142,8101
06-22-2020,591465,343847,8196
06-23-2020,598878,355847,8349
06-24-2020,606043,368222,8503
06-25-2020,613148,374557,8594
06-26-2020,619936,383524,8770
06-27-2020,626779,392703,8958
06-28-2020,633563,398436,9060
06-29-2020,640246,402778,9152
06-30-2020,646929,411973,9306
07-01-2020,653479,422235,9521
07-02-2020,660231,428276,9668
07-03-2020,666941,437155,9844
07-04-2020,673564,446127,10011
07-05-2020,680283,449995,10145
07-06-2020,686852,453570,10280
07-07-2020,693215,463103,10478
07-08-2020,699749,471718,10650
07-09-2020,706240,480494,10826
07-10-2020,712863,488234,11000
07-11-2020,719449,496594,11188
07-12-2020,726036,500208,11318
07-13-2020,732547,503168,11422
07-14-2020,738787,511958,11597
07-15-2020,745197,522375,11753
07-16-2020,751612,530801,11920
07-17-2020,758001,538467,12106
07-18-2020,764215,545909,12228
07-18-2020,764215,545909,12228
07-18-2020,764215,545909,12228
07-19-2020,770311,549387,12323
07-20-2020,776212,552644,12408
07-21-2020,782040,561397,12561
07-22-2020,787890,571049,12726
07-23-2020,793720,579295,12873
07-24-2020,799499,587728,13026
07-25-2020,805332,596064,13172
07-26-2020,811073,599172,13249
07-27-2020,816680,602249,13334
07-28-2020,822060,611109,13483
07-28-2020,822060,611109,13483
07-29-2020,827509,619204,13650
07-30-2020,832993,628482,13778
07-31-2020,838461,637217,13939
08-01-2020,843890,645316,14034
08-02-2020,849277,648961,14104
08-03-2020,854641,652372,14183
08-04-2020,859762,660235,14327
08-05-2020,864948,667769,14465
08-06-2020,870187,675069,14579
08-07-2020,875378,682278,14698
08-08-2020,880563,688856,14827
08-09-2020,885718,692059,14903
08-10-2020,890799,695317,14973
08-11-2020,895691,701796,15103
08-12-2020,900745,708900,15231
08-13-2020,905762,714934,15353
08-14-2020,910778,721473,15467
08-15-2020,915808,727895,15585
08-16-2020,920719,731444,15653
08-17-2020,925558,734573,15707
