







date,confirmed,cured,dead
03-14-2020,1,0,0
03-15-2020,1,0,0
03-16-2020,5,0,0
03-17-2020,7,0,0
03-18-2020,8,0,0
03-19-2020,8,0,0
03-20-2020,17,0,0
03-21-2020,17,0,0
03-22-2020,19,0,0
03-23-2020,36,0,0
03-24-2020,40,0,0
03-25-2020,41,0,0
03-26-2020,50,0,0
03-27-2020,54,0,0
03-28-2020,60,0,0
03-29-2020,70,0,0
03-30-2020,70,0,0
03-31-2020,75,0,0
04-01-2020,82,0,0
04-02-2020,84,0,0
04-03-2020,89,0,0
04-04-2020,102,0,0
04-05-2020,104,4,0
04-06-2020,105,4,0
04-07-2020,105,7,0
04-08-2020,110,7,0
04-09-2020,110,7,0
04-10-2020,118,7,0
04-11-2020,120,18,0
04-12-2020,126,25,0
04-13-2020,127,42,0
04-14-2020,134,49,0
04-15-2020,136,54,0
04-16-2020,138,60,0
04-17-2020,143,65,0
04-18-2020,144,69,0
04-19-2020,147,76,0
04-20-2020,147,76,0
04-21-2020,150,84,0
04-22-2020,153,84,0
04-23-2020,154,87,0
04-24-2020,176,87,0
04-25-2020,183,88,0
04-26-2020,191,92,0
04-27-2020,207,93,0
04-28-2020,212,95,0
04-29-2020,225,98,0
04-30-2020,243,104,0
05-01-2020,249,109,0
05-02-2020,255,120,0
05-03-2020,259,124,0
05-04-2020,261,128,0
05-05-2020,261,129,0
05-05-2020,261,129,0
05-06-2020,268,130,0
05-07-2020,271,133,0
05-08-2020,273,136,0
05-09-2020,280,140,0
05-10-2020,284,140,0
05-11-2020,285,150,0
05-12-2020,286,153,0
05-12-2020,286,153,0
05-13-2020,287,164,0
05-14-2020,287,168,0
05-14-2020,287,168,0
05-15-2020,287,177,0
05-16-2020,289,178,0
05-17-2020,292,197,0
05-18-2020,297,203,0
05-19-2020,308,209,0
05-19-2020,308,209,0
05-20-2020,314,216,0
05-21-2020,320,217,0
05-22-2020,321,222,0
05-23-2020,325,227,0
05-24-2020,327,237,0
05-25-2020,336,238,0
05-26-2020,339,244,0
05-27-2020,346,245,0
05-28-2020,349,245,0
05-29-2020,355,247,0
05-30-2020,359,250,1
05-31-2020,370,256,1
06-01-2020,377,262,1
06-02-2020,384,269,2
06-03-2020,397,271,2
06-04-2020,410,280,2
06-05-2020,420,282,2
06-06-2020,431,283,2
06-06-2020,431,283,2
06-07-2020,439,290,2
06-08-2020,451,297,2
06-09-2020,463,300,2
06-10-2020,476,307,2
06-11-2020,494,313,2
06-12-2020,510,321,2
06-13-2020,541,332,2
06-14-2020,582,332,2
06-15-2020,612,338,2
06-16-2020,636,338,2
06-17-2020,639,347,2
06-18-2020,646,350,2
06-19-2020,661,351,2
06-20-2020,702,357,2
06-21-2020,728,359,2
06-22-2020,787,370,2
06-23-2020,798,371,2
06-24-2020,830,376,2
06-25-2020,850,385,2
06-26-2020,858,398,2
06-27-2020,878,413,2
06-28-2020,900,443,2
06-29-2020,1001,443,2
06-30-2020,1025,447,2
07-01-2020,1042,480,3
07-02-2020,1063,493,3
07-03-2020,1081,512,3
07-04-2020,1092,523,3
07-05-2020,1105,567,3
07-06-2020,1113,575,3
07-07-2020,1172,595,3
07-08-2020,1194,610,3
07-09-2020,1210,623,3
07-10-2020,1252,635,3
07-11-2020,1299,663,4
07-12-2020,1337,684,4
07-13-2020,1378,710,4
07-14-2020,1416,737,4
07-15-2020,1435,752,4
07-16-2020,1473,770,4
07-17-2020,1485,811,4
07-18-2020,1539,819,5
07-18-2020,1539,819,5
07-18-2020,1539,819,5
07-19-2020,1582,834,5
07-20-2020,1629,838,5
07-21-2020,1655,848,5
07-22-2020,1689,867,5
07-23-2020,1710,889,5
07-24-2020,1729,900,5
07-25-2020,1752,907,5
07-26-2020,1821,918,5
07-27-2020,1879,975,5
07-28-2020,1926,1005,5
07-28-2020,1926,1005,5
07-29-2020,1963,1036,5
07-30-2020,1994,1085,5
07-31-2020,2022,1106,5
08-01-2020,2042,1119,5
08-02-2020,2062,1144,5
08-03-2020,2092,1169,5
08-04-2020,2099,1222,5
08-05-2020,2104,1237,5
08-06-2020,2111,1258,5
08-07-2020,2128,1297,5
08-08-2020,2134,1300,6
08-09-2020,2140,1346,7
08-10-2020,2152,1392,7
08-11-2020,2171,1478,7
08-12-2020,2189,1524,8
08-13-2020,2200,1558,8
08-14-2020,2293,1604,8
08-15-2020,2352,1631,8
08-16-2020,2453,1648,8
08-17-2020,2540,1661,8
08-18-2020,2577,1683,10
08-19-2020,2644,1698,10
08-20-2020,2717,1705,11
08-21-2020,2780,1712,11
08-22-2020,2889,1754,11
08-23-2020,3089,1755,12
08-24-2020,3306,1785,14
08-25-2020,3537,1806,15
08-26-2020,3625,1810,15
08-27-2020,3672,1863,15
08-28-2020,3742,1866,16
08-29-2020,3843,1904,16
08-30-2020,4020,1918,16
08-31-2020,4063,2013,16
09-01-2020,4142,2044,16
09-02-2020,4218,2071,17
09-03-2020,4255,2163,18
09-04-2020,4304,2191,18
