







date,confirmed,cured,dead
03-14-2020,1,0,0
03-15-2020,2,0,0
03-16-2020,2,0,0
03-17-2020,2,0,0
03-18-2020,2,0,0
03-19-2020,2,0,0
03-20-2020,2,0,0
03-21-2020,2,0,0
03-22-2020,2,0,0
03-23-2020,3,0,0
03-24-2020,3,0,0
03-25-2020,3,0,0
03-26-2020,3,0,0
03-27-2020,3,1,0
03-28-2020,3,1,0
03-29-2020,9,1,0
03-30-2020,9,1,0
03-31-2020,13,1,0
04-01-2020,13,1,0
04-02-2020,13,1,0
04-03-2020,13,1,0
04-04-2020,14,1,0
04-05-2020,14,1,0
04-06-2020,14,1,0
04-07-2020,14,1,0
04-08-2020,14,1,0
04-09-2020,14,1,0
04-10-2020,15,1,0
04-11-2020,15,1,0
04-12-2020,15,4,0
04-13-2020,15,4,0
04-14-2020,15,11,0
04-15-2020,15,11,0
04-16-2020,15,11,0
04-17-2020,15,11,0
04-18-2020,15,11,0
04-19-2020,15,11,0
04-20-2020,15,13,0
04-21-2020,15,13,0
04-22-2020,15,15,0
04-23-2020,15,15,0
04-24-2020,15,15,0
04-25-2020,15,15,0
04-26-2020,15,15,0
04-27-2020,15,15,0
04-28-2020,15,15,0
04-29-2020,17,15,0
04-30-2020,17,15,0
05-01-2020,17,15,0
05-02-2020,17,15,0
05-03-2020,18,15,0
05-04-2020,18,15,0
05-05-2020,18,15,0
05-05-2020,18,15,0
05-06-2020,18,15,0
05-07-2020,18,17,0
05-08-2020,18,17,0
05-09-2020,18,17,0
05-10-2020,18,17,0
05-11-2020,18,17,0
05-12-2020,18,17,0
05-12-2020,18,17,0
05-13-2020,18,18,0
05-14-2020,18,18,0
05-14-2020,18,18,0
05-15-2020,18,18,0
05-16-2020,18,18,0
05-17-2020,18,18,0
05-18-2020,18,18,0
05-19-2020,18,18,0
05-19-2020,18,18,0
05-20-2020,18,18,0
05-21-2020,18,18,0
05-22-2020,18,18,0
05-23-2020,18,18,0
05-24-2020,18,18,0
05-25-2020,18,18,0
05-26-2020,18,18,0
05-27-2020,18,18,0
05-28-2020,18,18,0
05-29-2020,18,18,0
05-30-2020,18,18,0
05-31-2020,18,18,0
06-01-2020,18,18,0
06-02-2020,18,18,0
06-03-2020,18,18,0
06-04-2020,19,18,0
06-05-2020,19,18,0
06-06-2020,19,18,0
06-06-2020,19,18,0
06-07-2020,19,18,0
06-08-2020,19,18,0
06-09-2020,19,18,0
06-10-2020,19,18,0
06-11-2020,19,18,0
06-12-2020,19,18,0
06-13-2020,19,18,0
06-14-2020,19,18,0
06-15-2020,19,18,0
06-16-2020,19,18,0
06-17-2020,19,18,0
06-18-2020,19,18,0
06-19-2020,19,18,0
06-20-2020,19,18,0
06-21-2020,19,18,0
06-22-2020,19,18,0
06-23-2020,19,18,0
06-24-2020,19,19,0
06-25-2020,19,19,0
06-26-2020,19,19,0
06-27-2020,19,19,0
06-28-2020,19,19,0
06-29-2020,19,19,0
06-30-2020,19,19,0
07-01-2020,19,19,0
07-02-2020,19,19,0
07-03-2020,22,19,0
07-04-2020,22,19,0
07-05-2020,22,19,0
07-06-2020,22,19,0
07-07-2020,22,19,0
07-08-2020,22,19,0
07-09-2020,22,19,0
07-10-2020,22,19,0
07-11-2020,22,19,0
07-12-2020,22,19,0
07-13-2020,22,19,0
07-14-2020,22,19,0
07-15-2020,22,19,0
07-16-2020,23,19,0
07-17-2020,23,19,0
07-18-2020,23,19,0
07-18-2020,23,19,0
07-18-2020,23,19,0
07-19-2020,23,19,0
07-20-2020,23,19,0
07-21-2020,23,19,0
07-22-2020,23,19,0
07-23-2020,24,22,0
07-24-2020,24,22,0
07-25-2020,24,22,0
07-26-2020,24,22,0
07-27-2020,24,22,0
07-28-2020,24,22,0
07-28-2020,24,22,0
07-29-2020,24,22,0
07-30-2020,25,22,0
07-31-2020,25,22,0
08-01-2020,25,22,0
08-02-2020,25,22,0
08-03-2020,25,22,0
08-04-2020,25,22,0
08-05-2020,25,24,0
08-06-2020,25,24,0
08-07-2020,25,24,0
08-08-2020,25,24,0
08-09-2020,25,24,0
08-10-2020,25,24,0
08-11-2020,25,25,0
08-12-2020,25,25,0
08-13-2020,25,25,0
08-14-2020,25,25,0
08-15-2020,25,25,0
08-16-2020,25,25,0
08-17-2020,25,25,0
08-18-2020,26,25,0
08-19-2020,26,25,0
08-20-2020,26,25,0
08-21-2020,26,25,0
08-22-2020,26,25,0
08-23-2020,26,25,0
08-24-2020,26,25,0
08-25-2020,26,25,0
08-26-2020,26,25,0
08-27-2020,26,25,0
08-28-2020,26,25,0
08-29-2020,26,25,0
08-30-2020,26,25,0
08-31-2020,26,25,0
09-01-2020,26,26,0
09-02-2020,26,26,0
09-03-2020,26,26,0
09-04-2020,26,26,0
09-05-2020,26,26,0
09-06-2020,26,26,0
09-07-2020,26,26,0
09-08-2020,26,26,0
09-09-2020,27,26,0
09-10-2020,27,26,0
09-11-2020,27,26,0
09-12-2020,27,26,0
09-13-2020,27,26,0
09-14-2020,27,26,0
09-15-2020,27,26,0
09-16-2020,27,26,0
09-17-2020,27,26,0
09-18-2020,27,26,0
09-19-2020,27,26,0
09-20-2020,27,26,0
09-21-2020,27,26,0
09-22-2020,27,26,0
09-23-2020,27,26,0
09-24-2020,27,26,0
09-25-2020,27,27,0
09-26-2020,27,27,0
09-27-2020,27,27,0
09-28-2020,27,27,0
09-29-2020,27,27,0
09-30-2020,27,27,0
10-01-2020,27,27,0
10-02-2020,27,27,0
10-03-2020,27,27,0
10-04-2020,27,27,0
10-05-2020,27,27,0
10-06-2020,27,27,0
10-07-2020,27,27,0
10-08-2020,28,27,0
10-09-2020,28,27,0
10-10-2020,29,27,0
10-11-2020,29,27,0
10-12-2020,29,27,0
10-13-2020,29,27,0
10-14-2020,31,27,0
10-15-2020,31,27,0
10-16-2020,32,27,0
10-17-2020,33,27,0
10-18-2020,33,27,0
10-19-2020,36,27,0
10-20-2020,36,27,0
10-21-2020,38,27,0
10-22-2020,42,27,0
10-23-2020,48,27,0
10-24-2020,52,27,0
10-25-2020,54,27,0
10-26-2020,63,27,0
10-27-2020,65,27,0
10-28-2020,67,27,0
10-29-2020,76,27,0
10-30-2020,78,28,0
10-31-2020,78,28,0
11-01-2020,84,28,0
11-02-2020,84,28,0
11-03-2020,97,32,0
11-04-2020,105,32,0
11-05-2020,106,32,0
11-06-2020,110,32,0
11-07-2020,123,32,0
11-08-2020,131,32,0
11-09-2020,141,32,0
11-10-2020,148,32,1
11-11-2020,148,32,2
11-12-2020,148,46,2
11-13-2020,156,46,2
11-14-2020,160,46,2
11-15-2020,162,46,2
11-16-2020,171,59,2
11-17-2020,178,60,2
11-18-2020,183,60,2
11-19-2020,203,60,2
11-20-2020,203,60,2
11-21-2020,204,60,2
11-22-2020,220,60,2
11-23-2020,223,106,2
11-24-2020,226,109,2
11-25-2020,235,109,2
11-26-2020,238,109,2
11-27-2020,246,109,2
11-28-2020,252,109,2
11-29-2020,257,109,2
