







date,confirmed,cured,dead
03-11-2020,12,0,0
03-12-2020,19,0,0
03-13-2020,35,0,0
03-14-2020,46,0,0
03-15-2020,48,0,0
03-16-2020,55,1,0
03-17-2020,65,1,0
03-18-2020,83,1,0
03-19-2020,103,1,0
03-20-2020,135,1,1
03-21-2020,171,1,1
03-22-2020,222,2,2
03-23-2020,249,3,3
03-24-2020,303,15,3
03-25-2020,384,15,4
03-26-2020,384,0,1
03-27-2020,457,0,1
03-28-2020,659,0,10
03-29-2020,741,0,13
03-30-2020,785,0,16
03-31-2020,900,0,16
04-01-2020,1060,0,28
04-02-2020,1171,0,31
04-03-2020,1476,0,39
04-04-2020,1624,0,44
04-05-2020,1908,0,51
04-06-2020,2200,0,58
04-07-2020,2447,0,61
04-08-2020,2666,0,65
04-09-2020,2867,0,66
04-10-2020,3105,0,71
04-11-2020,3380,0,74
04-12-2020,3630,0,80
04-13-2020,4054,0,85
04-14-2020,4465,0,94
04-15-2020,4873,0,99
04-16-2020,5318,0,103
04-17-2020,5690,534,110
04-18-2020,5994,637,117
04-19-2020,6318,753,122
04-20-2020,6630,870,125
04-21-2020,6630,870,125
04-22-2020,6630,870,125
04-23-2020,6630,870,125
04-24-2020,6630,870,125
04-25-2020,6630,870,125
04-26-2020,6630,870,125
04-27-2020,6630,870,125
04-28-2020,6630,870,125
04-29-2020,6630,870,125
04-30-2020,9009,1343,179
05-01-2020,9009,1343,179
05-02-2020,9362,1426,189
05-03-2020,9464,1551,193
05-04-2020,9557,1574,197
05-05-2020,9677,1723,200
05-05-2020,9677,1723,200
05-06-2020,9791,1971,203
05-07-2020,9848,2160,206
05-08-2020,9943,2453,209
05-09-2020,10032,2732,215
05-10-2020,10032,2732,215
05-11-2020,10176,3290,218
05-12-2020,10243,3600,220
05-12-2020,10243,3600,220
05-13-2020,10295,3824,222
05-14-2020,10374,4084,224
05-14-2020,10374,4084,224
05-15-2020,10438,4301,225
05-16-2020,10496,4479,228
05-17-2020,10610,4713,230
05-18-2020,10699,4799,231
05-19-2020,10733,4904,234
05-19-2020,10733,4904,234
05-20-2020,10833,5067,235
05-21-2020,10919,5370,237
05-22-2020,11024,5541,237
05-23-2020,11092,5699,238
05-24-2020,11159,5857,238
05-25-2020,11193,5920,239
05-26-2020,11227,6067,239
05-27-2020,11275,6277,240
05-28-2020,11300,6438,241
05-29-2020,11354,6524,242
05-30-2020,11381,6606,242
05-31-2020,11412,6698,243
06-01-2020,11430,6726,244
06-02-2020,11454,6766,245
06-03-2020,11523,6852,245
06-04-2020,11571,6910,246
06-05-2020,11667,6931,247
06-06-2020,11741,11056,248
06-06-2020,11741,11056,248
06-07-2020,11823,11348,249
06-08-2020,11896,11189,250
06-09-2020,11965,11268,250
06-10-2020,12031,11348,251
06-11-2020,12102,11362,252
06-12-2020,12175,11411,252
06-13-2020,12251,11465,253
06-14-2020,12310,11511,254
06-15-2020,12367,11561,255
06-16-2020,12426,11624,256
06-17-2020,12522,11697,257
06-18-2020,12616,11769,258
06-19-2020,12709,11822,259
06-20-2020,12803,11889,260
06-21-2020,12894,11947,261
06-22-2020,12990,11997,262
06-23-2020,13092,12054,263
06-24-2020,13235,12111,263
06-25-2020,13372,12154,264
06-26-2020,13565,12232,265
06-27-2020,13792,12338,267
06-28-2020,14046,12464,270
06-29-2020,14288,12581,274
06-30-2020,14564,12662,277
07-01-2020,14836,12772,281
07-02-2020,15195,12912,287
07-03-2020,15504,13064,298
07-04-2020,15829,13176,306
07-05-2020,16131,13267,311
07-06-2020,16420,13366,317
07-07-2020,16719,13447,330
07-08-2020,17076,13562,341
07-09-2020,17342,13651,352
07-10-2020,17728,13719,370
07-11-2020,18073,13780,382
07-12-2020,18360,13876,393
07-13-2020,18639,13940,405
07-14-2020,18983,13991,418
07-15-2020,19334,14047,429
07-16-2020,19717,14417,442
07-17-2020,20109,14799,452
07-18-2020,20498,15179,461
07-18-2020,20498,15179,461
07-18-2020,20498,15179,461
07-19-2020,20894,15564,472
07-20-2020,21253,0,482
07-21-2020,21605,0,491
07-22-2020,22031,0,499
07-23-2020,22443,0,508
07-24-2020,22852,0,518
07-25-2020,22852,0,518
07-26-2020,23730,0,534
07-27-2020,24141,0,543
07-28-2020,24520,0,551
07-28-2020,24520,0,551
07-29-2020,24892,0,558
07-30-2020,25213,0,565
07-31-2020,25552,0,573
08-01-2020,25882,0,582
08-02-2020,26193,0,590
08-03-2020,26451,0,598
08-04-2020,26738,0,605
08-05-2020,27033,0,614
08-06-2020,27332,0,621
08-07-2020,27608,0,626
08-08-2020,27863,0,632
08-09-2020,28099,0,641
08-10-2020,28262,0,646
08-11-2020,28497,0,652
08-12-2020,28751,0,658
08-13-2020,28998,0,661
08-14-2020,29233,0,665
08-15-2020,29471,0,670
08-16-2020,29682,0,674
08-17-2020,29782,0,677
08-18-2020,29890,0,681
08-19-2020,30048,0,684
08-20-2020,30209,0,689
08-21-2020,30378,0,692
08-22-2020,30548,0,695
08-23-2020,30657,0,698
08-24-2020,30714,0,701
08-25-2020,30820,0,705
08-26-2020,30974,0,707
08-27-2020,31099,0,707
08-28-2020,31207,0,709
08-29-2020,31282,0,710
08-30-2020,31365,0,711
08-31-2020,31406,0,713
09-01-2020,31482,0,715
09-02-2020,31581,0,716
09-03-2020,31676,0,718
09-04-2020,31772,0,721
09-05-2020,31849,0,723
09-06-2020,31905,0,724
09-07-2020,31941,0,725
09-08-2020,31994,0,727
09-09-2020,32078,0,728
09-10-2020,32136,0,729
09-11-2020,32228,0,730
09-12-2020,32300,0,731
09-13-2020,32408,0,733
09-14-2020,32437,0,733
09-15-2020,32511,0,735
09-16-2020,32613,0,736
09-17-2020,32695,0,738
09-18-2020,32757,0,739
09-19-2020,32840,0,740
09-20-2020,32908,0,741
09-21-2020,32938,0,743
09-22-2020,32999,0,743
09-23-2020,33080,0,744
09-24-2020,33163,0,745
09-25-2020,33238,0,746
09-26-2020,33312,0,746
09-27-2020,33384,0,747
09-28-2020,33414,0,748
09-29-2020,33479,0,749
09-30-2020,33551,0,749
10-01-2020,33662,0,750
10-02-2020,33735,0,751
10-03-2020,33842,0,753
10-04-2020,33901,0,754
10-05-2020,33952,0,756
10-06-2020,34072,0,757
10-07-2020,34193,0,758
10-08-2020,34344,0,760
10-09-2020,34517,0,761
10-10-2020,34685,0,762
10-11-2020,34787,0,763
10-12-2020,34854,0,765
10-13-2020,35006,0,767
10-14-2020,35251,0,768
10-15-2020,35454,0,770
10-16-2020,35719,0,772
10-17-2020,35946,0,774
10-18-2020,36160,0,776
10-19-2020,36282,0,778
10-20-2020,36608,0,780
10-21-2020,37120,0,780
10-22-2020,37536,0,783
10-23-2020,38115,0,786
10-24-2020,38872,0,789
10-25-2020,39486,0,792
10-26-2020,39827,0,793
10-27-2020,40880,0,798
10-28-2020,42208,0,803
10-29-2020,43592,0,809
10-30-2020,45137,0,814
10-31-2020,46954,0,820
11-01-2020,48403,0,826
11-02-2020,49205,0,833
11-03-2020,51083,0,844
11-04-2020,53495,0,850
11-05-2020,55676,0,861
