







date,confirmed,cured,dead
03-31-2020,1,0,0
04-01-2020,2,0,0
04-02-2020,2,0,0
04-03-2020,2,0,0
04-04-2020,4,0,0
04-05-2020,6,0,0
04-06-2020,6,0,0
04-07-2020,6,0,0
04-08-2020,7,0,0
04-09-2020,7,0,0
04-10-2020,8,0,0
04-11-2020,8,0,0
04-12-2020,10,0,0
04-13-2020,10,0,0
04-14-2020,11,0,0
04-15-2020,13,0,0
04-16-2020,15,0,0
04-17-2020,26,0,0
04-18-2020,30,0,0
04-19-2020,35,6,0
04-20-2020,43,6,0
04-21-2020,50,6,0
04-22-2020,61,6,0
04-23-2020,64,10,1
04-24-2020,82,10,2
04-25-2020,82,10,2
04-26-2020,93,10,4
04-27-2020,93,10,4
04-28-2020,104,12,4
04-29-2020,104,12,4
04-30-2020,124,21,7
05-01-2020,136,21,7
05-02-2020,155,21,8
05-03-2020,166,29,8
05-04-2020,178,37,9
05-05-2020,199,43,11
05-05-2020,199,43,11
05-06-2020,225,54,14
05-07-2020,231,54,16
05-08-2020,257,54,17
05-09-2020,291,58,18
05-10-2020,307,67,18
05-11-2020,338,72,19
05-12-2020,338,72,19
05-12-2020,338,72,19
05-13-2020,387,97,26
05-14-2020,408,97,26
05-14-2020,408,97,26
05-15-2020,447,97,27
05-16-2020,462,106,29
05-17-2020,505,141,32
05-18-2020,519,148,33
05-19-2020,534,167,33
05-19-2020,534,167,33
05-20-2020,570,205,34
05-21-2020,585,205,35
05-22-2020,606,230,38
05-23-2020,621,241,39
05-24-2020,707,241,40
05-25-2020,735,293,42
05-26-2020,754,297,44
05-27-2020,782,297,45
05-28-2020,812,361,45
05-29-2020,829,386,45
05-30-2020,852,415,46
05-31-2020,861,454,46
06-01-2020,865,475,46
06-02-2020,896,480,46
06-03-2020,909,491,47
06-04-2020,914,491,47
06-05-2020,929,580,47
06-06-2020,946,600,48
06-06-2020,946,600,48
06-07-2020,969,608,48
06-08-2020,1001,611,49
06-09-2020,1025,621,50
06-10-2020,1062,637,50
06-11-2020,1085,642,50
06-12-2020,1103,648,51
06-13-2020,1132,670,51
06-14-2020,1169,680,51
06-15-2020,1176,683,51
06-16-2020,1225,686,51
06-17-2020,1249,707,51
06-18-2020,1272,710,51
06-19-2020,1298,732,53
06-20-2020,1309,746,53
06-21-2020,1327,788,55
06-22-2020,1340,788,55
06-23-2020,1347,853,55
06-24-2020,1354,869,55
06-25-2020,1354,869,56
06-26-2020,1394,914,59
06-27-2020,1410,937,59
06-28-2020,1427,943,60
06-29-2020,1450,961,60
06-30-2020,1462,974,60
07-01-2020,1498,999,60
07-02-2020,1518,1007,60
07-03-2020,1524,1042,62
07-04-2020,1533,1051,62
07-05-2020,1542,1062,62
07-06-2020,1547,1086,62
07-07-2020,1572,1088,63
07-08-2020,1584,1122,63
07-09-2020,1598,1123,63
07-10-2020,1613,1133,63
07-11-2020,1618,1141,63
07-12-2020,1635,1154,63
07-13-2020,1642,1175,63
07-14-2020,1651,1190,64
07-15-2020,1668,1200,64
07-16-2020,1678,1213,64
07-17-2020,1688,1219,65
07-18-2020,1701,1237,65
07-18-2020,1701,1237,65
07-18-2020,1701,1237,65
07-19-2020,1711,1237,65
07-20-2020,1711,1261,66
07-21-2020,1727,1273,66
07-22-2020,1731,1288,66
07-23-2020,1752,1292,66
07-24-2020,1765,1297,66
07-25-2020,1768,1297,66
07-26-2020,1783,1313,66
07-27-2020,1783,1317,66
07-28-2020,1786,1336,66
07-28-2020,1786,1336,66
07-29-2020,1803,1355,67
07-30-2020,1818,1362,67
07-31-2020,1823,1362,67
08-01-2020,1823,1362,67
08-02-2020,1843,1375,67
08-03-2020,1848,1375,67
08-04-2020,1855,1397,67
08-05-2020,1860,1401,67
08-06-2020,1877,1427,67
08-07-2020,1887,1435,68
08-08-2020,1895,1442,68
08-09-2020,1916,1445,68
08-10-2020,1917,1447,69
08-11-2020,1932,1478,69
08-12-2020,1937,1483,69
08-13-2020,1940,1496,69
08-14-2020,1947,1502,69
08-15-2020,1954,1505,69
08-16-2020,1956,1506,69
08-17-2020,1956,1506,69
08-18-2020,1959,1529,69
08-19-2020,1961,1531,69
08-20-2020,1969,1536,69
08-21-2020,1972,1542,69
08-22-2020,1980,1545,69
08-23-2020,1992,1550,69
08-24-2020,1997,1557,69
08-25-2020,2001,1569,69
08-26-2020,2003,1577,69
08-27-2020,2013,1581,70
08-28-2020,2013,1581,70
08-29-2020,2019,1591,70
08-30-2020,2022,1594,70
08-31-2020,2022,1594,70
09-01-2020,2028,1594,71
09-02-2020,2029,1600,71
09-03-2020,2035,1600,71
09-04-2020,2041,1602,71
09-05-2020,2041,1602,71
09-06-2020,2054,1611,71
09-07-2020,2055,1611,71
09-08-2020,2064,1613,72
09-09-2020,2067,1622,72
09-10-2020,2069,1622,72
09-11-2020,2087,1622,72
09-12-2020,2096,1634,72
09-13-2020,2109,1636,72
09-14-2020,2111,1636,72
09-15-2020,2126,1640,72
09-16-2020,2133,1646,72
09-17-2020,2133,1646,72
09-18-2020,2153,1649,72
09-19-2020,2159,1650,72
09-20-2020,2168,1650,72
09-21-2020,2168,1650,72
09-22-2020,2174,1652,72
09-23-2020,2183,1665,72
09-24-2020,2188,1666,72
09-25-2020,2199,1678,72
09-26-2020,2208,1679,72
09-27-2020,2215,1681,72
09-28-2020,2215,1681,72
09-29-2020,2222,1685,72
09-30-2020,2231,1687,72
10-01-2020,2238,1695,72
10-02-2020,2252,1697,72
10-03-2020,2259,1704,72
10-04-2020,2269,1706,72
10-05-2020,2269,1706,72
10-06-2020,2277,1710,72
10-07-2020,2287,1716,72
10-08-2020,2293,1721,72
10-09-2020,2295,1723,72
10-10-2020,2300,1725,72
10-11-2020,2306,1736,72
10-12-2020,2306,1736,72
10-13-2020,2309,1738,72
10-14-2020,2315,1743,73
10-15-2020,2323,1746,73
10-16-2020,2325,1750,73
10-17-2020,2327,1753,73
10-18-2020,2330,1760,73
10-19-2020,2331,1760,73
10-20-2020,2336,1765,73
10-21-2020,2337,1771,73
10-22-2020,2340,1777,73
10-23-2020,2343,1782,74
10-24-2020,2345,1784,74
10-25-2020,2346,1787,74
10-26-2020,2346,1787,74
10-27-2020,2350,1790,74
10-28-2020,2354,1792,74
10-29-2020,2362,1795,74
10-30-2020,2365,1798,74
10-31-2020,2366,1800,74
11-01-2020,2366,1802,74
11-02-2020,2366,1802,74
11-03-2020,2368,1803,74
11-04-2020,2369,1805,74
11-05-2020,2371,1805,74
11-06-2020,2373,1807,74
