







date,confirmed,cured,dead
03-11-2020,178,96,0
03-12-2020,178,96,0
03-13-2020,200,97,0
03-14-2020,212,105,0
03-15-2020,226,105,0
03-16-2020,243,109,0
03-17-2020,266,114,0
03-18-2020,313,114,0
03-19-2020,345,114,0
03-20-2020,385,124,0
03-21-2020,432,140,2
03-22-2020,455,144,2
03-23-2020,509,152,2
03-24-2020,558,156,2
03-25-2020,631,160,2
03-26-2020,683,172,2
03-27-2020,732,183,2
03-28-2020,802,198,2
03-29-2020,844,212,3
03-30-2020,879,228,3
03-31-2020,926,240,3
04-01-2020,1000,245,3
04-02-2020,1049,266,4
04-03-2020,1114,282,5
04-04-2020,1189,297,6
04-05-2020,1309,320,6
04-06-2020,1375,344,6
04-07-2020,1481,377,6
04-08-2020,1623,406,6
04-09-2020,1910,460,6
04-10-2020,2108,492,7
04-11-2020,2299,528,8
04-12-2020,2532,560,8
04-13-2020,2918,586,9
04-14-2020,3252,611,10
04-15-2020,3699,652,10
04-16-2020,4427,683,10
04-17-2020,5050,708,11
04-18-2020,5992,740,11
04-19-2020,6588,768,11
04-20-2020,8014,801,11
04-21-2020,9125,839,11
04-22-2020,10141,896,12
04-23-2020,11178,924,12
04-24-2020,12075,956,12
04-25-2020,12693,1002,12
04-26-2020,13624,1060,12
04-27-2020,14423,1095,14
04-28-2020,14951,1128,14
04-29-2020,15641,1188,14
04-30-2020,16169,1244,15
05-01-2020,17101,1268,16
05-02-2020,17548,1347,17
05-03-2020,18205,1408,18
05-04-2020,18778,1457,18
05-05-2020,19410,1519,18
05-05-2020,19410,1519,18
05-06-2020,20198,1634,20
05-07-2020,20939,1712,20
05-08-2020,21707,2040,20
05-09-2020,22460,2296,20
05-10-2020,23336,2721,20
05-11-2020,23822,3225,21
05-12-2020,24671,3851,21
05-12-2020,24671,3851,21
05-13-2020,25346,4809,21
05-14-2020,26098,5973,21
05-14-2020,26098,5973,21
05-15-2020,26891,7248,21
05-16-2020,27356,8342,22
05-17-2020,28038,9340,22
05-18-2020,28343,9835,22
05-19-2020,28794,10365,22
05-19-2020,28794,10365,22
05-20-2020,29364,11207,22
05-21-2020,29812,12117,23
05-22-2020,30426,12995,23
05-23-2020,31068,13882,23
05-24-2020,31616,14876,23
05-25-2020,31960,15738,23
05-26-2020,32343,16444,23
05-27-2020,32876,17276,23
05-28-2020,33249,18294,23
05-29-2020,33860,19631,23
05-30-2020,34366,20727,23
05-31-2020,34884,21699,23
06-01-2020,35292,22466,24
06-02-2020,35836,23175,24
06-03-2020,36405,23582,24
06-04-2020,36922,23904,24
06-05-2020,37183,24209,24
06-06-2020,37527,24559,25
06-06-2020,37527,24559,25
06-07-2020,37910,24886,25
06-08-2020,38296,25368,25
06-09-2020,38514,25877,25
06-10-2020,38965,26532,25
06-11-2020,39387,27286,25
06-12-2020,39850,28040,25
06-13-2020,40197,28808,26
06-14-2020,40604,29589,26
06-15-2020,40818,30366,26
06-16-2020,40969,31163,26
06-17-2020,41216,31938,26
06-18-2020,41473,32712,26
06-19-2020,41615,33459,26
06-20-2020,41833,34224,26
06-21-2020,42095,34942,26
06-22-2020,42313,35590,26
06-23-2020,42432,35995,26
