







date,confirmed,cured,dead
03-11-2020,57,0,0
03-12-2020,89,0,0
03-13-2020,141,0,0
03-14-2020,181,0,1
03-15-2020,219,0,1
03-16-2020,253,0,1
03-17-2020,275,0,1
03-18-2020,275,0,1
03-19-2020,286,0,1
03-20-2020,341,0,1
03-21-2020,383,0,1
03-22-2020,414,0,2
03-23-2020,442,0,3
03-24-2020,480,3,4
03-25-2020,528,10,5
03-26-2020,562,10,6
03-27-2020,632,10,9
03-28-2020,684,10,9
03-29-2020,730,10,11
03-30-2020,756,10,11
03-31-2020,802,10,15
04-01-2020,841,10,15
04-02-2020,897,70,17
04-03-2020,934,70,20
04-04-2020,977,79,22
04-05-2020,997,79,28
04-06-2020,1021,102,30
04-07-2020,1059,102,36
04-08-2020,1091,120,40
04-09-2020,1124,128,43
04-10-2020,1160,137,45
04-11-2020,1188,148,50
04-12-2020,1205,150,53
04-13-2020,1212,152,55
04-14-2020,1220,152,56
04-15-2020,1248,165,61
04-16-2020,1268,174,61
04-17-2020,1304,174,66
04-18-2020,1317,190,70
04-19-2020,1330,192,74
04-20-2020,1335,193,77
04-21-2020,1344,197,77
04-22-2020,1353,205,79
04-23-2020,1366,211,79
04-24-2020,1373,211,80
04-25-2020,1388,219,81
04-26-2020,1396,221,82
04-27-2020,1402,221,83
04-28-2020,1408,223,86
04-29-2020,1418,230,89
04-30-2020,1429,233,91
05-01-2020,1434,233,92
05-02-2020,1439,239,94
05-03-2020,1439,241,96
05-04-2020,1439,241,97
05-05-2020,1445,244,98
05-05-2020,1445,244,98
05-06-2020,1448,246,99
05-07-2020,1449,247,99
05-08-2020,1450,252,100
05-09-2020,1454,255,101
05-10-2020,1457,256,102
05-11-2020,1460,256,102
05-12-2020,1461,259,102
05-12-2020,1461,259,102
05-13-2020,1463,260,103
05-14-2020,1464,267,103
05-14-2020,1464,267,103
05-15-2020,1465,270,103
05-16-2020,1465,272,103
05-17-2020,1466,273,104
05-18-2020,1466,1335,104
05-19-2020,1467,1338,104
05-19-2020,1467,1338,104
05-20-2020,1468,1340,105
05-21-2020,1468,1340,106
05-22-2020,1468,1340,106
05-23-2020,1468,1340,106
05-24-2020,1468,1340,107
05-25-2020,1469,1346,107
05-26-2020,1469,1346,108
05-27-2020,1471,1354,108
05-28-2020,1473,1356,108
05-29-2020,1473,1357,108
05-30-2020,1473,1357,108
05-31-2020,1473,1358,108
06-01-2020,1473,1358,109
06-02-2020,1475,1358,109
06-03-2020,1477,1358,109
06-04-2020,1477,1359,109
06-05-2020,1479,1359,109
06-06-2020,1484,1359,109
06-06-2020,1484,1359,109
06-07-2020,1485,1359,109
06-08-2020,1485,1359,109
06-09-2020,1486,1359,109
06-10-2020,1488,1359,109
06-11-2020,1488,1359,109
06-12-2020,1490,1359,109
06-13-2020,1492,1359,109
06-14-2020,1495,1359,109
06-15-2020,1496,1359,109
06-16-2020,1499,1359,109
06-17-2020,1503,1359,109
06-18-2020,1511,1359,109
06-19-2020,1513,1359,109
06-20-2020,1519,1359,109
06-21-2020,1520,1376,109
06-22-2020,1521,1376,109
06-23-2020,1534,1376,109
06-24-2020,1541,1376,109
06-25-2020,1547,1376,109
06-26-2020,1558,1376,109
06-27-2020,1572,1376,109
06-28-2020,1581,1384,111
06-29-2020,1585,1384,111
06-30-2020,1600,1384,111
07-01-2020,1613,1384,111
07-02-2020,1634,1384,111
07-03-2020,1650,1384,111
07-04-2020,1679,1384,111
