date,confirmed,cured,dead
10-12-2020,2,0,0
10-13-2020,2,0,0
10-14-2020,2,0,0
10-15-2020,3,0,0
10-16-2020,3,0,0
10-17-2020,3,0,0
10-18-2020,3,0,0
10-19-2020,3,0,0
10-20-2020,3,0,0
10-21-2020,3,0,0
10-22-2020,4,3,0
10-23-2020,4,3,0
10-24-2020,4,3,0
10-25-2020,4,3,0
10-26-2020,4,4,0
10-27-2020,8,4,0
10-28-2020,8,4,0
10-29-2020,8,4,0
10-30-2020,8,4,0
10-31-2020,8,4,0
11-01-2020,8,4,0
11-02-2020,13,4,0
11-03-2020,13,4,0
11-04-2020,13,4,0
11-05-2020,13,4,0
11-06-2020,13,4,0
11-07-2020,13,4,0
11-08-2020,13,4,0
11-09-2020,16,5,0
11-10-2020,16,5,0
11-11-2020,16,5,0
11-12-2020,16,5,0
11-13-2020,16,5,0
11-14-2020,16,5,0
11-15-2020,16,5,0
11-16-2020,16,5,0
