







date,confirmed,cured,dead
03-16-2020,1,0,0
03-17-2020,1,0,0
03-18-2020,1,0,0
03-19-2020,1,0,0
03-20-2020,1,0,0
03-21-2020,1,0,0
03-22-2020,1,0,0
03-23-2020,1,0,0
03-24-2020,1,0,0
03-25-2020,1,0,0
03-26-2020,2,0,0
03-27-2020,3,0,0
03-28-2020,3,0,0
03-29-2020,3,0,0
03-30-2020,3,0,0
03-31-2020,5,1,0
04-01-2020,5,1,0
04-02-2020,5,1,0
04-03-2020,7,1,0
04-04-2020,7,1,0
04-05-2020,7,1,0
04-06-2020,7,1,0
04-07-2020,8,1,0
04-08-2020,12,1,1
04-09-2020,12,1,1
04-10-2020,21,1,1
04-11-2020,21,1,1
04-12-2020,25,2,1
04-13-2020,60,2,2
04-14-2020,60,2,2
04-15-2020,80,2,5
04-16-2020,80,2,5
04-17-2020,116,2,6
04-18-2020,135,2,7
04-19-2020,164,3,7
04-20-2020,237,4,8
04-21-2020,286,4,8
04-22-2020,286,4,8
04-23-2020,328,8,16
04-24-2020,328,8,16
04-25-2020,390,8,18
04-26-2020,436,10,23
04-27-2020,480,10,26
04-28-2020,528,19,28
04-29-2020,582,20,28
04-30-2020,601,31,28
05-01-2020,601,31,28
05-02-2020,671,34,31
05-03-2020,722,44,32
05-04-2020,756,61,35
05-05-2020,835,75,38
05-05-2020,835,75,38
05-06-2020,873,87,39
05-07-2020,928,106,44
05-08-2020,928,106,44
05-09-2020,997,110,48
05-10-2020,1054,118,51
05-11-2020,1089,121,52
05-12-2020,1170,126,52
05-12-2020,1170,126,52
05-13-2020,1219,130,52
05-14-2020,1284,135,53
05-14-2020,1284,135,53
05-15-2020,1284,135,53
05-16-2020,1357,148,55
05-17-2020,1421,152,56
05-18-2020,1455,163,57
05-19-2020,1502,178,59
05-19-2020,1502,178,59
05-20-2020,1573,188,61
05-21-2020,1594,204,61
05-22-2020,1594,204,61
05-23-2020,1594,204,61
05-24-2020,1594,204,61
05-25-2020,1689,235,66
05-26-2020,1711,253,67
05-27-2020,1731,265,67
05-28-2020,1828,310,72
05-29-2020,1828,310,72
05-30-2020,1916,327,73
05-31-2020,1976,348,78
06-01-2020,2023,361,79
06-02-2020,2089,361,79
06-03-2020,2146,406,79
06-04-2020,2204,418,79
06-05-2020,2204,418,79
06-06-2020,2289,431,82
06-06-2020,2289,431,82
06-07-2020,2334,441,83
06-08-2020,2368,470,84
06-09-2020,2416,489,85
06-10-2020,2452,506,85
06-11-2020,2513,532,85
06-12-2020,2513,532,85
06-13-2020,2579,559,87
06-14-2020,2618,577,88
06-15-2020,2642,622,88
06-16-2020,2658,649,88
06-17-2020,2696,685,88
06-18-2020,2719,724,88
06-19-2020,2719,724,88
06-20-2020,2755,751,88
06-21-2020,2779,782,90
06-22-2020,2812,818,90
06-23-2020,2812,818,90
06-24-2020,2835,829,90
06-25-2020,2878,868,90
06-26-2020,2878,868,90
06-27-2020,2878,868,90
06-28-2020,2894,887,90
06-29-2020,2904,910,90
06-30-2020,2924,910,90
07-01-2020,2924,932,90
07-02-2020,2944,951,90
07-03-2020,2944,951,90
07-04-2020,2961,973,92
07-05-2020,2997,1014,92
07-06-2020,3006,1051,92
07-07-2020,3015,1096,92
07-08-2020,3028,1147,92
07-09-2020,3038,1209,92
07-10-2020,3038,1209,92
07-11-2020,3051,1264,92
07-12-2020,3059,1264,93
07-13-2020,3072,1343,93
07-14-2020,3076,1380,93
07-15-2020,3083,1425,93
07-16-2020,3106,1444,93
07-17-2020,3106,1444,93
07-18-2020,3111,1452,93
07-18-2020,3111,1452,93
07-18-2020,3111,1452,93
07-19-2020,3119,1457,93
07-20-2020,3130,1462,93
07-21-2020,3135,1464,93
07-22-2020,3161,1495,93
07-23-2020,3171,1499,93
07-24-2020,3171,1499,93
07-25-2020,3178,1521,93
07-26-2020,3178,1521,93
07-27-2020,3196,1543,93
07-28-2020,3212,1562,93
07-28-2020,3212,1562,93
07-29-2020,3212,1562,93
07-30-2020,3212,1562,93
07-31-2020,3212,1562,93
08-01-2020,3212,1562,93
08-02-2020,3220,1598,93
08-03-2020,3220,1598,93
08-04-2020,3220,1598,93
08-05-2020,3227,1728,93
08-06-2020,3227,1728,93
08-07-2020,3227,1728,93
08-08-2020,3227,1728,93
08-09-2020,3227,1728,93
08-10-2020,3227,1728,93
08-11-2020,3227,1728,93
08-12-2020,3227,1728,93
08-13-2020,3227,1728,93
08-14-2020,3250,2268,93
08-15-2020,3250,2268,93
08-16-2020,3256,2374,93
08-17-2020,3257,2374,93
08-18-2020,3257,2374,93
08-19-2020,3265,2396,93
08-20-2020,3265,2396,93
08-21-2020,3265,2396,93
08-22-2020,3269,2396,93
08-23-2020,3269,2396,93
08-24-2020,3269,2443,93
08-25-2020,3275,2443,95
08-26-2020,3275,2443,95
08-27-2020,3275,2443,95
08-28-2020,3275,2443,95
08-29-2020,3310,2481,97
08-30-2020,3310,2481,98
08-31-2020,3310,2481,98
09-01-2020,3310,2481,98
09-02-2020,3310,2481,98
09-03-2020,3310,2481,98
09-04-2020,3332,2696,97
09-05-2020,3332,2696,97
09-06-2020,3362,2696,97
09-07-2020,3362,2696,97
09-08-2020,3371,2738,97
09-09-2020,3371,2738,97
09-10-2020,3371,2738,97
09-11-2020,3376,2791,98
09-12-2020,3376,2791,98
09-13-2020,3389,2803,98
09-14-2020,3389,2803,98
09-15-2020,3390,2812,98
09-16-2020,3390,2812,98
09-17-2020,3390,2812,98
09-18-2020,3390,2812,98
09-19-2020,3401,2812,98
09-20-2020,3442,2877,98
09-21-2020,3465,2877,98
09-22-2020,3465,2877,98
09-23-2020,3465,2877,98
09-24-2020,3465,2877,98
09-25-2020,3465,2877,98
09-26-2020,3588,2943,99
09-27-2020,3588,2946,99
09-28-2020,3588,2946,99
09-29-2020,3588,2946,99
09-30-2020,3588,2946,99
10-01-2020,3593,3001,99
10-02-2020,3593,3001,99
10-03-2020,3593,3001,99
10-04-2020,3745,3010,99
10-05-2020,3745,3010,99
10-06-2020,3745,3010,99
10-07-2020,3745,3010,99
10-08-2020,3745,3010,99
10-09-2020,3745,3010,99
10-10-2020,3847,3079,99
10-11-2020,3864,3089,99
10-12-2020,3864,3089,99
10-13-2020,3864,3089,99
10-14-2020,3864,3089,99
10-15-2020,3864,3089,99
10-16-2020,3864,3089,99
10-17-2020,3864,3089,99
10-18-2020,3864,3089,99
10-19-2020,3890,3089,99
10-20-2020,3890,3166,101
10-21-2020,3890,3166,101
10-22-2020,3897,3166,102
10-23-2020,3897,3166,102
10-24-2020,3897,3166,102
10-25-2020,3941,3185,104
10-26-2020,3941,3185,104
10-27-2020,3941,3185,104
10-28-2020,3941,3185,104
10-29-2020,3941,3185,104
10-30-2020,3941,3185,104
10-31-2020,3941,3185,104
11-01-2020,3941,3185,104
11-02-2020,3941,3185,104
11-03-2020,4229,3247,107
11-04-2020,4229,3247,107
11-05-2020,4229,3247,107
11-06-2020,4229,3247,107
11-07-2020,4229,3247,107
11-08-2020,4229,3247,107
11-09-2020,4301,3247,107
11-10-2020,4301,3247,107
11-11-2020,4301,3330,107
11-12-2020,4301,3330,107
11-13-2020,4301,3330,107
11-14-2020,4301,3330,107
11-15-2020,4301,3330,107
11-16-2020,4301,3330,107
11-17-2020,4382,3384,108
11-18-2020,4382,3384,108
11-19-2020,4382,3384,108
11-20-2020,4382,3384,108
11-21-2020,4382,3384,108
11-22-2020,4445,3412,113
11-23-2020,4445,3412,113
11-24-2020,4445,3412,113
11-25-2020,4445,3412,113
