







date,confirmed,cured,dead
03-11-2020,13,0,0
03-12-2020,17,0,0
03-13-2020,24,0,0
03-14-2020,38,0,0
03-15-2020,51,0,0
03-16-2020,62,0,0
03-17-2020,62,0,0
03-18-2020,116,0,0
03-19-2020,150,0,0
03-20-2020,202,0,0
03-21-2020,240,0,0
03-22-2020,274,2,0
03-23-2020,402,4,0
03-24-2020,554,4,0
03-25-2020,709,12,0
03-26-2020,927,12,0
03-27-2020,1170,31,1
03-28-2020,1187,31,1
03-29-2020,1280,31,2
03-30-2020,1326,31,3
03-31-2020,1353,31,5
04-01-2020,1380,50,5
04-02-2020,1462,50,5
04-03-2020,1505,95,9
04-04-2020,1585,95,9
04-05-2020,1655,95,11
04-06-2020,1686,95,12
04-07-2020,1749,95,13
04-08-2020,1845,95,18
04-09-2020,1934,95,18
04-10-2020,2003,410,24
04-11-2020,2028,410,25
04-12-2020,2173,410,25
04-13-2020,2272,410,27
04-14-2020,2415,410,27
04-15-2020,2506,410,34
04-16-2020,2605,903,48
04-17-2020,2783,903,50
04-18-2020,3034,903,52
04-19-2020,3158,903,54
04-20-2020,3300,1055,58
04-21-2020,3465,1055,58
04-22-2020,3635,1055,65
04-23-2020,3953,1473,75
04-24-2020,4220,1473,79
04-25-2020,4361,1473,86
04-26-2020,4546,1473,87
04-27-2020,4793,1473,90
04-28-2020,4996,2073,93
04-29-2020,5350,2073,103
04-30-2020,5647,2073,103
05-01-2020,5951,2382,116
05-02-2020,6336,2549,123
05-03-2020,6783,2549,131
05-04-2020,7220,2746,138
05-05-2020,7572,2746,148
05-05-2020,7572,2746,148
05-06-2020,7808,3153,153
05-07-2020,8232,3153,161
05-08-2020,8895,3153,178
05-09-2020,9420,3983,186
05-10-2020,10015,4173,194
05-11-2020,10652,4357,206
05-12-2020,11350,4357,206
05-12-2020,11350,4357,206
05-13-2020,12074,4745,219
05-14-2020,12739,5676,238
05-14-2020,12739,5676,238
05-15-2020,13524,6083,247
05-16-2020,14355,6478,261
05-17-2020,15515,7006,264
05-18-2020,16433,7298,286
05-19-2020,17200,7960,312
05-19-2020,17200,7960,312
05-20-2020,18003,8950,339
05-21-2020,19137,8950,369
05-22-2020,20125,10104,397
05-23-2020,21343,10104,407
05-24-2020,22583,11100,429
05-25-2020,23615,11917,481
05-26-2020,24264,12741,524
05-27-2020,25937,13451,552
05-28-2020,27403,14370,577
05-29-2020,29240,15093,611
05-30-2020,30967,16116,643
05-31-2020,32683,16809,683
06-01-2020,34357,17291,705
06-02-2020,35812,18313,755
06-03-2020,37525,19682,792
06-04-2020,40792,21311,848
06-05-2020,43434,23088,908
06-06-2020,45973,24258,952
06-06-2020,45973,24258,952
06-07-2020,48285,24364,998
06-08-2020,50879,26099,1080
06-09-2020,52991,29006,1162
06-10-2020,55421,31505,1210
06-11-2020,58568,33252,1284
06-12-2020,61927,35006,1354
06-13-2020,65736,36850,1423
06-14-2020,70038,38531,1480
06-15-2020,73533,39867,1568
06-16-2020,76334,42063,1625
06-17-2020,80412,44331,1674
06-18-2020,83890,44920,1737
06-19-2020,87715,47825,1831
06-20-2020,92681,50326,1877
06-21-2020,97302,51608,1930
06-22-2020,101590,53444,1991
06-23-2020,106108,55045,2102
06-24-2020,111796,56874,2205
06-25-2020,118375,59974,2292
06-26-2020,124590,64111,2340
06-27-2020,131800,67094,2413
06-28-2020,138134,68925,2456
06-29-2020,144264,70614,2529
06-30-2020,151209,73543,2657
07-01-2020,159333,76025,2749
07-02-2020,168061,81999,2844
07-03-2020,177124,86298,2952
07-04-2020,187977,91227,3026
07-05-2020,196750,93315,3199
07-06-2020,205721,97848,3310
07-07-2020,215855,102299,3502
07-08-2020,224665,106842,3602
07-09-2020,238339,113061,3720
07-10-2020,250687,118232,3860
07-11-2020,264184,127715,3971
07-12-2020,276242,134874,4079
07-13-2020,287796,138241,4172
07-14-2020,298292,146279,4346
07-15-2020,311049,160693,4453
07-16-2020,324221,165591,4669
07-17-2020,337594,178183,4804
07-18-2020,350879,182230,4948
07-18-2020,350879,182230,4948
07-18-2020,350879,182230,4948
07-19-2020,364328,191059,5033
07-20-2020,373628,194865,5173
07-21-2020,381798,208144,5368
07-22-2020,394948,229175,5940
07-23-2020,408052,236260,6093
07-24-2020,421996,245771,6343
07-25-2020,434200,263054,6655
07-26-2020,445433,265077,6769
07-27-2020,452529,274925,7067
07-28-2020,459761,287313,7257
07-28-2020,459761,287313,7257
07-29-2020,471123,297967,7497
07-30-2020,482169,309601,7812
07-31-2020,493183,326171,8005
08-01-2020,503290,342461,8153
08-02-2020,511485,347227,8366
08-03-2020,516862,358037,8539
08-04-2020,521318,363751,8884
08-05-2020,529877,377266,9298
08-06-2020,538184,387316,9604
08-07-2020,545476,394759,9909
