







date,confirmed,cured,dead
04-05-2020,1,0,0
04-06-2020,1,0,0
04-07-2020,2,0,0
04-08-2020,2,0,0
04-09-2020,3,0,0
04-10-2020,4,0,0
04-11-2020,4,0,0
04-12-2020,4,0,0
04-13-2020,4,0,0
04-14-2020,4,0,0
04-15-2020,4,0,0
04-16-2020,4,0,0
04-17-2020,4,0,0
04-18-2020,4,0,0
04-19-2020,4,0,0
04-20-2020,4,0,0
04-21-2020,4,0,0
04-22-2020,4,0,0
04-23-2020,5,0,0
04-24-2020,5,0,0
04-25-2020,5,0,0
04-26-2020,6,0,0
04-27-2020,6,0,0
04-28-2020,34,0,0
04-29-2020,34,0,0
04-30-2020,35,0,0
05-01-2020,45,0,0
05-02-2020,45,0,0
05-03-2020,46,0,0
05-04-2020,46,0,0
05-05-2020,52,0,0
05-05-2020,52,0,0
05-06-2020,58,0,0
05-07-2020,74,0,0
05-08-2020,120,2,0
05-09-2020,120,2,0
05-10-2020,120,2,0
05-11-2020,156,2,0
05-12-2020,194,2,0
05-12-2020,194,2,0
05-13-2020,203,2,0
05-14-2020,203,3,0
05-14-2020,203,3,0
05-15-2020,236,4,4
05-16-2020,236,4,4
05-17-2020,290,4,4
05-18-2020,290,4,4
05-19-2020,290,4,4
05-19-2020,290,4,4
05-20-2020,290,4,4
05-21-2020,481,4,4
05-22-2020,563,6,6
05-23-2020,655,6,8
05-24-2020,655,6,8
05-25-2020,806,6,8
05-26-2020,806,6,8
05-27-2020,994,6,10
05-28-2020,994,6,10
05-29-2020,994,6,10
05-30-2020,994,6,10
05-31-2020,994,6,10
06-01-2020,994,6,10
06-02-2020,994,6,10
06-03-2020,994,6,10
06-04-2020,994,6,10
06-05-2020,994,6,10
06-06-2020,994,6,10
06-06-2020,994,6,10
06-07-2020,1317,6,14
06-08-2020,1604,15,19
06-09-2020,1604,15,19
06-10-2020,1604,15,19
06-11-2020,1670,48,24
06-12-2020,1670,48,24
06-13-2020,1693,49,27
06-14-2020,1693,49,27
06-15-2020,1693,49,27
06-16-2020,1776,58,30
06-17-2020,1813,89,31
06-18-2020,1830,117,32
06-19-2020,1864,122,34
06-20-2020,1882,122,34
06-21-2020,1892,169,34
06-22-2020,1916,190,35
06-23-2020,1930,217,36
06-24-2020,1942,224,36
06-25-2020,1942,224,36
06-26-2020,1942,224,36
06-27-2020,1942,224,36
06-28-2020,1989,246,36
06-29-2020,1989,246,36
06-30-2020,2007,279,38
07-01-2020,2021,333,38
07-02-2020,2021,333,38
07-03-2020,2021,333,38
07-04-2020,2021,333,38
07-05-2020,2021,333,38
07-06-2020,2021,333,38
07-07-2020,2021,333,38
07-08-2020,2021,333,38
07-09-2020,2021,333,38
07-10-2020,2021,333,38
07-11-2020,2021,333,38
07-12-2020,2021,333,38
07-13-2020,2148,333,41
07-14-2020,2148,333,41
07-15-2020,2153,1175,41
07-16-2020,2171,1175,41
07-17-2020,2191,1175,43
07-18-2020,2191,1175,43
07-18-2020,2191,1175,43
07-18-2020,2191,1175,43
07-19-2020,2200,1175,43
07-20-2020,2211,1175,45
07-21-2020,2211,1175,45
07-22-2020,2211,1175,45
07-23-2020,2239,1175,45
07-24-2020,2258,1175,45
07-25-2020,2258,1175,45
07-26-2020,2262,1175,45
07-27-2020,2305,1175,46
07-28-2020,2305,1175,46
07-28-2020,2305,1175,46
07-29-2020,2322,1175,46
07-30-2020,2322,1175,46
07-31-2020,2322,1175,46
08-01-2020,2352,1175,46
08-02-2020,2429,1175,46
08-03-2020,2429,1175,46
08-04-2020,2437,1175,47
08-05-2020,2437,1175,47
08-06-2020,2450,1175,47
08-07-2020,2450,1175,47
08-08-2020,2463,1175,47
08-09-2020,2470,1175,47
08-10-2020,2470,1175,47
08-11-2020,2472,1175,47
08-12-2020,2477,1175,47
08-13-2020,2478,1175,47
08-14-2020,2482,1175,47
08-15-2020,2488,1175,47
08-16-2020,2489,1175,47
08-17-2020,2490,1175,47
08-18-2020,2490,1175,47
08-19-2020,2494,1290,47
08-20-2020,2494,1290,47
08-21-2020,2497,1290,47
08-22-2020,2497,1290,47
08-23-2020,2499,1290,47
08-24-2020,2504,1290,47
08-25-2020,2507,1290,47
08-26-2020,2510,1290,47
08-27-2020,2514,1290,47
08-28-2020,2518,1290,47
08-29-2020,2519,1290,47
08-30-2020,2519,1290,47
08-31-2020,2527,1290,47
09-01-2020,2527,1290,47
09-02-2020,2532,1290,47
09-03-2020,2533,1290,47
09-04-2020,2536,1290,47
09-05-2020,2544,1290,48
09-06-2020,2544,1290,48
09-07-2020,2545,1290,48
09-08-2020,2552,1290,49
09-09-2020,2555,1290,49
09-10-2020,2555,1290,49
09-11-2020,2568,1290,49
09-12-2020,2578,1290,49
09-13-2020,2578,1290,49
09-14-2020,2587,1290,49
09-15-2020,2592,1290,49
09-16-2020,2594,1290,49
09-17-2020,2599,1290,49
09-18-2020,2609,1290,49
09-19-2020,2642,1290,49
09-20-2020,2642,1290,49
09-21-2020,2649,1290,49
09-22-2020,2660,1290,49
09-23-2020,2664,1290,49
09-24-2020,2669,1290,49
09-25-2020,2676,1290,49
09-26-2020,2676,1290,49
09-27-2020,2686,1290,49
09-28-2020,2692,1290,49
09-29-2020,2700,1290,49
09-30-2020,2704,1290,49
10-01-2020,2704,1290,49
10-02-2020,2715,1290,50
10-03-2020,2715,1290,50
10-04-2020,2726,1290,50
10-05-2020,2726,1290,50
10-06-2020,2734,1290,50
10-07-2020,2748,1290,50
10-08-2020,2749,1290,53
10-09-2020,2761,1290,54
10-10-2020,2761,1290,54
10-11-2020,2777,1290,55
10-12-2020,2787,1290,55
10-13-2020,2798,1290,55
10-14-2020,2798,1290,55
10-15-2020,2807,1290,55
10-16-2020,2817,1290,55
10-17-2020,2817,1290,55
10-18-2020,2842,1290,55
10-19-2020,2847,1290,55
10-20-2020,2847,1290,55
10-21-2020,2870,1290,55
10-22-2020,2872,1290,55
10-23-2020,2876,1290,56
10-24-2020,2878,1290,56
10-25-2020,2883,1290,56
10-26-2020,2883,1290,56
10-27-2020,2890,1290,56
10-28-2020,2890,1290,56
10-29-2020,2903,1290,58
10-30-2020,2903,1290,58
10-31-2020,2905,1290,58
11-01-2020,2926,1290,59
11-02-2020,2926,1290,59
11-03-2020,2940,1290,59
11-04-2020,2943,1290,59
11-05-2020,2943,1290,59
11-06-2020,2943,1290,59
11-07-2020,2943,1290,59
11-08-2020,2943,1290,59
11-09-2020,2960,1290,59
11-10-2020,2960,1290,59
11-11-2020,2960,1290,59
11-12-2020,2960,1290,59
11-13-2020,2980,1290,59
11-14-2020,3003,1290,59
11-15-2020,3003,1290,59
11-16-2020,3012,1290,59
11-17-2020,3016,1290,59
11-18-2020,3016,1290,59
11-19-2020,3016,1290,59
11-20-2020,3016,1290,59
