







date,confirmed,cured,dead
03-11-2020,2277,183,54
03-12-2020,2277,183,55
03-13-2020,5232,193,133
03-14-2020,6391,517,195
03-15-2020,7798,517,289
03-16-2020,9942,530,342
03-17-2020,11748,1028,533
03-18-2020,13910,1081,623
03-19-2020,17963,1107,830
03-20-2020,20410,1588,1043
03-21-2020,25374,2125,1375
03-22-2020,28603,2125,1756
03-23-2020,35136,3355,2311
03-24-2020,39885,3794,2808
03-25-2020,49515,5367,3647
03-26-2020,57786,7015,4365
03-27-2020,65719,9357,5138
03-28-2020,73235,12285,5982
03-29-2020,80110,14709,6803
03-30-2020,87956,16780,7716
03-31-2020,95923,19259,8464
04-01-2020,104118,22647,9387
04-02-2020,112065,26743,10348
04-03-2020,119199,30513,11198
04-04-2020,126168,34219,11947
04-05-2020,131646,38080,12641
04-06-2020,136675,40437,13341
04-07-2020,141942,43208,14045
04-08-2020,148220,48021,14792
04-09-2020,153222,52165,15447
04-10-2020,158273,55668,16081
04-11-2020,163027,59109,16606
04-12-2020,166831,62391,17209
04-13-2020,170099,64727,17756
04-14-2020,172541,67504,18056
04-15-2020,177644,70853,18708
04-16-2020,184948,74797,19315
04-17-2020,190839,74797,20002
04-18-2020,191726,74797,20043
04-19-2020,198674,77357,20453
04-20-2020,200210,80587,20852
04-21-2020,204178,82514,21282
04-22-2020,208389,85915,21717
04-23-2020,213024,89250,22157
04-24-2020,219764,92355,22524
04-25-2020,223759,95708,22902
04-26-2020,226629,117727,23190
04-27-2020,229422,120832,23521
04-28-2020,232128,123903,23822
04-29-2020,236899,132929,24275
04-30-2020,213435,112050,24543
05-01-2020,213435,112050,24543
05-02-2020,216582,117248,25100
05-03-2020,217466,118902,25264
05-04-2020,218011,121343,25428
05-05-2020,219329,123486,25613
05-05-2020,219329,123486,25613
05-06-2020,220325,126002,25857
05-07-2020,221447,128511,26070
05-08-2020,222857,131148,26299
05-09-2020,223578,133952,26478
05-10-2020,224350,136166,26621
05-11-2020,227436,137139,26744
05-12-2020,228030,138980,26920
05-12-2020,228030,138980,26920
05-13-2020,228691,140823,27104
05-14-2020,229540,143374,27321
05-14-2020,229540,143374,27321
05-15-2020,230183,144783,27459
05-16-2020,230698,146446,27563
05-17-2020,230698,146446,27563
05-18-2020,231606,150376,27709
05-19-2020,232037,0,27778
05-19-2020,232037,0,27778
05-20-2020,232555,150376,27888
05-21-2020,233037,150376,27940
05-22-2020,234824,150376,28628
05-23-2020,235290,150376,28678
05-24-2020,235772,150376,28752
05-25-2020,235400,150376,26834
05-26-2020,236259,150376,27117
05-27-2020,236259,150376,27117
05-28-2020,237906,150376,27119
05-29-2020,238564,150376,27121
05-30-2020,239228,150376,27125
05-31-2020,239479,150376,27127
06-01-2020,239638,150376,27127
06-02-2020,239932,150376,27127
06-03-2020,240326,150376,27128
06-04-2020,240660,150376,27133
06-05-2020,240978,150376,27134
06-06-2020,241310,150376,27135
06-06-2020,241310,150376,27135
06-07-2020,241550,150376,27136
06-08-2020,241717,150376,27136
06-09-2020,241966,150376,27136
06-10-2020,242280,150376,27136
06-11-2020,242707,150376,27136
06-12-2020,243209,150376,27136
06-13-2020,243605,150376,27136
06-14-2020,243928,150376,27136
06-15-2020,244109,150376,27136
06-16-2020,244328,150376,27136
06-17-2020,244683,150376,27136
06-18-2020,245268,150376,27136
06-19-2020,245575,150376,28315
06-20-2020,245938,150376,28322
06-21-2020,246272,150376,28323
06-22-2020,246504,150376,28324
06-23-2020,246752,150376,28325
06-24-2020,247086,150376,28327
06-25-2020,247486,150376,28330
06-26-2020,247905,150376,28338
06-27-2020,248469,150376,28341
06-28-2020,248770,150376,28343
06-29-2020,248970,150376,28346
06-30-2020,249271,150376,28355
07-01-2020,249659,150376,28364
07-02-2020,250103,150376,28368
07-03-2020,250545,150376,28385
07-04-2020,250545,150376,28385
07-05-2020,250545,150376,28385
07-06-2020,251789,150376,28388
07-07-2020,252130,150376,28392
07-08-2020,252513,150376,28396
07-09-2020,253056,150376,28401
07-10-2020,253908,150376,28403
07-11-2020,253908,150376,28403
07-12-2020,253908,150376,28403
07-13-2020,255953,150376,28406
07-14-2020,256619,150376,28409
07-15-2020,257494,150376,28413
07-16-2020,258855,150376,28416
07-17-2020,260255,150376,28420
07-18-2020,260255,150376,28420
07-18-2020,260255,150376,28420
07-18-2020,260255,150376,28420
07-19-2020,260255,150376,28420
07-20-2020,264836,150376,28422
07-21-2020,266194,150376,28424
07-22-2020,267551,150376,28426
07-23-2020,270166,150376,28429
07-24-2020,272421,150376,28432
07-25-2020,272421,150376,28432
07-26-2020,272421,150376,28432
07-27-2020,278782,150376,28434
07-28-2020,280610,150376,28436
07-28-2020,280610,150376,28436
07-29-2020,282641,150376,28441
07-30-2020,285430,150376,28443
07-31-2020,288522,150376,28445
08-01-2020,288522,150376,28445
08-02-2020,288522,150376,28445
08-03-2020,297054,150376,28472
08-04-2020,302814,150376,28498
08-05-2020,305767,150376,28499
08-06-2020,309855,150376,28500
08-07-2020,314362,150376,28503
08-08-2020,314362,150376,28503
08-09-2020,314362,150376,28503
08-10-2020,322980,150376,28576
08-11-2020,326612,150376,28581
08-12-2020,329784,150376,28579
08-13-2020,337334,150376,28605
08-14-2020,342813,150376,28617
08-15-2020,342813,150376,28617
08-16-2020,342813,150376,28617
08-17-2020,359082,150376,28646
08-18-2020,364196,150376,28670
08-19-2020,370867,150376,28797
08-20-2020,377906,150376,28813
08-21-2020,386054,150376,28838
08-22-2020,386054,150376,28838
08-23-2020,386054,150376,28838
08-24-2020,405436,150376,28872
08-25-2020,412553,150376,28924
08-26-2020,419849,150376,28971
08-27-2020,429507,150376,28996
08-28-2020,439286,150376,29011
08-29-2020,439286,150376,29011
08-30-2020,439286,150376,29011
08-31-2020,462858,150376,29094
09-01-2020,470973,150376,29152
09-02-2020,479554,150376,29194
09-03-2020,488513,150376,29234
09-04-2020,498989,150376,29418
09-05-2020,498989,150376,29418
09-06-2020,498989,150376,29418
09-07-2020,525549,150376,29516
09-08-2020,534513,150376,29594
09-09-2020,543379,150376,29628
09-10-2020,554143,150376,29699
09-11-2020,566326,150376,29747
09-12-2020,566326,150376,29747
09-13-2020,566326,150376,29747
09-14-2020,593730,150376,29848
09-15-2020,603167,150376,30004
09-16-2020,614360,150376,30243
09-17-2020,625651,150376,30405
09-18-2020,640040,150376,30495
09-19-2020,640040,150376,30495
09-20-2020,640040,150376,30495
09-21-2020,671468,150376,30663
09-22-2020,682267,150376,30904
09-23-2020,693556,150376,31034
09-24-2020,704209,150376,31118
09-25-2020,716481,150376,31232
09-26-2020,716481,150376,31232
09-27-2020,716481,150376,31232
09-28-2020,748266,150376,31411
09-29-2020,748266,150376,31411
09-30-2020,769188,150376,31791
10-01-2020,778607,150376,31973
10-02-2020,789932,150376,32086
10-03-2020,789932,150376,32086
10-04-2020,789932,150376,32086
10-05-2020,813412,150376,32225
10-06-2020,825410,150376,32486
10-07-2020,835901,150376,32562
10-08-2020,848324,150376,32688
10-09-2020,861112,150376,32929
