







date,confirmed,cured,dead
03-11-2020,500,1,1
03-12-2020,599,1,1
03-13-2020,814,1,1
03-14-2020,961,1,2
03-15-2020,1022,1,3
03-16-2020,1103,1,6
03-17-2020,1190,1,7
03-18-2020,1279,1,10
03-19-2020,1439,16,11
03-20-2020,1639,16,16
03-21-2020,1763,16,20
03-22-2020,1931,16,21
03-23-2020,2046,16,25
03-24-2020,2286,16,36
03-25-2020,2526,16,62
03-26-2020,2840,16,77
03-27-2020,3069,16,105
03-28-2020,3447,16,105
03-29-2020,3700,16,110
03-30-2020,4028,16,146
03-31-2020,4435,16,180
04-01-2020,4947,103,239
04-02-2020,5568,103,308
04-03-2020,6131,205,358
04-04-2020,6443,205,373
04-05-2020,6830,205,401
04-06-2020,7206,205,477
04-07-2020,7693,205,591
04-08-2020,8419,205,687
04-09-2020,9141,205,793
04-10-2020,9685,381,870
04-11-2020,10151,381,887
04-12-2020,10483,381,899
04-13-2020,10948,381,919
04-14-2020,11445,381,1033
04-15-2020,11927,381,1203
04-16-2020,12540,550,1333
04-17-2020,13216,550,1400
04-18-2020,13822,550,1511
04-19-2020,14385,550,1540
04-20-2020,14777,550,1580
04-21-2020,15322,550,1765
04-22-2020,16004,550,1937
04-23-2020,16755,550,2021
04-24-2020,17567,1005,2152
04-25-2020,18177,1005,2192
04-26-2020,18640,1005,2194
04-27-2020,18926,1005,2274
04-28-2020,19621,1005,2355
04-29-2020,20302,1005,2462
04-30-2020,21092,1005,2586
05-01-2020,21520,1005,2653
05-02-2020,22082,1005,2669
05-03-2020,22317,1005,2679
05-04-2020,22721,4074,2769
05-05-2020,23216,4074,2854
05-05-2020,23216,4074,2854
05-06-2020,23918,4074,2941
05-07-2020,24623,4971,3040
05-08-2020,25265,4971,3175
05-09-2020,25921,4971,3220
05-10-2020,26322,4971,3225
05-11-2020,26670,4971,3256
05-12-2020,27272,4971,3313
05-12-2020,27272,4971,3313
05-13-2020,27909,4971,3460
05-14-2020,28582,4971,3529
05-14-2020,28582,4971,3529
05-15-2020,29207,4971,3646
05-16-2020,29677,4971,3674
05-17-2020,30143,4971,3679
05-18-2020,30377,4971,3698
05-19-2020,30799,4971,3743
05-19-2020,30799,4971,3743
05-20-2020,31523,4971,3831
05-21-2020,32172,4971,3871
05-22-2020,32809,4971,3925
05-23-2020,33188,4971,3992
05-24-2020,33459,4971,3998
05-25-2020,33843,4971,4029
05-26-2020,34440,4971,4125
05-27-2020,35088,4971,4220
05-28-2020,35727,4971,4266
05-29-2020,36476,4971,4350
05-30-2020,37113,4971,4395
05-31-2020,37542,4971,4395
06-01-2020,37814,4971,4403
06-02-2020,38589,0,4468
06-03-2020,40803,0,4542
06-04-2020,41883,0,4562
06-05-2020,42939,0,4639
06-06-2020,43887,0,4656
06-06-2020,43887,0,4656
06-07-2020,44730,0,4659
06-08-2020,45133,0,4694
06-09-2020,45924,0,4717
06-10-2020,46814,0,4795
06-11-2020,48288,0,4814
06-12-2020,49684,0,4854
06-13-2020,50931,0,4874
06-14-2020,51614,0,4874
06-15-2020,52383,0,4891
06-16-2020,53323,0,4939
06-17-2020,54562,0,5041
06-18-2020,56043,0,5053
06-19-2020,56043,0,5053
06-20-2020,56043,0,5053
06-21-2020,56043,0,5053
06-22-2020,58932,0,5122
06-23-2020,60837,0,5161
06-24-2020,62324,0,5209
06-25-2020,63890,0,5230
06-26-2020,65137,0,5280
06-27-2020,65137,0,5280
06-28-2020,65137,0,5280
06-29-2020,67667,0,5310
06-30-2020,68451,0,5333
07-01-2020,69692,0,5370
07-02-2020,70639,0,5411
07-03-2020,71419,0,5420
07-04-2020,71419,0,5420
07-05-2020,71419,0,5420
07-06-2020,73061,0,5433
07-07-2020,73344,0,5447
07-08-2020,73858,0,5482
07-09-2020,74333,0,5500
07-10-2020,74898,0,5526
07-11-2020,74898,0,5526
07-12-2020,74898,0,5526
07-13-2020,75826,0,5536
07-14-2020,76001,0,5545
07-15-2020,76492,0,5572
07-16-2020,76877,0,5593
07-17-2020,77281,0,5619
07-18-2020,77281,0,5619
07-18-2020,77281,0,5619
07-18-2020,77281,0,5619
07-19-2020,77281,0,5619
07-20-2020,78048,0,5639
07-21-2020,78166,0,5646
07-22-2020,78504,0,5667
07-23-2020,78763,0,5676
07-24-2020,78997,0,5697
07-25-2020,78997,0,5697
07-26-2020,78997,0,5697
07-27-2020,79395,0,5700
07-28-2020,79494,0,5702
07-28-2020,79494,0,5702
07-29-2020,79782,0,5730
07-30-2020,80100,0,5739
07-31-2020,80422,0,5743
08-01-2020,80422,0,5743
08-02-2020,80422,0,5743
