







date,confirmed,cured,dead
03-11-2020,652,4,4
03-12-2020,652,4,4
03-13-2020,1139,4,11
03-14-2020,1359,4,13
03-15-2020,2200,4,14
03-16-2020,2200,4,14
03-17-2020,2700,4,27
03-18-2020,3028,15,28
03-19-2020,4075,15,41
03-20-2020,5294,15,54
03-21-2020,6575,15,75
03-22-2020,7474,131,98
03-23-2020,8795,131,120
03-24-2020,9877,131,122
03-25-2020,10897,131,153
03-26-2020,11811,131,191
03-27-2020,12928,1530,231
03-28-2020,14076,1530,264
03-29-2020,14829,1595,300
03-30-2020,15922,1823,359
03-31-2020,16605,1823,433
04-01-2020,17768,2967,488
04-02-2020,18827,4013,536
04-03-2020,19606,4846,591
04-04-2020,20505,6415,666
04-05-2020,21100,6415,715
04-06-2020,21657,8056,765
04-07-2020,22253,8704,821
04-08-2020,23280,9800,895
04-09-2020,24051,10600,948
04-10-2020,24551,11100,1002
04-11-2020,25107,12100,1036
04-12-2020,25415,12700,1106
04-13-2020,25688,13700,1138
04-14-2020,25936,13700,1174
04-15-2020,26336,15400,1239
04-16-2020,26732,15900,1281
04-17-2020,27078,16400,1327
04-18-2020,27404,17100,1368
04-19-2020,27740,17800,1393
04-20-2020,27944,18600,1429
04-21-2020,28063,19400,1478
04-22-2020,28268,19900,1509
04-23-2020,28496,20600,1549
04-24-2020,28677,21000,1589
04-25-2020,28894,21300,1599
04-26-2020,29061,21800,1610
04-27-2020,29164,22200,1665
04-28-2020,29264,22600,1699
04-29-2020,29407,22600,1716
04-30-2020,29586,23400,1737
05-01-2020,29705,23900,1754
05-02-2020,29817,24200,1762
05-03-2020,29905,24500,1762
05-04-2020,29981,25200,1784
05-05-2020,30009,25400,1795
05-05-2020,30009,25400,1795
05-06-2020,30060,25700,1805
05-07-2020,30126,25900,1810
05-08-2020,30207,26100,1823
05-09-2020,30251,26400,1830
05-10-2020,30305,26600,1833
05-11-2020,30344,26800,1845
05-12-2020,30380,26800,1867
05-12-2020,30380,26800,1867
05-13-2020,30413,27100,1870
05-14-2020,30463,27100,1872
05-14-2020,30463,27100,1872
05-15-2020,30514,27100,1878
05-16-2020,30572,27400,1879
05-17-2020,30587,27500,1881
05-18-2020,30597,27600,1886
05-19-2020,30618,27700,1891
05-19-2020,30618,27700,1891
05-20-2020,30658,27800,1892
05-21-2020,30694,27900,1898
05-22-2020,30707,27900,1903
05-23-2020,30725,28000,1905
05-24-2020,30736,28100,1906
05-25-2020,30746,28200,1913
05-26-2020,30761,28200,1915
05-27-2020,30776,28300,1917
05-28-2020,30796,28300,1919
05-29-2020,30828,28300,1919
05-30-2020,30845,28400,1919
05-31-2020,30862,28500,1920
06-01-2020,30871,28500,1920
06-02-2020,30874,28500,1920
06-03-2020,30893,28600,1921
06-04-2020,30913,28600,1921
06-05-2020,30936,28600,1921
06-06-2020,30956,28700,1921
06-06-2020,30956,28700,1921
06-07-2020,30965,28700,1921
06-08-2020,30972,28700,1923
06-09-2020,30988,28700,1934
06-10-2020,31011,28700,1936
06-11-2020,31044,28800,1937
06-12-2020,31063,28800,1938
06-13-2020,31094,28800,1938
06-14-2020,31117,28800,1938
06-15-2020,31131,28900,1939
06-16-2020,31154,28900,1954
06-17-2020,31187,28900,1956
06-18-2020,31200,28900,1956
06-19-2020,31235,28900,1956
06-20-2020,31243,28900,1956
06-21-2020,31292,29000,1956
06-22-2020,31310,29000,1956
06-23-2020,31332,29000,1956
06-24-2020,31376,29000,1958
06-25-2020,31428,29000,1958
06-26-2020,31486,29000,1962
06-27-2020,31555,29100,1962
06-28-2020,31617,29100,1962
06-29-2020,31652,29100,1962
06-30-2020,31714,29200,1963
07-01-2020,31851,29200,1965
07-02-2020,31967,29200,1965
07-03-2020,32101,29200,1965
07-04-2020,32198,29200,1965
07-05-2020,32268,29300,1965
07-06-2020,32315,29300,1965
07-07-2020,32369,29300,1966
07-08-2020,32498,29400,1966
07-09-2020,32586,29400,1966
07-10-2020,32690,29400,1966
07-11-2020,32817,29500,1968
07-12-2020,32883,29600,1968
07-13-2020,32946,29600,1968
07-14-2020,33016,29800,1968
07-15-2020,33148,29800,1968
07-16-2020,33290,29900,1969
07-17-2020,33382,29900,1969
07-18-2020,33492,29900,1969
07-18-2020,33492,29900,1969
07-18-2020,33492,29900,1969
07-19-2020,33591,30300,1969
07-20-2020,33634,30300,1971
07-21-2020,33742,30300,1972
07-22-2020,33883,30500,1972
07-23-2020,34000,30500,1975
07-24-2020,34154,30500,1977
07-25-2020,34302,30500,1977
07-26-2020,34412,30700,1977
07-27-2020,34477,30900,1978
07-28-2020,34609,31000,1978
07-28-2020,34609,31000,1978
07-29-2020,34802,31100,1979
07-30-2020,35022,31100,1980
07-31-2020,35232,31100,1981
08-01-2020,35412,31300,1981
08-02-2020,35550,31500,1981
08-03-2020,35616,31500,1981
08-04-2020,35746,31600,1981
08-05-2020,35927,31600,1984
08-06-2020,36108,31600,1985
08-07-2020,36269,31600,1986
08-08-2020,36451,31900,1986
08-09-2020,36603,32300,1986
08-10-2020,36708,32400,1987
08-11-2020,36895,32400,1990
08-12-2020,37169,32700,1991
08-13-2020,37403,32700,1991
08-14-2020,37671,32900,1991
08-15-2020,37924,33200,1991
08-16-2020,38124,33300,1991
08-17-2020,38252,33300,1991
08-18-2020,38449,33500,1992
08-19-2020,38760,33500,1996
08-20-2020,39026,33900,1998
08-21-2020,39332,33900,2000
08-22-2020,39627,34100,2000
08-23-2020,39903,34400,2001
08-24-2020,40060,34400,2001
08-25-2020,40262,34400,2002
08-26-2020,40645,34800,2003
08-27-2020,41006,34800,2003
08-28-2020,41346,34800,2004
08-29-2020,41722,35200,2005
08-30-2020,42014,35800,2005
08-31-2020,42177,36100,2006
09-01-2020,42393,36300,2011
09-02-2020,42763,36500,2011
09-03-2020,43127,36500,2013
09-04-2020,43532,36500,2013
09-05-2020,43957,37100,2013
09-06-2020,44401,37100,2013
09-07-2020,44592,37700,2014
09-08-2020,44837,37700,2018
09-09-2020,45306,38100,2019
09-10-2020,45711,38100,2020
09-11-2020,46239,38100,2020
09-12-2020,46704,38500,2020
09-13-2020,47179,38900,2021
09-14-2020,47436,39600,2025
09-15-2020,47751,39900,2028
09-16-2020,48265,39900,2039
09-17-2020,48795,39900,2042
09-18-2020,49283,40500,2045
09-19-2020,49283,40500,2045
09-20-2020,49283,40500,2045
09-21-2020,50378,40500,2050
09-22-2020,50664,42100,2054
09-23-2020,51101,42100,2060
09-24-2020,51492,42600,2061
09-25-2020,51864,42600,2064
09-26-2020,51864,42600,2064
09-27-2020,51864,42700,2064
09-28-2020,52646,42700,2065
09-29-2020,52871,42700,2069
09-30-2020,53282,42700,2074
10-01-2020,53832,45300,2074
10-02-2020,54384,45800,2075
10-03-2020,54384,45800,2076
10-04-2020,54384,45800,2077
10-05-2020,55932,45800,2078
10-06-2020,56632,47300,2081
10-07-2020,57709,47300,2082
10-08-2020,58881,48400,2087
10-09-2020,60368,48400,2088
10-10-2020,60368,48400,2088
10-11-2020,60368,48400,2088
10-12-2020,64436,49500,2096
10-13-2020,65881,49800,2103
10-14-2020,68704,49800,2109
10-15-2020,71317,50500,2115
10-16-2020,74422,50500,2122
10-17-2020,74422,50600,2122
10-18-2020,74422,50600,2123
10-19-2020,83159,53400,2138
10-20-2020,86167,54600,2145
10-21-2020,91763,54600,2039
10-22-2020,97019,55700,2046
10-23-2020,103653,55800,2067
10-24-2020,103653,55800,2081
10-25-2020,103653,55800,2083
10-26-2020,121093,61700,2111
10-27-2020,127042,62700,2147
10-28-2020,135658,65100,2158
10-29-2020,145044,65100,2200
10-30-2020,154251,65200,2277
10-31-2020,154251,65200,2297
11-01-2020,154251,65200,2326
11-02-2020,176177,80400,2404
11-03-2020,182303,83400,2471
11-04-2020,192376,87100,2555
11-05-2020,202504,87100,2628
11-06-2020,211913,87300,2710
11-07-2020,211913,87300,2749
11-08-2020,211913,87300,2772
11-09-2020,229222,87300,2902
11-10-2020,235202,122600,3013
11-11-2020,243472,130000,3113
11-12-2020,250396,141000,3216
11-13-2020,257135,141000,3315
11-14-2020,257135,141000,3351
11-15-2020,257135,141000,3369
11-16-2020,269974,141000,3536
11-17-2020,274534,169100,3664
11-18-2020,280648,169100,3765
11-19-2020,285655,180700,3879
11-20-2020,290601,180700,3992
11-21-2020,290601,180700,4031
11-22-2020,290601,180700,4056
11-23-2020,300352,206700,4222
11-24-2020,304593,211500,4308
11-25-2020,309469,211500,4393
11-26-2020,313978,218900,4509
11-27-2020,318290,222100,4571
11-28-2020,318290,222100,4621
11-29-2020,318290,222100,4650
11-30-2020,327072,250200,4815
12-01-2020,330874,250200,4940
12-02-2020,335660,257600,5045
12-03-2020,340115,257600,5181
12-04-2020,344497,260600,5293
12-05-2020,344497,260600,5324
12-06-2020,344497,260600,5349
12-07-2020,354306,279900,5495
12-08-2020,358568,279900,5593
12-09-2020,363654,283000,5710
12-10-2020,368695,288400,5824
12-11-2020,373831,291500,5928
12-12-2020,373831,291500,5976
12-13-2020,373831,291500,5985
12-14-2020,384557,308300,6154
12-15-2020,388828,311500,6266
12-16-2020,394453,311500,6379
12-17-2020,399511,311500,6487
12-18-2020,403989,311500,6561
12-19-2020,403989,311500,6602
12-20-2020,403989,311500,6622
12-21-2020,413991,311500,6781
12-22-2020,418266,311500,6924
12-23-2020,423299,311500,7029
12-24-2020,428197,311500,7098
12-25-2020,428197,311500,7159
12-26-2020,428197,311500,7193
12-27-2020,428197,317600,7210
12-28-2020,438284,317600,7362
12-29-2020,442481,317600,7493
12-30-2020,447905,317600,7594
12-31-2020,452296,317600,7645
01-01-2021,452296,317600,7704
01-02-2021,452296,317600,7729
01-03-2021,452296,317600,7747
01-04-2021,461961,317600,7918
01-05-2021,465981,317600,8018
01-06-2021,470789,317600,8109
01-07-2021,474764,317600,8178
01-08-2021,477983,317600,8230
01-09-2021,477983,317600,8253
01-10-2021,477983,317600,8267
01-11-2021,484506,317600,8364
01-12-2021,487357,317600,8470
01-13-2021,490358,317600,8521
01-14-2021,492832,317600,8586
01-15-2021,495228,317600,8646
01-16-2021,495228,317600,8675
01-17-2021,495228,317600,8682
01-18-2021,499931,317600,8792
01-19-2021,502191,317600,8859
01-20-2021,504918,317600,8924
01-21-2021,507123,317600,8971
01-22-2021,509279,317600,9034
01-23-2021,509279,317600,9050
01-24-2021,509279,317600,9065
01-25-2021,513599,317600,9146
01-26-2021,515483,317600,9204
01-27-2021,517705,317600,9260
01-28-2021,519404,317600,9308
01-29-2021,521320,317600,9354
01-30-2021,521320,317600,9370
01-31-2021,521320,317600,9381
02-01-2021,525095,317600,9452
