







date,confirmed,cured,dead
03-11-2020,48,17,1
03-12-2020,49,20,1
03-13-2020,50,20,1
03-14-2020,53,20,1
03-15-2020,59,20,1
03-16-2020,67,20,1
03-17-2020,77,22,1
03-18-2020,100,22,1
03-19-2020,108,26,1
03-20-2020,135,26,2
03-21-2020,153,28,2
03-22-2020,169,28,2
03-23-2020,195,28,2
03-24-2020,215,29,2
03-25-2020,235,29,2
03-26-2020,252,29,2
03-27-2020,267,29,2
03-28-2020,283,30,2
03-29-2020,298,30,2
03-30-2020,306,39,5
03-31-2020,322,39,5
04-01-2020,329,39,5
04-02-2020,339,45,5
04-03-2020,348,50,5
04-04-2020,355,50,5
04-05-2020,363,50,5
04-06-2020,373,57,5
04-07-2020,376,57,5
04-08-2020,379,61,5
04-09-2020,380,67,5
04-10-2020,382,91,6
04-11-2020,385,99,6
04-12-2020,388,109,6
04-13-2020,393,109,6
04-14-2020,393,124,6
04-15-2020,395,124,6
04-16-2020,395,155,6
04-17-2020,395,166,6
04-18-2020,398,178,6
04-19-2020,420,189,6
04-20-2020,422,203,6
04-21-2020,425,217,6
04-22-2020,426,236,6
04-23-2020,427,253,6
04-24-2020,428,264,6
04-25-2020,429,275,6
04-26-2020,429,281,6
04-27-2020,429,290,6
04-28-2020,429,307,6
04-29-2020,429,311,6
04-30-2020,429,322,6
05-01-2020,429,324,6
05-02-2020,432,324,6
05-03-2020,436,332,6
05-04-2020,438,334,6
05-05-2020,438,334,6
05-05-2020,438,334,6
05-06-2020,439,339,6
05-07-2020,440,347,6
05-08-2020,440,355,6
05-09-2020,440,361,6
05-10-2020,440,366,6
05-11-2020,440,368,7
05-12-2020,440,372,7
05-12-2020,440,372,7
05-13-2020,440,375,7
05-14-2020,440,383,7
05-14-2020,440,383,7
05-15-2020,440,387,7
05-16-2020,440,389,7
05-17-2020,440,395,7
05-18-2020,440,398,7
05-19-2020,440,398,7
05-19-2020,440,398,7
05-20-2020,440,398,7
05-21-2020,440,398,7
05-22-2020,441,408,7
05-23-2020,441,411,7
05-24-2020,441,414,7
05-25-2020,441,415,7
05-26-2020,441,416,7
05-27-2020,441,419,7
05-28-2020,441,420,7
05-29-2020,442,420,7
05-30-2020,442,421,7
05-31-2020,442,423,7
06-01-2020,443,427,7
06-02-2020,443,427,7
06-03-2020,443,428,7
06-04-2020,443,428,7
06-05-2020,443,429,7
06-06-2020,443,429,7
06-06-2020,443,429,7
06-07-2020,443,430,7
06-08-2020,443,430,7
06-09-2020,443,431,7
06-10-2020,443,431,7
06-11-2020,443,431,7
06-12-2020,443,431,7
06-13-2020,443,431,7
06-14-2020,443,431,7
06-15-2020,445,433,7
06-16-2020,445,433,7
06-17-2020,445,434,7
06-18-2020,446,434,7
06-19-2020,446,434,7
06-20-2020,446,434,7
06-21-2020,446,434,7
06-22-2020,446,435,7
06-23-2020,446,435,7
06-24-2020,446,435,7
06-25-2020,447,435,7
06-26-2020,447,435,7
06-27-2020,447,435,7
06-28-2020,447,435,7
06-29-2020,447,435,7
06-30-2020,447,437,7
07-01-2020,447,438,7
07-02-2020,448,438,7
07-03-2020,449,438,7
07-04-2020,449,438,7
07-05-2020,449,438,7
07-06-2020,449,438,7
07-07-2020,449,438,7
07-08-2020,449,438,7
07-09-2020,449,438,7
07-10-2020,449,438,7
07-11-2020,451,438,7
07-12-2020,451,438,7
07-13-2020,451,438,7
07-14-2020,451,440,7
07-15-2020,451,440,7
07-16-2020,451,440,7
07-17-2020,451,440,7
07-18-2020,451,440,7
07-18-2020,451,440,7
07-18-2020,451,440,7
07-19-2020,451,440,7
07-20-2020,451,440,7
07-21-2020,451,440,7
07-22-2020,455,440,7
07-23-2020,455,440,7
07-24-2020,458,440,7
07-25-2020,458,440,7
07-26-2020,458,440,7
07-27-2020,462,440,7
07-28-2020,467,440,7
07-28-2020,467,440,7
07-29-2020,467,440,7
07-30-2020,467,440,7
07-31-2020,467,440,7
08-01-2020,474,441,7
08-02-2020,475,441,7
08-03-2020,474,441,7
08-04-2020,476,441,7
08-05-2020,476,441,7
08-06-2020,477,441,7
08-07-2020,477,441,7
08-08-2020,479,441,7
08-09-2020,477,441,7
08-10-2020,477,441,7
08-11-2020,480,443,7
08-12-2020,481,450,7
08-13-2020,481,450,7
08-14-2020,481,450,7
08-15-2020,482,450,7
08-16-2020,484,450,7
08-17-2020,485,450,7
08-18-2020,486,450,7
08-19-2020,486,457,7
08-20-2020,486,457,7
08-21-2020,487,457,7
08-22-2020,487,457,7
08-23-2020,487,457,7
08-24-2020,487,457,7
08-25-2020,487,457,7
08-26-2020,487,462,7
08-27-2020,487,462,7
08-28-2020,487,462,7
08-29-2020,488,462,7
08-30-2020,488,462,7
08-31-2020,488,462,7
09-01-2020,488,462,7
09-02-2020,489,471,7
09-03-2020,489,471,7
09-04-2020,490,471,7
09-05-2020,492,473,7
09-06-2020,493,473,7
09-07-2020,494,475,7
09-08-2020,495,475,7
09-09-2020,495,475,7
09-10-2020,496,475,7
09-11-2020,498,475,7
09-12-2020,498,475,7
09-13-2020,498,475,7
09-14-2020,499,476,7
09-15-2020,499,476,7
09-16-2020,500,477,7
09-17-2020,503,478,7
09-18-2020,503,478,7
09-19-2020,506,479,7
09-20-2020,507,479,7
09-21-2020,509,479,7
09-22-2020,509,479,7
09-23-2020,509,480,7
09-24-2020,509,480,7
09-25-2020,510,480,7
09-26-2020,510,480,7
09-27-2020,510,480,7
09-28-2020,513,482,7
09-29-2020,513,482,7
09-30-2020,514,483,7
10-01-2020,515,484,7
10-02-2020,517,484,7
10-03-2020,517,484,7
10-04-2020,517,484,7
10-05-2020,518,485,7
10-06-2020,521,485,7
10-07-2020,523,486,7
10-08-2020,524,487,7
10-09-2020,527,488,7
10-10-2020,527,488,7
10-11-2020,527,488,7
10-12-2020,529,489,7
10-13-2020,530,489,7
10-14-2020,530,491,7
10-15-2020,531,491,7
10-16-2020,535,491,7
10-17-2020,535,491,7
10-18-2020,535,491,7
10-19-2020,540,493,7
10-20-2020,543,495,7
10-21-2020,544,495,7
10-22-2020,548,497,7
10-23-2020,548,497,7
10-24-2020,550,502,7
10-25-2020,550,502,7
10-26-2020,550,502,7
10-27-2020,550,502,7
10-28-2020,550,508,7
10-29-2020,553,513,7
10-30-2020,554,514,7
10-31-2020,555,515,7
11-01-2020,558,518,7
11-02-2020,563,519,7
11-03-2020,567,521,7
11-04-2020,568,521,7
11-05-2020,569,523,7
11-06-2020,573,523,7
11-07-2020,573,523,7
11-08-2020,577,524,7
11-09-2020,578,526,7
11-10-2020,580,528,7
11-11-2020,584,528,7
11-12-2020,589,532,7
11-13-2020,597,533,7
11-14-2020,600,535,7
11-15-2020,602,536,7
11-16-2020,603,536,7
11-17-2020,605,539,7
11-18-2020,607,541,7
11-19-2020,609,545,7
11-20-2020,611,546,7
11-21-2020,611,546,7
11-22-2020,617,548,7
11-23-2020,618,549,7
11-24-2020,618,549,7
11-25-2020,623,553,7
