







date,confirmed,cured,dead
04-30-2020,15,0,0
05-01-2020,15,0,0
05-02-2020,76,0,2
05-03-2020,128,0,2
05-04-2020,230,0,3
05-05-2020,293,0,5
05-05-2020,293,0,5
05-06-2020,379,0,8
05-07-2020,461,0,12
05-08-2020,522,0,12
05-09-2020,612,0,20
05-10-2020,612,0,20
05-11-2020,661,0,21
05-12-2020,729,0,21
05-12-2020,729,0,21
05-13-2020,801,0,23
05-14-2020,907,0,29
05-14-2020,907,0,29
05-15-2020,1118,0,33
05-16-2020,1322,0,36
05-17-2020,1524,0,39
05-18-2020,1729,0,41
05-19-2020,1936,641,41
05-19-2020,1936,641,41
05-20-2020,2140,470,41
05-21-2020,2350,470,44
05-22-2020,2551,1089,44
05-23-2020,2738,1223,44
05-24-2020,2929,1301,46
05-25-2020,3100,1395,46
05-26-2020,3266,1417,47
05-27-2020,3424,1575,47
05-28-2020,3563,1674,47
05-29-2020,3686,1769,47
05-30-2020,3807,1865,47
05-31-2020,3930,2004,47
06-01-2020,4013,2089,47
06-02-2020,4100,2217,47
06-03-2020,4191,2347,48
06-04-2020,4289,2401,48
06-05-2020,4370,2491,48
06-06-2020,4453,2583,48
06-06-2020,4453,2583,48
06-07-2020,4529,2673,48
06-08-2020,4609,2763,48
06-09-2020,4690,2815,48
06-10-2020,4763,2947,48
06-11-2020,4834,3062,49
06-12-2020,4902,3158,49
06-13-2020,4971,3288,50
06-14-2020,5035,3409,50
06-15-2020,5097,3503,50
06-16-2020,5160,3624,50
06-17-2020,5221,3700,51
06-18-2020,5279,3762,51
06-19-2020,5338,3830,51
06-20-2020,5399,3894,52
06-21-2020,5457,3995,52
06-22-2020,5513,4039,52
06-23-2020,5567,4109,52
06-24-2020,5630,4194,52
06-25-2020,5691,4267,52
06-26-2020,5747,4331,52
06-27-2020,5799,4391,52
06-28-2020,5849,4448,52
06-29-2020,5900,4506,52
06-30-2020,5900,4506,52
07-01-2020,6005,4627,52
07-02-2020,6058,4690,52
07-03-2020,6058,4690,52
07-04-2020,6159,4809,52
07-05-2020,6213,4858,53
07-06-2020,6262,4914,53
07-07-2020,6315,4965,53
07-08-2020,6364,5011,54
07-09-2020,6410,5067,54
07-10-2020,6457,5115,55
07-11-2020,6506,5176,55
07-12-2020,6552,5228,55
07-13-2020,6596,5278,55
07-14-2020,6643,5332,56
07-15-2020,6695,5383,56
07-16-2020,6741,5431,56
07-17-2020,6786,5483,56
07-18-2020,6834,5529,57
07-18-2020,6834,5529,57
07-18-2020,6834,5529,57
07-19-2020,6878,5578,57
07-20-2020,6921,5629,57
07-21-2020,6967,5683,57
07-22-2020,7015,5741,58
07-23-2020,7060,5793,58
07-24-2020,7104,5851,58
07-25-2020,7150,5906,59
07-26-2020,7192,5970,59
07-27-2020,7235,6028,60
07-28-2020,7276,6065,60
07-28-2020,7276,6065,60
07-29-2020,7320,6103,60
07-30-2020,7366,6151,60
07-31-2020,7409,6193,60
08-01-2020,7451,6233,60
08-02-2020,7495,6276,61
08-03-2020,7538,6317,61
08-04-2020,7583,6356,61
08-05-2020,7625,6399,61
08-06-2020,7665,6443,62
08-07-2020,7706,6484,62
08-08-2020,7706,6484,62
08-09-2020,7745,6484,62
08-10-2020,7827,6614,62
08-11-2020,7871,6653,63
08-12-2020,7912,6696,63
08-13-2020,7950,6741,63
08-14-2020,7989,6777,63
08-15-2020,8029,6815,64
08-16-2020,8065,6855,64
08-17-2020,8099,6897,64
08-18-2020,8131,6935,65
08-19-2020,8166,6971,65
08-20-2020,8203,7006,66
08-21-2020,8241,7040,66
08-22-2020,8277,7072,66
08-23-2020,8311,7108,66
08-24-2020,8346,7142,67
08-25-2020,8379,7179,67
08-26-2020,8413,7214,67
08-27-2020,8449,7246,68
08-28-2020,8481,7276,68
08-29-2020,8516,7309,68
08-30-2020,8516,7309,68
08-31-2020,8583,7376,68
09-01-2020,8619,7413,68
09-02-2020,8654,7447,69
09-03-2020,8690,7482,69
09-04-2020,8724,7515,69
09-05-2020,8757,7549,70
09-06-2020,8792,7581,70
09-07-2020,8824,7616,70
09-08-2020,8860,7650,70
09-09-2020,8899,7683,71
09-10-2020,8939,7714,72
09-11-2020,8977,7747,72
09-12-2020,9014,7782,72
09-13-2020,9049,7816,72
09-14-2020,9088,7853,72
09-15-2020,9129,7896,73
09-16-2020,9171,7941,73
09-17-2020,9214,7988,73
09-18-2020,9259,8026,73
09-19-2020,9303,8066,73
09-20-2020,9346,8108,73
09-21-2020,9388,8152,73
09-22-2020,9432,8199,73
09-23-2020,9475,8244,74
09-24-2020,9520,8296,74
09-25-2020,9562,8341,74
09-26-2020,9605,8385,75
09-27-2020,9646,8430,75
09-28-2020,9685,8483,75
09-29-2020,9726,8531,75
09-30-2020,9769,8572,76
10-01-2020,9811,8617,77
10-02-2020,9852,8661,77
10-03-2020,9895,8707,77
10-04-2020,9935,8749,78
10-05-2020,9974,8794,78
10-06-2020,10014,8837,78
10-07-2020,10055,8876,78
10-08-2020,10097,8914,78
10-09-2020,10137,8959,79
10-10-2020,10180,9006,79
10-11-2020,10222,9058,79
10-12-2020,10260,9103,79
10-13-2020,10297,9177,79
10-14-2020,10336,9245,79
10-15-2020,10374,9317,80
10-16-2020,10414,9393,80
10-17-2020,10455,9457,80
10-18-2020,10493,9511,80
10-19-2020,10533,9563,80
10-20-2020,10574,9617,80
10-21-2020,10613,9668,80
10-22-2020,10653,9724,81
10-23-2020,10695,9782,81
10-24-2020,10736,9836,81
10-25-2020,10776,9889,81
10-26-2020,10819,9951,81
10-27-2020,10860,10009,81
10-28-2020,10900,10070,82
10-29-2020,10939,10128,82
10-30-2020,10977,10182,82
10-31-2020,11017,10233,82
11-01-2020,11054,10283,82
11-02-2020,11096,10337,82
11-03-2020,11139,10389,83
11-04-2020,11180,10438,83
11-05-2020,11219,10494,83
11-06-2020,11256,10546,83
