







date,confirmed,cured,dead
03-16-2020,1,0,0
03-17-2020,1,0,0
03-18-2020,3,0,0
03-19-2020,6,0,0
03-20-2020,6,0,0
03-21-2020,6,0,0
03-22-2020,12,0,0
03-23-2020,12,0,0
03-24-2020,12,0,0
03-25-2020,12,0,0
03-26-2020,13,0,0
03-27-2020,13,1,0
03-28-2020,14,1,0
03-29-2020,14,1,0
03-30-2020,19,1,0
03-31-2020,19,1,1
04-01-2020,20,1,1
04-02-2020,20,2,1
04-03-2020,20,3,1
04-04-2020,20,3,1
04-05-2020,22,3,1
04-06-2020,24,3,1
04-07-2020,24,5,1
04-08-2020,25,5,1
04-09-2020,25,5,1
04-10-2020,32,5,3
04-11-2020,32,5,3
04-12-2020,32,5,3
04-13-2020,49,7,3
04-14-2020,53,7,3
04-15-2020,88,11,4
04-16-2020,94,11,4
04-17-2020,147,11,5
04-18-2020,147,11,5
04-19-2020,170,11,7
04-20-2020,254,11,10
04-21-2020,254,11,10
04-22-2020,284,11,10
04-23-2020,284,11,10
04-24-2020,299,48,10
04-25-2020,299,48,10
04-26-2020,299,48,10
04-27-2020,299,48,10
04-28-2020,299,48,10
04-29-2020,480,167,16
04-30-2020,480,167,16
05-01-2020,480,167,16
05-02-2020,480,167,16
05-03-2020,480,167,16
05-04-2020,480,167,16
05-05-2020,480,167,16
05-05-2020,480,167,16
05-06-2020,480,167,16
05-07-2020,480,167,16
05-08-2020,509,183,21
05-09-2020,509,183,21
05-10-2020,509,183,21
05-11-2020,509,183,21
05-12-2020,509,183,21
05-12-2020,509,183,21
05-13-2020,509,183,21
05-14-2020,509,183,21
05-14-2020,509,183,21
05-15-2020,509,183,21
05-16-2020,509,183,21
05-17-2020,509,183,21
05-18-2020,509,183,21
05-19-2020,509,183,21
05-19-2020,509,183,21
05-20-2020,509,183,21
05-21-2020,509,183,21
05-22-2020,509,183,21
05-23-2020,509,183,21
05-24-2020,509,183,21
05-25-2020,509,183,21
05-26-2020,509,183,21
05-27-2020,509,183,21
05-28-2020,509,183,21
05-29-2020,509,183,21
05-30-2020,509,183,21
05-31-2020,509,183,21
06-01-2020,509,183,21
06-02-2020,509,183,21
06-03-2020,509,183,21
06-04-2020,509,183,21
06-05-2020,509,183,21
06-06-2020,509,183,21
06-06-2020,509,183,21
06-07-2020,509,183,21
06-08-2020,509,183,21
06-09-2020,509,183,21
06-10-2020,509,183,21
06-11-2020,509,183,21
06-12-2020,509,183,21
06-13-2020,509,183,21
06-14-2020,509,183,21
06-15-2020,509,183,21
06-16-2020,509,183,21
06-17-2020,509,183,21
06-18-2020,509,183,21
06-19-2020,509,183,21
06-20-2020,509,183,21
06-21-2020,509,183,21
06-22-2020,509,183,21
06-23-2020,509,183,21
06-24-2020,509,183,21
06-25-2020,509,183,21
06-26-2020,509,183,21
06-27-2020,509,183,21
06-28-2020,509,183,21
06-29-2020,509,183,21
06-30-2020,509,183,21
07-01-2020,509,183,21
07-02-2020,509,183,21
07-03-2020,509,183,21
07-04-2020,509,183,21
07-05-2020,509,183,21
07-06-2020,509,183,21
07-07-2020,509,183,21
07-08-2020,509,183,21
07-09-2020,509,183,21
07-10-2020,509,183,21
07-11-2020,509,183,21
07-12-2020,509,183,21
07-13-2020,509,183,21
07-14-2020,509,183,21
07-15-2020,509,183,21
07-16-2020,509,183,21
07-17-2020,509,183,21
07-18-2020,509,183,21
07-18-2020,509,183,21
07-18-2020,509,183,21
07-19-2020,509,183,21
07-20-2020,509,183,21
07-21-2020,509,183,21
07-22-2020,509,183,21
07-23-2020,509,183,21
07-24-2020,509,183,21
07-25-2020,509,183,21
07-26-2020,509,183,21
07-27-2020,509,183,21
07-28-2020,509,183,21
07-28-2020,509,183,21
07-29-2020,509,183,21
07-30-2020,509,183,21
07-31-2020,509,183,21
08-01-2020,509,183,21
08-02-2020,509,183,21
08-03-2020,509,183,21
08-04-2020,509,183,21
08-05-2020,509,183,21
08-06-2020,509,183,21
08-07-2020,509,183,21
08-08-2020,509,183,21
08-09-2020,509,183,21
08-10-2020,509,183,21
08-11-2020,509,183,21
08-12-2020,509,183,21
08-13-2020,509,183,21
08-14-2020,509,183,21
08-15-2020,509,183,21
08-16-2020,509,183,21
08-17-2020,509,183,21
08-18-2020,509,183,21
08-19-2020,509,183,21
08-20-2020,509,183,21
08-21-2020,509,183,21
08-22-2020,509,183,21
08-23-2020,509,183,21
08-24-2020,509,183,21
08-25-2020,509,183,21
08-26-2020,509,183,21
08-27-2020,509,183,21
08-28-2020,509,183,21
08-29-2020,509,183,21
08-30-2020,509,183,21
08-31-2020,509,183,21
09-01-2020,509,183,21
09-02-2020,509,183,21
09-03-2020,509,183,21
09-04-2020,509,183,21
09-05-2020,509,183,21
09-06-2020,509,183,21
09-07-2020,509,183,21
09-08-2020,509,183,21
09-09-2020,509,183,21
09-10-2020,509,183,21
09-11-2020,509,183,21
09-12-2020,509,183,21
09-13-2020,509,183,21
09-14-2020,509,183,21
09-15-2020,509,183,21
09-16-2020,509,183,21
09-17-2020,509,183,21
09-18-2020,509,183,21
09-19-2020,509,183,21
09-20-2020,509,183,21
09-21-2020,509,183,21
09-22-2020,509,183,21
09-23-2020,509,183,21
09-24-2020,509,183,21
09-25-2020,509,183,21
09-26-2020,509,183,21
09-27-2020,509,183,21
09-28-2020,509,183,21
09-29-2020,509,183,21
09-30-2020,509,183,21
10-01-2020,509,183,21
10-02-2020,509,183,21
10-03-2020,509,183,21
10-04-2020,509,183,21
10-05-2020,509,183,21
10-06-2020,509,183,21
10-07-2020,509,183,21
10-08-2020,509,183,21
10-09-2020,509,183,21
10-10-2020,509,183,21
10-11-2020,509,183,21
10-12-2020,509,183,21
10-13-2020,509,183,21
10-14-2020,509,183,21
10-15-2020,509,183,21
10-16-2020,509,183,21
10-17-2020,509,183,21
10-18-2020,509,183,21
10-19-2020,509,183,21
10-20-2020,509,183,21
10-21-2020,509,183,21
10-22-2020,509,183,21
10-23-2020,509,183,21
10-24-2020,509,183,21
10-25-2020,509,183,21
10-26-2020,509,183,21
10-27-2020,509,183,21
10-28-2020,509,183,21
10-29-2020,509,183,21
10-30-2020,509,183,21
10-31-2020,509,183,21
11-01-2020,509,183,21
11-02-2020,509,183,21
11-03-2020,509,183,21
