







date,confirmed,cured,dead
03-11-2020,59,34,1
03-12-2020,70,34,1
03-13-2020,75,35,1
03-14-2020,82,35,1
03-15-2020,114,35,1
03-16-2020,147,35,1
03-17-2020,177,41,1
03-18-2020,212,42,1
03-19-2020,272,42,1
03-20-2020,322,42,1
03-21-2020,411,42,1
03-22-2020,599,44,1
03-23-2020,721,52,1
03-24-2020,827,52,4
03-25-2020,934,70,4
03-26-2020,1045,88,4
03-27-2020,1136,97,5
03-28-2020,1245,97,6
03-29-2020,1388,97,7
03-30-2020,1524,229,9
03-31-2020,1651,342,10
04-01-2020,1771,505,12
04-02-2020,1875,505,15
04-03-2020,1978,612,19
04-04-2020,2067,674,20
04-05-2020,2169,793,23
04-06-2020,2220,793,26
04-07-2020,2258,888,27
04-08-2020,2369,888,30
04-09-2020,2423,940,32
04-10-2020,2473,1013,33
04-11-2020,2518,1135,35
04-12-2020,2551,1218,38
04-13-2020,2579,1288,40
04-14-2020,2613,1405,41
04-15-2020,2643,1497,43
04-16-2020,2672,1593,46
04-17-2020,2700,1689,47
04-18-2020,2733,1787,47
04-19-2020,2765,1928,47
04-20-2020,2792,1999,47
04-21-2020,2811,2108,48
04-22-2020,2826,2352,49
04-23-2020,2839,2430,50
04-24-2020,2907,2547,51
04-25-2020,2907,2547,51
04-26-2020,2922,2594,51
04-27-2020,2931,2609,52
04-28-2020,2938,2652,54
04-29-2020,2947,2665,54
04-30-2020,2954,2684,54
05-01-2020,2960,2719,54
05-02-2020,2966,2732,54
05-03-2020,2969,2739,54
05-04-2020,2987,2740,54
05-05-2020,2988,2747,54
05-05-2020,2988,2747,54
05-06-2020,2989,2761,55
05-07-2020,2992,2772,55
05-08-2020,3000,2784,55
05-09-2020,3004,2787,56
05-10-2020,3009,2794,56
05-11-2020,3015,2796,56
05-12-2020,3017,2798,56
05-12-2020,3017,2798,56
05-13-2020,3017,2844,56
05-14-2020,3018,2850,56
05-14-2020,3018,2850,56
05-15-2020,3025,2854,56
05-16-2020,3025,2855,56
05-17-2020,3028,2856,56
05-18-2020,3031,2857,56
05-19-2020,3033,2857,56
05-19-2020,3033,2857,56
05-20-2020,3034,2888,56
05-21-2020,3037,2897,56
05-22-2020,3037,2910,56
05-23-2020,3040,2916,56
05-24-2020,3040,2921,56
05-25-2020,3042,2928,57
05-26-2020,3045,2929,57
05-27-2020,3054,2931,57
05-28-2020,3065,2945,57
05-29-2020,3076,2945,57
05-30-2020,3077,2961,57
05-31-2020,3081,2963,57
06-01-2020,3082,2965,57
06-02-2020,3083,2966,58
06-03-2020,3084,2968,58
06-04-2020,3101,2968,58
06-05-2020,3102,2971,58
06-06-2020,3104,2971,58
06-06-2020,3104,2971,58
06-07-2020,3112,2972,58
