







date,confirmed,cured,dead
03-14-2020,2,0,0
03-15-2020,2,0,0
03-16-2020,4,0,0
03-17-2020,5,0,0
03-18-2020,7,0,0
03-19-2020,9,0,0
03-20-2020,9,0,0
03-21-2020,49,1,0
03-22-2020,50,0,0
03-23-2020,51,0,0
03-24-2020,57,0,0
03-25-2020,60,0,1
03-26-2020,65,0,1
03-27-2020,66,1,2
03-28-2020,74,1,3
03-29-2020,78,1,3
03-30-2020,82,1,3
03-31-2020,87,1,3
04-01-2020,90,1,5
04-02-2020,94,1,5
04-03-2020,98,1,6
04-04-2020,103,1,6
04-05-2020,104,1,7
04-06-2020,105,1,8
04-07-2020,107,1,8
04-08-2020,107,1,8
04-09-2020,109,1,8
04-10-2020,109,1,8
04-11-2020,112,12,8
04-12-2020,113,16,8
04-13-2020,113,16,8
04-14-2020,113,17,8
04-15-2020,114,19,8
04-16-2020,114,20,8
04-17-2020,114,20,8
04-18-2020,114,21,8
04-19-2020,114,21,8
04-20-2020,114,22,8
04-21-2020,115,28,8
04-22-2020,115,37,8
04-23-2020,115,48,8
04-24-2020,115,48,8
04-25-2020,115,53,8
04-26-2020,115,54,8
04-27-2020,116,59,8
04-28-2020,116,59,8
04-29-2020,116,71,8
04-30-2020,116,72,8
05-01-2020,116,83,8
05-02-2020,116,88,8
05-03-2020,116,93,8
05-04-2020,116,99,8
05-05-2020,116,103,8
05-05-2020,116,103,8
05-06-2020,116,103,8
05-07-2020,116,103,8
05-08-2020,116,103,8
05-09-2020,116,104,8
05-10-2020,116,107,8
05-11-2020,116,107,8
05-12-2020,116,107,8
05-12-2020,116,107,8
05-13-2020,116,107,8
05-14-2020,116,107,8
05-14-2020,116,107,8
05-15-2020,116,107,8
05-16-2020,116,107,8
05-17-2020,116,107,8
05-18-2020,116,107,8
05-19-2020,116,107,8
05-19-2020,116,107,8
05-20-2020,116,107,8
05-21-2020,116,108,8
05-22-2020,116,108,8
05-23-2020,116,108,8
05-24-2020,116,108,8
05-25-2020,116,108,8
05-26-2020,116,108,8
05-27-2020,116,108,8
05-28-2020,116,108,8
05-29-2020,116,108,8
05-30-2020,117,108,8
05-31-2020,117,108,8
06-01-2020,117,108,8
06-02-2020,117,108,8
06-03-2020,117,108,8
06-04-2020,117,108,8
06-05-2020,117,108,8
06-06-2020,117,108,8
06-06-2020,117,108,8
06-07-2020,117,108,8
06-08-2020,117,109,8
06-09-2020,117,109,8
06-10-2020,117,109,8
06-11-2020,117,109,8
06-12-2020,117,109,8
06-13-2020,117,109,8
06-14-2020,123,109,8
06-15-2020,123,109,8
06-16-2020,123,109,8
06-17-2020,123,109,8
06-18-2020,123,109,8
06-19-2020,123,109,8
06-20-2020,123,109,8
06-21-2020,123,109,8
06-22-2020,123,109,8
