







date,confirmed,cured,dead
03-11-2020,7,0,0
03-12-2020,7,0,0
03-13-2020,16,0,0
03-14-2020,18,0,0
03-15-2020,18,0,0
03-16-2020,20,0,0
03-17-2020,24,0,0
03-18-2020,29,0,0
03-19-2020,39,0,1
03-20-2020,54,0,1
03-21-2020,60,0,1
03-22-2020,75,1,3
03-23-2020,89,1,3
03-24-2020,114,1,4
03-25-2020,173,2,5
03-26-2020,197,2,6
03-27-2020,227,2,6
03-28-2020,278,2,8
03-29-2020,312,2,8
03-30-2020,312,3,8
03-31-2020,394,3,10
04-01-2020,423,5,12
04-02-2020,455,5,14
04-03-2020,495,5,18
04-04-2020,553,5,18
04-05-2020,574,5,22
04-06-2020,596,5,22
04-07-2020,623,25,23
04-08-2020,628,25,24
04-09-2020,643,25,25
04-10-2020,671,25,25
04-11-2020,685,43,28
04-12-2020,707,43,31
04-13-2020,726,43,34
04-14-2020,747,43,34
04-15-2020,780,43,35
04-16-2020,822,43,37
04-17-2020,864,43,37
04-18-2020,864,43,37
04-19-2020,879,43,38
04-20-2020,884,148,38
04-21-2020,884,148,38
04-22-2020,909,190,38
04-23-2020,918,190,38
04-24-2020,922,194,38
04-25-2020,939,207,38
04-26-2020,949,216,38
04-27-2020,967,279,39
04-28-2020,975,279,40
04-29-2020,980,294,40
04-30-2020,994,305,41
05-01-2020,998,316,41
05-02-2020,1009,323,42
05-03-2020,1013,328,42
05-04-2020,1018,406,43
05-05-2020,1022,482,43
05-05-2020,1022,482,43
05-06-2020,1025,591,43
05-07-2020,1026,600,44
05-08-2020,1030,638,45
05-09-2020,1032,660,45
05-10-2020,1032,700,45
05-11-2020,1032,727,45
05-12-2020,1032,740,45
05-12-2020,1032,740,45
05-13-2020,1032,759,45
05-14-2020,1032,770,45
05-14-2020,1032,770,45
05-15-2020,1035,802,45
05-16-2020,1037,807,45
05-17-2020,1037,816,45
05-18-2020,1043,819,46
05-19-2020,1044,826,47
05-19-2020,1044,826,47
05-20-2020,1045,862,47
05-21-2020,1046,883,47
05-22-2020,1048,903,47
05-23-2020,1048,914,48
05-24-2020,1051,917,48
05-25-2020,1051,919,48
05-26-2020,1051,929,48
05-27-2020,1051,929,48
05-28-2020,1068,938,48
05-29-2020,1071,946,48
05-30-2020,1076,950,48
05-31-2020,1077,960,48
06-01-2020,1084,964,48
06-02-2020,1086,965,48
06-03-2020,1087,965,49
06-04-2020,1087,968,49
06-05-2020,1087,969,49
06-06-2020,1087,977,49
06-06-2020,1087,977,49
06-07-2020,1087,982,49
06-08-2020,1087,982,49
06-09-2020,1087,982,49
06-10-2020,1087,983,49
06-11-2020,1087,989,49
06-12-2020,1093,995,49
06-13-2020,1094,995,49
06-14-2020,1096,998,49
06-15-2020,1110,999,49
06-16-2020,1125,1002,49
06-17-2020,1128,1004,50
06-18-2020,1132,1006,50
06-19-2020,1146,1014,50
06-20-2020,1156,1017,50
06-21-2020,1157,1020,50
06-22-2020,1159,1020,50
06-23-2020,1159,1023,50
06-24-2020,1160,1023,50
06-25-2020,1162,1023,50
06-26-2020,1164,1023,50
06-27-2020,1168,1025,50
06-28-2020,1169,1029,50
06-29-2020,1172,1029,50
06-30-2020,1174,1031,50
07-01-2020,1175,1038,50
07-02-2020,1178,1039,50
07-03-2020,1181,1045,50
07-04-2020,1186,1046,50
07-05-2020,1188,1048,50
07-06-2020,1199,1049,50
07-07-2020,1205,1049,50
07-08-2020,1221,1050,50
07-09-2020,1231,1055,50
07-10-2020,1240,1067,50
07-11-2020,1245,1076,50
07-12-2020,1263,1076,50
07-13-2020,1302,1082,50
07-14-2020,1306,1087,50
07-15-2020,1319,1091,50
07-16-2020,1327,1093,50
07-17-2020,1336,1095,50
07-18-2020,1348,1095,50
07-18-2020,1348,1095,50
07-18-2020,1348,1095,50
07-19-2020,1374,1097,50
07-20-2020,1381,1099,50
07-21-2020,1389,1103,50
07-22-2020,1394,1108,50
07-23-2020,1406,1118,50
07-24-2020,1425,1124,50
07-25-2020,1443,1133,50
07-26-2020,1452,1142,50
07-27-2020,1455,1157,50
07-28-2020,1468,1168,50
07-28-2020,1468,1168,50
07-29-2020,1488,1178,50
07-30-2020,1514,1187,50
07-31-2020,1535,1195,50
08-01-2020,1552,1217,51
08-02-2020,1561,1221,51
08-03-2020,1565,1225,51
08-04-2020,1584,1227,51
08-05-2020,1601,1233,51
08-06-2020,1642,1241,51
08-07-2020,1656,1251,51
08-08-2020,1678,1259,51
08-09-2020,1697,1263,51
08-10-2020,1717,1265,51
08-11-2020,1738,1272,52
08-12-2020,1780,1278,52
08-13-2020,1847,1302,53
08-14-2020,1903,1320,53
08-15-2020,2023,1327,54
08-16-2020,2107,1358,54
08-17-2020,2185,1362,56
08-18-2020,2314,1370,57
08-19-2020,2427,1395,60
08-20-2020,2543,1397,63
08-21-2020,2607,1420,64
08-22-2020,2738,1434,68
08-23-2020,2818,1443,71
08-24-2020,2893,1454,71
08-25-2020,3069,1456,71
08-26-2020,3206,1476,71
08-27-2020,3323,1504,73
08-28-2020,3461,1522,74
08-29-2020,3572,1536,76
08-30-2020,3685,1562,76
08-31-2020,3803,1573,77
09-01-2020,3963,1624,80
09-02-2020,4196,1628,81
09-03-2020,4394,1681,84
09-04-2020,4542,1699,87
09-05-2020,4776,1701,93
09-06-2020,5041,1752,93
09-07-2020,5124,1788,94
09-08-2020,5417,1862,96
09-09-2020,5417,1862,96
09-10-2020,5882,1862,99
09-11-2020,6259,1956,103
09-12-2020,6635,1991,107
09-13-2020,6635,1991,107
09-14-2020,7382,2175,117
09-15-2020,7623,2262,123
09-16-2020,8100,2309,129
09-17-2020,8570,2342,133
09-18-2020,8570,2342,133
09-19-2020,9110,2366,138
09-20-2020,10732,2386,159
09-21-2020,11260,2386,164
09-22-2020,11260,2386,164
09-23-2020,12479,2386,174
09-24-2020,13305,5032,180
09-25-2020,14392,5032,191
09-26-2020,14392,5032,191
09-27-2020,16114,5032,214
