







date,confirmed,cured,dead
03-11-2020,1,0,0
03-12-2020,1,0,0
03-13-2020,5,0,0
03-14-2020,5,0,0
03-15-2020,6,0,0
03-16-2020,18,0,0
03-17-2020,47,0,1
03-18-2020,98,0,1
03-19-2020,192,0,3
03-20-2020,359,0,4
03-21-2020,670,0,9
03-22-2020,1236,0,30
03-23-2020,1529,0,37
03-24-2020,1872,0,44
03-25-2020,2433,26,59
03-26-2020,3629,26,75
03-27-2020,5698,42,92
03-28-2020,7402,70,108
03-29-2020,9217,105,131
03-30-2020,10827,162,168
03-31-2020,13531,243,214
04-01-2020,15679,333,277
04-02-2020,18135,415,356
04-03-2020,20921,484,425
04-04-2020,23934,786,501
04-05-2020,27069,1042,574
04-06-2020,30217,1326,649
04-07-2020,34109,1582,725
04-08-2020,38226,1846,812
04-09-2020,42282,2142,908
04-10-2020,47029,2423,1006
04-11-2020,52167,2965,1101
04-12-2020,56956,3446,1198
04-13-2020,61049,3957,1296
04-14-2020,65111,4799,1403
04-15-2020,69392,5674,1518
04-16-2020,74193,7089,1643
04-17-2020,78546,8631,1769
04-18-2020,82329,10453,1890
04-19-2020,86306,11976,2017
04-20-2020,90980,13430,2140
04-21-2020,95591,14918,2259
04-22-2020,98674,16477,2376
04-23-2020,101790,18491,2491
04-24-2020,104912,21737,2600
04-25-2020,107773,25582,2706
04-26-2020,110130,29140,2805
04-27-2020,112261,33791,2900
04-28-2020,114653,38809,2992
04-29-2020,117589,44040,3081
04-30-2020,120204,48886,3174
05-01-2020,122392,53808,3258
05-02-2020,124375,58259,3336
05-03-2020,126045,63151,3397
05-04-2020,127659,68166,3461
05-05-2020,129491,73285,3520
05-05-2020,129491,73285,3520
05-06-2020,131744,78202,3584
05-07-2020,133721,82984,3641
05-08-2020,135569,86396,3689
05-09-2020,137115,89480,3739
05-10-2020,138657,92691,3786
05-11-2020,139771,95780,3841
05-12-2020,141475,98889,3894
05-12-2020,141475,98889,3894
05-13-2020,143114,101715,3952
05-14-2020,144749,104030,4007
05-14-2020,144749,104030,4007
05-15-2020,146457,106133,4055
05-16-2020,148067,108137,4096
05-17-2020,149435,109962,4140
05-18-2020,150593,111577,4171
05-19-2020,151615,112895,4199
05-19-2020,151615,112895,4199
05-20-2020,152587,113987,4222
05-21-2020,153548,114990,4249
05-22-2020,154500,116111,4276
05-23-2020,155686,117602,4308
05-24-2020,156827,118694,4340
05-25-2020,157814,120015,4369
05-26-2020,158762,121507,4397
05-27-2020,159797,122793,4431
05-28-2020,160979,124369,4461
05-29-2020,162120,125963,4489
05-30-2020,163103,126984,4515
05-31-2020,163942,127973,4540
06-01-2020,164769,128947,4563
06-02-2020,165555,129921,4585
06-03-2020,166422,130852,4609
06-04-2020,167410,131778,4630
06-05-2020,168340,133400,4648
06-06-2020,169218,135322,4669
06-06-2020,169218,135322,4669
