







date,confirmed,cured,dead
03-11-2020,1281,8,36
03-12-2020,1663,12,40
03-13-2020,2179,12,47
03-14-2020,2726,12,54
03-15-2020,3499,12,63
03-16-2020,4632,17,85
03-17-2020,6421,17,108
03-18-2020,7786,106,118
03-19-2020,13680,108,200
03-20-2020,19101,147,244
03-21-2020,25514,171,307
03-22-2020,33848,0,427
03-23-2020,43667,0,552
03-24-2020,53740,348,706
03-25-2020,65778,361,942
03-26-2020,83836,681,1209
03-27-2020,101657,869,1581
03-28-2020,121465,1072,2026
03-29-2020,140909,2665,2467
03-30-2020,161831,5644,2978
03-31-2020,188172,7024,3873
04-01-2020,213372,8474,4757
04-02-2020,243599,9001,5926
04-03-2020,275586,9707,7087
04-04-2020,308853,14652,8407
04-05-2020,337072,17448,9619
04-06-2020,366667,19581,10783
04-07-2020,396223,21763,12722
04-08-2020,429052,23559,14695
04-09-2020,461437,25410,16478
04-10-2020,496535,28790,18586
04-11-2020,526396,31270,20463
04-12-2020,555313,32988,22020
04-13-2020,558999,42009,22154
04-14-2020,605193,47763,25757
04-15-2020,636350,52096,28326
04-16-2020,667801,54703,32917
04-17-2020,699706,58545,36773
04-18-2020,732197,64840,38664
04-19-2020,759086,70337,40661
04-20-2020,784326,72329,42094
04-21-2020,823786,75204,44845
04-22-2020,839675,77366,46583
04-23-2020,869170,80203,49954
04-24-2020,905333,99079,51949
04-25-2020,938154,100372,53755
04-26-2020,965783,106988,54881
04-27-2020,988197,111424,56259
04-28-2020,1012582,115936,58355
04-29-2020,1039909,120720,60967
04-30-2020,1069424,153947,62996
05-01-2020,1103461,164015,64943
05-02-2020,1132539,175382,66369
05-03-2020,1158040,180152,67682
05-04-2020,1180375,187180,68922
05-05-2020,1204351,189791,71064
05-05-2020,1204351,189791,71064
05-06-2020,1228603,189910,73431
05-07-2020,1257023,195036,75662
05-08-2020,1283929,198993,77180
05-09-2020,1309550,212534,78795
05-10-2020,1329260,216169,79526
05-11-2020,1347881,232733,80682
05-12-2020,1369574,230287,82376
05-12-2020,1369574,230287,82376
05-13-2020,1390406,243430,84119
05-14-2020,1417774,246414,85898
05-14-2020,1417774,246414,85898
05-15-2020,1442824,250747,87530
05-16-2020,1467820,268376,88754
05-17-2020,1486757,272265,89562
05-18-2020,1508308,283178,90347
05-19-2020,1528568,289392,91921
05-19-2020,1528568,289392,91921
05-20-2020,1551853,294312,93439
05-21-2020,1577147,298418,94702
05-22-2020,1600937,350135,95979
05-23-2020,1622612,361239,97087
05-24-2020,1643246,366736,97720
05-25-2020,1662302,379157,98220
05-26-2020,1680913,384902,98913
05-27-2020,1699176,391508,100418
05-28-2020,1721753,399991,101616
05-29-2020,1746019,406446,102809
05-30-2020,1770165,416461,103776
05-31-2020,1790172,444758,104381
06-01-2020,1811360,458231,105165
06-02-2020,1831821,463868,106180
06-03-2020,1851520,479258,107175
06-04-2020,1872660,485002,108211
06-05-2020,1902632,491706,109373
06-06-2020,1920061,500849,109802
06-06-2020,1920061,500849,109802
06-07-2020,1942363,506367,110514
06-08-2020,1960897,518522,110990
06-09-2020,1979411,524855,111989
06-10-2020,2000464,533504,112924
06-11-2020,2023347,540292,113820
06-12-2020,2048986,547386,114669
06-13-2020,2074526,556606,115436
06-14-2020,2094058,561816,115732
06-15-2020,2114026,576334,116127
06-16-2020,2137731,583503,116963
06-17-2020,2163290,592191,117717
06-18-2020,2191053,599115,118438
06-19-2020,2222812,606715,119125
06-20-2020,2255119,617460,119719
06-21-2020,2281290,622133,119977
06-22-2020,2312300,640198,120402
06-23-2020,2347022,647548,121228
06-24-2020,2381493,656161,121980
06-25-2020,2422299,663562,124410
06-26-2020,2439837,670809,124335
06-27-2020,2510151,679308,125539
06-28-2020,2548996,685164,125803
06-29-2020,2590552,705203,126140
06-30-2020,2635417,720631,127417
07-01-2020,2686258,729994,128062
07-02-2020,2739879,781970,128740
07-03-2020,2794153,790404,129434
07-04-2020,2839436,894325,129676
07-05-2020,2888635,906763,129947
07-06-2020,2936077,924148,130285
07-07-2020,2996098,936476,131480
07-08-2020,3054699,953420,132300
07-09-2020,3117946,969111,133290
07-10-2020,3184573,983185,134092
07-11-2020,3245925,995576,134777
07-12-2020,3304942,1006326,135205
07-13-2020,3363056,1031939,135605
07-14-2020,3431574,1049098,136466
07-15-2020,3497847,1075882,137407
07-16-2020,3576157,1090645,138358
07-17-2020,3647715,1107204,139266
07-18-2020,3711413,1122720,140119
07-18-2020,3711413,1122720,140119
07-18-2020,3711413,1122720,140119
07-19-2020,3773260,1131121,140534
07-20-2020,3834677,1160087,140913
07-21-2020,3899211,1182018,141995
07-22-2020,3970085,1210849,143190
07-23-2020,4038748,1233269,144304
07-24-2020,4112531,1261624,145546
07-25-2020,4178021,1279414,146460
07-26-2020,4233923,1297863,146935
07-27-2020,4290337,1325804,148012
07-28-2020,4351997,1355363,149256
07-28-2020,4356206,1355363,149310
07-29-2020,4426982,1389425,150713
07-30-2020,4495015,1414155,152055
07-31-2020,4562038,1438160,153314
08-01-2020,4620444,1461885,154447
08-02-2020,4667955,1468689,154860
08-03-2020,4713540,1513446,155402
08-04-2020,4771080,1528979,156801
08-05-2020,4823890,1577851,158250
08-06-2020,4883582,1598624,160104
08-07-2020,4941755,1623870,161347
08-08-2020,4997929,1643118,162423
08-09-2020,5044864,1656864,162938
08-10-2020,5094400,1670755,163463
08-11-2020,5141208,1714960,164527
08-12-2020,5197411,1753760,166034
08-13-2020,5248854,1774648,167110
08-14-2020,5313252,1796326,168452
08-15-2020,5361165,1818527,169481
08-16-2020,5403213,1833067,170052
08-17-2020,5438325,1865580,170497
08-18-2020,5482416,1898159,171821
08-19-2020,5529824,1925049,173177
08-20-2020,5573847,1947035,174255
08-21-2020,5622540,1965056,175363
08-22-2020,5667112,1985484,176353
08-23-2020,5701679,1997761,176802
08-24-2020,5739724,2020774,177252
08-25-2020,5777710,2053699,178486
08-26-2020,5821819,2084465,179708
08-27-2020,5867785,2101326,180824
08-28-2020,5913941,2118367,181800
08-29-2020,5961094,2140614,182761
08-30-2020,5996431,2153939,183066
08-31-2020,6030587,2184825,183597
09-01-2020,6073840,2202663,184664
09-02-2020,6113510,2231757,185720
09-03-2020,6150016,2266957,186790
09-04-2020,6200518,2283454,187755
09-05-2020,6244970,2302187,188538
09-06-2020,6276365,2315995,188941
09-07-2020,6300622,2333551,189208
09-08-2020,6327009,2359111,189653
09-09-2020,6361265,2387479,190859
09-10-2020,6396551,2403511,191766
09-11-2020,6443743,2417878,192979
09-12-2020,6485214,2434658,193693
09-13-2020,6519573,2451406,194071
09-14-2020,6553652,2474570,194493
