







date,confirmed,cured,dead
03-21-2020,1,0,0
03-22-2020,1,0,0
03-23-2020,9,0,0
03-24-2020,9,0,0
03-25-2020,14,0,0
03-26-2020,14,0,0
03-27-2020,23,0,0
03-28-2020,30,0,0
03-29-2020,33,0,0
03-30-2020,33,0,0
03-31-2020,44,0,0
04-01-2020,44,0,0
04-02-2020,45,0,0
04-03-2020,48,0,0
04-04-2020,48,0,0
04-05-2020,52,0,0
04-06-2020,52,0,0
04-07-2020,52,0,0
04-08-2020,53,0,0
04-09-2020,53,0,0
04-10-2020,53,0,0
04-11-2020,53,4,0
04-12-2020,54,4,0
04-13-2020,54,7,0
04-14-2020,55,8,0
04-15-2020,55,12,0
04-16-2020,55,20,0
04-17-2020,56,20,0
04-18-2020,55,22,0
04-19-2020,55,28,0
04-20-2020,56,38,0
04-21-2020,61,38,0
04-22-2020,63,45,0
04-23-2020,74,46,0
04-24-2020,75,46,0
04-25-2020,75,46,0
04-26-2020,79,46,0
04-27-2020,79,47,0
04-28-2020,79,52,0
04-29-2020,81,52,0
04-30-2020,83,52,0
05-01-2020,85,52,0
05-02-2020,88,52,0
05-03-2020,89,52,0
05-04-2020,97,55,0
05-05-2020,98,55,0
05-05-2020,98,55,0
05-06-2020,100,55,0
05-07-2020,101,55,0
05-08-2020,101,55,0
05-09-2020,116,55,0
05-10-2020,121,55,0
05-11-2020,121,55,0
05-12-2020,129,55,0
05-12-2020,129,55,0
05-13-2020,139,55,0
05-14-2020,160,63,0
05-14-2020,160,63,0
05-15-2020,203,63,0
05-16-2020,227,63,0
05-17-2020,227,63,0
05-18-2020,248,63,0
05-19-2020,260,63,0
05-19-2020,260,63,0
05-20-2020,264,65,0
05-21-2020,160,66,0
05-22-2020,175,68,0
05-23-2020,198,68,0
05-24-2020,198,68,0
05-25-2020,222,69,0
05-26-2020,253,69,0
05-27-2020,281,69,0
05-28-2020,317,69,0
05-29-2020,329,72,0
05-30-2020,413,72,0
05-31-2020,417,72,0
06-01-2020,457,72,0
06-02-2020,489,82,0
06-03-2020,507,82,0
06-04-2020,522,82,0
06-05-2020,557,82,0
06-06-2020,593,82,0
06-06-2020,593,82,0
06-07-2020,616,96,0
06-08-2020,646,103,0
06-09-2020,657,118,0
06-10-2020,665,119,0
06-11-2020,679,161,0
06-12-2020,686,161,0
06-13-2020,694,219,0
06-14-2020,696,240,0
06-15-2020,705,299,0
06-16-2020,724,351,0
06-17-2020,732,420,0
06-18-2020,741,486,0
06-19-2020,755,492,0
06-20-2020,763,492,0
06-21-2020,770,578,0
06-22-2020,774,631,0
06-23-2020,797,699,0
06-24-2020,805,717,0
06-25-2020,821,731,0
06-26-2020,833,761,0
06-27-2020,848,761,0
06-28-2020,859,794,0
06-29-2020,870,808,0
06-30-2020,889,819,0
07-01-2020,893,837,0
07-02-2020,902,847,0
07-03-2020,911,849,0
07-04-2020,927,868,0
07-05-2020,939,891,0
07-06-2020,953,892,0
07-07-2020,971,896,0
07-08-2020,977,904,0
07-09-2020,1000,908,0
07-10-2020,1006,938,0
07-11-2020,1013,952,0
07-12-2020,1025,972,0
07-13-2020,1029,977,0
07-14-2020,1040,984,0
07-15-2020,1043,1004,0
07-16-2020,1051,1014,0
07-17-2020,1056,1023,0
07-18-2020,1062,1023,0
07-18-2020,1062,1023,0
07-18-2020,1062,1023,0
07-19-2020,1065,1023,0
07-20-2020,1069,1071,0
07-21-2020,1072,958,0
07-22-2020,1075,958,0
07-23-2020,1079,971,0
07-24-2020,1089,975,1
07-25-2020,1103,982,1
07-26-2020,1115,982,2
07-27-2020,1128,986,2
07-28-2020,1135,989,2
07-28-2020,1135,989,2
07-29-2020,1140,1028,2
07-30-2020,1147,1028,2
07-31-2020,1154,1028,3
08-01-2020,1176,1045,4
08-02-2020,1182,1045,4
08-03-2020,1195,1070,5
08-04-2020,1203,1073,5
08-05-2020,1213,1102,5
08-06-2020,1223,1102,5
08-07-2020,1254,1113,6
08-08-2020,1267,1115,6
08-09-2020,1283,1115,7
08-10-2020,1297,1137,9
08-11-2020,1313,1138,9
08-12-2020,1332,1139,9
08-13-2020,1353,1141,11
08-14-2020,1385,1142,12
08-15-2020,1434,1142,13
08-16-2020,1500,1142,13
08-17-2020,1560,1165,15
08-18-2020,1603,1165,15
08-19-2020,1656,1188,16
08-20-2020,1750,1194,19
08-21-2020,1848,1199,19
08-22-2020,2166,1199,20
08-23-2020,2263,1199,20
08-24-2020,2362,1248,22
08-25-2020,2426,1267,25
08-26-2020,2524,1268,26
08-27-2020,2679,1268,28
08-28-2020,2756,1288,28
08-29-2020,2847,1288,29
08-30-2020,2928,1288,30
08-31-2020,2972,1288,32
09-01-2020,3037,1489,32
09-02-2020,3112,1528,32
09-03-2020,3288,1532,33
09-04-2020,3353,1564,35
09-05-2020,3539,1564,39
09-06-2020,3667,1564,41
09-07-2020,3776,1741,44
09-08-2020,3900,1817,46
