







date,confirmed,cured,dead
03-11-2020,74,17,0
03-12-2020,85,17,0
03-13-2020,85,17,0
03-14-2020,85,17,0
03-15-2020,98,23,0
03-16-2020,98,23,0
03-17-2020,98,23,0
03-18-2020,113,26,0
03-19-2020,140,31,0
03-20-2020,140,31,2
03-21-2020,153,38,2
03-22-2020,153,38,2
03-23-2020,198,41,2
03-24-2020,248,45,2
03-25-2020,333,52,2
03-26-2020,333,52,2
03-27-2020,405,52,2
03-28-2020,468,52,2
03-29-2020,570,58,3
03-30-2020,611,61,5
03-31-2020,664,61,6
04-01-2020,814,61,8
04-02-2020,1024,96,8
04-03-2020,1264,108,9
04-04-2020,1505,125,10
04-05-2020,1799,144,10
04-06-2020,2076,167,11
04-07-2020,2359,186,12
04-08-2020,2659,239,12
04-09-2020,2990,268,14
04-10-2020,3360,418,16
04-11-2020,3736,588,20
04-12-2020,4123,680,22
04-13-2020,4521,852,25
04-14-2020,4933,933,28
04-15-2020,5365,1034,33
04-16-2020,5825,1095,35
04-17-2020,6302,1188,37
04-18-2020,6302,1188,37
04-19-2020,6781,1286,41
04-20-2020,7265,1360,43
04-21-2020,7755,1443,46
04-22-2020,8238,1546,52
04-23-2020,8756,1637,56
04-24-2020,9281,1760,64
04-25-2020,9813,1887,71
04-26-2020,10349,1978,76
04-27-2020,10839,2090,82
04-28-2020,11380,2181,89
04-29-2020,11929,2329,98
04-30-2020,12481,2429,105
05-01-2020,13038,2543,111
05-02-2020,13599,2664,119
05-03-2020,14163,2763,126
05-04-2020,14730,2966,137
05-05-2020,15192,3153,146
05-05-2020,15192,3153,146
05-06-2020,15738,3359,157
05-07-2020,16240,3572,165
05-08-2020,16793,3837,174
05-09-2020,17417,4295,185
05-10-2020,18198,4804,198
05-11-2020,18878,5381,201
05-12-2020,19661,6012,203
05-12-2020,19661,6012,203
05-13-2020,20386,6523,206
05-14-2020,21084,6930,208
05-14-2020,21084,6930,208
05-15-2020,21831,7328,210
05-16-2020,22627,7931,214
05-17-2020,23358,8512,220
05-18-2020,24190,9577,224
05-19-2020,25063,10791,227
05-19-2020,25063,10791,227
05-20-2020,26004,11809,233
05-21-2020,26898,12755,237
05-22-2020,27892,13798,241
05-23-2020,28704,14495,244
05-24-2020,29485,15056,245
05-25-2020,30307,15657,248
05-26-2020,31086,15982,253
05-27-2020,31969,16371,255
05-28-2020,32532,16685,258
05-29-2020,33170,17097,260
05-30-2020,33896,17546,262
05-31-2020,34557,17932,264
06-01-2020,35192,18338,266
06-02-2020,35788,18726,269
06-03-2020,36359,19153,270
06-04-2020,37018,19572,273
06-05-2020,37642,20337,274
06-06-2020,38268,21061,275
06-06-2020,38268,21061,275
06-07-2020,38808,21806,276
06-08-2020,39376,22275,281
06-09-2020,39904,22740,283
06-10-2020,40507,24017,284
06-11-2020,40986,25234,286
06-12-2020,41499,25946,287
06-13-2020,41990,26761,288
