







date,confirmed,cured,dead
03-11-2020,459,19,8
03-12-2020,459,19,8
03-13-2020,801,19,8
03-14-2020,1143,19,21
03-15-2020,1144,19,21
03-16-2020,1551,21,56
03-17-2020,1960,53,56
03-18-2020,2642,67,72
03-19-2020,2716,67,138
03-20-2020,4014,67,178
03-21-2020,5067,67,234
03-22-2020,5741,95,282
03-23-2020,6726,140,336
03-24-2020,8164,140,423
03-25-2020,9640,140,466
03-26-2020,11812,150,580
03-27-2020,14745,151,761
03-28-2020,17312,151,1021
03-29-2020,19780,151,1231
03-30-2020,22453,171,1411
03-31-2020,25481,179,1793
04-01-2020,29865,179,2357
04-02-2020,34173,192,2926
04-03-2020,38689,208,3611
04-04-2020,42477,215,4320
04-05-2020,48436,229,4943
04-06-2020,52279,287,5385
04-07-2020,55949,325,6171
04-08-2020,61474,345,7111
04-09-2020,65872,359,7993
04-10-2020,74605,588,8974
04-11-2020,79874,622,9892
04-12-2020,85206,626,10629
04-13-2020,89570,304,11347
04-14-2020,94845,323,12129
04-15-2020,99483,368,12894
04-16-2020,104145,375,13759
04-17-2020,109769,394,14607
04-18-2020,115314,414,15498
04-19-2020,121172,436,16095
04-20-2020,125856,446,16550
04-21-2020,130172,638,17378
04-22-2020,134638,683,18151
04-23-2020,139246,712,18791
04-24-2020,144640,724,19567
04-25-2020,149569,774,20381
04-26-2020,154037,778,20794
04-27-2020,158348,807,21157
04-28-2020,162350,813,21745
04-29-2020,166441,857,26166
04-30-2020,172481,859,26842
05-01-2020,178685,892,27583
05-02-2020,183500,896,28205
05-03-2020,187842,901,28520
05-04-2020,191832,910,28809
05-05-2020,196243,926,29501
05-05-2020,196243,926,29501
05-06-2020,202359,934,30150
05-07-2020,207977,970,30689
05-08-2020,212629,997,31316
05-09-2020,216525,1001,31662
05-10-2020,220449,1002,31930
05-11-2020,224332,1015,32141
05-12-2020,227741,1023,32769
05-12-2020,227741,1023,32769
05-13-2020,230985,1032,33264
05-14-2020,234440,1043,33693
05-14-2020,234440,1043,33693
05-15-2020,238004,1047,34078
05-16-2020,241461,1058,34546
05-17-2020,244995,1058,34716
05-18-2020,247709,1090,34876
05-19-2020,250138,1099,35422
05-19-2020,250138,1099,35422
05-20-2020,249619,1116,35786
05-21-2020,252246,1134,36124
05-22-2020,255544,1142,36475
05-23-2020,258504,1149,36757
05-24-2020,260916,1151,36875
05-25-2020,262547,1161,36996
05-26-2020,266599,1161,37130
05-27-2020,268619,1166,37542
05-28-2020,270508,1167,37919
05-29-2020,272607,1172,38243
05-30-2020,274219,1187,38458
05-31-2020,276156,1190,38571
06-01-2020,277736,1221,39127
06-02-2020,279392,1224,39452
06-03-2020,281270,1212,39811
06-04-2020,283079,1219,39987
06-05-2020,284734,1228,40344
06-06-2020,286294,1230,40548
06-06-2020,286294,1230,40548
06-07-2020,287621,1239,40625
06-08-2020,288834,1255,40680
06-09-2020,290581,1257,40968
06-10-2020,291588,1269,41213
06-11-2020,292860,1278,41364
06-12-2020,294402,1282,41566
06-13-2020,295828,1283,41747
06-14-2020,297342,1283,41783
06-15-2020,298315,1284,41821
06-16-2020,299600,1293,42054
06-17-2020,300717,1304,42238
06-18-2020,301935,1313,42373
06-19-2020,303285,1319,42546
06-20-2020,304580,1319,42674
06-21-2020,305803,1319,42717
06-22-2020,306761,1322,42731
06-23-2020,307682,1330,43011
06-24-2020,308337,1345,43165
06-25-2020,309455,1361,43314
06-26-2020,310836,1363,43498
06-27-2020,311727,1364,43598
06-28-2020,312640,1364,43634
06-29-2020,313470,1368,43659
06-30-2020,314160,1370,43815
07-01-2020,314992,1372,43991
07-02-2020,285268,1373,44080
07-03-2020,285787,1375,44216
07-04-2020,286412,1375,44283
07-05-2020,286931,1375,44305
07-06-2020,287290,1375,44321
07-07-2020,287874,1375,44476
07-08-2020,288511,1378,44602
07-09-2020,289154,1378,44687
07-10-2020,289678,1378,44735
07-11-2020,290504,1378,44883
07-12-2020,291154,1378,44904
07-13-2020,291691,1384,44915
07-14-2020,292931,1385,45053
07-15-2020,293469,1386,45138
07-16-2020,294116,1403,45204
07-17-2020,294803,1403,45318
07-18-2020,295632,1413,45358
07-18-2020,295632,1413,45358
07-18-2020,295632,1413,45358
07-19-2020,296358,1413,45385
07-20-2020,296944,1413,45397
07-21-2020,297389,1414,45507
07-22-2020,297952,1416,45586
07-23-2020,298731,1425,45639
07-24-2020,299500,1425,45762
07-25-2020,300270,1427,45823
07-26-2020,301020,1434,45837
07-27-2020,301708,1437,45844
07-28-2020,302295,1438,45963
07-28-2020,302295,1438,45963
07-29-2020,303063,1438,46046
07-30-2020,303910,1438,46084
07-31-2020,304793,1439,46204
08-01-2020,305572,1441,46278
08-02-2020,306319,1444,46286
08-03-2020,307251,1445,46295
08-04-2020,307926,1445,46384
08-05-2020,308832,1446,46449
08-06-2020,309796,1447,46498
08-07-2020,310696,1447,46596
08-08-2020,311461,1449,46651
08-09-2020,312574,1451,46659
08-10-2020,313392,1463,46611
08-11-2020,313394,1464,46611
08-12-2020,315581,1472,46791
08-13-2020,315600,1479,46791
08-14-2020,315621,1481,46791
08-15-2020,319232,1486,46791
08-16-2020,320343,1486,46791
08-17-2020,321064,1490,41454
08-18-2020,322177,1493,41466
08-19-2020,323008,1495,41483
08-20-2020,324203,1544,41489
08-21-2020,325263,1544,41491
08-22-2020,326595,1547,41509
08-23-2020,327643,1547,41515
08-24-2020,328620,1550,41519
08-25-2020,329821,1551,41535
08-26-2020,330967,1551,41552
08-27-2020,332509,1564,41564
08-28-2020,333806,1615,41573
08-29-2020,334916,1622,41585
08-30-2020,336668,1624,41586
08-31-2020,338083,1682,41589
09-01-2020,339415,1709,41592
09-02-2020,340929,1742,41602
09-03-2020,342708,1750,41616
09-04-2020,344686,1756,41626
09-05-2020,346513,1806,41638
09-06-2020,349500,1824,41640
