







date,confirmed,cured,dead
03-15-2020,1,0,0
03-16-2020,6,0,0
03-17-2020,10,0,0
03-18-2020,15,0,0
03-19-2020,23,0,0
03-20-2020,33,0,0
03-21-2020,43,0,0
03-22-2020,43,0,0
03-23-2020,46,0,0
03-24-2020,50,0,0
03-25-2020,60,0,0
03-26-2020,75,0,0
03-27-2020,88,5,1
03-28-2020,104,5,2
03-29-2020,144,7,2
03-30-2020,149,7,2
03-31-2020,172,7,2
04-01-2020,181,12,2
04-02-2020,205,25,2
04-03-2020,227,25,2
04-04-2020,266,25,2
04-05-2020,342,30,2
04-06-2020,457,30,2
04-07-2020,520,30,2
04-08-2020,545,30,3
04-09-2020,582,38,3
04-10-2020,624,42,3
04-11-2020,767,42,4
04-12-2020,865,66,4
04-13-2020,998,85,4
04-14-2020,1165,99,4
04-15-2020,1302,107,4
04-16-2020,1349,129,4
04-17-2020,1405,156,4
04-18-2020,1490,194,5
04-19-2020,1565,225,5
04-20-2020,1627,261,5
04-21-2020,1678,357,6
04-22-2020,1716,450,7
04-23-2020,1758,561,7
04-24-2020,1804,621,8
04-25-2020,1862,707,8
04-26-2020,1869,789,8
04-27-2020,1904,892,8
04-28-2020,1939,992,8
04-29-2020,2002,1096,9
04-30-2020,2039,1133,9
05-01-2020,2086,1212,9
05-02-2020,2118,1271,9
05-03-2020,2149,1319,10
05-04-2020,2189,1405,10
05-05-2020,2207,1501,10
05-05-2020,2207,1501,10
05-06-2020,2233,1577,10
05-07-2020,2298,1656,10
05-08-2020,2325,1775,10
05-09-2020,2349,1846,10
05-10-2020,2418,1881,10
05-11-2020,2486,1988,10
05-12-2020,2519,2010,10
05-12-2020,2519,2010,10
05-13-2020,2612,2076,11
05-14-2020,2645,2136,11
05-14-2020,2645,2136,11
05-15-2020,2686,2158,11
05-16-2020,2738,2213,11
05-17-2020,2753,2247,12
05-18-2020,2791,2314,13
05-19-2020,2855,2338,13
05-19-2020,2855,2338,13
05-20-2020,2939,2372,13
05-21-2020,2964,2407,13
05-22-2020,3028,2492,13
05-23-2020,3115,2532,13
05-24-2020,3164,2565,13
05-25-2020,3189,2607,13
05-26-2020,3290,2636,14
05-27-2020,3369,2668,14
05-28-2020,3444,2694,14
05-29-2020,3468,2728,14
05-30-2020,3546,2783,14
05-31-2020,3623,2837,15
