







date,confirmed,cured,dead
03-14-2020,2,0,0
03-15-2020,10,0,0
03-16-2020,17,0,0
03-17-2020,33,0,0
03-18-2020,36,0,0
03-19-2020,42,0,0
03-20-2020,42,0,0
03-21-2020,70,0,0
03-22-2020,70,15,0
03-23-2020,77,15,0
03-24-2020,84,15,0
03-25-2020,91,15,0
03-26-2020,107,15,0
03-27-2020,107,31,1
03-28-2020,119,39,2
03-29-2020,119,39,2
03-30-2020,135,39,3
03-31-2020,135,39,3
04-01-2020,143,41,3
04-02-2020,146,43,5
04-03-2020,153,52,7
04-04-2020,155,52,7
04-05-2020,159,52,7
04-06-2020,165,65,7
04-07-2020,165,65,7
04-08-2020,167,65,9
04-09-2020,171,84,9
04-10-2020,171,84,9
04-11-2020,175,93,9
04-12-2020,181,93,9
04-13-2020,189,110,9
04-14-2020,189,110,9
04-15-2020,197,111,9
04-16-2020,204,111,9
04-17-2020,204,111,9
04-18-2020,227,113,9
04-19-2020,256,117,9
04-20-2020,256,117,9
04-21-2020,285,117,10
04-22-2020,288,122,10
04-23-2020,311,126,10
04-24-2020,318,132,10
04-25-2020,323,132,10
04-26-2020,325,137,10
04-27-2020,329,142,10
04-28-2020,329,142,10
04-29-2020,331,142,10
04-30-2020,333,142,16
05-01-2020,335,148,10
05-02-2020,345,148,10
05-03-2020,357,158,10
05-04-2020,357,158,10
05-05-2020,361,158,10
05-05-2020,361,158,10
05-06-2020,379,176,10
05-07-2020,381,185,10
05-08-2020,388,190,10
05-09-2020,402,190,10
05-10-2020,414,193,10
05-11-2020,422,205,10
05-12-2020,423,220,10
05-12-2020,423,220,10
05-13-2020,423,220,10
05-14-2020,455,220,10
05-14-2020,455,220,10
05-15-2020,459,229,10
05-16-2020,504,241,10
05-17-2020,541,241,10
05-18-2020,618,253,10
05-19-2020,749,253,10
05-19-2020,749,253,10
05-20-2020,824,262,10
05-21-2020,882,262,10
05-22-2020,944,262,10
05-23-2020,1010,262,10
05-24-2020,1121,262,10
05-25-2020,1177,302,10
05-26-2020,1211,302,11
05-27-2020,1245,302,11
05-28-2020,1325,302,11
05-29-2020,1370,302,14
05-30-2020,1459,302,14
05-31-2020,1510,302,14
06-01-2020,1662,302,17
06-02-2020,1819,334,18
06-03-2020,1952,334,20
06-04-2020,2087,334,20
06-05-2020,2145,334,20
06-06-2020,2316,385,22
06-06-2020,2316,385,22
06-07-2020,2377,487,22
06-08-2020,2473,487,22
06-09-2020,2632,487,23
06-10-2020,2738,487,23
06-11-2020,2814,487,23
06-12-2020,2879,487,23
06-13-2020,2904,487,24
06-14-2020,2978,835,25
06-15-2020,3062,835,26
06-16-2020,3150,835,27
06-17-2020,3386,835,28
06-18-2020,3483,835,28
06-19-2020,3591,835,30
06-20-2020,3789,835,33
06-21-2020,3917,835,33
06-22-2020,4048,1327,35
06-23-2020,4187,1327,35
06-24-2020,4366,1327,38
06-25-2020,4563,1327,39
06-26-2020,4779,1327,41
06-27-2020,5130,1327,42
06-28-2020,5297,1649,44
06-29-2020,5530,1649,48
06-30-2020,5832,1649,51
07-01-2020,6062,1649,54
07-02-2020,6273,2100,57
07-03-2020,6537,2100,59
07-04-2020,6750,2100,62
07-05-2020,7169,2100,65
07-06-2020,7411,2100,68
07-07-2020,7693,2100,71
07-08-2020,8008,2100,75
07-09-2020,8372,2544,80
07-10-2020,8803,2671,83
07-11-2020,9178,2671,85
07-12-2020,9465,2671,89
07-13-2020,9707,2671,93
07-14-2020,10010,2671,96
07-15-2020,10428,3050,100
07-16-2020,10854,3255,104
07-17-2020,11191,3852,107
07-18-2020,11483,3972,110
07-18-2020,11483,3972,110
07-18-2020,11483,3972,110
07-19-2020,11891,3972,112
07-20-2020,12334,6844,116
07-21-2020,12774,6983,120
07-22-2020,13164,7471,124
07-23-2020,13613,7752,129
07-24-2020,14263,8127,134
07-25-2020,14929,8795,138
07-26-2020,15463,9746,142
07-27-2020,15988,9959,146
07-28-2020,16571,10195,151
07-28-2020,16571,10195,151
07-29-2020,17158,10421,156
07-30-2020,17859,10421,158
07-31-2020,18574,10421,164
08-01-2020,19443,11129,169
08-02-2020,20206,11404,174
08-03-2020,20754,11622,180
08-04-2020,21438,11875,187
08-05-2020,22299,12146,195
08-06-2020,23280,12470,202
08-07-2020,24166,12470,208
08-08-2020,24961,13356,215
08-09-2020,25805,13356,223
08-10-2020,26800,16930,229
08-11-2020,27938,19706,238
08-12-2020,29088,21042,247
08-13-2020,30369,21385,259
08-14-2020,31381,21580,266
08-15-2020,32607,21747,276
08-16-2020,33755,22700,281
08-17-2020,34802,23575,288
08-18-2020,35697,24561,297
08-19-2020,36868,25416,303
08-20-2020,37567,26330,311
08-21-2020,38219,27306,317
08-22-2020,38957,28453,323
08-23-2020,39564,29966,329
08-24-2020,40338,31080,337
08-25-2020,41158,32015,343
08-26-2020,41965,32931,351
08-27-2020,42898,34147,358
08-28-2020,43879,34972,366
08-29-2020,44946,36175,375
08-30-2020,45868,37091,381
08-31-2020,46728,38112,386
09-01-2020,47756,39027,391
09-02-2020,48883,39912,398
09-03-2020,49877,40574,402
09-04-2020,50973,41249,412
09-05-2020,52165,42006,420
09-06-2020,53289,42006,428
09-07-2020,54350,43753,436
09-08-2020,55563,44435,444
09-09-2020,56751,45318,452
09-10-2020,57823,46125,460
09-11-2020,58663,46960,468
09-12-2020,59630,47729,477
09-13-2020,60540,48644,485
09-14-2020,61569,49371,494
09-15-2020,62655,50361,502
09-16-2020,63416,51274,511
09-17-2020,64284,52564,520
09-18-2020,65174,54218,530
09-19-2020,65949,55155,539
09-20-2020,66656,56096,547
09-21-2020,67443,56726,555
09-22-2020,68453,57774,564
09-23-2020,69439,58759,574
09-24-2020,70406,59745,581
09-25-2020,71273,60709,591
09-26-2020,71940,61528,600
09-27-2020,72691,62427,606
09-28-2020,73528,63346,614
09-29-2020,74363,64200,621
09-30-2020,75122,65225,628
10-01-2020,76029,66245,635
10-02-2020,76820,67216,643
10-03-2020,77646,68098,649
10-04-2020,78434,68917,653
10-05-2020,79117,69832,658
10-06-2020,79796,70719,665
10-07-2020,80404,71531,671
10-08-2020,81019,72196,678
10-09-2020,81696,73020,684
10-10-2020,82453,73919,691
10-11-2020,83137,74664,697
10-12-2020,83756,75400,704
10-13-2020,84391,76262,710
10-14-2020,85005,76262,714
10-15-2020,85469,77689,720
10-16-2020,85758,78294,725
10-17-2020,86289,78847,731
10-18-2020,86636,79694,736
10-19-2020,86636,79694,736
10-20-2020,87644,80316,747
10-21-2020,88035,81626,753
10-22-2020,88416,82284,759
10-23-2020,88718,82899,764
10-24-2020,89142,83443,770
10-25-2020,89565,83947,773
10-26-2020,90047,84444,777
10-27-2020,90400,84907,780
10-28-2020,90876,85402,784
10-29-2020,91280,85897,789
10-30-2020,91589,86335,793
10-31-2020,92013,86773,798
11-01-2020,92325,87156,801
11-02-2020,92705,87547,806
11-03-2020,93100,87941,810
11-04-2020,93480,88326,814
11-05-2020,93921,88701,819
11-06-2020,94305,89099,821
11-07-2020,94698,89502,824
11-08-2020,94883,89755,826
11-09-2020,95149,90054,830
11-10-2020,95445,90359,834
11-11-2020,95750,90743,838
11-12-2020,96140,91141,841
11-13-2020,96441,91452,844
11-14-2020,96933,91948,848
11-15-2020,97352,92373,851
11-16-2020,97739,92767,855
11-17-2020,98050,93084,858
11-18-2020,98350,93390,860
11-19-2020,98665,93691,863
11-20-2020,99017,94046,866
11-21-2020,99435,94355,869
11-22-2020,99835,94355,871
11-23-2020,100143,94985,873
11-24-2020,100498,95344,876
11-25-2020,100817,95669,880
11-26-2020,101215,96072,884
11-27-2020,101524,96402,888
11-28-2020,101760,96652,892
11-29-2020,102040,96652,894
11-30-2020,102394,97326,897
12-01-2020,102621,97562,901
12-02-2020,103067,98030,905
12-03-2020,103548,98521,909
12-04-2020,103877,98879,913
12-05-2020,104177,98879,916
12-06-2020,104442,99494,919
12-07-2020,104904,99982,924
12-08-2020,105384,100476,928
12-09-2020,105852,100952,933
12-10-2020,106280,101384,938
12-11-2020,106715,101823,944
12-12-2020,107177,102289,949
12-13-2020,107786,102289,954
12-14-2020,108125,103037,960
12-15-2020,108480,103271,965
12-16-2020,108717,103492,970
12-17-2020,109081,103741,975
12-18-2020,109395,103975,979
12-19-2020,109781,104208,984
12-20-2020,110075,104462,988
12-21-2020,110513,104799,993
12-22-2020,110828,104799,997
12-23-2020,111024,105249,1002
12-24-2020,111245,105479,1006
