







date,confirmed,cured,dead
03-11-2020,38,16,0
03-12-2020,39,16,0
03-13-2020,47,16,0
03-14-2020,53,16,0
03-15-2020,56,16,0
03-16-2020,61,16,0
03-17-2020,66,16,0
03-18-2020,75,16,0
03-19-2020,85,16,0
03-20-2020,91,16,0
03-21-2020,94,17,0
03-22-2020,113,17,0
03-23-2020,123,17,0
03-24-2020,134,17,0
03-25-2020,141,17,0
03-26-2020,153,20,0
03-27-2020,163,20,0
03-28-2020,174,21,0
03-29-2020,188,25,0
03-30-2020,203,55,0
03-31-2020,212,58,0
04-01-2020,218,63,0
04-02-2020,233,75,0
04-03-2020,237,85,0
04-04-2020,240,90,0
04-05-2020,241,90,0
04-06-2020,245,95,0
04-07-2020,249,123,0
04-08-2020,251,126,0
04-09-2020,255,128,0
04-10-2020,257,144,0
04-11-2020,258,144,0
04-12-2020,262,144,0
04-13-2020,265,146,0
04-14-2020,266,169,0
04-15-2020,267,171,0
04-16-2020,268,177,0
04-17-2020,268,198,0
04-18-2020,268,201,0
04-19-2020,268,202,0
04-20-2020,268,214,0
04-21-2020,268,216,0
04-22-2020,268,223,0
04-23-2020,268,224,0
04-24-2020,270,220,0
04-25-2020,270,225,0
04-26-2020,270,225,0
04-27-2020,270,225,0
04-28-2020,270,222,0
04-29-2020,270,222,0
04-30-2020,270,219,0
05-01-2020,270,219,0
05-02-2020,270,219,0
05-03-2020,271,219,0
05-04-2020,271,219,0
05-05-2020,271,232,0
05-05-2020,271,232,0
05-06-2020,271,232,0
05-07-2020,288,233,0
05-08-2020,288,241,0
05-09-2020,288,241,0
05-10-2020,288,241,0
05-11-2020,288,249,0
05-12-2020,288,252,0
05-12-2020,288,252,0
05-13-2020,288,252,0
05-14-2020,312,260,0
05-14-2020,312,260,0
05-15-2020,314,260,0
05-16-2020,318,260,0
05-17-2020,320,260,0
05-18-2020,324,263,0
05-19-2020,324,263,0
05-19-2020,324,263,0
05-20-2020,324,263,0
05-21-2020,324,266,0
05-22-2020,324,267,0
05-23-2020,325,267,0
05-24-2020,325,267,0
05-25-2020,326,272,0
05-26-2020,327,272,0
05-27-2020,327,278,0
05-28-2020,327,278,0
05-29-2020,328,279,0
05-30-2020,328,279,0
05-31-2020,328,279,0
06-01-2020,328,293,0
06-02-2020,328,298,0
06-03-2020,328,302,0
06-04-2020,328,302,0
06-05-2020,328,307,0
06-06-2020,329,307,0
06-06-2020,329,307,0
06-07-2020,331,307,0
06-08-2020,332,316,0
06-09-2020,332,316,0
06-10-2020,332,320,0
06-11-2020,332,321,0
06-12-2020,333,323,0
06-13-2020,334,323,0
06-14-2020,334,323,0
06-15-2020,334,323,0
06-16-2020,334,325,0
06-17-2020,335,325,0
06-18-2020,342,325,0
06-19-2020,349,326,0
06-20-2020,349,327,0
06-21-2020,349,327,0
06-22-2020,349,328,0
06-23-2020,349,329,0
06-24-2020,352,329,0
06-25-2020,352,329,0
06-26-2020,353,330,0
06-27-2020,355,330,0
06-28-2020,355,330,0
06-29-2020,355,335,0
06-30-2020,355,335,0
07-01-2020,355,336,0
07-02-2020,355,340,0
07-03-2020,355,340,0
07-04-2020,355,340,0
07-05-2020,355,340,0
07-06-2020,369,341,0
07-07-2020,369,342,0
07-08-2020,369,347,0
07-09-2020,369,347,0
07-10-2020,370,350,0
07-11-2020,370,350,0
07-12-2020,372,350,0
07-13-2020,373,352,0
07-14-2020,373,352,0
07-15-2020,381,353,0
07-16-2020,381,356,0
07-17-2020,382,356,0
07-18-2020,382,357,0
07-18-2020,382,357,0
07-18-2020,382,357,0
07-19-2020,383,357,0
07-20-2020,384,360,0
07-21-2020,401,365,0
07-22-2020,408,365,0
07-23-2020,412,365,0
07-24-2020,415,365,0
07-25-2020,417,365,0
07-26-2020,420,365,0
07-27-2020,431,365,0
07-28-2020,446,369,0
07-28-2020,446,369,0
07-29-2020,459,369,0
07-30-2020,509,373,0
07-31-2020,558,373,3
08-01-2020,590,373,3
08-02-2020,621,373,6
08-03-2020,652,374,7
08-04-2020,672,378,8
08-05-2020,717,381,9
08-06-2020,750,392,10
08-07-2020,789,395,10
08-08-2020,812,395,10
08-09-2020,841,395,13
08-10-2020,847,399,15
08-11-2020,866,451,16
08-12-2020,883,409,18
08-13-2020,911,425,21
08-14-2020,930,437,22
08-15-2020,951,447,24
08-16-2020,964,456,24
08-17-2020,983,467,25
08-18-2020,989,526,26
08-19-2020,994,533,25
08-20-2020,1007,542,25
08-21-2020,1009,545,25
08-22-2020,1014,563,26
08-23-2020,1016,568,27
08-24-2020,1022,587,27
08-25-2020,1029,592,27
08-26-2020,1034,632,30
08-27-2020,1036,637,30
08-28-2020,1038,663,30
08-29-2020,1040,677,32
08-30-2020,1040,695,32
08-31-2020,1044,707,34
09-01-2020,1044,735,34
09-02-2020,1046,746,34
09-03-2020,1046,755,35
09-04-2020,1049,772,35
09-05-2020,1049,805,35
09-06-2020,1049,815,35
09-07-2020,1049,853,35
09-08-2020,1054,868,35
09-09-2020,1059,890,35
09-10-2020,1059,893,35
09-11-2020,1060,902,35
09-12-2020,1060,910,35
09-13-2020,1063,918,35
09-14-2020,1063,926,35
09-15-2020,1063,931,35
09-16-2020,1063,936,35
09-17-2020,1066,940,35
09-18-2020,1068,941,35
09-19-2020,1068,942,35
09-20-2020,1068,942,35
09-21-2020,1068,947,35
09-22-2020,1068,957,35
09-23-2020,1069,991,35
09-24-2020,1069,991,35
09-25-2020,1069,999,35
09-26-2020,1069,999,35
09-27-2020,1074,999,35
09-28-2020,1077,999,35
09-29-2020,1094,1007,35
09-30-2020,1094,1010,35
10-01-2020,1095,1010,35
10-02-2020,1096,1020,35
10-03-2020,1096,1020,35
10-04-2020,1096,1020,35
10-05-2020,1097,1022,35
10-06-2020,1098,1023,35
10-07-2020,1099,1023,35
10-08-2020,1100,1023,35
10-09-2020,1105,1024,35
10-10-2020,1107,1024,35
10-11-2020,1109,1024,35
10-12-2020,1110,1025,35
10-13-2020,1113,1025,35
10-14-2020,1122,1029,35
10-15-2020,1124,1030,35
10-16-2020,1124,1031,35
10-17-2020,1126,1031,35
10-18-2020,1134,1031,35
10-19-2020,1140,1046,35
10-20-2020,1141,1046,35
10-21-2020,1144,1046,35
10-22-2020,1148,1049,35
10-23-2020,1148,1049,35
10-24-2020,1160,1051,35
10-25-2020,1168,1057,35
10-26-2020,1169,1061,35
10-27-2020,1172,1062,35
10-28-2020,1173,1062,35
10-29-2020,1177,1062,35
10-30-2020,1177,1062,35
10-31-2020,1180,1062,35
